playername,playerid,vsname,vsid,date,Play
D_Dietrich,1054,M Bowman,1352,2016-07-31,Derek Dietrich tripled to left (Fliner (Fly)). Adeiny Hechavarria scored.
D_Dietrich,1054,B Treinen,1257,2016-09-19,Derek Dietrich doubled to center (Fliner (Liner)). Yefri Perez scored. Justin Bour advanced to 3B.
D_Dietrich,1054,R Stripling,1327,2016-04-25,Derek Dietrich tripled to center (Fliner (Liner)). J.T. Realmuto scored.
D_Dietrich,1054,N Syndergaard,1176,2016-04-12,Derek Dietrich singled to right (Fliner (Liner)). Giancarlo Stanton scored. Justin Bour advanced to 3B. Derek Dietrich advanced to 2B.
D_Dietrich,1054,J Hammel,4538,2016-06-26,Derek Dietrich doubled to center (Fliner (Fly)). Justin Bour scored.
D_Dietrich,1054,N Syndergaard,1176,2016-04-12,Derek Dietrich doubled to right (Fliner (Fly)).
D_Dietrich,1054,T Roark,8753,2016-05-14,Derek Dietrich doubled to right (Fliner (Liner)). Miguel Rojas scored. Derek Dietrich advanced to 3B.
D_Dietrich,1054,R Ray,1148,2016-05-05,Derek Dietrich singled to center (Fliner (Liner)). Giancarlo Stanton scored.
D_Dietrich,1054,Y Petit,4020,2016-04-20,Derek Dietrich homered (Fliner (Fly)).
D_Dietrich,1054,C Anderson,6895,2016-04-30,Derek Dietrich homered (Fliner (Fly)).
D_Dietrich,1054,X Cedeno,36&p,2016-05-24,Derek Dietrich reached on error to shortstop (Fly). Error by Brad Miller.
D_Dietrich,1054,J Familia,5114,2016-07-04,Derek Dietrich singled to center (Grounder). Marcell Ozuna advanced to 3B.
D_Dietrich,1054,F Rivero,1207,2016-05-14,Derek Dietrich doubled to center (Fliner (Liner)).
D_Dietrich,1054,J Peavy,1051,2016-04-23,Derek Dietrich doubled to center (Fliner (Fly)). Christian Yelich scored.
D_Dietrich,1054,D Straily,9460,2016-07-08,Derek Dietrich singled to left (Liner). Christian Yelich scored. Giancarlo Stanton advanced to 2B.
D_Dietrich,1054,B Ziegler,7293,2016-06-11,Derek Dietrich singled to left (Grounder).
D_Dietrich,1054,J Papelbon,5975,2016-05-14,Derek Dietrich walked.
D_Dietrich,1054,E O'Flaherty,5746,2016-05-29,Derek Dietrich doubled to center (Fly). Marcell Ozuna scored. Chris Johnson scored.
D_Dietrich,1054,J Hammel,4538,2016-06-26,Derek Dietrich was hit by a pitch. Christian Yelich advanced to 3B. Justin Bour advanced to 2B.
D_Dietrich,1054,D Salazar,5867,2016-09-04,Derek Dietrich doubled to left (Grounder).
D_Dietrich,1054,J Gray,1491,2016-06-17,Derek Dietrich singled to right (Grounder).
D_Dietrich,1054,J Hellickson,4371,2016-05-18,Derek Dietrich singled to second (Liner).
D_Dietrich,1054,J Eickhoff,1266,2016-07-21,Derek Dietrich singled to right (Grounder). Marcell Ozuna advanced to 2B.
D_Dietrich,1054,J Eickhoff,1266,2016-07-21,Derek Dietrich singled to shortstop (Grounder). Christian Yelich scored on error. Derek Dietrich advanced to 2B. Error by Freddy Galvis.
D_Dietrich,1054,M Kirkman,9877,2016-05-09,Derek Dietrich tripled to right (Fliner (Fly)). Derek Dietrich scored on error. Error by Yadiel Rivera.
D_Dietrich,1054,A Cole,1146,2016-09-30,Derek Dietrich reached on error to second (Fly). Derek Dietrich advanced to 2B. Error by Stephen Drew.
D_Dietrich,1054,J Hellickson,4371,2016-07-25,Derek Dietrich reached on error to first (Grounder). Error by Tommy Joseph.
D_Dietrich,1054,D Smyly,1176,2016-05-26,Derek Dietrich doubled to center (Fliner (Fly)).
D_Dietrich,1054,J Lackey,1507,2016-08-03,Derek Dietrich was hit by a pitch.
D_Dietrich,1054,M Pelfrey,5203,2016-06-28,Derek Dietrich singled to left (Grounder). Justin Bour advanced to 2B.
D_Dietrich,1054,B Norris,9492,2016-06-21,Derek Dietrich walked.
D_Dietrich,1054,M Cain,4732,2016-04-24,Derek Dietrich singled to right (Fliner (Liner)).
D_Dietrich,1054,M Scherzer,3137,2016-10-02,Derek Dietrich singled to left (Fliner (Liner)).
D_Dietrich,1054,V Velasquez,1118,2016-05-17,Derek Dietrich singled to left (Fliner (Fly)).
D_Dietrich,1054,T Roark,8753,2016-05-14,Derek Dietrich was hit by a pitch.
D_Dietrich,1054,M Wisler,1280,2016-09-23,Derek Dietrich walked.
D_Dietrich,1054,D Salazar,5867,2016-09-04,Derek Dietrich advanced on a wild pitch to 3B.
D_Dietrich,1054,J Lackey,1507,2016-06-25,Derek Dietrich singled to left (Liner).
D_Dietrich,1054,W Peralta,7738,2016-05-09,Derek Dietrich singled to left (Fliner (Liner)).
D_Dietrich,1054,M Wisler,1280,2016-09-23,Derek Dietrich walked.
D_Dietrich,1054,K Hendricks,1204,2016-06-24,Derek Dietrich reached on error to shortstop (Grounder). Error by Addison Russell.
D_Dietrich,1054,J Eickhoff,1266,2016-07-21,Derek Dietrich was hit by a pitch.
D_Dietrich,1054,J Ross,1297,2016-04-20,Derek Dietrich was hit by a pitch.
D_Dietrich,1054,J Gray,1491,2016-06-17,Derek Dietrich singled to second (Grounder).
D_Dietrich,1054,A Vizcaino,5498,2016-04-15,Derek Dietrich walked. Adeiny Hechavarria advanced to 2B.
D_Dietrich,1054,A Blair,1493,2016-05-28,Derek Dietrich singled to left (Grounder).
D_Dietrich,1054,M Andriese,1202,2016-05-25,Derek Dietrich singled to second (Grounder).
D_Dietrich,1054,C Roe,9866,2016-09-22,Derek Dietrich was hit by a pitch.
D_Dietrich,1054,F Rodriguez,1642,2016-06-28,Derek Dietrich walked.
