playername,playerid,vsname,vsid,date,Play
D_Floro,1339,Y Alonso,2530,2016-07-22,Yonder Alonso grounded into a double play to pitcher (Grounder). Jake Smolinski out at second.
D_Floro,1339,M Semien,1253,2016-07-22,Marcus Semien grounded out to shortstop (Grounder).
D_Floro,1339,N Arenado,9777,2016-07-18,Nolan Arenado grounded into a double play to shortstop (Grounder). DJ LeMahieu out at second.
D_Floro,1339,A Jones,6368,2016-07-16,Adam Jones struck out swinging.
D_Floro,1339,J Schoop,1126,2016-07-16,Jonathan Schoop grounded out to third (Grounder).
D_Floro,1339,M Upton Jr.,5015,2016-08-10,Melvin Upton Jr. flied out to first (Fly).
D_Floro,1339,M Machado,1149,2016-07-16,Manny Machado fouled out to first (Fly).
D_Floro,1339,T Story,1256,2016-07-18,Trevor Story struck out swinging.
D_Floro,1339,C Blackmon,7859,2016-07-18,Charlie Blackmon flied out to left (Fly).
D_Floro,1339,J Ellsbury,4727,2016-07-29,Jacoby Ellsbury reached on fielder's choice to second (Grounder). Brett Gardner out at second.
D_Floro,1339,C Beltran,589&,2016-07-29,Carlos Beltran flied out to center (Fliner (Fly)).
D_Floro,1339,D Pedroia,8370,2016-07-09,Dustin Pedroia grounded out to second (Grounder).
D_Floro,1339,E Escobar,6153,2016-08-06,Eduardo Escobar flied out to left (Fliner (Fly)).
D_Floro,1339,D Travis,1386,2016-08-10,Devon Travis lined out to second (Liner).
D_Floro,1339,T Cunningham,1082,2016-07-07,Todd Cunningham struck out swinging.
D_Floro,1339,C Blackmon,7859,2016-07-20,Charlie Blackmon flied out to center (Fliner (Fly)).
D_Floro,1339,B Brentz,1060,2016-07-09,Bryce Brentz grounded out to second (Grounder). Jackie Bradley Jr. advanced to 3B. Travis Shaw advanced to 2B.
D_Floro,1339,D Ortiz,745&,2016-07-09,David Ortiz grounded out to third (Grounder).
D_Floro,1339,E Encarnacion,2151,2016-08-10,Edwin Encarnacion struck out swinging.
D_Floro,1339,D LeMahieu,9874,2016-07-20,DJ LeMahieu grounded out to first (Grounder).
D_Floro,1339,R Torreyes,1140,2016-08-14,Ronald Torreyes grounded out to second (Grounder).
D_Floro,1339,T Shaw,1198,2016-07-09,Travis Shaw was intentionally walked.
D_Floro,1339,N Hundley,3376,2016-07-18,Nick Hundley walked.
D_Floro,1339,D Barney,2430,2016-08-10,Darwin Barney reached on error to shortstop (Grounder). Error by Brad Miller.
D_Floro,1339,R Martin,4616,2016-08-10,Russell Martin doubled to center (Fly).
D_Floro,1339,T Wolters,1147,2016-07-20,Tony Wolters singled to center (Fliner (Fly)).
D_Floro,1339,E Rosario,1215,2016-08-06,Eddie Rosario reached on fielder's choice and error to second (Grounder). Miguel Sano advanced to 3B on error. Eddie Rosario advanced to 2B. Error by Logan Forsythe.
D_Floro,1339,J Bradley Jr.,1298,2016-07-09,Jackie Bradley Jr. doubled to center (Fliner (Fly)).
D_Floro,1339,B Gardner,9927,2016-07-29,Brett Gardner walked.
D_Floro,1339,M Trumbo,6876,2016-07-16,Mark Trumbo singled to third (Grounder).
D_Floro,1339,Y Escobar,4191,2016-07-07,Yunel Escobar singled to center (Liner). Andrelton Simmons scored.
D_Floro,1339,M Reynolds,7619,2016-07-18,Mark Reynolds singled to center (Liner). Daniel Descalso advanced to 3B.
D_Floro,1339,A Pujols,1177,2016-07-07,Albert Pujols singled to left (Fliner (Liner)). Kole Calhoun advanced to 3B. Mike Trout advanced to 2B.
D_Floro,1339,B Barnes,629&,2016-07-18,Brandon Barnes singled to left (Liner). Mark Reynolds scored. Nick Hundley advanced to 3B on error. Brandon Barnes advanced to 2B on error. Error by Corey Dickerson.
D_Floro,1339,J Smolinski,5408,2016-07-22,Jake Smolinski singled to second (Grounder). Jed Lowrie advanced to 2B.
D_Floro,1339,R Martin,4616,2016-08-08,Russell Martin walked. Michael Saunders advanced to 3B. Troy Tulowitzki advanced to 2B.
D_Floro,1339,R Healy,1544,2016-07-22,Ryon Healy doubled to left (Liner).
D_Floro,1339,C Crisp,1572,2016-07-22,Coco Crisp singled to left (Liner). Ryon Healy scored.
