playername,playerid,vsname,vsid,date,Play
D_Garneau,9433,B McCarthy,4662,2016-09-25,Dustin Garneau doubled to left (Grounder). Cristhian Adames scored.
D_Garneau,9433,C Buchholz,3543,2016-05-26,Dustin Garneau homered (Fliner (Fly)). Daniel Descalso scored.
D_Garneau,9433,K Jansen,3096,2016-04-24,Dustin Garneau walked.
D_Garneau,9433,A Wood,1378,2016-04-24,Dustin Garneau singled to center (Grounder). Gerardo Parra scored. DJ LeMahieu advanced to 3B.
D_Garneau,9433,L Coleman,9720,2016-06-07,Dustin Garneau walked.
D_Garneau,9433,R Iglesias,1713,2016-04-20,Dustin Garneau doubled to left (Fliner (Liner)).
D_Garneau,9433,P Baez,5420,2016-04-24,Dustin Garneau walked.
D_Garneau,9433,D Straily,9460,2016-05-30,Dustin Garneau singled to left (Fliner (Fly)). Daniel Descalso advanced to 2B.
D_Garneau,9433,M Bowman,1352,2016-05-17,Dustin Garneau singled to third (Grounder).
D_Garneau,9433,M Bumgarner,5524,2016-05-06,Dustin Garneau hit a sacrifice fly to right (Fly). Ryan Raburn scored. Gerardo Parra advanced to 3B.
D_Garneau,9433,K Jansen,3096,2016-04-24,Dustin Garneau advanced on defensive indifference to 2B.
D_Garneau,9433,K Lobstein,9178,2016-06-09,Dustin Garneau singled to right (Fliner (Fly)).
D_Garneau,9433,T Layne,7501,2016-05-26,Dustin Garneau advanced on a wild pitch to 3B.
D_Garneau,9433,J Osich,1152,2016-09-27,Dustin Garneau struck out swinging.
D_Garneau,9433,M Koch,1342,2016-09-13,Dustin Garneau struck out swinging.
D_Garneau,9433,A Simon,2155,2016-06-02,Dustin Garneau struck out swinging.
D_Garneau,9433,A Simon,2155,2016-06-02,Dustin Garneau struck out swinging.
D_Garneau,9433,Z Curtis,1668,2016-05-11,Dustin Garneau struck out swinging.
D_Garneau,9433,J Urias,1476,2016-06-07,Dustin Garneau struck out swinging.
D_Garneau,9433,H Hembree,1163,2016-05-26,Dustin Garneau struck out swinging.
D_Garneau,9433,C Buchholz,3543,2016-05-26,Dustin Garneau grounded out to shortstop (Grounder).
D_Garneau,9433,J Arrieta,4153,2016-04-16,Dustin Garneau grounded out to shortstop (Grounder).
D_Garneau,9433,R Ohlendorf,8268,2016-05-30,Dustin Garneau struck out swinging.
D_Garneau,9433,M Bumgarner,5524,2016-05-06,Dustin Garneau flied out to second (Fly).
D_Garneau,9433,D Straily,9460,2016-05-30,Dustin Garneau flied out to right (Fly).
D_Garneau,9433,J Lamb,8493,2016-06-01,Dustin Garneau lined out to second (Liner).
D_Garneau,9433,C Gearrin,7947,2016-05-28,Dustin Garneau struck out swinging.
D_Garneau,9433,J Ramirez,8302,2016-05-30,Dustin Garneau flied out to right (Fliner (Fly)).
D_Garneau,9433,J Locke,2929,2016-06-09,Dustin Garneau flied out to left (Fliner (Liner)).
D_Garneau,9433,J deGrom,1095,2016-05-15,Dustin Garneau flied out to center (Fly).
D_Garneau,9433,P Baez,5420,2016-09-25,Dustin Garneau struck out swinging.
D_Garneau,9433,J Lamb,8493,2016-06-01,Dustin Garneau flied out to left (Fly).
D_Garneau,9433,D Straily,9460,2016-05-30,Dustin Garneau struck out swinging.
D_Garneau,9433,J Garcia,8137,2016-05-17,Dustin Garneau grounded out to third (Grounder).
D_Garneau,9433,J Lamb,8493,2016-06-01,Dustin Garneau grounded out to third (Grounder).
D_Garneau,9433,D Price,3184,2016-05-24,Dustin Garneau flied out to center (Fly).
D_Garneau,9433,E Johnson,1252,2016-06-11,Dustin Garneau struck out swinging.
D_Garneau,9433,R Ray,1148,2016-05-11,Dustin Garneau out on a dropped third strike.
D_Garneau,9433,M Melancon,4264,2016-05-20,Dustin Garneau lined out to second (Fliner (Liner)).
