playername,playerid,vsname,vsid,date,Play
D_Hernandez,4259,J Pacheco,2677,2016-05-14,Jordan Pacheco flied out to left (Fly). Eugenio Suarez out at home.
D_Hernandez,4259,D Swanson,1831,2016-09-27,Dansby Swanson struck out swinging.
D_Hernandez,4259,W Myers,1004,2016-04-13,Wil Myers struck out swinging.
D_Hernandez,4259,B Belt,1026,2016-06-25,Brandon Belt flied out to left (Fliner (Fly)).
D_Hernandez,4259,J Realmuto,1173,2016-07-18,J.T. Realmuto flied out to left (Fliner (Liner)).
D_Hernandez,4259,J Bour,9744,2016-09-16,Justin Bour grounded into a double play to second (Grounder). J.T. Realmuto out at second.
D_Hernandez,4259,R Zimmerman,4220,2016-04-26,Ryan Zimmerman struck out looking.
D_Hernandez,4259,M Smith,1360,2016-05-12,Mallex Smith grounded into a double play to shortstop (Grounder). Jeff Francoeur out at second.
D_Hernandez,4259,C Spangenberg,1229,2016-04-12,Cory Spangenberg reached on fielder's choice to first (Grounder). Jon Jay out at second.
D_Hernandez,4259,E Aybar,4082,2016-07-31,Erick Aybar was caught stealing. Jace Peterson advanced to 2B.
D_Hernandez,4259,B Crawford,5343,2016-08-03,Brandon Crawford flied out to left (Fly).
D_Hernandez,4259,M Byrd,950&,2016-05-01,Marlon Byrd struck out swinging.
D_Hernandez,4259,A Duvall,1095,2016-04-06,Adam Duvall struck out swinging.
D_Hernandez,4259,D Murphy,4316,2016-06-12,Daniel Murphy flied out to left (Fliner (Liner)).
D_Hernandez,4259,A Cabrera,4962,2016-04-09,Asdrubal Cabrera fouled out to second (Fly).
D_Hernandez,4259,T Jankowski,1376,2016-04-13,Travis Jankowski struck out swinging.
D_Hernandez,4259,F Lindor,1291,2016-04-29,Francisco Lindor grounded out to shortstop (Grounder).
D_Hernandez,4259,B Wallace,8434,2016-04-12,Brett Wallace struck out swinging.
D_Hernandez,4259,R Zimmerman,4220,2016-06-12,Ryan Zimmerman struck out swinging.
D_Hernandez,4259,D Castro,1545,2016-05-12,Daniel Castro struck out swinging.
D_Hernandez,4259,C d'Arnaud,6652,2016-07-31,Chase d'Arnaud flied out to center (Fly).
D_Hernandez,4259,D Dietrich,1054,2016-05-17,Derek Dietrich struck out swinging.
D_Hernandez,4259,M den Dekker,1138,2016-04-26,Matt den Dekker struck out swinging.
D_Hernandez,4259,M Ozuna,1032,2016-07-25,Marcell Ozuna fouled out to right (Fly).
D_Hernandez,4259,B Hamilton,1019,2016-04-06,Billy Hamilton grounded out to shortstop (Grounder).
D_Hernandez,4259,M Taylor,1148,2016-04-17,Michael Taylor flied out to center (Fliner (Liner)).
D_Hernandez,4259,R Davis,3708,2016-04-29,Rajai Davis struck out swinging.
D_Hernandez,4259,M Ozuna,1032,2016-05-18,Marcell Ozuna struck out swinging.
D_Hernandez,4259,P Gosselin,1095,2016-06-28,Phil Gosselin struck out looking.
D_Hernandez,4259,C Gonzalez,7287,2016-08-14,Carlos Gonzalez struck out swinging.
D_Hernandez,4259,M Prado,3312,2016-05-17,Martin Prado struck out swinging.
D_Hernandez,4259,D Dietrich,1054,2016-07-25,Derek Dietrich struck out looking.
D_Hernandez,4259,M Bourn,6387,2016-06-28,Michael Bourn struck out looking.
D_Hernandez,4259,C d'Arnaud,6652,2016-09-02,Chase d'Arnaud flied out to left (Fly).
D_Hernandez,4259,J Villar,1007,2016-06-02,Jonathan Villar grounded out to second (Grounder).
D_Hernandez,4259,J Mathis,3448,2016-05-17,Jeff Mathis struck out swinging.
D_Hernandez,4259,B Buxton,1416,2016-06-22,Byron Buxton struck out swinging.
D_Hernandez,4259,C Gillaspie,9009,2016-06-26,Conor Gillaspie struck out swinging.
D_Hernandez,4259,N Ahmed,1214,2016-06-19,Nick Ahmed flied out to right (Fly).
D_Hernandez,4259,Y Gomes,9627,2016-05-01,Yan Gomes flied out to center (Fly).
D_Hernandez,4259,M Napoli,3057,2016-04-29,Mike Napoli struck out swinging.
D_Hernandez,4259,R Davis,3708,2016-05-01,Rajai Davis picked off.
D_Hernandez,4259,E Campbell,6938,2016-09-24,Eric Campbell grounded into a double play to second (Grounder). Ty Kelly out at second.
D_Hernandez,4259,M Cabrera,4022,2016-09-20,Melky Cabrera flied out to left (Fly).
D_Hernandez,4259,D Espinosa,9219,2016-05-31,Danny Espinosa flied out to left (Fly).
D_Hernandez,4259,P Goldschmidt,9218,2016-06-28,Paul Goldschmidt flied out to right (Fliner (Fly)).
D_Hernandez,4259,T Saladino,1080,2016-09-20,Tyler Saladino singled to third (Grounder). Omar Narvaez out at third. Tyler Saladino
D_Hernandez,4259,J Villar,1007,2016-04-23,Jonathan Villar flied out to right (Fliner (Fly)).
D_Hernandez,4259,C Walsh,1096,2016-04-23,Colin Walsh struck out looking.
D_Hernandez,4259,A De Aza,3371,2016-09-24,Alejandro De Aza flied out to center (Fliner (Fly)).
D_Hernandez,4259,B Dozier,9810,2016-06-21,Brian Dozier grounded out to shortstop (Grounder).
D_Hernandez,4259,J Ross,1297,2016-05-31,Joe Ross struck out looking.
D_Hernandez,4259,T Koehler,6570,2016-09-16,Tom Koehler struck out swinging.
D_Hernandez,4259,D LeMahieu,9874,2016-08-14,DJ LeMahieu grounded out to second (Grounder).
D_Hernandez,4259,J Loney,4556,2016-08-28,James Loney grounded out to second (Grounder). Alejandro De Aza advanced to 2B.
D_Hernandez,4259,M Conforto,1637,2016-04-18,Michael Conforto struck out looking.
D_Hernandez,4259,J Werth,1327,2016-09-11,Jayson Werth grounded out to third (Grounder).
D_Hernandez,4259,T Frazier,785&,2016-09-20,Todd Frazier flied out to right (Fly).
D_Hernandez,4259,D Castro,1545,2016-07-31,Daniel Castro sacrificed to pitcher (Bunt Fly). Erick Aybar advanced to 2B.
D_Hernandez,4259,A Presley,5305,2016-04-23,Alex Presley fouled out to third (Fly).
D_Hernandez,4259,T Plouffe,7462,2016-06-21,Trevor Plouffe flied out to left (Fly). Joe Mauer advanced to 3B.
D_Hernandez,4259,Y Cespedes,1311,2016-04-18,Yoenis Cespedes struck out swinging.
D_Hernandez,4259,J Donaldson,5038,2016-06-13,Josh Donaldson struck out swinging.
D_Hernandez,4259,S Drew,4251,2016-09-11,Stephen Drew grounded out to second (Grounder).
D_Hernandez,4259,J Loney,4556,2016-07-15,James Loney struck out looking.
D_Hernandez,4259,J Thole,9689,2016-06-13,Josh Thole struck out looking.
D_Hernandez,4259,J Reyes,1736,2016-10-01,Jose Reyes grounded out to shortstop (Grounder).
D_Hernandez,4259,R Flores,1116,2016-06-03,Ramon Flores struck out swinging.
D_Hernandez,4259,G Beckham,9015,2016-05-21,Gordon Beckham fouled out to catcher (Fly).
D_Hernandez,4259,A Cabrera,4962,2016-10-01,Asdrubal Cabrera struck out swinging.
D_Hernandez,4259,N Hundley,3376,2016-07-07,Nick Hundley struck out swinging.
D_Hernandez,4259,A Hechavarria,1045,2016-05-16,Adeiny Hechavarria grounded out to second (Grounder).
D_Hernandez,4259,B Barnes,629&,2016-07-07,Brandon Barnes struck out swinging.
D_Hernandez,4259,J Loney,4556,2016-08-27,James Loney flied out to shortstop (Fly).
D_Hernandez,4259,A Pierzynski,746&,2016-07-04,A.J. Pierzynski flied out to left (Fliner (Fly)).
D_Hernandez,4259,C Bettis,1058,2016-07-07,Chad Bettis grounded out to pitcher (Grounder).
D_Hernandez,4259,C Seager,1362,2016-08-17,Corey Seager grounded out to third (Grounder).
D_Hernandez,4259,E Bonifacio,4054,2016-09-29,Emilio Bonifacio struck out swinging.
D_Hernandez,4259,A De Aza,3371,2016-08-27,Alejandro De Aza struck out swinging.
D_Hernandez,4259,M Smith,1360,2016-09-29,Mallex Smith struck out looking.
D_Hernandez,4259,C Utley,1679,2016-08-17,Chase Utley reached on fielder's choice to third (Grounder). Joc Pederson out at third. Rob Segedin advanced to 2B.
D_Hernandez,4259,A Hanson,1292,2016-09-15,Alen Hanson struck out swinging.
D_Hernandez,4259,B Wallace,8434,2016-08-06,Brett Wallace struck out swinging.
D_Hernandez,4259,D Freese,9549,2016-07-23,David Freese flied out to right (Fliner (Fly)).
D_Hernandez,4259,M Szczur,1125,2016-05-29,Matt Szczur grounded into a double play to third (Grounder). Miguel Montero out at third.
D_Hernandez,4259,H Kendrick,4229,2016-08-17,Howie Kendrick flied out to center (Fly).
D_Hernandez,4259,J Martinez,6184,2016-05-24,J.D. Martinez struck out swinging.
D_Hernandez,4259,S Piscotty,1336,2016-08-21,Stephen Piscotty struck out swinging.
D_Hernandez,4259,C Bethancourt,1002,2016-08-06,Christian Bethancourt flied out to center (Fliner (Fly)).
D_Hernandez,4259,M Cabrera,1744,2016-05-24,Miguel Cabrera grounded out to shortstop (Grounder).
D_Hernandez,4259,L Garcia,5913,2016-09-21,Leury Garcia flied out to left (Fly).
D_Hernandez,4259,E Campbell,6938,2016-04-08,Eric Campbell struck out looking.
D_Hernandez,4259,N Arenado,9777,2016-08-12,Nolan Arenado flied out to shortstop (Fly).
D_Hernandez,4259,J Blash,1124,2016-08-06,Jabari Blash flied out to right (Fly).
D_Hernandez,4259,B Zobrist,7435,2016-05-29,Ben Zobrist struck out swinging.
D_Hernandez,4259,H Kendrick,4229,2016-08-09,Howie Kendrick lined out to shortstop (Liner).
D_Hernandez,4259,A Eaton,1120,2016-08-23,Adam Eaton reached on fielder's choice to shortstop (Grounder). Carlos Sanchez out at second.
D_Hernandez,4259,T Anderson,1517,2016-08-23,Tim Anderson reached on fielder's choice to shortstop (Grounder). Adam Eaton out at second.
D_Hernandez,4259,J Abreu,1567,2016-08-23,Jose Abreu flied out to right (Fliner (Liner)).
D_Hernandez,4259,W Ramos,1433,2016-06-11,Wilson Ramos flied out to second (Fly).
D_Hernandez,4259,C Utley,1679,2016-08-09,Chase Utley struck out swinging.
D_Hernandez,4259,C Carter,9911,2016-06-05,Chris Carter flied out to center (Fliner (Fly)).
D_Hernandez,4259,C Seager,1362,2016-08-09,Corey Seager struck out swinging.
D_Hernandez,4259,K Pillar,1243,2016-06-16,Kevin Pillar homered (Fliner (Fly)). Russell Martin scored.
D_Hernandez,4259,M Saunders,9981,2016-06-16,Michael Saunders flied out to center (Fly). Edwin Encarnacion advanced to 3B on error. Error by Odubel Herrera.
D_Hernandez,4259,D Barney,2430,2016-06-16,Darwin Barney advanced on a wild pitch to 2B.
D_Hernandez,4259,A Hill,6104,2016-06-05,Aaron Hill singled to left (Fliner (Liner)).
D_Hernandez,4259,R Ruiz,1410,2016-09-29,Rio Ruiz advanced on a stolen base to 2B.
D_Hernandez,4259,R Martin,4616,2016-06-16,Russell Martin doubled to right (Fly). Edwin Encarnacion scored.
D_Hernandez,4259,M Montero,3364,2016-05-29,Miguel Montero walked.
D_Hernandez,4259,D Travis,1386,2016-06-16,Devon Travis homered (Fly).
D_Hernandez,4259,R Segedin,1144,2016-08-17,Chase Utley advanced on a wild pitch to 2B.
D_Hernandez,4259,A Ramirez,5133,2016-08-06,Alexei Ramirez singled to center (Liner).
D_Hernandez,4259,A Garcia,1377,2016-09-04,Adonis Garcia grounded out to third (Grounder). Chase d'Arnaud advanced to 3B. Ender Inciarte advanced to 2B.
D_Hernandez,4259,M Cabrera,4022,2016-08-23,Melky Cabrera doubled to left (Fliner (Liner)). Tim Anderson scored.
D_Hernandez,4259,R Segedin,1144,2016-08-17,Rob Segedin walked. Joc Pederson advanced to 2B.
D_Hernandez,4259,F Cervelli,5275,2016-07-23,Francisco Cervelli singled to third (Grounder).
D_Hernandez,4259,J Realmuto,1173,2016-05-16,J.T. Realmuto walked. Giancarlo Stanton advanced to 2B.
D_Hernandez,4259,A Avila,7476,2016-09-21,Alex Avila walked.
D_Hernandez,4259,Y Solarte,5352,2016-08-06,Yangervis Solarte singled to second (Liner). Travis Jankowski scored. Yangervis Solarte out.
D_Hernandez,4259,M Kepler,1214,2016-06-21,Max Kepler was intentionally walked.
D_Hernandez,4259,H Kendrick,4229,2016-08-16,Howie Kendrick singled to second (Grounder). Joc Pederson advanced to 2B.
D_Hernandez,4259,D Castro,1545,2016-09-27,Daniel Castro was intentionally walked.
D_Hernandez,4259,M Ozuna,1032,2016-09-16,Marcell Ozuna reached on fielder's choice to third (Grounder).
D_Hernandez,4259,J Bautista,1887,2016-06-13,Jose Bautista singled to left (Liner).
D_Hernandez,4259,J Lagares,5384,2016-07-15,Juan Lagares walked.
D_Hernandez,4259,M Prado,3312,2016-07-19,Martin Prado walked.
D_Hernandez,4259,D LeMahieu,9874,2016-07-10,DJ LeMahieu singled to right (Liner).
D_Hernandez,4259,K Broxton,9253,2016-06-02,Keon Broxton advanced on a stolen base to 2B.
D_Hernandez,4259,T Turner,1625,2016-09-11,Trea Turner walked.
D_Hernandez,4259,E Inciarte,4922,2016-09-04,Ender Inciarte singled to left (Fliner (Liner)). Chase d'Arnaud advanced to 2B.
D_Hernandez,4259,O Narvaez,1333,2016-09-20,Omar Narvaez singled to left (Liner).
D_Hernandez,4259,B Harper,1157,2016-04-26,Bryce Harper was intentionally walked.
D_Hernandez,4259,C Adames,6013,2016-08-14,Cristhian Adames was hit by a pitch. Nick Hundley advanced to 2B.
D_Hernandez,4259,D Dahl,1374,2016-08-14,David Dahl walked. Nolan Arenado advanced to 2B.
D_Hernandez,4259,B Hamilton,1019,2016-04-04,Billy Hamilton walked.
D_Hernandez,4259,N Arenado,9777,2016-08-14,Nolan Arenado singled to left (Grounder).
D_Hernandez,4259,T Kelly,7740,2016-09-24,Ty Kelly singled to center (Liner).
D_Hernandez,4259,C Maybin,5223,2016-05-25,Cameron Maybin singled to right (Fliner (Liner)).
D_Hernandez,4259,S Gennett,1033,2016-06-02,Scooter Gennett singled to right (Grounder).
D_Hernandez,4259,M Taylor,1148,2016-04-26,Michael Taylor advanced on a stolen base to 2B.
D_Hernandez,4259,B Drury,1161,2016-06-19,Brandon Drury singled to center (Grounder).
