playername,playerid,vsname,vsid,date,Play
D_Keuchel,9434,C Dickerson,1076,2016-08-27,Corey Dickerson grounded into a double play to second (Grounder). Steven Souza Jr. out at second.
D_Keuchel,9434,B Hamilton,1019,2016-06-18,Billy Hamilton grounded into a double play to second (Grounder). Eugenio Suarez out at second.
D_Keuchel,9434,J Nelson,1054,2016-04-10,Jimmy Nelson grounded into a double play to catcher (Bunt Grounder). Martin Maldonado out at third. Yadiel Rivera advanced to 2B.
D_Keuchel,9434,A Beltre,639&,2016-06-07,Adrian Beltre grounded into a double play to shortstop (Grounder). Ian Desmond out at second.
D_Keuchel,9434,J Lamb,1332,2016-06-02,Jake Lamb grounded into a double play to second (Grounder). Welington Castillo out at second.
D_Keuchel,9434,K Marte,1361,2016-05-07,Ketel Marte flied out to second (Fly).
D_Keuchel,9434,J Lowrie,4418,2016-07-19,Jed Lowrie grounded into a double play to second (Grounder). Coco Crisp out at second.
D_Keuchel,9434,I Kinsler,6195,2016-04-15,Ian Kinsler struck out swinging.
D_Keuchel,9434,J Ellsbury,4727,2016-07-25,Jacoby Ellsbury flied out to second (Fly).
D_Keuchel,9434,D Gregorius,6012,2016-07-25,Didi Gregorius out on a dropped third strike.
D_Keuchel,9434,J Nelson,1054,2016-04-10,Jimmy Nelson struck out looking.
D_Keuchel,9434,A Hicks,5297,2016-07-25,Aaron Hicks grounded into a double play to third (Grounder). Austin Romine out at second.
D_Keuchel,9434,R Odor,1228,2016-08-05,Rougned Odor grounded out to first (Grounder).
D_Keuchel,9434,N Castellanos,1173,2016-07-31,Nick Castellanos struck out looking.
D_Keuchel,9434,R Cano,3269,2016-05-07,Robinson Cano grounded out to second (Grounder).
D_Keuchel,9434,K Davis,9112,2016-07-10,Khris Davis flied out to right (Fly).
D_Keuchel,9434,J Villar,1007,2016-04-10,Jonathan Villar grounded out to first (Grounder).
D_Keuchel,9434,N Cruz,2434,2016-05-07,Nelson Cruz grounded into a double play to shortstop (Grounder). Robinson Cano out at second.
D_Keuchel,9434,J Segura,5933,2016-06-02,Jean Segura reached on fielder's choice to third (Grounder). Brandon Drury out at third.
D_Keuchel,9434,C Carter,9911,2016-04-10,Chris Carter grounded out to third (Grounder).
D_Keuchel,9434,N Mazara,1455,2016-06-07,Nomar Mazara struck out looking.
D_Keuchel,9434,C Cron,1254,2016-06-29,C.J. Cron struck out swinging.
D_Keuchel,9434,K Seager,9785,2016-07-05,Kyle Seager fouled out to third (Fly).
D_Keuchel,9434,J Saltalamacchia,5557,2016-04-15,Jarrod Saltalamacchia grounded out to second (Grounder).
D_Keuchel,9434,N Mazara,1455,2016-06-07,Nomar Mazara flied out to center (Fly).
D_Keuchel,9434,V Martinez,393&,2016-04-15,Victor Martinez grounded out to third (Grounder).
D_Keuchel,9434,N Aoki,1307,2016-04-26,Nori Aoki struck out swinging.
D_Keuchel,9434,J Bandy,1250,2016-06-29,Jett Bandy flied out to first (Fly).
D_Keuchel,9434,H Alberto,1190,2016-05-22,Hanser Alberto struck out swinging.
D_Keuchel,9434,C Davis,9272,2016-08-21,Chris Davis struck out swinging.
D_Keuchel,9434,R Odor,1228,2016-06-07,Rougned Odor grounded out to shortstop (Grounder).
D_Keuchel,9434,G Garcia,1095,2016-08-16,Greg Garcia grounded out to second (Grounder). Randal Grichuk advanced to 3B.
D_Keuchel,9434,A Duvall,1095,2016-06-18,Adam Duvall grounded out to second (Grounder).
D_Keuchel,9434,R Odor,1228,2016-06-07,Rougned Odor struck out swinging.
D_Keuchel,9434,M Bourn,6387,2016-06-02,Michael Bourn grounded out to second (Grounder).
D_Keuchel,9434,I Kinsler,6195,2016-04-15,Ian Kinsler grounded out to shortstop (Grounder).
D_Keuchel,9434,S Pearce,9957,2016-08-21,Steve Pearce flied out to left (Fly).
D_Keuchel,9434,A Duvall,1095,2016-06-18,Adam Duvall struck out swinging.
D_Keuchel,9434,E Escobar,6153,2016-05-02,Eduardo Escobar struck out looking.
D_Keuchel,9434,A Duvall,1095,2016-06-18,Adam Duvall grounded out to third (Grounder).
D_Keuchel,9434,R Rua,1240,2016-06-07,Ryan Rua grounded out to third (Grounder).
D_Keuchel,9434,J Bandy,1250,2016-06-29,Jett Bandy struck out swinging.
D_Keuchel,9434,A Rodriguez,1274,2016-04-05,Alex Rodriguez lined out to shortstop (Liner).
D_Keuchel,9434,J Votto,4314,2016-06-18,Joey Votto flied out to left (Fliner (Fly)).
