playername,playerid,vsname,vsid,date,Play
D_LeMahieu,9874,Z Godley,1486,2016-06-24,DJ LeMahieu reached on error to third (Grounder). Brandon Barnes scored on error. Daniel Descalso scored on error. DJ LeMahieu advanced to 2B. Error by Jake Lamb;Jake Lamb.
D_LeMahieu,9874,C Edwards Jr.,1360,2016-08-19,DJ LeMahieu hit a ground rule double (Grounder). Cristhian Adames scored. David Dahl advanced to 3B.
D_LeMahieu,9874,C Friedrich,7942,2016-09-16,DJ LeMahieu doubled to right (Fliner (Fly)). Cristhian Adames scored. Tyler Chatwood scored. Charlie Blackmon scored.
D_LeMahieu,9874,G Gonzalez,7448,2016-08-16,DJ LeMahieu homered (Fly). Charlie Blackmon scored.
D_LeMahieu,9874,J Locke,2929,2016-06-09,DJ LeMahieu homered (Fliner (Fly)). Jorge de la Rosa scored.
D_LeMahieu,9874,B Colon,375&,2016-07-30,DJ LeMahieu singled to center (Grounder). Jorge de la Rosa scored. Charlie Blackmon scored. DJ LeMahieu advanced to 2B on error. Error by Justin Ruggiano.
D_LeMahieu,9874,C Gearrin,7947,2016-07-05,DJ LeMahieu singled to third (Grounder). Mark Reynolds scored. Nick Hundley advanced to 2B.
D_LeMahieu,9874,R Ray,1148,2016-09-13,DJ LeMahieu doubled to center (Fly). Charlie Blackmon scored.
D_LeMahieu,9874,A Ramos,8350,2016-08-05,DJ LeMahieu singled to center (Grounder).
D_LeMahieu,9874,J Locke,2929,2016-06-09,DJ LeMahieu doubled to center (Fliner (Fly)). Charlie Blackmon scored.
D_LeMahieu,9874,F Rodney,494&,2016-08-05,DJ LeMahieu singled to left (Grounder).
D_LeMahieu,9874,B Anderson,8223,2016-09-22,DJ LeMahieu homered (Fly).
D_LeMahieu,9874,P Baez,5420,2016-04-24,DJ LeMahieu reached on a sacrifice with error to pitcher (Bunt Grounder). Mark Reynolds scored on error. Gerardo Parra advanced to 2B on error. Error by Pedro Baez.
D_LeMahieu,9874,S Dyson,1171,2016-08-09,DJ LeMahieu doubled to right (Fliner (Liner)).
D_LeMahieu,9874,J Cosart,1030,2016-09-18,DJ LeMahieu walked. Tony Wolters scored. Chad Bettis advanced to 3B. Charlie Blackmon advanced to 2B.
D_LeMahieu,9874,Y Petit,4020,2016-08-16,DJ LeMahieu tripled to right (Fliner (Fly)).
D_LeMahieu,9874,K Jansen,3096,2016-06-07,DJ LeMahieu walked.
D_LeMahieu,9874,M Melancon,4264,2016-05-20,DJ LeMahieu singled to right (Grounder).
D_LeMahieu,9874,C Rea,1231,2016-04-08,DJ LeMahieu singled to center (Grounder). Nick Hundley advanced to 3B.
D_LeMahieu,9874,D Hudson,7146,2016-06-24,DJ LeMahieu hit a ground rule double (Fliner (Fly)).
D_LeMahieu,9874,J Cueto,6893,2016-07-06,DJ LeMahieu singled to center (Grounder). Charlie Blackmon advanced to 2B.
