playername,playerid,vsname,vsid,date,Play
D_Lough,7215,C Kluber,2429,2016-04-29,David Lough singled to right (Liner). Carlos Ruiz scored. Cesar Hernandez advanced to 3B.
D_Lough,7215,J Manship,6865,2016-04-29,David Lough singled to left (Fliner (Fly)).
D_Lough,7215,K Barraclough,1371,2016-05-07,David Lough walked.
D_Lough,7215,T Hunter,1157,2016-04-30,David Lough singled to center (Fliner (Fly)).
D_Lough,7215,T Koehler,6570,2016-05-18,David Lough reached on error to first (Grounder). Error by Justin Bour.
D_Lough,7215,J Papelbon,5975,2016-04-28,David Lough singled to shortstop (Grounder). Maikel Franco scored. Cameron Rupp advanced to 3B.
D_Lough,7215,T Koehler,6570,2016-05-18,David Lough walked.
D_Lough,7215,J Ross,1297,2016-05-31,David Lough singled to right (Grounder).
D_Lough,7215,B Colon,375&,2016-04-20,David Lough singled to left (Liner).
D_Lough,7215,L Verrett,1290,2016-04-19,David Lough singled to right (Grounder).
D_Lough,7215,K Hendricks,1204,2016-05-28,David Lough singled to center (Grounder).
D_Lough,7215,H Robles,1180,2016-04-20,David Lough was intentionally walked.
D_Lough,7215,J Broxton,4759,2016-05-05,David Lough tripled to right (Fliner (Fly)).
D_Lough,7215,S Delabar,1182,2016-05-15,David Lough walked.
D_Lough,7215,B Treinen,1257,2016-06-01,David Lough walked.
D_Lough,7215,H Robles,1180,2016-04-19,David Lough flied out to left (Fly).
D_Lough,7215,J Henderson,6653,2016-04-19,David Lough fouled out to left (Fly).
D_Lough,7215,D McGowan,8600,2016-05-17,David Lough out on a dropped third strike.
D_Lough,7215,M Scherzer,3137,2016-06-01,David Lough flied out to right (Fly).
D_Lough,7215,B Morris,1023,2016-05-07,David Lough grounded out to shortstop (Grounder).
D_Lough,7215,C Torres,7624,2016-04-23,David Lough struck out swinging.
D_Lough,7215,M Leake,1013,2016-05-04,David Lough flied out to left (Fliner (Fly)).
D_Lough,7215,D Straily,9460,2016-05-15,David Lough reached on fielder's choice to first (Grounder). Tyler Goeddel advanced to 3B. Brett Oberholtzer out at second.
D_Lough,7215,A Blair,1493,2016-05-12,David Lough flied out to center (Fliner (Fly)).
D_Lough,7215,J Grilli,521&,2016-05-21,David Lough flied out to left (Fly).
D_Lough,7215,K Siegrist,8180,2016-05-04,David Lough struck out swinging.
D_Lough,7215,M Scherzer,3137,2016-04-26,David Lough grounded out to first (Grounder).
D_Lough,7215,C Kluber,2429,2016-04-29,David Lough flied out to shortstop (Fliner (Fly)).
D_Lough,7215,K Hendricks,1204,2016-05-28,David Lough grounded out to pitcher (Grounder).
D_Lough,7215,S Oh,1871,2016-05-02,David Lough grounded out to second (Grounder).
D_Lough,7215,M Belisle,1837,2016-04-26,David Lough lined out to first (Liner).
D_Lough,7215,M Leake,1013,2016-05-04,David Lough grounded out to first (Grounder).
D_Lough,7215,A Wainwright,2233,2016-05-02,David Lough reached on fielder's choice to pitcher (Grounder). Carlos Ruiz out at third.
D_Lough,7215,T Koehler,6570,2016-05-18,David Lough grounded out to second (Grounder). Emmanuel Burriss advanced to 3B.
D_Lough,7215,W Perez,1159,2016-05-21,David Lough grounded out to first (Grounder).
D_Lough,7215,Z Davies,1318,2016-04-22,David Lough struck out swinging.
D_Lough,7215,T Roark,8753,2016-04-28,David Lough flied out to center (Fliner (Fly)).
D_Lough,7215,S Kelley,7773,2016-04-28,David Lough grounded out to second (Grounder).
D_Lough,7215,D Straily,9460,2016-05-15,David Lough grounded out to first (Grounder).
D_Lough,7215,A Bastardo,8844,2016-04-20,David Lough grounded out to pitcher (Grounder).
D_Lough,7215,T Koehler,6570,2016-05-18,David Lough was caught stealing.
