playername,playerid,vsname,vsid,date,Play
D_Molleken,6200,M Napoli,3057,2016-07-04,Mike Napoli struck out swinging.
D_Molleken,6200,A Gordon,5209,2016-07-16,Alex Gordon lined out to first (Liner).
D_Molleken,6200,P Orlando,8628,2016-07-16,Paulo Orlando grounded out to pitcher (Grounder).
D_Molleken,6200,K Morales,8610,2016-07-16,Kendrys Morales struck out swinging.
D_Molleken,6200,D Barney,2430,2016-07-10,Darwin Barney struck out swinging.
D_Molleken,6200,J Uribe,454&,2016-07-04,Juan Uribe grounded out to first (Grounder).
D_Molleken,6200,A Almonte,5486,2016-07-04,Abraham Almonte struck out looking.
D_Molleken,6200,J Thole,9689,2016-07-10,Josh Thole struck out swinging.
D_Molleken,6200,E Carrera,9048,2016-07-10,Ezequiel Carrera grounded out to first (Grounder).
D_Molleken,6200,J Donaldson,5038,2016-07-10,Josh Donaldson struck out swinging.
D_Molleken,6200,T Tulowitzki,3531,2016-07-10,Troy Tulowitzki grounded out to shortstop (Grounder).
D_Molleken,6200,P Tucker,1363,2016-07-29,Preston Tucker grounded out to first (Grounder). Jake Marisnick advanced to 2B.
D_Molleken,6200,J Marisnick,1133,2016-07-29,Jake Marisnick singled to first (Grounder).
D_Molleken,6200,E Gattis,1100,2016-07-29,Evan Gattis walked. Jason Castro advanced to 3B. Carlos Correa advanced to 2B.
D_Molleken,6200,C Rasmus,9893,2016-07-29,Colby Rasmus singled to right (Grounder). Jason Castro scored. Carlos Correa scored. Evan Gattis advanced to 2B.
D_Molleken,6200,D Travis,1386,2016-07-10,Devon Travis walked.
D_Molleken,6200,F Lindor,1291,2016-07-04,Francisco Lindor hit a sacrifice fly to center (Fliner (Fly)). Rajai Davis scored. Jason Kipnis advanced to 3B.
D_Molleken,6200,J Smoak,9054,2016-07-10,Justin Smoak hit a ground rule double (Fliner (Fly)). Devon Travis advanced to 3B.
D_Molleken,6200,C Cuthbert,1047,2016-07-16,Cheslor Cuthbert advanced on a wild pitch to 2B.
D_Molleken,6200,R Davis,3708,2016-07-04,Rajai Davis singled to right (Fliner (Liner)).
D_Molleken,6200,A Escobar,6310,2016-07-16,Alex Gordon advanced on a wild pitch to 2B. Alcides Escobar scored. Eric Hosmer advanced to 3B.
D_Molleken,6200,J Kipnis,9776,2016-07-04,Jason Kipnis singled to left (Fliner (Liner)). Rajai Davis advanced to 3B.
