playername,playerid,vsname,vsid,date,Play
D_Norris,6867,A Vizcaino,5498,2016-06-07,Derek Norris homered (Fliner (Fly)).
D_Norris,6867,J Ramirez,8302,2016-06-23,Derek Norris homered (Fliner (Fly)). Yangervis Solarte scored. Melvin Upton Jr. scored.
D_Norris,6867,J Chavez,5448,2016-09-02,Derek Norris doubled to left (Fliner (Fly)). Yangervis Solarte scored. Alex Dickerson scored.
D_Norris,6867,J Nicolino,1175,2016-06-15,Derek Norris singled to left (Liner). Matt Kemp scored. Yangervis Solarte scored. Derek Norris advanced to 2B.
D_Norris,6867,C Bettis,1058,2016-06-04,Derek Norris homered (Fliner (Fly)). Brett Wallace scored.
D_Norris,6867,N Eovaldi,9132,2016-07-01,Derek Norris doubled to left (Fliner (Liner)). Yangervis Solarte scored. Melvin Upton Jr. scored.
D_Norris,6867,A Wood,1378,2016-05-21,Derek Norris doubled to left (Fliner (Liner)).
D_Norris,6867,S Kazmir,4897,2016-05-20,Derek Norris homered (Fly).
D_Norris,6867,W Miley,8779,2016-06-02,Derek Norris singled to left (Fliner (Liner)). Yangervis Solarte scored. Melvin Upton Jr. advanced to 3B. Derek Norris advanced to 2B.
D_Norris,6867,B Ziegler,7293,2016-04-16,Derek Norris singled to shortstop (Grounder). Melvin Upton Jr. advanced to 2B.
D_Norris,6867,M Bumgarner,5524,2016-04-25,Derek Norris doubled to left (Fliner (Liner)). Matt Kemp scored.
D_Norris,6867,J Chavez,5448,2016-09-29,Derek Norris singled to right (Fliner (Fly)). Hunter Renfroe advanced to 3B.
D_Norris,6867,E Ramos,1608,2016-08-07,Derek Norris walked.
D_Norris,6867,D Leone,1376,2016-05-27,Derek Norris homered (Fliner (Fly)). Brett Wallace scored.
D_Norris,6867,G Gonzalez,7448,2016-06-19,Derek Norris singled to shortstop (Grounder). Melvin Upton Jr. advanced to 2B.
D_Norris,6867,D Hudson,7146,2016-07-04,Derek Norris doubled to left (Fliner (Liner)). Travis Jankowski scored.
D_Norris,6867,S Casilla,2873,2016-07-16,Derek Norris advanced on a stolen base to 2B.
D_Norris,6867,J Locke,2929,2016-04-20,Derek Norris singled to third (Grounder). Melvin Upton Jr. advanced to 2B.
D_Norris,6867,D Betances,6216,2016-07-02,Derek Norris walked.
D_Norris,6867,S Kazmir,4897,2016-07-08,Derek Norris walked. Wil Myers advanced to 3B. Yangervis Solarte advanced to 2B.
D_Norris,6867,B Shipley,1515,2016-09-19,Derek Norris reached on error to shortstop (Liner). Alex Dickerson advanced to 3B. Adam Rosales advanced to 2B on error. Error by Chris Owings.
D_Norris,6867,J de la Rosa,2047,2016-04-09,Derek Norris singled to right (Fliner (Liner)). Adam Rosales advanced to 2B.
D_Norris,6867,H Ryu,1444,2016-07-07,Derek Norris singled to shortstop (Grounder). Derek Norris advanced to 2B on error. Error by Corey Seager.
D_Norris,6867,T Chatwood,4338,2016-06-11,Derek Norris singled to left (Fliner (Liner)).
D_Norris,6867,A Chapman,1023,2016-08-24,Derek Norris singled to left (Grounder).
D_Norris,6867,A Suarez,6175,2016-09-13,Derek Norris singled to center (Grounder).
D_Norris,6867,C Rusin,9895,2016-06-03,Derek Norris singled to right (Grounder). Melvin Upton Jr. advanced to 3B.
D_Norris,6867,J Urias,1476,2016-09-29,Derek Norris walked.
D_Norris,6867,J deGrom,1095,2016-05-05,Derek Norris doubled to right (Fliner (Liner)).
D_Norris,6867,J de la Rosa,2047,2016-04-09,Derek Norris walked. Yangervis Solarte advanced to 2B.
D_Norris,6867,D Smyly,1176,2016-08-15,Derek Norris walked.
D_Norris,6867,Z Greinke,1943,2016-04-15,Derek Norris singled to center (Liner).
D_Norris,6867,R Ray,1148,2016-05-27,Derek Norris walked.
D_Norris,6867,M Bumgarner,5524,2016-07-15,Derek Norris singled to left (Grounder).
D_Norris,6867,K Hendricks,1204,2016-05-11,Derek Norris singled to left (Fliner (Liner)). Matt Kemp advanced to 2B.
D_Norris,6867,J Miller,8580,2016-04-08,Derek Norris doubled to center (Liner).
D_Norris,6867,J Gomez,9033,2016-04-13,Derek Norris walked.
D_Norris,6867,C Reed,1523,2016-06-24,Derek Norris walked.
