playername,playerid,vsname,vsid,date,Play
D_Peralta,2136,N Feliz,18&p,2016-04-24,David Peralta doubled to center (Fliner (Fly)). Jake Lamb scored. Shelby Miller advanced to 3B.
D_Peralta,2136,J Garcia,8137,2016-04-25,David Peralta tripled to center (Fliner (Liner)). Welington Castillo scored.
D_Peralta,2136,C Bergman,1092,2016-04-05,David Peralta doubled to right (Liner).
D_Peralta,2136,B Boyer,2237,2016-08-05,David Peralta reached on fielder's choice and error to shortstop (Grounder). Paul Goldschmidt advanced to 3B. Jake Lamb advanced to 2B on error. Error by Orlando Arcia.
D_Peralta,2136,H Strickland,7836,2016-04-18,David Peralta singled to right (Grounder). Paul Goldschmidt advanced to 2B.
D_Peralta,2136,C Archer,6345,2016-06-06,David Peralta homered (Fly).
D_Peralta,2136,K Barraclough,1371,2016-05-04,David Peralta walked.
D_Peralta,2136,J Niese,4424,2016-04-22,David Peralta homered (Fly).
D_Peralta,2136,C Villanueva,4138,2016-04-16,David Peralta singled to left (Liner). Phil Gosselin advanced to 2B.
D_Peralta,2136,T Chatwood,4338,2016-04-29,David Peralta singled to left (Grounder). Paul Goldschmidt advanced to 2B.
D_Peralta,2136,T Watson,3132,2016-04-22,David Peralta doubled to center (Grounder).
D_Peralta,2136,J Garcia,8137,2016-04-25,David Peralta singled to pitcher (Grounder). Yasmany Tomas advanced to 3B.
D_Peralta,2136,C Bettis,1058,2016-05-01,David Peralta singled to center (Fliner (Liner)). Brandon Drury advanced to 2B.
D_Peralta,2136,M Scherzer,3137,2016-08-03,David Peralta advanced on a wild pitch to 3B.
D_Peralta,2136,J Johnson,3656,2016-05-08,David Peralta advanced on a stolen base to 2B.
D_Peralta,2136,C Archer,6345,2016-06-06,David Peralta singled to right (Grounder).
D_Peralta,2136,C Martinez,1168,2016-04-26,David Peralta singled to center (Grounder).
D_Peralta,2136,J Odorizzi,6397,2016-06-08,David Peralta singled to right (Grounder).
D_Peralta,2136,J de la Rosa,2047,2016-04-04,David Peralta singled to left (Grounder).
D_Peralta,2136,J Lackey,1507,2016-04-07,David Peralta doubled to right (Liner).
D_Peralta,2136,K Hendricks,1204,2016-04-09,David Peralta advanced on a stolen base to 2B.
D_Peralta,2136,J de la Rosa,2047,2016-04-04,David Peralta singled to center (Liner).
D_Peralta,2136,A Ogando,1026,2016-05-06,David Peralta singled to center (Liner).
D_Peralta,2136,S Strasburg,1013,2016-08-01,David Peralta singled to right (Fliner (Liner)).
D_Peralta,2136,J Osich,1152,2016-04-20,David Peralta was hit by a pitch.
D_Peralta,2136,L Coleman,9720,2016-06-14,David Peralta advanced on a wild pitch to 2B.
D_Peralta,2136,S Maness,1223,2016-04-25,David Peralta reached on fielder's choice and error to second (Grounder). Welington Castillo advanced to 3B on error. Error by Kolten Wong.
D_Peralta,2136,J Howell,8245,2016-07-30,David Peralta tripled to right (Fliner (Fly)).
D_Peralta,2136,J Broxton,4759,2016-04-27,David Peralta walked.
D_Peralta,2136,A Ramos,8350,2016-05-05,David Peralta singled to right (Liner).
D_Peralta,2136,L Perdomo,1468,2016-04-17,David Peralta singled to left (Grounder).
D_Peralta,2136,J Howell,8245,2016-07-31,David Peralta grounded out to third (Grounder).
D_Peralta,2136,T Chatwood,4338,2016-04-06,David Peralta grounded out to shortstop (Grounder). Nick Ahmed scored. Chris Owings advanced to 3B. Paul Goldschmidt advanced to 2B.
D_Peralta,2136,T Lyons,1133,2016-04-26,David Peralta struck out looking.
D_Peralta,2136,T Lyons,1133,2016-04-25,David Peralta grounded out to shortstop (Grounder).
D_Peralta,2136,L Coleman,9720,2016-04-12,David Peralta flied out to center (Fly).
D_Peralta,2136,J Papelbon,5975,2016-08-01,David Peralta flied out to left (Fly).
D_Peralta,2136,J Gurka,8007,2016-04-05,David Peralta lined out to pitcher (Liner).
D_Peralta,2136,A Conley,1445,2016-06-12,David Peralta hit a sacrifice fly to second (Fly). Jean Segura scored.
D_Peralta,2136,S Kelley,7773,2016-08-02,David Peralta flied out to left (Fly).
D_Peralta,2136,J Garcia,8137,2016-04-25,David Peralta grounded out to first (Grounder). Yasmany Tomas advanced to 3B. Welington Castillo advanced to 2B.
D_Peralta,2136,K Siegrist,8180,2016-04-28,David Peralta flied out to shortstop (Fly).
D_Peralta,2136,K Maeda,1849,2016-06-14,David Peralta flied out to right (Fliner (Liner)).
D_Peralta,2136,J Grimm,1172,2016-04-10,David Peralta struck out swinging.
D_Peralta,2136,T Chatwood,4338,2016-04-29,David Peralta grounded out to first (Grounder).
D_Peralta,2136,P Baez,5420,2016-06-13,David Peralta struck out swinging.
D_Peralta,2136,H Cervenka,1051,2016-05-07,David Peralta struck out swinging.
D_Peralta,2136,M Wacha,1407,2016-04-28,David Peralta struck out swinging.
D_Peralta,2136,C Bettis,1058,2016-04-05,David Peralta grounded out to pitcher (Grounder).
D_Peralta,2136,J Teheran,6797,2016-05-07,David Peralta flied out to center (Fly).
D_Peralta,2136,K Maeda,1849,2016-07-29,David Peralta flied out to center (Fly).
D_Peralta,2136,K Jansen,3096,2016-04-14,David Peralta grounded out to second (Grounder).
D_Peralta,2136,J Odorizzi,6397,2016-06-08,David Peralta struck out looking.
D_Peralta,2136,J McGee,7550,2016-04-30,David Peralta grounded out to third (Grounder).
D_Peralta,2136,R Stripling,1327,2016-07-31,David Peralta grounded out to first (Grounder).
D_Peralta,2136,M Bumgarner,5524,2016-04-20,David Peralta struck out looking.
D_Peralta,2136,A Cashner,8782,2016-04-16,David Peralta flied out to center (Fly).
