playername,playerid,vsname,vsid,date,Play
D_Santana,1032,J Happ,7410,2016-05-21,Danny Santana doubled to right (Liner). Robbie Grossman scored. Darin Mastroianni scored.
D_Santana,1032,W Davis,7441,2016-05-24,Danny Santana walked. Eduardo Escobar advanced to 3B. Brian Dozier advanced to 2B.
D_Santana,1032,M Stroman,1343,2016-05-22,Danny Santana singled to second (Grounder). Kurt Suzuki advanced to 2B.
D_Santana,1032,N Eovaldi,9132,2016-06-26,Danny Santana homered (Fliner (Fly)).
D_Santana,1032,J Axford,9059,2016-05-30,Danny Santana singled to left (Grounder). Juan Centeno advanced to 2B.
D_Santana,1032,C Allen,1218,2016-04-27,Danny Santana singled to center (Grounder).
D_Santana,1032,C Allen,1218,2016-04-26,Danny Santana singled to shortstop (Grounder).
D_Santana,1032,F Hernandez,4772,2016-05-27,Danny Santana doubled to right (Liner).
D_Santana,1032,J Tomlin,9388,2016-04-27,Danny Santana singled to right (Liner). Eddie Rosario scored.
D_Santana,1032,J Tomlin,9388,2016-04-27,Danny Santana doubled to right (Fliner (Liner)).
D_Santana,1032,S Manaea,1587,2016-07-05,Danny Santana singled to left (Fliner (Liner)). Kennys Vargas advanced to 3B.
D_Santana,1032,M Foltynewicz,1081,2016-07-27,Danny Santana singled to second (Grounder). Robbie Grossman advanced to 2B.
D_Santana,1032,E Volquez,3990,2016-05-24,Danny Santana walked.
D_Santana,1032,C Hamels,4972,2016-07-03,Danny Santana singled to center (Liner).
D_Santana,1032,W Miley,8779,2016-05-28,Danny Santana walked.
D_Santana,1032,D Gee,7396,2016-05-25,Danny Santana singled to right (Grounder). Eduardo Escobar scored.
D_Santana,1032,M Pelfrey,5203,2016-05-17,Danny Santana singled to third (Bunt Grounder).
D_Santana,1032,T Bauer,1270,2016-08-03,Danny Santana advanced on error to 3B. Error by Mike Napoli.
D_Santana,1032,M Latos,3815,2016-05-06,Danny Santana walked.
D_Santana,1032,M Fiers,7754,2016-05-04,Danny Santana singled to second (Grounder). Eduardo Nunez advanced to 3B.
D_Santana,1032,K Graveman,1551,2016-05-30,Danny Santana singled to center (Fliner (Liner)).
D_Santana,1032,A Sanchez,3284,2016-08-23,Danny Santana singled to right (Liner).
D_Santana,1032,C Archer,6345,2016-08-06,Danny Santana singled to second (Grounder).
D_Santana,1032,U Jimenez,3374,2016-04-07,Danny Santana singled to right (Grounder).
D_Santana,1032,K Crockett,1503,2016-05-14,Danny Santana singled to center (Grounder). Juan Centeno scored.
D_Santana,1032,D Salazar,5867,2016-04-25,Eduardo Nunez advanced on a wild pitch to 2B.
D_Santana,1032,S Gray,1276,2016-07-06,Danny Santana doubled to right (Fliner (Liner)).
D_Santana,1032,U Jimenez,3374,2016-04-07,Danny Santana advanced on a stolen base to 2B.
D_Santana,1032,D Salazar,5867,2016-04-25,Danny Santana singled to shortstop (Grounder).
D_Santana,1032,D Gee,7396,2016-05-25,Danny Santana walked.
D_Santana,1032,M Estrada,1118,2016-05-19,Danny Santana advanced on a stolen base to 2B.
D_Santana,1032,S Gray,1276,2016-07-06,Danny Santana singled to second (Grounder).
D_Santana,1032,T Wilson,1269,2016-05-11,Danny Santana advanced on a stolen base to 2B.
