playername,playerid,vsname,vsid,date,Play
D_Straily,9460,M Montero,3364,2016-06-27,Miguel Montero grounded into a double play to shortstop (Grounder). Willson Contreras out at second.
D_Straily,9460,A Rosario,7125,2016-09-03,Alberto Rosario flied out to center (Fliner (Fly)). Greg Garcia out at second.
D_Straily,9460,Y Alonso,2530,2016-06-11,Yonder Alonso grounded into a double play to second (Grounder). Danny Valencia out at second.
D_Straily,9460,A Bradley,1291,2016-07-22,Archie Bradley reached on fielder's choice to shortstop (Grounder). Nick Ahmed out at second.
D_Straily,9460,C Bettis,1058,2016-05-30,Chad Bettis grounded into a double play to shortstop (Grounder). Dustin Garneau out at second.
D_Straily,9460,J Heyward,4940,2016-04-23,Jason Heyward struck out looking.
D_Straily,9460,K Marte,1361,2016-05-20,Ketel Marte reached on fielder's choice to third (Grounder). Adam Lind out at third. Leonys Martin advanced to 2B.
D_Straily,9460,J Gyorko,1081,2016-09-03,Jedd Gyorko grounded into a double play to shortstop (Grounder). Matt Carpenter out at second.
D_Straily,9460,J Pinto,6806,2016-09-24,Josmil Pinto struck out swinging.
D_Straily,9460,J Villar,1007,2016-09-24,Jonathan Villar reached on fielder's choice to second (Grounder). Michael Reed out at second.
D_Straily,9460,C Adames,6013,2016-04-18,Cristhian Adames was caught stealing.
D_Straily,9460,P Goldschmidt,9218,2016-07-22,Paul Goldschmidt grounded into a double play to third (Grounder). Jean Segura out at second.
D_Straily,9460,J Lucroy,7870,2016-07-17,Jonathan Lucroy grounded out to shortstop (Grounder).
D_Straily,9460,S Rodriguez,6589,2016-09-18,Sean Rodriguez flied out to second (Fly).
D_Straily,9460,S Piscotty,1336,2016-09-03,Stephen Piscotty lined out to shortstop (Liner).
D_Straily,9460,B Zobrist,7435,2016-06-27,Ben Zobrist flied out to left (Fly).
D_Straily,9460,J Baez,1297,2016-04-23,Javier Baez grounded into a double play to shortstop (Grounder). Miguel Montero out at second.
D_Straily,9460,Y Molina,7007,2016-08-02,Yadier Molina flied out to second (Fly).
D_Straily,9460,H Perez,5751,2016-09-13,Hernan Perez flied out to shortstop (Fly).
D_Straily,9460,C Ruiz,2579,2016-05-15,Carlos Ruiz flied out to left (Fliner (Fly)).
D_Straily,9460,P Goldschmidt,9218,2016-07-22,Paul Goldschmidt fouled out to third (Fly).
D_Straily,9460,J Lackey,1507,2016-04-23,John Lackey flied out to right (Fly).
D_Straily,9460,B Zobrist,7435,2016-04-23,Ben Zobrist flied out to right (Fly).
D_Straily,9460,A Lind,8027,2016-05-20,Adam Lind flied out to center (Fliner (Fly)).
D_Straily,9460,B Posey,9166,2016-07-27,Buster Posey fouled out to catcher (Fly).
D_Straily,9460,R Grichuk,1024,2016-09-03,Randal Grichuk flied out to shortstop (Fly).
D_Straily,9460,S Rodriguez,6589,2016-09-18,Sean Rodriguez flied out to center (Fliner (Fly)).
D_Straily,9460,J Lamb,1332,2016-07-22,Jake Lamb struck out looking.
D_Straily,9460,C Seager,1362,2016-05-25,Corey Seager lined out to shortstop (Liner).
D_Straily,9460,Z Davies,1318,2016-07-17,Zach Davies struck out looking.
D_Straily,9460,A Hechavarria,1045,2016-07-08,Adeiny Hechavarria lined out to first (Liner). Don Kelly out at second.
D_Straily,9460,C Blackmon,7859,2016-05-30,Charlie Blackmon struck out swinging.
D_Straily,9460,N Mazara,1455,2016-08-23,Nomar Mazara flied out to left (Fly).
D_Straily,9460,R Grichuk,1024,2016-09-29,Randal Grichuk grounded out to shortstop (Grounder).
D_Straily,9460,M Muncy,1330,2016-06-11,Max Muncy grounded out to second (Grounder).
D_Straily,9460,A McCutchen,9847,2016-09-08,Andrew McCutchen reached on fielder's choice to shortstop (Grounder). Josh Harrison out at third.
D_Straily,9460,C Carter,9911,2016-09-13,Chris Carter flied out to right (Fly).
D_Straily,9460,R Braun,3410,2016-07-17,Ryan Braun struck out swinging.
D_Straily,9460,D Span,8347,2016-07-27,Denard Span flied out to right (Fliner (Liner)).
D_Straily,9460,J Peralta,1738,2016-08-02,Jhonny Peralta struck out looking.
D_Straily,9460,E Fryer,8145,2016-08-07,Eric Fryer flied out to right (Fliner (Fly)).
D_Straily,9460,J Bell,1314,2016-09-08,Josh Bell struck out looking.
D_Straily,9460,A Lind,8027,2016-05-20,Adam Lind flied out to center (Fly).
D_Straily,9460,C Iannetta,8267,2016-05-20,Chris Iannetta grounded out to shortstop (Grounder).
D_Straily,9460,R Odor,1228,2016-06-22,Rougned Odor was caught stealing.
D_Straily,9460,J Peavy,1051,2016-05-04,Jake Peavy struck out swinging.
D_Straily,9460,M Bourn,6387,2016-07-22,Michael Bourn struck out swinging.
D_Straily,9460,C Carter,9911,2016-07-17,Chris Carter struck out swinging.
D_Straily,9460,J Harrison,8202,2016-05-09,Josh Harrison flied out to left (Fliner (Fly)).
D_Straily,9460,D Murphy,4316,2016-07-02,Daniel Murphy reached on fielder's choice to first (Grounder). Bryce Harper out at second.
D_Straily,9460,E Andrus,8709,2016-08-23,Elvis Andrus flied out to center (Fliner (Fly)).
D_Straily,9460,M Semien,1253,2016-06-11,Marcus Semien flied out to right (Fly).
D_Straily,9460,J Harrison,8202,2016-04-10,Josh Harrison struck out swinging.
D_Straily,9460,W Castillo,3256,2016-07-22,Welington Castillo flied out to right (Fly).
D_Straily,9460,M Reynolds,7619,2016-05-30,Mark Reynolds grounded out to third (Grounder).
D_Straily,9460,C Gillaspie,9009,2016-07-27,Conor Gillaspie flied out to right (Fly).
D_Straily,9460,I Nova,1994,2016-09-08,Ivan Nova struck out swinging.
D_Straily,9460,S Gennett,1033,2016-09-24,Scooter Gennett flied out to left (Fly).
D_Straily,9460,J Villar,1007,2016-08-13,Jonathan Villar struck out swinging.
D_Straily,9460,A Simmons,1084,2016-08-29,Andrelton Simmons lined out to first (Liner).
D_Straily,9460,K Marte,1361,2016-05-20,Ketel Marte flied out to right (Fly).
D_Straily,9460,M Pina,2829,2016-09-24,Manny Pina flied out to first (Fly).
D_Straily,9460,E Inciarte,4922,2016-06-16,Ender Inciarte flied out to shortstop (Fly).
D_Straily,9460,M Williamson,1415,2016-07-27,Mac Williamson reached on fielder's choice to third (Grounder). Angel Pagan out at second.
D_Straily,9460,J Werth,1327,2016-07-02,Jayson Werth flied out to right (Fly).
D_Straily,9460,J Heyward,4940,2016-04-23,Jason Heyward struck out swinging.
D_Straily,9460,B Moss,4467,2016-08-02,Brandon Moss reached on fielder's choice to shortstop (Grounder). Stephen Piscotty out at second.
D_Straily,9460,J Jaso,5887,2016-05-09,John Jaso flied out to center (Fliner (Fly)).
D_Straily,9460,A Rizzo,3473,2016-04-23,Anthony Rizzo fouled out to catcher (Fly).
D_Straily,9460,O Arcia,1318,2016-08-13,Orlando Arcia struck out swinging.
D_Straily,9460,G Germen,5876,2016-05-30,Gonzalez Germen grounded out to second (Grounder).
D_Straily,9460,D Mengden,1698,2016-06-11,Daniel Mengden flied out to center (Fly).
D_Straily,9460,M Bumgarner,5524,2016-07-27,Madison Bumgarner flied out to left (Fly).
D_Straily,9460,N Cruz,2434,2016-05-20,Nelson Cruz flied out to right (Fly).
D_Straily,9460,B Burns,1270,2016-06-11,Billy Burns flied out to left (Fly).
D_Straily,9460,J Peralta,1738,2016-09-29,Jhonny Peralta flied out to left (Fliner (Fly)).
D_Straily,9460,R Braun,3410,2016-08-13,Ryan Braun grounded out to shortstop (Grounder).
D_Straily,9460,K Nieuwenhuis,6400,2016-07-17,Kirk Nieuwenhuis flied out to right (Fly).
D_Straily,9460,J Garcia,8137,2016-09-03,Jaime Garcia struck out looking.
D_Straily,9460,D Espinosa,9219,2016-07-02,Danny Espinosa flied out to right (Fly).
D_Straily,9460,K Bryant,1542,2016-04-23,Kris Bryant grounded out to second (Grounder). Dexter Fowler advanced to 3B.
D_Straily,9460,M Franco,1217,2016-05-15,Maikel Franco grounded out to second (Grounder). Odubel Herrera advanced to 3B.
D_Straily,9460,R Grichuk,1024,2016-09-03,Randal Grichuk struck out swinging.
D_Straily,9460,G Stanton,4949,2016-07-08,Giancarlo Stanton flied out to second (Fly).
D_Straily,9460,S Vogt,5000,2016-06-11,Stephen Vogt grounded out to third (Grounder).
D_Straily,9460,D Santana,1034,2016-09-24,Domingo Santana flied out to second (Fly).
D_Straily,9460,S Marte,9241,2016-04-10,Starling Marte grounded out to third (Grounder).
D_Straily,9460,B Crawford,5343,2016-07-27,Brandon Crawford grounded out to catcher (Bunt Grounder).
D_Straily,9460,G Polanco,1290,2016-09-18,Gregory Polanco flied out to left (Fly).
D_Straily,9460,J Lucroy,7870,2016-08-23,Jonathan Lucroy flied out to second (Fly).
D_Straily,9460,G Polanco,1290,2016-05-09,Gregory Polanco struck out swinging.
D_Straily,9460,Z Davies,1318,2016-08-13,Zach Davies struck out swinging.
D_Straily,9460,D Murphy,4316,2016-07-02,Daniel Murphy grounded out to shortstop (Grounder).
D_Straily,9460,A Russell,1410,2016-06-27,Addison Russell flied out to left (Fliner (Fly)).
D_Straily,9460,J Peralta,1738,2016-08-02,Jhonny Peralta grounded out to third (Grounder).
D_Straily,9460,G Parra,8553,2016-05-30,Gerardo Parra lined out to shortstop (Liner).
D_Straily,9460,Y Molina,7007,2016-09-29,Yadier Molina flied out to right (Fliner (Fly)).
D_Straily,9460,S Smith,7331,2016-05-20,Seth Smith grounded out to second (Grounder).
D_Straily,9460,O Herrera,1147,2016-05-15,Odubel Herrera flied out to left (Fly).
D_Straily,9460,B Drury,1161,2016-07-22,Brandon Drury flied out to right (Fly).
D_Straily,9460,S Drew,4251,2016-07-02,Stephen Drew fouled out to third (Fly).
D_Straily,9460,G Polanco,1290,2016-09-18,Gregory Polanco struck out looking.
D_Straily,9460,T Story,1256,2016-05-30,Trevor Story struck out swinging.
D_Straily,9460,J Heyward,4940,2016-06-27,Jason Heyward flied out to center (Fliner (Liner)).
D_Straily,9460,S Piscotty,1336,2016-08-02,Stephen Piscotty flied out to left (Fly).
D_Straily,9460,M Maldonado,6887,2016-09-13,Martin Maldonado fouled out to first (Fly).
D_Straily,9460,A Frazier,1522,2016-08-07,Adam Frazier lined out to shortstop (Liner).
D_Straily,9460,S Strasburg,1013,2016-06-04,Stephen Strasburg struck out swinging.
D_Straily,9460,M Holliday,1873,2016-08-02,Matt Holliday flied out to center (Fly). Brandon Moss advanced to 3B.
D_Straily,9460,R Braun,3410,2016-09-24,Ryan Braun grounded out to third (Grounder).
D_Straily,9460,M Maldonado,6887,2016-08-13,Martin Maldonado flied out to right (Fly).
D_Straily,9460,F Cervelli,5275,2016-05-09,Francisco Cervelli fouled out to first (Fly).
D_Straily,9460,Y Molina,7007,2016-08-02,Yadier Molina flied out to center (Fliner (Liner)).
D_Straily,9460,C Ruiz,2579,2016-05-15,Carlos Ruiz struck out swinging.
D_Straily,9460,S Marte,9241,2016-04-10,Starling Marte flied out to right (Fly).
D_Straily,9460,C Blackmon,7859,2016-05-30,Charlie Blackmon flied out to center (Fliner (Liner)).
D_Straily,9460,D LeMahieu,9874,2016-05-30,DJ LeMahieu struck out swinging.
D_Straily,9460,H Iwakuma,1304,2016-05-20,Hisashi Iwakuma sacrificed to first (Bunt Grounder). Leonys Martin advanced to 2B.
D_Straily,9460,M Joyce,3353,2016-08-07,Matt Joyce flied out to shortstop (Fly).
D_Straily,9460,J Kang,1718,2016-09-18,Jung Ho Kang struck out swinging.
D_Straily,9460,D Fowler,4062,2016-04-13,Dexter Fowler struck out swinging.
D_Straily,9460,D Murphy,4316,2016-06-04,Daniel Murphy flied out to left (Fly).
D_Straily,9460,C Carter,9911,2016-07-17,Chris Carter flied out to center (Fly).
D_Straily,9460,R Odor,1228,2016-08-23,Rougned Odor flied out to right (Fly).
D_Straily,9460,J Villar,1007,2016-09-24,Jonathan Villar struck out swinging.
D_Straily,9460,C Robinson,6908,2016-07-02,Clint Robinson flied out to center (Fliner (Fly)).
D_Straily,9460,M Smith,1360,2016-06-16,Mallex Smith struck out swinging.
D_Straily,9460,A Frazier,1522,2016-09-18,Adam Frazier lined out to third (Liner).
D_Straily,9460,B Zobrist,7435,2016-04-23,Ben Zobrist flied out to center (Fly).
D_Straily,9460,S Gennett,1033,2016-09-13,Scooter Gennett flied out to left (Fliner (Liner)).
D_Straily,9460,G Blanco,3123,2016-07-27,Gregor Blanco flied out to left (Fliner (Fly)).
