playername,playerid,vsname,vsid,date,Play
D_Travis,1386,K Herrera,6033,2016-08-05,Devon Travis homered (Fly).
D_Travis,1386,P Clemens,8037,2016-07-26,Josh Donaldson advanced on a wild pitch to 3B. Devon Travis scored.
D_Travis,1386,B Boxberger,1013,2016-09-04,Devon Travis singled to left (Grounder). Troy Tulowitzki scored. Michael Saunders scored. Kevin Pillar advanced to 2B.
D_Travis,1386,D Floro,1339,2016-08-08,Devon Travis singled to center (Grounder). Troy Tulowitzki scored. Russell Martin advanced to 3B. Darwin Barney advanced to 2B.
D_Travis,1386,J Tomlin,9388,2016-08-20,Devon Travis singled to third (Grounder). Darwin Barney scored. Ryan Goins scored.
D_Travis,1386,D Price,3184,2016-10-02,Devon Travis homered (Fly).
D_Travis,1386,M Gonzalez,7024,2016-06-25,Devon Travis homered (Fly). Josh Thole scored.
D_Travis,1386,D Duffy,3542,2016-08-06,Devon Travis singled to right (Fliner (Liner)). Kevin Pillar scored.
D_Travis,1386,K Uehara,9227,2016-06-03,Devon Travis homered (Fliner (Fly)). Justin Smoak scored.
D_Travis,1386,A Chapman,1023,2016-05-26,Devon Travis singled to right (Liner). Justin Smoak scored. Kevin Pillar advanced to 3B. Devon Travis advanced to 2B.
D_Travis,1386,D Duffy,3542,2016-08-06,Devon Travis homered (Fly).
D_Travis,1386,E Butler,1345,2016-06-28,Devon Travis singled to right (Grounder). Kevin Pillar scored. Ezequiel Carrera advanced to 2B.
D_Travis,1386,J Odorizzi,6397,2016-09-12,Devon Travis doubled to center (Fliner (Liner)).
D_Travis,1386,J Odorizzi,6397,2016-08-08,Devon Travis tripled to right (Fliner (Liner)).
D_Travis,1386,J Gray,1491,2016-06-27,Devon Travis homered (Fly).
D_Travis,1386,R Porcello,2717,2016-09-30,Devon Travis doubled to center (Fly).
D_Travis,1386,J Musgrove,1297,2016-08-12,Devon Travis singled to right (Grounder). Darrell Ceciliani advanced to 3B.
D_Travis,1386,A Meyer,1283,2016-09-18,Devon Travis singled to right (Fliner (Fly)). Kevin Pillar advanced to 3B.
D_Travis,1386,Z McAllister,2895,2016-07-01,Devon Travis walked.
D_Travis,1386,H Iwakuma,1304,2016-07-23,Devon Travis singled to center (Grounder). Kevin Pillar advanced to 3B.
D_Travis,1386,K Giles,1291,2016-08-01,Devon Travis singled to center (Grounder).
D_Travis,1386,N Vincent,7555,2016-09-20,Devon Travis singled to right (Fly). Ezequiel Carrera scored.
D_Travis,1386,M Fiers,7754,2016-08-04,Devon Travis doubled to center (Fliner (Fly)).
D_Travis,1386,M Tanaka,1576,2016-09-05,Devon Travis doubled to left (Fliner (Liner)).
D_Travis,1386,M Fiers,7754,2016-08-14,Devon Travis doubled to left (Fliner (Liner)).
D_Travis,1386,M Barnes,1286,2016-09-10,Devon Travis singled to center (Liner). Kevin Pillar advanced to 3B.
D_Travis,1386,O Despaigne,1601,2016-06-19,Devon Travis doubled to center (Fliner (Fly)). Troy Tulowitzki scored.
D_Travis,1386,M Barnes,1286,2016-06-04,Devon Travis walked.
D_Travis,1386,C Rodon,1613,2016-06-24,Devon Travis singled to left (Liner).
D_Travis,1386,L Cessa,1334,2016-09-06,Devon Travis singled to shortstop (Grounder). Kevin Pillar advanced to 2B.
D_Travis,1386,R Nolasco,3830,2016-09-17,Devon Travis singled to left (Liner).
D_Travis,1386,D Mengden,1698,2016-07-15,Devon Travis singled to center (Liner).
D_Travis,1386,E Rodriguez,1316,2016-09-10,Devon Travis doubled to center (Fliner (Liner)).
D_Travis,1386,C Shreve,1085,2016-08-16,Devon Travis singled to left (Grounder). Darrell Ceciliani scored. Melvin Upton Jr. advanced to 3B. Ezequiel Carrera advanced to 2B.
D_Travis,1386,J Odorizzi,6397,2016-08-08,Devon Travis singled to left (Fliner (Liner)). Josh Thole advanced to 2B.
D_Travis,1386,K Giles,1291,2016-08-01,Devon Travis advanced on a wild pitch to 2B.
D_Travis,1386,C Rea,1231,2016-07-25,Devon Travis walked.
D_Travis,1386,P Corbin,9323,2016-07-20,Devon Travis doubled to right (Grounder).
D_Travis,1386,C Sabathia,404&,2016-08-17,Devon Travis singled to shortstop (Grounder).
D_Travis,1386,R Nolasco,3830,2016-09-17,Devon Travis singled to center (Liner).
D_Travis,1386,J Odorizzi,6397,2016-08-08,Devon Travis singled to center (Fliner (Fly)).
D_Travis,1386,B Mitchell,1147,2016-09-07,Devon Travis singled to right (Fliner (Liner)).
D_Travis,1386,B Snell,1354,2016-08-10,Devon Travis singled to left (Grounder).
D_Travis,1386,E Santana,3200,2016-08-27,Devon Travis walked. Melvin Upton Jr. advanced to 2B.
D_Travis,1386,Y Gallardo,8173,2016-06-18,Devon Travis doubled to center (Fliner (Fly)). Kevin Pillar scored. Devon Travis out.
D_Travis,1386,K Uehara,9227,2016-09-11,Devon Travis singled to shortstop (Grounder).
D_Travis,1386,S Cishek,6483,2016-09-21,Devon Travis walked.
D_Travis,1386,C Sabathia,404&,2016-05-26,Devon Travis reached on error to shortstop (Grounder). Error by Didi Gregorius.
D_Travis,1386,Y Ventura,1185,2016-08-07,Devon Travis singled to right (Liner). Darwin Barney advanced to 3B.
D_Travis,1386,M Barnes,1286,2016-06-04,Devon Travis advanced on a stolen base to 3B.
D_Travis,1386,I Nova,1994,2016-05-25,Devon Travis singled to third (Grounder). Kevin Pillar advanced to 2B.
D_Travis,1386,H Iwakuma,1304,2016-07-23,Devon Travis singled to center (Fliner (Liner)).
D_Travis,1386,M Gonzalez,7024,2016-06-25,Devon Travis singled to second (Grounder).
D_Travis,1386,C Kluber,2429,2016-08-21,Devon Travis doubled to right (Fly).
D_Travis,1386,B Parker,5224,2016-09-23,Devon Travis singled to center (Liner). Ezequiel Carrera advanced to 3B.
D_Travis,1386,C Kluber,2429,2016-08-21,Devon Travis singled to center (Grounder). Ryan Goins advanced to 2B.
D_Travis,1386,P Corbin,9323,2016-07-20,Devon Travis doubled to left (Grounder).
D_Travis,1386,K Gibson,1012,2016-08-28,Devon Travis doubled to center (Fliner (Fly)).
D_Travis,1386,B Boxberger,1013,2016-09-12,Devon Travis singled to shortstop (Grounder).
D_Travis,1386,H Neris,1180,2016-06-15,Devon Travis singled to center (Fliner (Liner)). Russell Martin scored.
D_Travis,1386,L Perdomo,1468,2016-07-27,Devon Travis singled to third (Grounder). Kevin Pillar advanced to 3B.
D_Travis,1386,C Archer,6345,2016-09-04,Devon Travis singled to left (Fliner (Liner)).
D_Travis,1386,M Tanaka,1576,2016-06-01,Devon Travis advanced on error to 3B. Error by Masahiro Tanaka.
D_Travis,1386,R Porcello,2717,2016-09-09,Devon Travis singled to shortstop (Grounder).
D_Travis,1386,Y Gallardo,8173,2016-07-30,Devon Travis singled to right (Grounder).
D_Travis,1386,Z McAllister,2895,2016-08-20,Devon Travis singled to center (Fliner (Liner)).
D_Travis,1386,C Tillman,5279,2016-07-31,Devon Travis reached on fielder's choice to shortstop (Grounder). Russell Martin scored. Kevin Pillar out at second.
D_Travis,1386,D Storen,6983,2016-09-19,Devon Travis singled to second (Grounder).
D_Travis,1386,D Betances,6216,2016-05-31,Devon Travis walked.
D_Travis,1386,K Giles,1291,2016-08-01,Devon Travis advanced on a wild pitch to 3B.
D_Travis,1386,J Dominguez,1157,2016-07-25,Devon Travis singled to second (Liner).
D_Travis,1386,Z Eflin,1377,2016-06-14,Devon Travis singled to center (Grounder). Kevin Pillar advanced to 2B.
D_Travis,1386,D Leone,1376,2016-07-19,Devon Travis grounded out to first (Grounder). Andrew Burns scored.
D_Travis,1386,J Hoyt,1460,2016-08-03,Devon Travis advanced on a wild pitch to 3B.
D_Travis,1386,C Beck,1341,2016-06-25,Devon Travis walked.
D_Travis,1386,D Molleken,6200,2016-07-10,Devon Travis walked.
D_Travis,1386,D Molleken,6200,2016-07-10,Devon Travis singled to center (Grounder). Kevin Pillar advanced to 2B.
D_Travis,1386,D Hudson,7146,2016-07-20,Devon Travis singled to left (Grounder).
D_Travis,1386,A Colome,6661,2016-09-03,Devon Travis advanced on defensive indifference to 2B.
D_Travis,1386,D Hernandez,4259,2016-06-16,Devon Travis homered (Fly).
D_Travis,1386,B Oberholtzer,3855,2016-06-14,Devon Travis reached on error to first (Grounder). Ezequiel Carrera advanced to 3B. Kevin Pillar advanced to 2B on error. Error by Tommy Joseph.
D_Travis,1386,P Moylan,4891,2016-07-05,Devon Travis reached on error to pitcher (Grounder). Error by Peter Moylan.
D_Travis,1386,E Araujo,1285,2016-06-14,Devon Travis singled to right (Grounder).
D_Travis,1386,J Collmenter,7312,2016-07-20,Devon Travis flied out to second (Fly).
D_Travis,1386,A Wilson,9239,2016-06-06,Devon Travis grounded out to second (Grounder).
D_Travis,1386,O Despaigne,1601,2016-07-30,Devon Travis grounded out to second (Grounder).
D_Travis,1386,N Goody,1368,2016-06-01,Devon Travis struck out looking.
D_Travis,1386,B Mitchell,1147,2016-09-23,Devon Travis sacrificed to third (Bunt Grounder). Kevin Pillar advanced to 3B. Ezequiel Carrera advanced to 2B.
D_Travis,1386,C Buchholz,3543,2016-06-05,Devon Travis struck out looking.
D_Travis,1386,T McFarland,3237,2016-06-11,Devon Travis flied out to right (Fliner (Liner)). Kevin Pillar advanced to 3B.
D_Travis,1386,E Ramirez,1031,2016-08-09,Devon Travis flied out to center (Fly).
D_Travis,1386,M Givens,1043,2016-06-12,Devon Travis struck out looking.
D_Travis,1386,D Farquhar,8501,2016-08-10,Devon Travis struck out swinging.
D_Travis,1386,Z Godley,1486,2016-06-22,Devon Travis struck out swinging.
D_Travis,1386,A Bailey,1368,2016-09-17,Devon Travis struck out swinging.
D_Travis,1386,C Shreve,1085,2016-05-25,Devon Travis flied out to right (Fliner (Fly)).
D_Travis,1386,M Feliz,1190,2016-08-03,Devon Travis flied out to center (Fly).
D_Travis,1386,B Pounders,1038,2016-07-05,Devon Travis was caught stealing.
D_Travis,1386,C Martin,1218,2016-09-20,Devon Travis reached on fielder's choice to shortstop (Grounder). Kevin Pillar out at second.
D_Travis,1386,B Mitchell,1147,2016-09-23,Devon Travis grounded out to third (Grounder).
D_Travis,1386,C Sale,1060,2016-06-26,Devon Travis grounded out to first (Grounder).
D_Travis,1386,J Gustave,1466,2016-08-13,Devon Travis flied out to right (Fly).
D_Travis,1386,D Jennings,8073,2016-06-25,Devon Travis flied out to right (Fly).
D_Travis,1386,M Tanaka,1576,2016-06-01,Devon Travis flied out to left (Fliner (Fly)).
D_Travis,1386,S Manaea,1587,2016-07-17,Devon Travis flied out to right (Fliner (Fly)).
D_Travis,1386,M Fulmer,1321,2016-06-06,Devon Travis flied out to center (Fliner (Liner)).
D_Travis,1386,J Musgrove,1297,2016-08-02,Devon Travis flied out to right (Fliner (Liner)).
D_Travis,1386,R Garton,1401,2016-09-14,Devon Travis flied out to center (Fliner (Fly)).
D_Travis,1386,D Gee,7396,2016-08-05,Devon Travis flied out to right (Fly).
D_Travis,1386,C Ege,1592,2016-09-16,Devon Travis flied out to left (Fly).
D_Travis,1386,M Fiers,7754,2016-08-04,Devon Travis struck out swinging.
D_Travis,1386,Y Gallardo,8173,2016-06-18,Devon Travis grounded out to second (Grounder).
D_Travis,1386,C Kimbrel,6655,2016-10-01,Devon Travis flied out to right (Fly).
D_Travis,1386,B Brach,6627,2016-06-12,Devon Travis struck out swinging.
D_Travis,1386,I Nova,1994,2016-05-25,Devon Travis struck out swinging.
D_Travis,1386,R Porcello,2717,2016-05-28,Devon Travis grounded out to shortstop (Grounder).
D_Travis,1386,J Paxton,1182,2016-07-22,Devon Travis grounded out to shortstop (Grounder).
D_Travis,1386,R Porcello,2717,2016-05-28,Devon Travis grounded out to shortstop (Grounder).
D_Travis,1386,F Hernandez,4772,2016-09-21,Devon Travis grounded out to third (Grounder).
D_Travis,1386,L Ondrusek,3677,2016-07-31,Devon Travis flied out to right (Fliner (Fly)).
D_Travis,1386,W Miley,8779,2016-08-29,Devon Travis grounded out to third (Grounder).
D_Travis,1386,Y Gallardo,8173,2016-08-31,Devon Travis grounded out to second (Grounder).
D_Travis,1386,E Santana,3200,2016-08-27,Devon Travis flied out to right (Fly).
D_Travis,1386,T Clippard,5640,2016-08-16,Devon Travis struck out swinging.
D_Travis,1386,J Musgrove,1297,2016-08-12,Devon Travis flied out to right (Fly).
D_Travis,1386,U Jimenez,3374,2016-09-29,Devon Travis grounded out to shortstop (Grounder).
D_Travis,1386,E Burgos,3895,2016-07-19,Devon Travis struck out looking.
D_Travis,1386,A Cashner,8782,2016-07-26,Devon Travis struck out looking.
D_Travis,1386,C Sabathia,404&,2016-09-24,Devon Travis grounded out to third (Grounder).
D_Travis,1386,E Rodriguez,1316,2016-06-05,Devon Travis flied out to shortstop (Fly).
D_Travis,1386,R Ray,1148,2016-06-22,Devon Travis grounded out to pitcher (Grounder).
D_Travis,1386,D Duffy,3542,2016-08-06,Devon Travis flied out to right (Fly).
D_Travis,1386,J Paxton,1182,2016-07-22,Devon Travis grounded out to third (Grounder).
D_Travis,1386,M Boyd,1544,2016-06-07,Devon Travis flied out to center (Fly).
D_Travis,1386,E Rodriguez,1316,2016-09-10,Devon Travis flied out to left (Fly).
D_Travis,1386,M Tanaka,1576,2016-09-05,Devon Travis grounded out to pitcher (Grounder).
D_Travis,1386,T Bauer,1270,2016-08-19,Devon Travis grounded out to catcher (Grounder).
