playername,playerid,vsname,vsid,date,Play
D_Worth,198&,C Reed,1523,2016-06-18,Danny Worth doubled to left (Fliner (Liner)).
D_Worth,198&,C Sale,1060,2016-07-02,Danny Worth walked.
D_Worth,198&,A Triggs,1353,2016-07-08,Danny Worth singled to center (Fliner (Liner)). Luis Valbuena scored.
D_Worth,198&,B Finnegan,1620,2016-06-19,Danny Worth singled to center (Grounder).
D_Worth,198&,D Rollins,1192,2016-07-17,Danny Worth grounded out to shortstop (Grounder).
D_Worth,198&,A Achter,1138,2016-06-20,Danny Worth flied out to right (Fliner (Liner)).
D_Worth,198&,D Butera,3411,2016-06-25,Danny Worth grounded out to shortstop (Grounder).
D_Worth,198&,P Schuster,1002,2016-07-20,Danny Worth struck out swinging.
D_Worth,198&,D Gee,7396,2016-06-24,Danny Worth grounded out to third (Grounder).
D_Worth,198&,M Bowman,1352,2016-06-14,Danny Worth grounded out to shortstop (Grounder).
D_Worth,198&,C Reed,1523,2016-06-18,Danny Worth grounded out to shortstop (Grounder).
D_Worth,198&,H Santiago,4026,2016-06-21,Danny Worth flied out to right (Fly).
D_Worth,198&,M Montgomery,4869,2016-07-17,Danny Worth grounded out to shortstop (Grounder).
D_Worth,198&,J Garcia,8137,2016-06-14,Danny Worth grounded out to third (Grounder).
D_Worth,198&,M Montgomery,4869,2016-07-17,Danny Worth reached on fielder's choice to shortstop (Grounder). Carlos Gomez out at second.
D_Worth,198&,A Wainwright,2233,2016-06-15,Danny Worth flied out to second (Fly).
D_Worth,198&,S Manaea,1587,2016-07-10,Danny Worth struck out looking.
D_Worth,198&,J Garcia,8137,2016-06-14,Danny Worth grounded out to third (Grounder).
D_Worth,198&,M Montgomery,4869,2016-07-17,Danny Worth struck out swinging.
D_Worth,198&,S Manaea,1587,2016-07-10,Danny Worth grounded out to shortstop (Grounder). Evan Gattis advanced to 3B.
