playername,playerid,vsname,vsid,date,Play
E_Butler,1345,M Williamson,1415,2016-05-08,Mac Williamson struck out swinging.
E_Butler,1345,M Saunders,9981,2016-06-28,Michael Saunders flied out to center (Fliner (Fly)).
E_Butler,1345,B Phillips,791&,2016-06-02,Brandon Phillips grounded into a double play to shortstop (Grounder). Joey Votto out at second.
E_Butler,1345,S Brito,1294,2016-06-23,Socrates Brito grounded into a double play to shortstop (Grounder). Zack Greinke out at second.
E_Butler,1345,G Blanco,3123,2016-05-08,Gregor Blanco was caught stealing.
E_Butler,1345,F Cervelli,5275,2016-05-20,Francisco Cervelli struck out swinging.
E_Butler,1345,S Marte,9241,2016-05-20,Starling Marte grounded out to second (Grounder).
E_Butler,1345,L Verrett,1290,2016-05-14,Logan Verrett struck out swinging.
E_Butler,1345,W Castillo,3256,2016-06-23,Welington Castillo reached on fielder's choice to shortstop (Grounder). Phil Gosselin out at second.
E_Butler,1345,S Marte,9241,2016-05-20,Starling Marte lined out to second (Fliner (Liner)).
E_Butler,1345,M Kemp,5631,2016-05-03,Matt Kemp grounded out to shortstop (Grounder). Wil Myers advanced to 3B.
E_Butler,1345,P O'Brien,1328,2016-06-23,Peter O'Brien out on a dropped third strike.
E_Butler,1345,J Donaldson,5038,2016-06-28,Josh Donaldson flied out to center (Fly). Ezequiel Carrera advanced to 3B.
E_Butler,1345,K Pillar,1243,2016-06-28,Kevin Pillar struck out swinging.
E_Butler,1345,J Turner,5235,2016-06-07,Justin Turner grounded into a double play to third (Grounder). Corey Seager out at second.
E_Butler,1345,S Brito,1294,2016-06-23,Socrates Brito flied out to center (Fliner (Liner)).
E_Butler,1345,A Duvall,1095,2016-06-02,Adam Duvall lined out to second (Fliner (Liner)).
E_Butler,1345,A Ramirez,5133,2016-05-03,Alexei Ramirez grounded out to third (Grounder).
E_Butler,1345,A Gonzalez,1908,2016-06-07,Adrian Gonzalez grounded into a double play to second (Grounder). Justin Turner out at second.
E_Butler,1345,O Arcia,1318,2016-10-01,Orlando Arcia struck out swinging.
E_Butler,1345,J Pinto,6806,2016-10-01,Josmil Pinto flied out to center (Fliner (Fly)).
E_Butler,1345,B Phillips,791&,2016-06-02,Brandon Phillips flied out to center (Fly). Joey Votto advanced to 3B.
E_Butler,1345,M Williamson,1415,2016-05-08,Mac Williamson struck out swinging.
E_Butler,1345,J Segura,5933,2016-06-23,Jean Segura grounded out to shortstop (Grounder).
E_Butler,1345,L Duda,2502,2016-05-14,Lucas Duda flied out to left (Fly).
E_Butler,1345,B Crawford,5343,2016-05-08,Brandon Crawford flied out to right (Fly).
E_Butler,1345,P O'Brien,1328,2016-06-23,Peter O'Brien grounded out to third (Grounder).
E_Butler,1345,G Blanco,3123,2016-05-08,Gregor Blanco grounded out to first (Grounder).
E_Butler,1345,J Happ,7410,2016-06-28,J.A. Happ sacrificed to pitcher (Bunt Grounder). Kevin Pillar advanced to 2B.
E_Butler,1345,M Maldonado,6887,2016-10-01,Martin Maldonado grounded out to third (Grounder).
E_Butler,1345,G Blanco,3123,2016-05-28,Gregor Blanco out on a dropped third strike.
E_Butler,1345,J Segura,5933,2016-06-23,Jean Segura grounded out to shortstop (Grounder).
E_Butler,1345,A Simon,2155,2016-06-02,Alfredo Simon grounded out to second (Grounder).
E_Butler,1345,J Lamb,1332,2016-06-23,Jake Lamb struck out swinging.
E_Butler,1345,J Peralta,1738,2016-09-20,Jhonny Peralta lined out to shortstop (Liner). Yadier Molina out at third.
E_Butler,1345,D Norris,6867,2016-05-03,Derek Norris flied out to right (Fly).
E_Butler,1345,J Jay,5227,2016-05-03,Jon Jay grounded out to third (Grounder).
E_Butler,1345,D Norris,6867,2016-05-03,Derek Norris fouled out to first (Fly).
E_Butler,1345,M Duffy,1383,2016-05-08,Matt Duffy grounded out to catcher (Grounder).
E_Butler,1345,B Wallace,8434,2016-05-03,Brett Wallace grounded out to second (Grounder).
E_Butler,1345,M Conforto,1637,2016-05-14,Michael Conforto flied out to right (Fliner (Fly)).
E_Butler,1345,C Yelich,1147,2016-06-18,Christian Yelich flied out to left (Fly).
E_Butler,1345,B Belt,1026,2016-05-28,Brandon Belt flied out to center (Fly).
E_Butler,1345,B Posey,9166,2016-05-28,Buster Posey flied out to right (Fly).
E_Butler,1345,T Tulowitzki,3531,2016-06-28,Troy Tulowitzki grounded out to third (Grounder).
E_Butler,1345,P Gosselin,1095,2016-06-23,Phil Gosselin grounded out to shortstop (Grounder).
E_Butler,1345,Y Tomas,1717,2016-06-23,Yasmany Tomas struck out swinging.
E_Butler,1345,B Hamilton,1019,2016-06-02,Billy Hamilton struck out swinging.
E_Butler,1345,S Gennett,1033,2016-10-01,Scooter Gennett struck out swinging.
E_Butler,1345,J Harrison,8202,2016-04-27,Josh Harrison grounded out to shortstop (Grounder).
E_Butler,1345,A Cabrera,4962,2016-05-14,Asdrubal Cabrera grounded out to shortstop (Grounder).
E_Butler,1345,C Granderson,4747,2016-05-14,Curtis Granderson grounded out to second (Grounder).
E_Butler,1345,H Perez,5751,2016-10-01,Hernan Perez grounded out to second (Grounder).
E_Butler,1345,J Weeks,2498,2016-05-03,Jemile Weeks flied out to left (Fly).
E_Butler,1345,W Myers,1004,2016-05-03,Wil Myers grounded out to pitcher (Grounder).
E_Butler,1345,D Freese,9549,2016-05-20,David Freese grounded out to shortstop (Grounder).
E_Butler,1345,M Bumgarner,5524,2016-05-28,Madison Bumgarner reached on fielder's choice to shortstop (Grounder). Hunter Pence out at second.
E_Butler,1345,A Hechavarria,1045,2016-06-18,Adeiny Hechavarria grounded out to shortstop (Grounder).
E_Butler,1345,J Panik,1193,2016-05-28,Joe Panik grounded out to second (Grounder).
E_Butler,1345,M Upton Jr.,5015,2016-05-03,Melvin Upton Jr. flied out to center (Fly).
E_Butler,1345,J Harrison,8202,2016-05-20,Josh Harrison flied out to right (Fliner (Fly)).
E_Butler,1345,B Belt,1026,2016-05-28,Brandon Belt grounded out to shortstop (Grounder).
E_Butler,1345,R Martin,4616,2016-06-28,Russell Martin struck out looking.
E_Butler,1345,A McCutchen,9847,2016-04-27,Andrew McCutchen lined out to first (Liner).
E_Butler,1345,J Lamb,1332,2016-09-13,Jake Lamb out on a dropped third strike.
E_Butler,1345,K Plawecki,1380,2016-05-14,Kevin Plawecki grounded out to third (Grounder).
E_Butler,1345,J Rutledge,1116,2016-05-24,Josh Rutledge reached on fielder's choice to shortstop (Grounder). Chris Young out at second.
E_Butler,1345,B Crawford,5343,2016-05-28,Brandon Crawford grounded out to second (Grounder). Jarrett Parker advanced to 3B.
E_Butler,1345,M Haniger,1427,2016-09-13,Mitch Haniger struck out looking.
E_Butler,1345,B Hamilton,1019,2016-06-02,Billy Hamilton sacrificed to catcher (Bunt Grounder). Eugenio Suarez advanced to 3B.
E_Butler,1345,J Pederson,1189,2016-06-07,Joc Pederson struck out swinging.
E_Butler,1345,J Panik,1193,2016-05-28,Joe Panik flied out to center (Fly).
E_Butler,1345,C Yelich,1147,2016-06-18,Christian Yelich reached on fielder's choice to shortstop (Grounder). Derek Dietrich out at second.
E_Butler,1345,S Van Slyke,4365,2016-06-07,Scott Van Slyke out on a dropped third strike.
E_Butler,1345,H Pence,8252,2016-05-28,Hunter Pence struck out looking.
E_Butler,1345,A Ramirez,5133,2016-05-03,Alexei Ramirez grounded out to third (Grounder).
E_Butler,1345,M Duffy,1383,2016-05-28,Matt Duffy grounded out to shortstop (Grounder).
E_Butler,1345,A De Aza,3371,2016-05-14,Alejandro De Aza grounded out to second (Grounder).
E_Butler,1345,C Utley,1679,2016-06-07,Chase Utley grounded out to shortstop (Grounder).
E_Butler,1345,A Gonzalez,1908,2016-06-07,Adrian Gonzalez grounded out to first (Grounder).
E_Butler,1345,C Vazquez,9774,2016-05-24,Christian Vazquez grounded out to second (Grounder).
E_Butler,1345,X Bogaerts,1216,2016-05-24,Xander Bogaerts grounded out to shortstop (Grounder).
E_Butler,1345,D Pedroia,8370,2016-05-24,Dustin Pedroia lined out to first (Liner).
E_Butler,1345,T Shaw,1198,2016-05-24,Travis Shaw grounded out to second (Grounder).
E_Butler,1345,D Norris,6867,2016-09-10,Derek Norris flied out to right (Fliner (Fly)).
E_Butler,1345,L Sardinas,1315,2016-09-10,Luis Sardinas grounded out to shortstop (Grounder).
E_Butler,1345,J Jay,5227,2016-09-10,Jon Jay struck out swinging.
E_Butler,1345,C Seager,1362,2016-09-24,Corey Seager struck out looking.
E_Butler,1345,H Kendrick,4229,2016-09-24,Howie Kendrick struck out swinging.
E_Butler,1345,C Seager,1362,2016-09-24,Corey Seager flied out to center (Fly).
E_Butler,1345,A Ethier,6265,2016-09-24,Andre Ethier struck out swinging.
E_Butler,1345,Y Grandal,1136,2016-09-24,Yasmani Grandal walked.
E_Butler,1345,J Turner,5235,2016-09-24,Justin Turner advanced on a stolen base to 2B.
E_Butler,1345,J Turner,5235,2016-09-24,Justin Turner walked.
E_Butler,1345,J Reddick,3892,2016-09-24,Josh Reddick singled to center (Grounder). Justin Turner scored. Yasmani Grandal advanced to 2B.
E_Butler,1345,Y Molina,7007,2016-09-20,Yadier Molina singled to right (Grounder). Stephen Piscotty advanced to 2B.
E_Butler,1345,M Upton Jr.,5015,2016-05-03,Melvin Upton Jr. walked.
E_Butler,1345,M Adams,9393,2016-09-20,Matt Adams walked. Stephen Piscotty advanced to 3B. Yadier Molina advanced to 2B.
E_Butler,1345,P Gosselin,1095,2016-09-13,Phil Gosselin walked.
E_Butler,1345,C Owings,1003,2016-09-13,Chris Owings singled to right (Fliner (Fly)). Jean Segura advanced to 3B.
E_Butler,1345,T Barnhart,1020,2016-06-02,Tucker Barnhart singled to center (Liner).
E_Butler,1345,P Goldschmidt,9218,2016-06-23,Paul Goldschmidt singled to third (Grounder).
E_Butler,1345,P O'Brien,1328,2016-06-23,Peter O'Brien singled to right (Fliner (Fly)).
E_Butler,1345,B Crawford,5343,2016-05-08,Brandon Crawford was intentionally walked.
E_Butler,1345,P Goldschmidt,9218,2016-06-23,Paul Goldschmidt singled to left (Liner).
E_Butler,1345,H Pence,8252,2016-05-08,Hunter Pence singled to shortstop (Grounder).
E_Butler,1345,J Gyorko,1081,2016-09-20,Jedd Gyorko doubled to left (Grounder).
E_Butler,1345,D Wright,3787,2016-05-14,David Wright singled to center (Fliner (Liner)).
E_Butler,1345,H Pence,8252,2016-05-28,Hunter Pence reached on error to second (Grounder). Error by Cristhian Adames.
E_Butler,1345,D Santana,1034,2016-10-01,Domingo Santana walked.
E_Butler,1345,P Gosselin,1095,2016-06-23,Phil Gosselin singled to left (Grounder). Peter O'Brien advanced to 2B.
E_Butler,1345,J Villar,1007,2016-10-01,Jonathan Villar advanced on a stolen base to 2B.
E_Butler,1345,P Gosselin,1095,2016-06-23,Phil Gosselin walked.
E_Butler,1345,E Carrera,9048,2016-06-28,Ezequiel Carrera walked.
E_Butler,1345,E Encarnacion,2151,2016-06-28,Edwin Encarnacion walked. Devon Travis advanced to 2B.
E_Butler,1345,T Thompson,9952,2016-06-07,Trayce Thompson walked. Adrian Gonzalez advanced to 2B.
E_Butler,1345,J Votto,4314,2016-06-02,Joey Votto singled to center (Fliner (Liner)).
E_Butler,1345,J Votto,4314,2016-06-02,Joey Votto walked.
E_Butler,1345,W Castillo,3256,2016-09-13,Welington Castillo singled to center (Grounder). Chris Owings scored. Paul Goldschmidt advanced to 3B.
E_Butler,1345,M Duffy,1383,2016-05-28,Matt Duffy was hit by a pitch. Joe Panik advanced to 2B.
E_Butler,1345,J Villar,1007,2016-10-01,Jonathan Villar advanced on a wild pitch to 3B. Domingo Santana
E_Butler,1345,Z Greinke,1943,2016-06-23,Zack Greinke singled to right (Liner).
E_Butler,1345,Z Greinke,1943,2016-06-23,Zack Greinke walked.
E_Butler,1345,S Marte,9241,2016-05-20,Starling Marte singled to right (Grounder).
E_Butler,1345,N Walker,7539,2016-05-14,Neil Walker homered (Fly).
E_Butler,1345,Z Cozart,2616,2016-06-02,Zack Cozart doubled to left (Fliner (Liner)). Eugenio Suarez scored. Tucker Barnhart out at home.
E_Butler,1345,J Parker,1162,2016-05-28,Jarrett Parker doubled to right (Fliner (Liner)).
E_Butler,1345,E Suarez,1255,2016-06-02,Eugenio Suarez doubled to right (Fliner (Liner)).
E_Butler,1345,G Blanco,3123,2016-05-08,Gregor Blanco singled to left (Liner).
E_Butler,1345,Y Cespedes,1311,2016-05-14,Yoenis Cespedes doubled to center (Fliner (Liner)). Yoenis Cespedes advanced to 3B on error. Error by Charlie Blackmon.
E_Butler,1345,B Phillips,791&,2016-06-02,Brandon Phillips singled to left (Liner). Joey Votto advanced to 2B.
E_Butler,1345,J Segura,5933,2016-06-23,Jean Segura singled to right (Liner). Zack Greinke advanced to 3B.
E_Butler,1345,P Goldschmidt,9218,2016-09-13,Paul Goldschmidt singled to center (Grounder). Jean Segura scored. Chris Owings advanced to 3B.
E_Butler,1345,W Castillo,3256,2016-06-23,Welington Castillo singled to right (Grounder). Phil Gosselin advanced to 3B.
E_Butler,1345,G Stanton,4949,2016-06-18,Giancarlo Stanton singled to left (Grounder).
E_Butler,1345,L Duda,2502,2016-05-14,Lucas Duda doubled to center (Fliner (Liner)).
E_Butler,1345,F Cervelli,5275,2016-04-27,Francisco Cervelli doubled to right (Fliner (Liner)). David Freese scored. Starling Marte scored.
E_Butler,1345,J Happ,7410,2016-06-28,J.A. Happ reached on fielder's choice and error to pitcher (Bunt Grounder). Russell Martin advanced to 3B on error. Error by Eddie Butler.
E_Butler,1345,A Wainwright,2233,2016-09-20,Adam Wainwright singled to center (Fliner (Liner)). Jhonny Peralta scored. Randal Grichuk scored.
E_Butler,1345,B Drury,1161,2016-09-13,Brandon Drury homered (Fly).
E_Butler,1345,A Duvall,1095,2016-06-02,Adam Duvall homered (Fly).
E_Butler,1345,J Bruce,9892,2016-06-02,Jay Bruce tripled to center (Fliner (Fly)). Joey Votto scored.
E_Butler,1345,Y Tomas,1717,2016-06-23,Yasmany Tomas singled to center (Grounder). Zack Greinke scored. Jean Segura advanced to 3B.
E_Butler,1345,M Kemp,5631,2016-05-03,Matt Kemp homered (Fly).
E_Butler,1345,J Bruce,9892,2016-06-02,Jay Bruce doubled to right (Liner). Joey Votto scored. Brandon Phillips advanced to 3B.
E_Butler,1345,H Pence,8252,2016-05-08,Hunter Pence doubled to center (Fly). Brandon Belt advanced to 3B.
E_Butler,1345,B Wallace,8434,2016-05-03,Brett Wallace homered (Fliner (Fly)).
E_Butler,1345,C Yelich,1147,2016-06-18,Christian Yelich singled to center (Fliner (Liner)). Adeiny Hechavarria scored. Derek Dietrich scored. Martin Prado advanced to 2B.
