playername,playerid,vsname,vsid,date,Play
E_Carrera,9048,T Clippard,5640,2016-09-25,Ezequiel Carrera singled to pitcher (Bunt Grounder). Melvin Upton Jr. scored. Kevin Pillar advanced to 3B on error. Ezequiel Carrera advanced to 2B on error. Error by Tyler Clippard.
E_Carrera,9048,C Sabathia,404&,2016-08-17,Ezequiel Carrera doubled to left (Fliner (Fly)). Troy Tulowitzki scored. Melvin Upton Jr. advanced to 3B.
E_Carrera,9048,C Kimbrel,6655,2016-10-01,Ezequiel Carrera hit a sacrifice fly to left (Fliner (Fly)). Dalton Pompey scored.
E_Carrera,9048,D Robertson,8241,2016-06-24,Ezequiel Carrera singled to left (Liner). Darwin Barney advanced to 2B.
E_Carrera,9048,C Young,3196,2016-07-05,Ezequiel Carrera homered (Fliner (Fly)).
E_Carrera,9048,C Lewis,1259,2016-05-14,Ezequiel Carrera singled to center (Grounder). Troy Tulowitzki scored. Ezequiel Carrera advanced to 2B on error. Error by Ian Desmond.
E_Carrera,9048,Y Gallardo,8173,2016-06-18,Ezequiel Carrera homered (Fliner (Fly)).
E_Carrera,9048,C Bassitt,1230,2016-04-23,Ezequiel Carrera hit a ground rule double (Fliner (Fly)). Kevin Pillar advanced to 3B.
E_Carrera,9048,Y Flande,5057,2016-06-28,Ezequiel Carrera doubled to right (Fliner (Fly)). Kevin Pillar scored.
E_Carrera,9048,T McFarland,3237,2016-06-11,Ezequiel Carrera walked. Darwin Barney advanced to 3B. Russell Martin advanced to 2B.
E_Carrera,9048,D Price,3184,2016-05-29,Ezequiel Carrera singled to first (Grounder).
E_Carrera,9048,E Butler,1345,2016-06-28,Ezequiel Carrera singled to right (Liner). Russell Martin scored. J.A. Happ advanced to 2B.
E_Carrera,9048,K Gausman,1410,2016-09-27,Ezequiel Carrera singled to left (Liner). Kevin Pillar scored. Ezequiel Carrera advanced to 2B.
E_Carrera,9048,C Kimbrel,6655,2016-05-28,"Ezequiel Carrera advanced on a stolen base to 2B, advanced to 3B on error. Error by Christian Vazquez."
E_Carrera,9048,K Uehara,9227,2016-05-27,Ezequiel Carrera singled to pitcher (Bunt Grounder).
E_Carrera,9048,U Jimenez,3374,2016-06-12,Ezequiel Carrera doubled to left (Fly).
E_Carrera,9048,K Gausman,1410,2016-06-10,Ezequiel Carrera advanced on error to 3B. Error by Kevin Gausman.
E_Carrera,9048,J Weaver,4235,2016-08-25,Ezequiel Carrera reached on error to second (Grounder). Melvin Upton Jr. advanced to 3B. Error by Gregorio Petit.
E_Carrera,9048,D Otero,7385,2016-07-02,Ezequiel Carrera walked.
E_Carrera,9048,D Price,3184,2016-05-29,Ezequiel Carrera singled to right (Grounder).
E_Carrera,9048,M Gonzalez,7024,2016-06-25,Ezequiel Carrera singled to right (Grounder). Ryan Goins advanced to 3B. Josh Thole advanced to 2B.
E_Carrera,9048,S Morimando,1360,2016-07-02,Ezequiel Carrera singled to first (Bunt Grounder). Darwin Barney advanced to 2B.
E_Carrera,9048,M Moore,1890,2016-04-06,Ezequiel Carrera singled to shortstop (Grounder).
E_Carrera,9048,J Kelly,9761,2016-05-27,Ezequiel Carrera singled to left (Fliner (Liner)).
E_Carrera,9048,Z McAllister,2895,2016-07-02,Ezequiel Carrera was hit by a pitch.
E_Carrera,9048,E Surkamp,2540,2016-04-24,Ezequiel Carrera singled to center (Liner).
E_Carrera,9048,E Volquez,3990,2016-07-04,Ezequiel Carrera walked.
E_Carrera,9048,C Tillman,5279,2016-09-28,Ezequiel Carrera reached on error to pitcher (Grounder). Error by Chris Davis.
E_Carrera,9048,J Kelly,9761,2016-05-27,Ezequiel Carrera was hit by a pitch. Kevin Pillar advanced to 2B.
E_Carrera,9048,M Wright,1258,2016-06-11,Ezequiel Carrera walked.
E_Carrera,9048,B Shaw,8110,2016-06-30,Ezequiel Carrera walked.
