playername,playerid,vsname,vsid,date,Play
E_Encarnacion,2151,B Brach,6627,2016-06-10,Edwin Encarnacion homered (Fliner (Fly)).
E_Encarnacion,2151,A Warren,9029,2016-08-16,Edwin Encarnacion homered (Fliner (Fly)). Josh Donaldson scored.
E_Encarnacion,2151,Z Godley,1486,2016-07-19,Edwin Encarnacion homered (Fliner (Fly)). Devon Travis scored. Josh Donaldson scored.
E_Encarnacion,2151,H Hembree,1163,2016-09-11,Edwin Encarnacion homered (Fliner (Fly)). Josh Donaldson scored.
E_Encarnacion,2151,T Walker,1183,2016-09-19,Edwin Encarnacion homered (Fliner (Fly)). Kevin Pillar scored.
E_Encarnacion,2151,J Odorizzi,6397,2016-08-08,Edwin Encarnacion singled to left (Grounder). Josh Thole scored. Devon Travis scored. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,B Brach,6627,2016-04-20,Edwin Encarnacion doubled to left (Fliner (Liner)). Michael Saunders scored.
E_Encarnacion,2151,Y Gallardo,8173,2016-07-30,Edwin Encarnacion doubled to left (Fliner (Liner)). Jose Bautista scored. Josh Donaldson advanced to 3B.
E_Encarnacion,2151,A Nola,1614,2016-06-16,Edwin Encarnacion homered (Fly). Josh Donaldson scored.
E_Encarnacion,2151,D Price,3184,2016-06-03,Edwin Encarnacion homered (Fly). Josh Donaldson scored.
E_Encarnacion,2151,E Rodriguez,1316,2016-06-05,Edwin Encarnacion homered (Fliner (Liner)). Josh Donaldson scored.
E_Encarnacion,2151,J Gray,1491,2016-06-27,Edwin Encarnacion homered (Fly). Josh Donaldson scored.
E_Encarnacion,2151,J Tomlin,9388,2016-08-20,Edwin Encarnacion homered (Fly).
E_Encarnacion,2151,A Colome,6661,2016-05-01,Edwin Encarnacion grounded out to second (Grounder). Darwin Barney scored. Michael Saunders advanced to 3B. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,D Betances,6216,2016-09-06,Edwin Encarnacion singled to second (Grounder). Jose Bautista scored. Josh Donaldson advanced to 3B.
E_Encarnacion,2151,B Snell,1354,2016-09-03,Edwin Encarnacion singled to center (Fliner (Liner)). Devon Travis scored. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,T Wilhelmsen,9975,2016-09-21,Edwin Encarnacion walked. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,C Archer,6345,2016-04-03,Edwin Encarnacion singled to center (Fliner (Liner)). Josh Donaldson scored. Jose Bautista scored.
E_Encarnacion,2151,M Wright,1258,2016-06-11,Edwin Encarnacion doubled to left (Liner). Ezequiel Carrera scored. Josh Donaldson advanced to 3B.
E_Encarnacion,2151,N Eovaldi,9132,2016-04-14,Edwin Encarnacion doubled to left (Grounder). Jose Bautista advanced to 3B.
E_Encarnacion,2151,S Gray,1276,2016-07-16,Edwin Encarnacion homered (Fly).
E_Encarnacion,2151,C Buchholz,3543,2016-09-11,Edwin Encarnacion homered (Fliner (Fly)).
E_Encarnacion,2151,R Porcello,2717,2016-04-15,Edwin Encarnacion homered (Fliner (Liner)). Jose Bautista scored.
E_Encarnacion,2151,B Parnell,9926,2016-07-08,Edwin Encarnacion homered (Fliner (Fly)). Kevin Pillar scored. Ezequiel Carrera scored.
E_Encarnacion,2151,A Cobb,6562,2016-09-02,Edwin Encarnacion doubled to center (Fliner (Liner)). Josh Donaldson scored.
E_Encarnacion,2151,B Ziegler,7293,2016-10-02,Edwin Encarnacion walked. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,M Gonzalez,7024,2016-06-25,Edwin Encarnacion singled to right (Fliner (Liner)). Josh Thole scored. Ezequiel Carrera scored. Josh Donaldson advanced to 3B.
E_Encarnacion,2151,J Blanton,4849,2016-05-06,Edwin Encarnacion hit a ground rule double (Fliner (Fly)).
E_Encarnacion,2151,T Skaggs,1019,2016-08-23,Edwin Encarnacion singled to left (Fly). Darwin Barney advanced to 3B. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,D Wright,1517,2016-09-15,Edwin Encarnacion singled to left (Fliner (Liner)). Josh Donaldson advanced to 3B.
E_Encarnacion,2151,J Verlander,8700,2016-07-07,Edwin Encarnacion walked. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,M Gonzalez,7024,2016-04-25,Edwin Encarnacion singled to center (Grounder). Jose Bautista scored.
E_Encarnacion,2151,D Smyly,1176,2016-08-09,Edwin Encarnacion singled to left (Liner). Josh Donaldson advanced to 2B.
E_Encarnacion,2151,D Mengden,1698,2016-07-15,Edwin Encarnacion walked. Ezequiel Carrera advanced to 3B. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,P Klein,1267,2016-05-03,Edwin Encarnacion singled to left (Fliner (Liner)).
E_Encarnacion,2151,B Maurer,4878,2016-07-26,Edwin Encarnacion singled to right (Grounder).
E_Encarnacion,2151,J Hellickson,4371,2016-06-15,Edwin Encarnacion walked. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,C Allen,1218,2016-08-21,Edwin Encarnacion walked. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,R Porcello,2717,2016-05-28,Edwin Encarnacion was hit by a pitch. Kevin Pillar scored. Jose Bautista advanced to 3B. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,S Wright,8185,2016-06-04,Edwin Encarnacion walked. Michael Saunders advanced to 2B.
E_Encarnacion,2151,U Jimenez,3374,2016-06-12,Edwin Encarnacion singled to center (Grounder). Josh Donaldson scored.
E_Encarnacion,2151,C Gearrin,7947,2016-05-11,Edwin Encarnacion singled to center (Fliner (Liner)). Josh Donaldson advanced to 3B.
E_Encarnacion,2151,M Tanaka,1576,2016-09-05,Edwin Encarnacion singled to center (Fliner (Liner)). Jose Bautista advanced to 3B.
E_Encarnacion,2151,K Herrera,6033,2016-07-06,Edwin Encarnacion doubled to left (Liner).
E_Encarnacion,2151,S Cishek,6483,2016-07-22,Edwin Encarnacion walked.
E_Encarnacion,2151,Y Gallardo,8173,2016-06-18,Edwin Encarnacion singled to right (Fliner (Liner)).
E_Encarnacion,2151,J Lyles,7593,2016-06-29,Edwin Encarnacion singled to left (Liner). Devon Travis scored. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,K Gausman,1410,2016-09-27,Edwin Encarnacion reached on fielder's choice and error to third (Grounder). Ezequiel Carrera scored on error. Josh Donaldson advanced to 3B on error. Error by Manny Machado.
E_Encarnacion,2151,C Kimbrel,6655,2016-09-11,Edwin Encarnacion walked.
E_Encarnacion,2151,E Rodriguez,1316,2016-09-10,Edwin Encarnacion reached on error to third (Grounder). Josh Donaldson advanced to 3B on error. Error by Aaron Hill.
E_Encarnacion,2151,D Fister,9425,2016-08-01,Edwin Encarnacion singled to left (Grounder).
E_Encarnacion,2151,C Sabathia,404&,2016-09-24,Edwin Encarnacion singled to center (Grounder).
E_Encarnacion,2151,M Fiers,7754,2016-08-14,Edwin Encarnacion doubled to center (Fliner (Liner)).
E_Encarnacion,2151,M Bumgarner,5524,2016-05-11,Edwin Encarnacion walked.
E_Encarnacion,2151,K Gausman,1410,2016-07-29,Edwin Encarnacion walked.
E_Encarnacion,2151,D Smyly,1176,2016-04-04,Edwin Encarnacion walked.
E_Encarnacion,2151,V Worley,6435,2016-06-12,"Edwin Encarnacion advanced on a stolen base to 3B, scored on error. Error by Matt Wieters."
E_Encarnacion,2151,I Nova,1994,2016-05-25,Edwin Encarnacion singled to right (Fly). Josh Donaldson advanced to 2B.
E_Encarnacion,2151,E Santana,3200,2016-05-19,Edwin Encarnacion singled to left (Liner). Jose Bautista advanced to 2B.
E_Encarnacion,2151,T Anderson,1288,2016-06-29,Edwin Encarnacion reached on interference. Error by Tony Wolters.
E_Encarnacion,2151,H Iwakuma,1304,2016-07-23,Edwin Encarnacion singled to shortstop (Grounder). Josh Donaldson advanced to 2B.
E_Encarnacion,2151,B Mitchell,1147,2016-09-23,Edwin Encarnacion singled to right (Grounder). Josh Donaldson advanced to 2B.
E_Encarnacion,2151,E Volquez,3990,2016-07-04,Edwin Encarnacion singled to right (Grounder).
E_Encarnacion,2151,L Gregerson,4090,2016-08-14,Edwin Encarnacion homered (Fliner (Fly)).
E_Encarnacion,2151,M Shoemaker,4776,2016-08-24,Edwin Encarnacion walked. Josh Donaldson advanced to 2B.
E_Encarnacion,2151,W Miley,8779,2016-08-29,Edwin Encarnacion walked.
E_Encarnacion,2151,K Giles,1291,2016-08-01,Edwin Encarnacion walked.
E_Encarnacion,2151,S Wright,8185,2016-06-04,Edwin Encarnacion walked. Michael Saunders advanced to 2B.
E_Encarnacion,2151,P Corbin,9323,2016-07-20,Edwin Encarnacion walked.
E_Encarnacion,2151,C Kimbrel,6655,2016-04-15,Edwin Encarnacion singled to second (Fliner (Fly)).
E_Encarnacion,2151,A Cashner,8782,2016-07-26,Edwin Encarnacion singled to left (Fliner (Liner)).
E_Encarnacion,2151,S Morimando,1360,2016-07-02,Edwin Encarnacion singled to left (Liner).
E_Encarnacion,2151,I Nova,1994,2016-05-25,Edwin Encarnacion walked. Jose Bautista advanced to 2B.
E_Encarnacion,2151,S Geltz,8402,2016-04-29,Edwin Encarnacion walked.
E_Encarnacion,2151,M Gonzalez,7024,2016-06-25,Edwin Encarnacion doubled to center (Fly). Devon Travis scored. Josh Donaldson out at home. Edwin Encarnacion advanced to 3B.
E_Encarnacion,2151,J Musgrove,1297,2016-08-12,Edwin Encarnacion doubled to right (Fliner (Fly)).
E_Encarnacion,2151,C Archer,6345,2016-05-17,Edwin Encarnacion walked.
E_Encarnacion,2151,F Hernandez,4772,2016-09-21,Edwin Encarnacion walked.
E_Encarnacion,2151,D Holland,4141,2016-05-05,Edwin Encarnacion homered (Fly). Josh Donaldson scored. Jose Bautista scored.
