playername,playerid,vsname,vsid,date,Play
E_Escobar,6153,M Albers,4300,2016-07-30,Eduardo Escobar homered (Fly). Max Kepler scored. Brian Dozier scored.
E_Escobar,6153,M Givens,1043,2016-04-04,Eduardo Escobar doubled to right (Fliner (Fly)). Eddie Rosario scored. Byung-ho Park advanced to 3B.
E_Escobar,6153,M Strahm,1379,2016-09-07,Eduardo Escobar singled to left (Fliner (Liner)). Miguel Sano scored. Robbie Grossman advanced to 2B.
E_Escobar,6153,D Keuchel,9434,2016-05-02,Eduardo Escobar singled to left (Grounder). Brian Dozier scored. Miguel Sano advanced to 3B. Byung-ho Park advanced to 2B.
E_Escobar,6153,I Kennedy,6986,2016-09-27,Eduardo Escobar homered (Fly).
E_Escobar,6153,Y Petit,4020,2016-04-24,Eduardo Escobar balked to 3B.
E_Escobar,6153,E Volquez,3990,2016-05-24,Eduardo Escobar singled to right (Liner). Robbie Grossman scored on error. Oswaldo Arcia scored on error. Eduardo Escobar advanced to 2B. Error by Paulo Orlando.
E_Escobar,6153,J Wilson,4301,2016-05-01,Eduardo Escobar singled to right (Fliner (Fly)).
E_Escobar,6153,M Pineda,5372,2016-06-18,Eduardo Escobar singled to center (Grounder). Max Kepler scored.
E_Escobar,6153,M Tanaka,1576,2016-06-17,Eduardo Escobar doubled to center (Fliner (Fly)). Trevor Plouffe advanced to 3B.
E_Escobar,6153,Y Petit,4020,2016-04-24,Eduardo Escobar walked.
E_Escobar,6153,E Ramirez,1031,2016-08-05,Eduardo Escobar walked.
E_Escobar,6153,M Albers,4300,2016-04-11,Eduardo Escobar singled to left (Fliner (Liner)).
E_Escobar,6153,R Porcello,2717,2016-06-12,Eduardo Escobar singled to right (Fliner (Fly)). Joe Mauer scored. Max Kepler advanced to 3B.
E_Escobar,6153,A Griffin,1113,2016-07-10,Eduardo Escobar singled to right (Fliner (Liner)). Kurt Suzuki advanced to 3B.
E_Escobar,6153,U Jimenez,3374,2016-07-28,Eduardo Escobar doubled to center (Fliner (Liner)).
E_Escobar,6153,E Volquez,3990,2016-08-14,Eduardo Escobar singled to right (Grounder). Joe Mauer scored. Max Kepler scored.
E_Escobar,6153,W Davis,7441,2016-05-24,Eduardo Escobar doubled to center (Fliner (Liner)).
E_Escobar,6153,J Biagini,1319,2016-08-26,Eduardo Escobar singled to right (Liner). Jorge Polanco advanced to 2B.
E_Escobar,6153,M Gonzalez,7024,2016-07-30,Eduardo Escobar singled to right (Grounder).
E_Escobar,6153,D Duffy,3542,2016-08-21,Eduardo Escobar singled to center (Grounder).
E_Escobar,6153,D Gee,7396,2016-08-13,Eduardo Escobar singled to left (Fliner (Liner)).
E_Escobar,6153,J Verlander,8700,2016-09-22,Eduardo Escobar was hit by a pitch. Logan Schafer advanced to 3B. Robbie Grossman advanced to 2B.
E_Escobar,6153,D Duffy,3542,2016-08-21,Eduardo Escobar walked. Jorge Polanco advanced to 2B.
E_Escobar,6153,S Manaea,1587,2016-06-01,Eduardo Escobar singled to left (Fliner (Liner)).
E_Escobar,6153,D Duffy,3542,2016-08-21,Eduardo Escobar walked.
E_Escobar,6153,O Despaigne,1601,2016-07-28,Eduardo Escobar singled to left (Fliner (Liner)).
