playername,playerid,vsname,vsid,date,Play
E_Fryer,8145,R Ohlendorf,8268,2016-04-17,Eric Fryer doubled to center (Fliner (Liner)). Aledmys Diaz scored.
E_Fryer,8145,T Barnette,3555,2016-06-19,Eric Fryer walked. Stephen Piscotty scored. Jhonny Peralta advanced to 3B. Brandon Moss advanced to 2B.
E_Fryer,8145,J Lackey,1507,2016-07-10,Eric Fryer doubled to left (Liner). Adam Frazier scored.
E_Fryer,8145,M Cain,4732,2016-08-17,Eric Fryer walked. David Freese scored. John Jaso advanced to 3B. Jordy Mercer advanced to 2B.
E_Fryer,8145,N Feliz,18&p,2016-06-10,Eric Fryer singled to right (Grounder).
E_Fryer,8145,A Wainwright,2233,2016-10-02,Eric Fryer singled to center (Fliner (Liner)).
E_Fryer,8145,J Urena,1158,2016-08-21,Eric Fryer walked.
E_Fryer,8145,H Rondon,2391,2016-04-19,Eric Fryer advanced on a wild pitch to 2B.
E_Fryer,8145,S Strasburg,1013,2016-04-29,Eric Fryer singled to left (Fliner (Liner)). Jedd Gyorko advanced to 2B.
E_Fryer,8145,A Morgan,1258,2016-05-04,Eric Fryer walked.
E_Fryer,8145,J Paxton,1182,2016-06-26,Eric Fryer singled to left (Grounder). Kolten Wong advanced to 2B.
E_Fryer,8145,M Latos,3815,2016-09-25,Eric Fryer tripled to left (Fliner (Liner)).
E_Fryer,8145,J Moscot,1384,2016-04-17,Eric Fryer walked. Greg Garcia advanced to 2B.
E_Fryer,8145,B Finnegan,1620,2016-09-17,Eric Fryer singled to shortstop (Grounder). Josh Bell advanced to 3B. Adam Frazier advanced to 2B.
E_Fryer,8145,C Friedrich,7942,2016-08-11,Eric Fryer singled to center (Liner). Sean Rodriguez advanced to 2B.
E_Fryer,8145,S Tuivailala,1348,2016-07-06,Eric Fryer singled to center (Liner).
E_Fryer,8145,R Whalen,1416,2016-08-03,Eric Fryer walked. David Freese advanced to 3B. Jordy Mercer advanced to 2B.
E_Fryer,8145,J Arrieta,4153,2016-09-28,Eric Fryer singled to center (Grounder).
E_Fryer,8145,M Mariot,1083,2016-09-14,Eric Fryer walked.
E_Fryer,8145,M Garza,3340,2016-07-21,Eric Fryer singled to right (Fliner (Liner)).
E_Fryer,8145,J Broxton,4759,2016-09-05,Eric Fryer singled to center (Liner).
E_Fryer,8145,E Marshall,1229,2016-05-20,Eric Fryer singled to center (Fliner (Liner)). Aledmys Diaz scored. Matt Holliday advanced to 3B. Stephen Piscotty advanced to 2B.
E_Fryer,8145,A Morris,9919,2016-06-08,Eric Fryer singled to second (Grounder). Eric Fryer advanced to 2B on error. Error by Brandon Phillips.
E_Fryer,8145,S Freeman,6832,2016-04-11,Eric Fryer singled to third (Grounder).
E_Fryer,8145,L Perdomo,1468,2016-04-23,Eric Fryer grounded out to shortstop (Grounder). Stephen Piscotty advanced to 3B.
E_Fryer,8145,T Cahill,6249,2016-05-24,Eric Fryer struck out looking.
E_Fryer,8145,J Grimm,1172,2016-07-09,Eric Fryer struck out swinging.
E_Fryer,8145,V Nuno,9674,2016-06-26,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,C Friedrich,7942,2016-08-11,Eric Fryer grounded out to pitcher (Grounder).
E_Fryer,8145,J Grimm,1172,2016-05-24,Eric Fryer flied out to right (Fly). Brandon Moss advanced to 3B.
E_Fryer,8145,R Stripling,1327,2016-08-12,Eric Fryer grounded out to pitcher (Grounder).
E_Fryer,8145,Z Greinke,1943,2016-05-22,Eric Fryer grounded out to third (Grounder).
E_Fryer,8145,S Kelley,7773,2016-05-29,Eric Fryer flied out to right (Fly).
E_Fryer,8145,J Lester,4930,2016-07-09,Eric Fryer hit a sacrifice fly to center (Fliner (Fly)). Starling Marte scored. Sean Rodriguez advanced to 3B.
E_Fryer,8145,M Magill,3950,2016-09-17,Eric Fryer sacrificed to catcher (Bunt Grounder). Adam Frazier advanced to 2B.
E_Fryer,8145,S Kelley,7773,2016-09-25,Eric Fryer struck out swinging.
E_Fryer,8145,B Suter,1394,2016-08-27,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,P Strop,4070,2016-09-28,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,A Chafin,1298,2016-04-25,Eric Fryer lined out to first (Fliner (Liner)).
E_Fryer,8145,A Wainwright,2233,2016-07-07,Eric Fryer lined out to pitcher (Liner).
E_Fryer,8145,N Vincent,7555,2016-06-26,Eric Fryer fouled out to first (Fly).
E_Fryer,8145,A Wainwright,2233,2016-10-02,Eric Fryer struck out looking.
E_Fryer,8145,J Thompson,1437,2016-09-14,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,R Stripling,1327,2016-08-12,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,C Friedrich,7942,2016-08-11,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,J Nelson,1054,2016-08-27,Eric Fryer grounded out to pitcher (Grounder).
E_Fryer,8145,D Straily,9460,2016-08-07,Eric Fryer flied out to center (Fliner (Fly)).
E_Fryer,8145,D Roach,1062,2016-06-26,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,S Strasburg,1013,2016-07-15,Eric Fryer flied out to right (Fly).
E_Fryer,8145,M Leake,1013,2016-07-05,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,D Roach,1062,2016-06-24,Eric Fryer reached on fielder's choice to shortstop (Grounder). Brandon Moss out at third.
E_Fryer,8145,J Lackey,1507,2016-07-10,Eric Fryer lined out to first (Liner).
E_Fryer,8145,A Schugel,1143,2016-06-10,Eric Fryer struck out swinging.
E_Fryer,8145,C Martinez,1168,2016-09-30,Eric Fryer grounded out to third (Grounder).
E_Fryer,8145,C Friedrich,7942,2016-08-11,Eric Fryer was caught stealing. Josh Harrison advanced to 2B.
E_Fryer,8145,A Wood,1378,2016-05-15,Eric Fryer struck out swinging.
E_Fryer,8145,A Morgan,1258,2016-05-04,Eric Fryer grounded out to catcher (Grounder).
E_Fryer,8145,S Strasburg,1013,2016-07-15,Eric Fryer flied out to second (Fly).
E_Fryer,8145,J Arrieta,4153,2016-09-28,Eric Fryer struck out swinging.
E_Fryer,8145,T Jenkins,1137,2016-08-04,Eric Fryer grounded out to third (Grounder).
E_Fryer,8145,N Wittgren,1559,2016-08-21,Eric Fryer sacrificed to catcher (Bunt Grounder). Sean Rodriguez advanced to 2B.
E_Fryer,8145,G Cole,1312,2016-06-10,Eric Fryer struck out looking.
E_Fryer,8145,A Wainwright,2233,2016-07-07,Eric Fryer flied out to right (Fly).
E_Fryer,8145,D Straily,9460,2016-08-07,Eric Fryer flied out to right (Fliner (Fly)).
E_Fryer,8145,T Roark,8753,2016-07-16,Eric Fryer grounded out to shortstop (Grounder).
E_Fryer,8145,A Wainwright,2233,2016-10-02,Eric Fryer was caught stealing.
E_Fryer,8145,E Jackson,1841,2016-08-10,Eric Fryer grounded into a double play to shortstop (Grounder). Jung Ho Kang out at second.
E_Fryer,8145,M Perez,6902,2016-06-19,Eric Fryer was caught stealing.
