playername,playerid,vsname,vsid,date,Play
E_Gamboa,6911,D DeShields,1137,2016-10-02,Delino DeShields struck out swinging.
E_Gamboa,6911,X Bogaerts,1216,2016-09-25,Xander Bogaerts flied out to left (Fliner (Liner)).
E_Gamboa,6911,E Andrus,8709,2016-10-02,Elvis Andrus struck out swinging.
E_Gamboa,6911,N Mazara,1455,2016-10-02,Nomar Mazara struck out looking.
E_Gamboa,6911,J Coats,1428,2016-09-28,Jason Coats grounded out to second (Grounder).
E_Gamboa,6911,A Garcia,5760,2016-09-28,Avisail Garcia flied out to left (Fly).
E_Gamboa,6911,M Cabrera,4022,2016-09-28,Melky Cabrera grounded out to second (Grounder).
E_Gamboa,6911,M Betts,1361,2016-09-25,Mookie Betts fouled out to first (Fly).
E_Gamboa,6911,M Betts,1361,2016-09-24,Mookie Betts grounded into a double play to shortstop (Grounder). David Ortiz out at second.
E_Gamboa,6911,M Williams,1185,2016-09-20,Mason Williams flied out to left (Fliner (Liner)).
E_Gamboa,6911,M Teixeira,1281,2016-09-20,Mark Teixeira flied out to right (Fly).
E_Gamboa,6911,M Saunders,9981,2016-09-02,Michael Saunders struck out swinging.
E_Gamboa,6911,B Gardner,9927,2016-09-20,Brett Gardner grounded out to pitcher (Grounder).
E_Gamboa,6911,H Kim,1871,2016-09-05,Hyun Soo Kim grounded out to shortstop (Grounder).
E_Gamboa,6911,M Machado,1149,2016-09-05,Manny Machado fouled out to third (Fly).
E_Gamboa,6911,C Davis,9272,2016-09-05,Chris Davis flied out to center (Fliner (Liner)).
E_Gamboa,6911,P Alvarez,2495,2016-09-05,Pedro Alvarez grounded out to second (Grounder).
E_Gamboa,6911,M Wieters,4298,2016-09-05,Matt Wieters struck out swinging.
E_Gamboa,6911,J Schoop,1126,2016-09-05,Jonathan Schoop grounded out to pitcher (Grounder).
E_Gamboa,6911,J Hardy,3797,2016-09-05,J.J. Hardy flied out to right (Fly).
E_Gamboa,6911,M Hernandez,1315,2016-09-25,Marco Hernandez advanced on a passed ball to 3B. Passed ball by Luke Maile.
E_Gamboa,6911,D Gregorius,6012,2016-09-20,Didi Gregorius singled to pitcher (Bunt Grounder).
E_Gamboa,6911,R Torreyes,1140,2016-09-20,Ronald Torreyes singled to center (Liner). Didi Gregorius advanced to 2B.
E_Gamboa,6911,G Sanchez,1144,2016-09-20,Gary Sanchez walked. Aaron Hicks advanced to 2B.
E_Gamboa,6911,E Encarnacion,2151,2016-09-02,Edwin Encarnacion walked. Josh Donaldson advanced to 2B.
E_Gamboa,6911,Y Sanchez,1160,2016-09-28,Carlos Sanchez singled to center (Fliner (Liner)). Avisail Garcia advanced to 2B.
E_Gamboa,6911,R Rua,1240,2016-10-02,Ryan Rua walked.
E_Gamboa,6911,J Profar,1081,2016-10-02,Jurickson Profar walked. Ryan Rua advanced to 2B.
E_Gamboa,6911,D Ortiz,745&,2016-09-25,David Ortiz doubled to center (Liner). Dustin Pedroia scored on error. David Ortiz advanced to 2B. Error by Luke Maile.
