playername,playerid,vsname,vsid,date,Play
E_Kratz,4403,M Bumgarner,5524,2016-06-20,Erik Kratz homered (Fly).
E_Kratz,4403,D Mengden,1698,2016-07-03,Erik Kratz singled to second (Grounder). Adam Frazier scored. Jordy Mercer advanced to 2B.
E_Kratz,4403,D Coulombe,1329,2016-07-02,Erik Kratz singled to left (Liner).
E_Kratz,4403,S Manaea,1587,2016-04-29,Erik Kratz walked.
E_Kratz,4403,J Papelbon,5975,2016-07-17,Erik Kratz singled to left (Grounder).
E_Kratz,4403,H Hembree,1163,2016-05-12,Erik Kratz fouled out to first (Fly).
E_Kratz,4403,I Nova,1994,2016-04-06,Erik Kratz struck out swinging.
E_Kratz,4403,N Syndergaard,1176,2016-06-15,Erik Kratz struck out swinging.
E_Kratz,4403,J Blanton,4849,2016-06-25,Erik Kratz grounded out to shortstop (Grounder).
E_Kratz,4403,B Colon,375&,2016-06-16,Erik Kratz struck out swinging.
E_Kratz,4403,D Price,3184,2016-05-12,Erik Kratz flied out to right (Fliner (Liner)).
E_Kratz,4403,N Eovaldi,9132,2016-04-07,Erik Kratz grounded out to shortstop (Grounder).
E_Kratz,4403,J Arrieta,4153,2016-07-08,Erik Kratz struck out looking.
E_Kratz,4403,M Bumgarner,5524,2016-06-20,Erik Kratz grounded out to third (Grounder).
E_Kratz,4403,D Price,3184,2016-05-12,Erik Kratz struck out swinging.
E_Kratz,4403,T Walker,1183,2016-04-25,Erik Kratz struck out looking.
E_Kratz,4403,N Eovaldi,9132,2016-04-07,Erik Kratz struck out swinging.
E_Kratz,4403,K Maeda,1849,2016-06-25,Erik Kratz fouled out to catcher (Fly).
E_Kratz,4403,M Scherzer,3137,2016-07-17,Erik Kratz sacrificed to pitcher (Bunt Grounder). Jordy Mercer advanced to 2B.
E_Kratz,4403,K Medlen,9417,2016-04-12,Erik Kratz struck out swinging.
E_Kratz,4403,S Maness,1223,2016-07-04,Erik Kratz struck out swinging.
E_Kratz,4403,N Syndergaard,1176,2016-06-15,Erik Kratz flied out to center (Fly).
E_Kratz,4403,A Suarez,6175,2016-06-23,Erik Kratz struck out swinging.
E_Kratz,4403,S Wright,8185,2016-04-22,Erik Kratz out on a dropped third strike.
E_Kratz,4403,B Colon,375&,2016-06-16,Erik Kratz grounded into a double play to shortstop (Grounder). Jordy Mercer out at second.
E_Kratz,4403,M Bumgarner,5524,2016-06-20,Erik Kratz struck out looking.
E_Kratz,4403,K Maeda,1849,2016-06-25,Erik Kratz struck out swinging.
E_Kratz,4403,W Miley,8779,2016-05-05,Erik Kratz grounded out to third (Grounder).
E_Kratz,4403,B Colon,375&,2016-06-16,Erik Kratz grounded out to third (Grounder).
E_Kratz,4403,C Shreve,1085,2016-04-07,Erik Kratz flied out to left (Fly).
E_Kratz,4403,M Scherzer,3137,2016-07-17,Erik Kratz flied out to left (Fly).
E_Kratz,4403,C Anderson,1279,2016-05-11,Erik Kratz struck out swinging.
E_Kratz,4403,M Scherzer,3137,2016-07-17,Erik Kratz struck out swinging.
E_Kratz,4403,F Rivero,1207,2016-07-17,Erik Kratz grounded out to third (Grounder).
E_Kratz,4403,C Martinez,1168,2016-07-04,Erik Kratz struck out swinging.
E_Kratz,4403,W Miley,8779,2016-05-05,Erik Kratz struck out swinging.
E_Kratz,4403,T Walker,1183,2016-04-25,Erik Kratz struck out swinging.
E_Kratz,4403,T Bauer,1270,2016-05-10,Erik Kratz grounded out to shortstop (Grounder). Luis Valbuena advanced to 3B.
E_Kratz,4403,A Suarez,6175,2016-06-23,Erik Kratz struck out swinging.
E_Kratz,4403,J Lester,4930,2016-06-18,Erik Kratz struck out swinging.
E_Kratz,4403,H Hembree,1163,2016-04-24,Erik Kratz flied out to left (Fliner (Liner)).
E_Kratz,4403,D Mengden,1698,2016-07-03,Erik Kratz reached on fielder's choice to pitcher (Bunt Grounder). Adam Frazier out at third. Jordy Mercer advanced to 2B.
E_Kratz,4403,O Perez,1514,2016-07-17,Erik Kratz flied out to pitcher (Bunt Fly).
E_Kratz,4403,C Allen,1218,2016-05-11,Erik Kratz out on a dropped third strike.
