playername,playerid,vsname,vsid,date,Play
E_Marshall,1229,H Pence,8252,2016-04-19,Hunter Pence grounded into a double play to shortstop (Grounder). Buster Posey out at second.
E_Marshall,1229,J Mercer,6547,2016-04-24,Jordy Mercer grounded into a double play to shortstop (Grounder). Jon Niese out at second.
E_Marshall,1229,A Pagan,2918,2016-04-21,Angel Pagan grounded into a double play to second (Grounder). Brandon Crawford out at second.
E_Marshall,1229,A Pagan,2918,2016-05-14,Angel Pagan grounded out to second (Grounder).
E_Marshall,1229,B Posey,9166,2016-05-14,Buster Posey flied out to center (Fliner (Fly)).
E_Marshall,1229,D Ackley,1009,2016-05-18,Dustin Ackley grounded out to second (Grounder). Jacoby Ellsbury advanced to 3B. Brett Gardner advanced to 2B.
E_Marshall,1229,A Hicks,5297,2016-05-18,Aaron Hicks grounded out to second (Grounder).
E_Marshall,1229,J Panik,1193,2016-05-12,Joe Panik struck out swinging.
E_Marshall,1229,M Duffy,1383,2016-05-12,Matt Duffy flied out to right (Fly).
E_Marshall,1229,A Amarista,9063,2016-04-17,Alexi Amarista grounded out to second (Grounder).
E_Marshall,1229,B Posey,9166,2016-05-12,Buster Posey flied out to right (Fliner (Fly)).
E_Marshall,1229,M Upton Jr.,5015,2016-04-17,Melvin Upton Jr. grounded out to shortstop (Grounder).
E_Marshall,1229,G Polanco,1290,2016-04-24,Gregory Polanco grounded out to first (Grounder). Sean Rodriguez advanced to 3B.
E_Marshall,1229,J Hazelbaker,9399,2016-05-20,Jeremy Hazelbaker grounded out to third (Grounder). Stephen Piscotty scored. Eric Fryer advanced to 3B. Jedd Gyorko advanced to 2B.
E_Marshall,1229,M Maldonado,6887,2016-08-06,Martin Maldonado flied out to first (Fly).
E_Marshall,1229,A Rosales,9682,2016-04-17,Adam Rosales struck out swinging.
E_Marshall,1229,M Duffy,1383,2016-04-21,Matt Duffy grounded out to shortstop (Grounder).
E_Marshall,1229,M Carpenter,8090,2016-05-20,Matt Carpenter grounded out to pitcher (Grounder).
E_Marshall,1229,D Freese,9549,2016-05-24,David Freese was hit by a pitch.
E_Marshall,1229,A Caminero,8992,2016-05-24,Arquimedes Caminero reached on fielder's choice to shortstop (Grounder). Andrew McCutchen out at third. Gregory Polanco advanced to 2B.
E_Marshall,1229,H Kendrick,4229,2016-07-31,Howie Kendrick lined out to second (Liner).
E_Marshall,1229,S Piscotty,1336,2016-05-20,Stephen Piscotty reached on error to third (Grounder). Aledmys Diaz advanced to 3B. Matt Holliday advanced to 2B on error. Error by Jake Lamb.
E_Marshall,1229,J Pederson,1189,2016-07-31,Joc Pederson homered (Fly). Yasiel Puig scored.
E_Marshall,1229,A Diaz,1593,2016-05-20,Aledmys Diaz hit a ground rule double (Fliner (Fly)).
E_Marshall,1229,J Harrison,8202,2016-05-24,Josh Harrison singled to second (Grounder).
E_Marshall,1229,C Figueroa,8790,2016-05-24,Cole Figueroa singled to left (Fliner (Liner)). Josh Harrison scored. Jordy Mercer advanced to 3B. David Freese advanced to 2B.
E_Marshall,1229,E Fryer,8145,2016-05-20,Eric Fryer singled to center (Fliner (Liner)). Aledmys Diaz scored. Matt Holliday advanced to 3B. Stephen Piscotty advanced to 2B.
E_Marshall,1229,J Gyorko,1081,2016-05-20,Jedd Gyorko singled to left (Grounder). Matt Holliday scored. Stephen Piscotty advanced to 3B. Eric Fryer advanced to 2B.
E_Marshall,1229,C Carter,9911,2016-08-06,Chris Carter walked.
E_Marshall,1229,S Marte,9241,2016-05-26,Starling Marte doubled to right (Fliner (Liner)). Andrew McCutchen scored. Jung Ho Kang advanced to 3B.
E_Marshall,1229,B McCann,4810,2016-05-18,Brian McCann was intentionally walked.
E_Marshall,1229,C Blackmon,7859,2016-05-11,Charlie Blackmon singled to shortstop (Grounder).
E_Marshall,1229,H Perez,5751,2016-08-06,Hernan Perez doubled to left (Fliner (Liner)).
E_Marshall,1229,B Crawford,5343,2016-04-21,Brandon Crawford walked.
E_Marshall,1229,B Gardner,9927,2016-05-18,Brett Gardner singled to left (Grounder). Jacoby Ellsbury advanced to 2B.
E_Marshall,1229,H Pence,8252,2016-05-14,Hunter Pence walked.
E_Marshall,1229,J Kang,1718,2016-05-26,Jung Ho Kang singled to left (Grounder). Sean Rodriguez scored. Jordy Mercer scored. Andrew McCutchen advanced to 2B.
E_Marshall,1229,R Raburn,2218,2016-05-11,Ryan Raburn doubled to center (Fliner (Fly)). Charlie Blackmon scored. Mark Reynolds scored.
E_Marshall,1229,J Ellsbury,4727,2016-05-18,Brian McCann advanced on a wild pitch to 2B. Jacoby Ellsbury scored. Brett Gardner advanced to 3B.
E_Marshall,1229,J Harrison,8202,2016-04-24,Josh Harrison doubled to right (Fliner (Liner)).
