playername,playerid,vsname,vsid,date,Play
E_O'Flaherty,5746,T Shaw,1198,2016-04-28,Travis Shaw grounded into a double play to second (Grounder). Hanley Ramirez out at second.
E_O'Flaherty,5746,C Seager,1362,2016-04-21,Corey Seager singled to right (Liner). Clayton Kershaw out at home. Chase Utley advanced to 2B. Corey Seager
E_O'Flaherty,5746,G Garcia,1095,2016-08-07,Greg Garcia grounded out to first (Grounder).
E_O'Flaherty,5746,R Grossman,5254,2016-08-17,Robbie Grossman flied out to second (Fly).
E_O'Flaherty,5746,K Gibson,1012,2016-08-17,Kyle Gibson struck out swinging.
E_O'Flaherty,5746,I Suzuki,1101,2016-05-28,Ichiro Suzuki flied out to center (Fliner (Liner)).
E_O'Flaherty,5746,B Moss,4467,2016-04-10,Brandon Moss flied out to right (Fly).
E_O'Flaherty,5746,C Yelich,1147,2016-05-28,Christian Yelich struck out looking.
E_O'Flaherty,5746,D Murphy,4316,2016-04-11,Daniel Murphy flied out to center (Fliner (Fly)).
E_O'Flaherty,5746,J Villar,1007,2016-08-10,Jonathan Villar grounded out to third (Grounder).
E_O'Flaherty,5746,J Hellickson,4371,2016-07-30,Jeremy Hellickson flied out to center (Fliner (Fly)).
E_O'Flaherty,5746,B Harper,1157,2016-04-11,Bryce Harper struck out looking.
E_O'Flaherty,5746,M Conforto,1637,2016-04-22,Michael Conforto lined out to shortstop (Fliner (Liner)). Juan Lagares out at third.
E_O'Flaherty,5746,J Parker,1162,2016-06-02,Jarrett Parker grounded into a double play to second (Grounder). Brandon Belt advanced to 3B. Brandon Crawford out at second.
E_O'Flaherty,5746,J Bour,9744,2016-04-15,Justin Bour grounded out to second (Grounder). Martin Prado advanced to 3B.
E_O'Flaherty,5746,C Seager,1362,2016-06-04,Corey Seager flied out to third (Fly).
E_O'Flaherty,5746,B Holt,9345,2016-04-26,Brock Holt struck out swinging.
E_O'Flaherty,5746,D Freese,9549,2016-05-16,David Freese struck out swinging.
E_O'Flaherty,5746,P Goldschmidt,9218,2016-05-06,Paul Goldschmidt grounded out to shortstop (Grounder).
E_O'Flaherty,5746,A McCutchen,9847,2016-05-16,Andrew McCutchen struck out swinging.
E_O'Flaherty,5746,C Vazquez,9774,2016-04-26,Christian Vazquez grounded out to shortstop (Grounder).
E_O'Flaherty,5746,G Blanco,3123,2016-06-02,Gregor Blanco flied out to center (Fliner (Fly)).
E_O'Flaherty,5746,C Granderson,4747,2016-04-22,Curtis Granderson lined out to shortstop (Liner).
E_O'Flaherty,5746,F Galvis,6609,2016-05-12,Freddy Galvis flied out to right (Fliner (Liner)).
E_O'Flaherty,5746,A Rizzo,3473,2016-06-11,Anthony Rizzo grounded out to first (Grounder).
E_O'Flaherty,5746,D Wright,3787,2016-05-02,David Wright flied out to center (Fliner (Fly)).
E_O'Flaherty,5746,B Zobrist,7435,2016-06-11,Ben Zobrist grounded out to third (Grounder).
E_O'Flaherty,5746,B Moss,4467,2016-08-06,Brandon Moss struck out swinging.
E_O'Flaherty,5746,A Duvall,1095,2016-07-18,Adam Duvall fouled out to right (Fly). Joey Votto advanced to 3B.
E_O'Flaherty,5746,B Posey,9166,2016-05-31,Buster Posey struck out looking.
E_O'Flaherty,5746,C Coghlan,6878,2016-06-11,Chris Coghlan struck out swinging.
E_O'Flaherty,5746,B Hamilton,1019,2016-07-20,Billy Hamilton flied out to center (Fly).
E_O'Flaherty,5746,Y Cespedes,1311,2016-05-02,Yoenis Cespedes flied out to center (Fly).
