playername,playerid,vsname,vsid,date,Play
E_Ramirez,1031,J Iglesias,1023,2016-05-20,Jose Iglesias grounded into a double play to third (Grounder). James McCann out at second.
E_Ramirez,1031,M Cabrera,4022,2016-09-29,Melky Cabrera grounded into a double play to shortstop (Grounder). Tim Anderson out at second.
E_Ramirez,1031,T Plouffe,7462,2016-06-02,Trevor Plouffe grounded into a double play to third (Grounder). Brian Dozier out at second.
E_Ramirez,1031,T Shaw,1198,2016-04-21,Travis Shaw flied out to left (Fly).
E_Ramirez,1031,C Headley,4720,2016-07-31,Chase Headley grounded into a double play to second (Grounder). Brian McCann out at second.
E_Ramirez,1031,M Betts,1361,2016-04-21,Mookie Betts struck out looking.
E_Ramirez,1031,J Schoop,1126,2016-04-26,Jonathan Schoop grounded into a double play to shortstop (Grounder). Pedro Alvarez out at second.
E_Ramirez,1031,S Moya,1185,2016-06-30,Steven Moya hit a sacrifice fly to right (Fly). Victor Martinez scored.
E_Ramirez,1031,M Ozuna,1032,2016-05-23,Marcell Ozuna struck out swinging.
E_Ramirez,1031,E Nunez,6848,2016-06-03,Eduardo Nunez grounded into a double play to third (Grounder). Byron Buxton out at second.
E_Ramirez,1031,M Semien,1253,2016-07-22,Marcus Semien grounded out to third (Grounder).
E_Ramirez,1031,Y Escobar,4191,2016-05-07,Yunel Escobar grounded out to second (Grounder).
E_Ramirez,1031,Y Grandal,1136,2016-05-04,Yasmani Grandal grounded out to third (Grounder).
E_Ramirez,1031,D Valencia,6364,2016-05-15,Danny Valencia struck out swinging.
E_Ramirez,1031,E Nunez,6848,2016-06-02,Eduardo Nunez grounded out to third (Grounder).
E_Ramirez,1031,D Pedroia,8370,2016-04-21,Dustin Pedroia flied out to left (Fly).
E_Ramirez,1031,D Nava,5450,2016-07-04,Daniel Nava flied out to left (Fliner (Fly)).
E_Ramirez,1031,K Suzuki,8259,2016-08-05,Kurt Suzuki fouled out to first (Fliner (Fly)).
E_Ramirez,1031,J Turner,5235,2016-05-04,Justin Turner grounded out to third (Grounder).
E_Ramirez,1031,R Cano,3269,2016-06-15,Robinson Cano grounded out to first (Grounder). Ketel Marte advanced to 3B.
E_Ramirez,1031,P Gosselin,1095,2016-06-08,Phil Gosselin grounded out to shortstop (Grounder).
E_Ramirez,1031,D Gregorius,6012,2016-04-23,Didi Gregorius grounded out to second (Grounder).
E_Ramirez,1031,E Gattis,1100,2016-06-11,Evan Gattis flied out to third (Fliner (Fly)).
E_Ramirez,1031,J Schoop,1126,2016-06-25,Jonathan Schoop flied out to left (Fly).
E_Ramirez,1031,X Bogaerts,1216,2016-08-22,Xander Bogaerts grounded out to third (Grounder).
E_Ramirez,1031,B Dozier,9810,2016-06-05,Brian Dozier struck out swinging.
E_Ramirez,1031,J Abreu,1567,2016-04-16,Jose Abreu grounded into a double play to shortstop (Grounder). Adam Eaton out at second.
E_Ramirez,1031,M Betts,1361,2016-04-19,Mookie Betts grounded out to third (Grounder).
E_Ramirez,1031,D Butera,3411,2016-05-30,Drew Butera grounded out to third (Grounder).
E_Ramirez,1031,M Teixeira,1281,2016-04-23,Mark Teixeira struck out swinging.
E_Ramirez,1031,J Bautista,1887,2016-04-30,Jose Bautista grounded out to third (Grounder).
E_Ramirez,1031,J Donaldson,5038,2016-04-30,Josh Donaldson struck out looking.
