playername,playerid,vsname,vsid,date,Play
E_Romero,4001,J McCann,1285,2016-05-20,James McCann grounded into a double play to shortstop (Grounder). Cameron Maybin out at second.
E_Romero,4001,C Maybin,5223,2016-05-20,Cameron Maybin reached on fielder's choice to shortstop (Grounder). Justin Upton out at second.
E_Romero,4001,J Realmuto,1173,2016-05-24,J.T. Realmuto flied out to right (Fly).
E_Romero,4001,B McCann,4810,2016-09-08,Brian McCann flied out to right (Fliner (Fly)).
E_Romero,4001,D Navarro,3179,2016-04-17,Dioner Navarro flied out to right (Fly).
E_Romero,4001,M Teixeira,1281,2016-04-23,Mark Teixeira fouled out to third (Fly).
E_Romero,4001,C Headley,4720,2016-09-08,Chase Headley flied out to second (Fly).
E_Romero,4001,S Smith,7331,2016-05-11,Seth Smith flied out to center (Fliner (Liner)).
E_Romero,4001,C Young,3882,2016-08-30,Chris Young struck out swinging.
E_Romero,4001,J Bradley Jr.,1298,2016-04-21,Jackie Bradley Jr. struck out swinging.
E_Romero,4001,D Ortiz,745&,2016-08-25,David Ortiz struck out looking.
E_Romero,4001,C Davis,9272,2016-04-26,Chris Davis grounded out to shortstop (Grounder).
E_Romero,4001,P Alvarez,2495,2016-04-25,Pedro Alvarez flied out to first (Fly).
E_Romero,4001,B Holt,9345,2016-04-21,Brock Holt struck out looking.
E_Romero,4001,M Kepler,1214,2016-06-04,Max Kepler out on a dropped third strike.
E_Romero,4001,J Smoak,9054,2016-04-04,Justin Smoak struck out swinging.
E_Romero,4001,A Hill,6104,2016-08-22,Aaron Hill grounded into a double play to third (Grounder). Jackie Bradley Jr. out at second.
E_Romero,4001,R Goins,9807,2016-04-30,Ryan Goins grounded out to pitcher (Grounder).
E_Romero,4001,A Rodriguez,1274,2016-05-28,Alex Rodriguez struck out swinging.
E_Romero,4001,J Centeno,7168,2016-06-04,Juan Centeno struck out swinging.
E_Romero,4001,J Bradley Jr.,1298,2016-06-28,Jackie Bradley Jr. reached on fielder's choice to first (Grounder). David Ortiz advanced to 3B. Hanley Ramirez out at second.
E_Romero,4001,E Nunez,6848,2016-06-04,Eduardo Nunez flied out to right (Fly).
E_Romero,4001,J Bradley Jr.,1298,2016-08-24,Jackie Bradley Jr. struck out swinging.
E_Romero,4001,F Lindor,1291,2016-06-21,Francisco Lindor flied out to right (Fly).
E_Romero,4001,C Davis,9272,2016-07-16,Chris Davis doubled to left (Fliner (Liner)). Mark Trumbo out at home.
E_Romero,4001,R Goins,9807,2016-04-03,Ryan Goins struck out swinging.
E_Romero,4001,A Beltre,639&,2016-09-30,Adrian Beltre flied out to second (Fly).
E_Romero,4001,F Gutierrez,3255,2016-05-10,Franklin Gutierrez fouled out to first (Fly).
E_Romero,4001,R Mondesi,1376,2016-08-01,Raul Mondesi grounded out to third (Grounder).
E_Romero,4001,J Mauer,1857,2016-06-04,Joe Mauer flied out to right (Fliner (Liner)).
