playername,playerid,vsname,vsid,date,Play
E_Surkamp,2540,T Plouffe,7462,2016-05-31,Trevor Plouffe grounded into a double play to third (Grounder). Miguel Sano out at second.
E_Surkamp,2540,D Gregorius,6012,2016-04-19,Didi Gregorius was caught stealing.
E_Surkamp,2540,R Grossman,5254,2016-05-31,Robbie Grossman reached on fielder's choice to shortstop (Grounder). Trevor Plouffe out at second.
E_Surkamp,2540,A Pujols,1177,2016-04-13,Albert Pujols flied out to right (Fly).
E_Surkamp,2540,R Cano,3269,2016-04-08,Robinson Cano flied out to center (Fly).
E_Surkamp,2540,H Ramirez,8001,2016-05-11,Hanley Ramirez fouled out to catcher (Fly).
E_Surkamp,2540,T Tulowitzki,3531,2016-04-24,Troy Tulowitzki struck out swinging.
E_Surkamp,2540,S Castro,4579,2016-04-19,Starlin Castro flied out to first (Fly).
E_Surkamp,2540,C Gentry,9571,2016-04-13,Craig Gentry grounded out to second (Grounder).
E_Surkamp,2540,C Gentry,9571,2016-04-13,Craig Gentry flied out to right (Fliner (Fly)).
E_Surkamp,2540,J Bandy,1250,2016-06-24,Jett Bandy flied out to center (Fly).
E_Surkamp,2540,B McCann,4810,2016-04-19,Brian McCann flied out to center (Fliner (Liner)).
E_Surkamp,2540,C Cron,1254,2016-04-13,C.J. Cron flied out to right (Fly).
E_Surkamp,2540,E Encarnacion,2151,2016-04-24,Edwin Encarnacion grounded out to third (Grounder).
E_Surkamp,2540,X Bogaerts,1216,2016-05-11,Xander Bogaerts struck out swinging.
E_Surkamp,2540,B McCann,4810,2016-04-19,Brian McCann struck out swinging.
E_Surkamp,2540,A Hicks,5297,2016-04-19,Aaron Hicks reached on fielder's choice to third (Grounder). Alex Rodriguez out at second.
E_Surkamp,2540,B McCann,4810,2016-04-19,Brian McCann flied out to center (Fly).
E_Surkamp,2540,K Marte,1361,2016-04-08,Ketel Marte hit a sacrifice fly to center (Fliner (Liner)). Leonys Martin scored.
E_Surkamp,2540,K Suzuki,8259,2016-05-31,Kurt Suzuki fouled out to first (Fliner (Fly)).
E_Surkamp,2540,D Lee,1872,2016-04-08,Dae-Ho Lee struck out swinging.
E_Surkamp,2540,A Pujols,1177,2016-06-24,Albert Pujols reached on fielder's choice to shortstop (Grounder). Mike Trout out at second.
E_Surkamp,2540,C Headley,4720,2016-04-19,Chase Headley struck out swinging.
E_Surkamp,2540,H Ramirez,8001,2016-05-11,Hanley Ramirez grounded out to second (Grounder).
E_Surkamp,2540,J Smoak,9054,2016-04-24,Justin Smoak struck out looking.
E_Surkamp,2540,B Buxton,1416,2016-05-31,Byron Buxton struck out looking.
E_Surkamp,2540,A Hicks,5297,2016-04-19,Aaron Hicks lined out to third (Liner).
E_Surkamp,2540,M Trout,1015,2016-06-19,Mike Trout flied out to right (Fly). Yunel Escobar advanced to 3B.
E_Surkamp,2540,L Martin,1184,2016-04-08,Leonys Martin flied out to center (Fly).
E_Surkamp,2540,A Simmons,1084,2016-04-13,Andrelton Simmons flied out to center (Fliner (Fly)).
E_Surkamp,2540,J Giavotella,6740,2016-06-24,Johnny Giavotella flied out to center (Fliner (Fly)).
E_Surkamp,2540,M Betts,1361,2016-05-11,Mookie Betts struck out swinging.
E_Surkamp,2540,B Gardner,9927,2016-04-19,Brett Gardner fouled out to third (Fly).
E_Surkamp,2540,C Perez,1064,2016-04-13,Carlos Perez grounded out to third (Grounder).
E_Surkamp,2540,O Arcia,1030,2016-05-31,Oswaldo Arcia grounded out to first (Grounder).
E_Surkamp,2540,E Nunez,6848,2016-05-31,Eduardo Nunez flied out to first (Fly).
E_Surkamp,2540,C Iannetta,8267,2016-04-08,Chris Iannetta grounded out to second (Grounder).
E_Surkamp,2540,P Fielder,4613,2016-06-14,Prince Fielder grounded out to second (Grounder).
E_Surkamp,2540,C Cron,1254,2016-06-24,C.J. Cron grounded out to first (Grounder).
E_Surkamp,2540,K Marte,1361,2016-04-08,Ketel Marte grounded out to third (Grounder).
E_Surkamp,2540,C Headley,4720,2016-04-19,Chase Headley flied out to center (Fly).
E_Surkamp,2540,S Robinson,4249,2016-06-19,Shane Robinson struck out swinging.
E_Surkamp,2540,C Perez,1064,2016-04-13,Carlos Perez flied out to left (Fliner (Liner)).
E_Surkamp,2540,S Castro,4579,2016-04-19,Starlin Castro lined out to third (Liner).
E_Surkamp,2540,J Giavotella,6740,2016-04-13,Johnny Giavotella flied out to right (Fliner (Fly)).
E_Surkamp,2540,B Dozier,9810,2016-05-31,Brian Dozier struck out swinging.
E_Surkamp,2540,J Marte,5107,2016-06-24,Jefry Marte struck out swinging.
E_Surkamp,2540,J Profar,1081,2016-06-14,Jurickson Profar struck out swinging.
E_Surkamp,2540,D Gregorius,6012,2016-04-19,Didi Gregorius flied out to left (Fliner (Fly)).
E_Surkamp,2540,E Carrera,9048,2016-04-24,Ezequiel Carrera flied out to second (Fliner (Fly)).
E_Surkamp,2540,A Simmons,1084,2016-06-19,Andrelton Simmons flied out to right (Fliner (Fly)).
E_Surkamp,2540,J Mauer,1857,2016-05-31,Joe Mauer grounded out to second (Grounder).
E_Surkamp,2540,J Bandy,1250,2016-06-24,Jett Bandy flied out to right (Fly).
E_Surkamp,2540,M Betts,1361,2016-05-11,Mookie Betts grounded out to shortstop (Grounder).
E_Surkamp,2540,J Smoak,9054,2016-04-24,Justin Smoak flied out to center (Fly).
E_Surkamp,2540,E Encarnacion,2151,2016-04-24,Edwin Encarnacion walked.
E_Surkamp,2540,I Desmond,6885,2016-06-14,Ian Desmond singled to center (Grounder).
E_Surkamp,2540,M Sano,1216,2016-05-31,Miguel Sano reached on fielder's choice to third (Grounder). Eduardo Nunez scored. Brian Dozier advanced to 3B. Joe Mauer out at second.
E_Surkamp,2540,M Teixeira,1281,2016-04-19,Mark Teixeira walked.
E_Surkamp,2540,M Teixeira,1281,2016-04-19,Mark Teixeira walked.
E_Surkamp,2540,T Tulowitzki,3531,2016-04-24,Troy Tulowitzki was intentionally walked.
E_Surkamp,2540,J Donaldson,5038,2016-04-24,Josh Donaldson walked.
E_Surkamp,2540,J Giavotella,6740,2016-04-13,Johnny Giavotella walked.
E_Surkamp,2540,R Rua,1240,2016-06-14,Ryan Rua hit a sacrifice fly to right (Fliner (Fly)). Shin-Soo Choo scored.
E_Surkamp,2540,R Odor,1228,2016-06-14,Rougned Odor singled to right (Fliner (Liner)). Prince Fielder advanced to 2B.
E_Surkamp,2540,R Cano,3269,2016-04-08,Robinson Cano singled to left (Grounder).
E_Surkamp,2540,D Pedroia,8370,2016-05-11,Dustin Pedroia advanced on a stolen base to 2B.
E_Surkamp,2540,C Headley,4720,2016-04-19,Chase Headley singled to left (Grounder).
E_Surkamp,2540,M Trout,1015,2016-06-19,Mike Trout singled to left (Liner). Yunel Escobar advanced to 2B.
E_Surkamp,2540,D Ortiz,745&,2016-05-11,David Ortiz walked.
E_Surkamp,2540,C Beltran,589&,2016-04-19,Carlos Beltran doubled to center (Fliner (Liner)).
E_Surkamp,2540,J Marte,5107,2016-06-24,Jefry Marte singled to center (Fliner (Liner)). C.J. Cron advanced to 3B.
