playername,playerid,vsname,vsid,date,Play
G_Cole,1312,C Gonzalez,7287,2016-05-20,Carlos Gonzalez lined out to third (Liner). Nolan Arenado out at second.
G_Cole,1312,C Johnson,1191,2016-05-31,Chris Johnson lined out to second (Liner).
G_Cole,1312,C Gonzalez,7287,2016-04-26,Carlos Gonzalez struck out swinging.
G_Cole,1312,T Joseph,1034,2016-07-22,Tommy Joseph grounded into a double play to shortstop (Grounder). Maikel Franco out at second.
G_Cole,1312,M Ozuna,1032,2016-05-31,Marcell Ozuna reached on fielder's choice to third (Grounder). Ichiro Suzuki out at home. J.T. Realmuto advanced to 3B. Marcell Ozuna advanced to 2B.
G_Cole,1312,M Ozuna,1032,2016-08-19,Marcell Ozuna grounded into a double play to shortstop (Grounder). Christian Yelich out at second.
G_Cole,1312,P Corbin,9323,2016-05-26,Patrick Corbin grounded out to second (Grounder).
G_Cole,1312,M Rojas,7802,2016-08-19,Miguel Rojas struck out swinging.
G_Cole,1312,X Scruggs,7409,2016-08-19,Xavier Scruggs grounded into a double play to pitcher (Grounder). J.T. Realmuto out at second.
G_Cole,1312,J Bour,9744,2016-05-31,Justin Bour fouled out to left (Fly).
G_Cole,1312,J Hazelbaker,9399,2016-05-08,Jeremy Hazelbaker struck out looking.
G_Cole,1312,C Seager,1362,2016-08-13,Corey Seager grounded into a double play to second (Grounder). Chase Utley scored. Josh Reddick out at second.
G_Cole,1312,B Moss,4467,2016-05-08,Brandon Moss struck out swinging.
G_Cole,1312,C Blackmon,7859,2016-05-20,Charlie Blackmon singled to left (Fliner (Liner)). Dustin Garneau out at home. Charlie Blackmon
G_Cole,1312,C Asche,1199,2016-07-22,Cody Asche struck out swinging.
G_Cole,1312,M Foltynewicz,1081,2016-08-02,Mike Foltynewicz grounded out to pitcher (Grounder).
G_Cole,1312,W Myers,1004,2016-04-21,Wil Myers struck out looking.
G_Cole,1312,P Goldschmidt,9218,2016-05-26,Paul Goldschmidt grounded into a double play to second (Grounder). Michael Bourn out at second.
G_Cole,1312,C Yelich,1147,2016-05-31,Christian Yelich struck out swinging.
G_Cole,1312,I Kinsler,6195,2016-04-14,Ian Kinsler grounded into a double play to shortstop (Grounder). Jordan Zimmermann out at second.
G_Cole,1312,A Reed,1624,2016-08-24,A.J. Reed struck out swinging.
G_Cole,1312,D LeMahieu,9874,2016-04-26,DJ LeMahieu was forced out.
G_Cole,1312,A Ellis,5677,2016-08-13,A.J. Ellis flied out to left (Fliner (Fly)).
G_Cole,1312,M Szczur,1125,2016-05-02,Matt Szczur struck out swinging.
G_Cole,1312,T La Stella,1237,2016-05-15,Tommy La Stella flied out to center (Fliner (Fly)).
G_Cole,1312,M Adams,9393,2016-06-10,Matt Adams struck out swinging.
G_Cole,1312,D LeMahieu,9874,2016-05-20,DJ LeMahieu lined out to first (Liner).
G_Cole,1312,D Ross,1551,2016-05-02,David Ross lined out to second (Liner).
G_Cole,1312,S Smith,7331,2016-07-27,Seth Smith struck out swinging.
G_Cole,1312,R Andino,4900,2016-08-19,Robert Andino flied out to right (Fliner (Liner)).
G_Cole,1312,J Peralta,1738,2016-06-10,Jhonny Peralta grounded out to pitcher (Grounder).
G_Cole,1312,A Lind,8027,2016-07-27,Adam Lind struck out swinging.
G_Cole,1312,J Heyward,4940,2016-05-15,Jason Heyward struck out swinging.
G_Cole,1312,M Ozuna,1032,2016-08-19,Marcell Ozuna struck out swinging.
G_Cole,1312,C Utley,1679,2016-08-13,Chase Utley struck out swinging.
G_Cole,1312,S Piscotty,1336,2016-05-08,Stephen Piscotty flied out to right (Fliner (Fly)).
G_Cole,1312,F Freeman,5361,2016-08-02,Freddie Freeman struck out swinging.
G_Cole,1312,Z Eflin,1377,2016-07-22,Zach Eflin struck out swinging.
G_Cole,1312,D Gordon,8203,2016-08-19,Dee Gordon grounded out to catcher (Grounder).
G_Cole,1312,J Fields,5070,2016-08-13,Josh Fields struck out swinging.
G_Cole,1312,M Kemp,5631,2016-08-02,Matt Kemp grounded out to shortstop (Grounder).
G_Cole,1312,G Parra,8553,2016-05-20,Gerardo Parra flied out to center (Fly).
G_Cole,1312,M Ozuna,1032,2016-08-19,Marcell Ozuna grounded out to third (Grounder).
G_Cole,1312,C Hernandez,1055,2016-07-22,Cesar Hernandez flied out to center (Fly).
G_Cole,1312,J Reddick,3892,2016-08-13,Josh Reddick grounded out to pitcher (Grounder).
G_Cole,1312,R Raburn,2218,2016-05-20,Ryan Raburn grounded out to third (Grounder). Dustin Garneau advanced to 2B.
G_Cole,1312,C Perez,1064,2016-06-05,Carlos Perez grounded out to third (Grounder).
G_Cole,1312,G Parra,8553,2016-05-20,Gerardo Parra flied out to center (Fliner (Liner)).
G_Cole,1312,D Gordon,8203,2016-08-19,Dee Gordon grounded out to pitcher (Bunt Grounder). Miguel Rojas advanced to 3B.
G_Cole,1312,M Cabrera,1744,2016-04-14,Miguel Cabrera struck out swinging.
G_Cole,1312,K Bryant,1542,2016-05-15,Kris Bryant fouled out to first (Fly).
G_Cole,1312,R Howard,2154,2016-09-12,Ryan Howard struck out swinging.
G_Cole,1312,J Reddick,3892,2016-08-13,Josh Reddick reached on fielder's choice to second (Grounder). Julio Urias out at second.
G_Cole,1312,T Story,1256,2016-05-20,Trevor Story flied out to center (Fliner (Fly)).
G_Cole,1312,K Bryant,1542,2016-05-02,Kris Bryant flied out to right (Fliner (Liner)).
G_Cole,1312,E Aybar,4082,2016-08-02,Erick Aybar fouled out to third (Fly).
G_Cole,1312,M Foltynewicz,1081,2016-08-02,Mike Foltynewicz grounded out to second (Grounder).
G_Cole,1312,A Rizzo,3473,2016-05-15,Anthony Rizzo flied out to center (Fliner (Fly)).
G_Cole,1312,M Montero,3364,2016-05-15,Miguel Montero struck out swinging.
G_Cole,1312,D Garneau,9433,2016-05-20,Dustin Garneau flied out to right (Fly).
G_Cole,1312,M Wacha,1407,2016-05-08,Michael Wacha struck out swinging.
G_Cole,1312,M Holliday,1873,2016-05-08,Matt Holliday reached on fielder's choice to shortstop (Grounder). Matt Carpenter out at second.
G_Cole,1312,K Calhoun,1120,2016-06-05,Kole Calhoun lined out to first (Liner).
G_Cole,1312,J Baez,1297,2016-05-15,Javier Baez flied out to center (Fliner (Fly)).
G_Cole,1312,C Gonzalez,7287,2016-04-26,Carlos Gonzalez flied out to center (Fliner (Fly)).
G_Cole,1312,M Franco,1217,2016-09-12,Maikel Franco struck out looking.
G_Cole,1312,A Hechavarria,1045,2016-05-31,Adeiny Hechavarria reached on fielder's choice to second (Grounder). Chris Johnson out at second.
G_Cole,1312,C Robinson,6908,2016-07-16,Clint Robinson flied out to right (Fly).
G_Cole,1312,T Wolters,1147,2016-04-26,Tony Wolters grounded out to second (Grounder). Ben Paulsen scored. DJ LeMahieu advanced to 3B.
G_Cole,1312,J Lamb,1332,2016-05-26,Jake Lamb struck out swinging.
G_Cole,1312,F Freeman,5361,2016-08-02,Freddie Freeman flied out to shortstop (Fly).
G_Cole,1312,M Prado,3312,2016-08-19,Martin Prado grounded out to shortstop (Grounder).
G_Cole,1312,B Revere,4712,2016-07-16,Ben Revere struck out swinging.
G_Cole,1312,N Markakis,5930,2016-08-02,Nick Markakis grounded out to second (Grounder).
G_Cole,1312,J Weeks,2498,2016-04-21,Jemile Weeks struck out looking.
G_Cole,1312,C Seager,1362,2016-08-13,Corey Seager grounded out to second (Grounder).
G_Cole,1312,B Moss,4467,2016-05-08,Brandon Moss struck out swinging.
G_Cole,1312,C Blackmon,7859,2016-05-20,Charlie Blackmon was caught stealing.
G_Cole,1312,J Segura,5933,2016-05-26,Jean Segura grounded out to shortstop (Grounder).
G_Cole,1312,S Smith,7331,2016-07-27,Seth Smith grounded out to first (Grounder). Nori Aoki advanced to 3B.
G_Cole,1312,C Rupp,1114,2016-09-12,Cameron Rupp flied out to left (Fliner (Fly)).
G_Cole,1312,J Peterson,1232,2016-08-02,Jace Peterson grounded out to second (Grounder).
G_Cole,1312,M Upton Jr.,5015,2016-04-21,Melvin Upton Jr. struck out looking.
G_Cole,1312,P Bourjos,2578,2016-07-22,Peter Bourjos flied out to left (Fliner (Fly)).
G_Cole,1312,S Schebler,1222,2016-08-07,Scott Schebler struck out looking.
G_Cole,1312,J Heyward,4940,2016-05-15,Jason Heyward fouled out to first (Fliner (Fly)).
G_Cole,1312,J Lamb,1332,2016-05-26,Jake Lamb grounded out to second (Grounder).
G_Cole,1312,A Russell,1410,2016-05-15,Addison Russell lined out to shortstop (Liner).
G_Cole,1312,J Fernandez,1153,2016-05-31,Jose Fernandez grounded out to first (Grounder).
G_Cole,1312,C Gonzalez,7287,2016-05-20,Carlos Gonzalez flied out to shortstop (Fly).
G_Cole,1312,N Markakis,5930,2016-08-02,Nick Markakis struck out swinging.
G_Cole,1312,N Arenado,9777,2016-04-26,Nolan Arenado flied out to right (Fly).
G_Cole,1312,D Dietrich,1054,2016-05-31,Derek Dietrich struck out swinging.
G_Cole,1312,J Martinez,6184,2016-04-14,J.D. Martinez struck out swinging.
G_Cole,1312,C Asche,1199,2016-07-22,Cody Asche struck out looking.
G_Cole,1312,T La Stella,1237,2016-05-02,Tommy La Stella struck out swinging.
G_Cole,1312,W Ramos,1433,2016-07-16,Wilson Ramos flied out to center (Fly).
G_Cole,1312,J Giavotella,6740,2016-06-05,Johnny Giavotella struck out swinging.
G_Cole,1312,E Butler,1345,2016-05-20,Eddie Butler grounded out to first (Grounder).
G_Cole,1312,M Carpenter,8090,2016-05-08,Matt Carpenter flied out to left (Fly).
G_Cole,1312,M Zunino,1326,2016-07-27,Mike Zunino grounded out to third (Grounder).
G_Cole,1312,I Kinsler,6195,2016-04-14,Ian Kinsler struck out looking.
G_Cole,1312,P Bourjos,2578,2016-07-22,Peter Bourjos struck out swinging.
G_Cole,1312,J Pederson,1189,2016-08-13,Joc Pederson grounded out to shortstop (Grounder). Adrian Gonzalez advanced to 2B.
G_Cole,1312,D Ross,1551,2016-05-15,David Ross struck out swinging.
G_Cole,1312,D LeMahieu,9874,2016-04-26,DJ LeMahieu grounded out to second (Grounder). Ben Paulsen advanced to 3B.
G_Cole,1312,R Cano,3269,2016-07-27,Robinson Cano grounded out to pitcher (Grounder).
G_Cole,1312,J Hazelbaker,9399,2016-05-08,Jeremy Hazelbaker struck out swinging.
G_Cole,1312,R Iglesias,1713,2016-04-09,Raisel Iglesias fouled out to first (Bunt Fly).
G_Cole,1312,M Trout,1015,2016-06-05,Mike Trout grounded out to third (Grounder).
G_Cole,1312,L Martin,1184,2016-07-27,Leonys Martin fouled out to third (Fly).
G_Cole,1312,A Duvall,1095,2016-08-07,Adam Duvall reached on fielder's choice to shortstop (Grounder). Joey Votto out at second.
G_Cole,1312,A Rizzo,3473,2016-05-15,Anthony Rizzo flied out to left (Fly).
G_Cole,1312,C Johnson,1191,2016-05-31,Chris Johnson lined out to shortstop (Liner).
G_Cole,1312,B Drury,1161,2016-05-26,Brandon Drury struck out looking.
G_Cole,1312,B Barnes,629&,2016-04-26,Brandon Barnes sacrificed to pitcher (Bunt Grounder). Ben Paulsen advanced to 3B. DJ LeMahieu advanced to 2B.
G_Cole,1312,J Hazelbaker,9399,2016-06-10,Jeremy Hazelbaker sacrificed to third (Bunt Grounder). Brandon Moss advanced to 2B.
G_Cole,1312,J Giavotella,6740,2016-06-05,Johnny Giavotella grounded out to shortstop (Grounder).
G_Cole,1312,A Romine,1159,2016-04-14,Andrew Romine flied out to center (Fly).
G_Cole,1312,A Ramirez,5133,2016-04-21,Alexei Ramirez grounded out to second (Grounder).
G_Cole,1312,M Prado,3312,2016-08-19,Martin Prado grounded out to first (Grounder). Dee Gordon advanced to 2B.
G_Cole,1312,E Suarez,1255,2016-08-07,Eugenio Suarez fouled out to first (Fly).
G_Cole,1312,M Cabrera,1744,2016-04-14,Miguel Cabrera flied out to center (Fliner (Fly)).
G_Cole,1312,K Wong,1253,2016-05-08,Kolten Wong grounded out to shortstop (Grounder).
G_Cole,1312,Y Escobar,4191,2016-06-05,Yunel Escobar grounded out to third (Grounder).
G_Cole,1312,N Castellanos,1173,2016-04-14,Nick Castellanos flied out to right (Fly).
