playername,playerid,vsname,vsid,date,Play
G_Gonzalez,7448,A Altherr,1127,2016-09-11,Aaron Altherr grounded into a double play to third (Grounder). Tommy Joseph advanced to 3B. A.J. Ellis out at second.
G_Gonzalez,7448,M Haniger,1427,2016-09-28,Mitch Haniger grounded into a double play to shortstop (Grounder). Yasmany Tomas advanced to 3B. Jake Lamb out at second.
G_Gonzalez,7448,G Beckham,9015,2016-08-21,Gordon Beckham struck out swinging.
G_Gonzalez,7448,M Williamson,1415,2016-07-31,Mac Williamson grounded into a double play to shortstop (Grounder). Buster Posey out at second.
G_Gonzalez,7448,J De La Cruz,1282,2016-08-21,Joel De La Cruz struck out swinging.
G_Gonzalez,7448,J Lucroy,7870,2016-06-25,Jonathan Lucroy struck out swinging.
G_Gonzalez,7448,A Gordon,5209,2016-05-02,Alex Gordon flied out to right (Fliner (Fly)).
G_Gonzalez,7448,C Hernandez,1055,2016-04-27,Cesar Hernandez flied out to right (Fly).
G_Gonzalez,7448,R Braun,3410,2016-07-05,Ryan Braun grounded into a double play to shortstop (Grounder). Aaron Hill out at second.
G_Gonzalez,7448,S Perez,7304,2016-05-02,Salvador Perez flied out to center (Fly).
G_Gonzalez,7448,C Carter,9911,2016-07-05,Chris Carter lined out to pitcher (Liner).
G_Gonzalez,7448,S Matz,1336,2016-07-10,Steven Matz grounded into a double play to second (Grounder). Alejandro De Aza out at second.
G_Gonzalez,7448,Y Puig,1422,2016-07-20,Yasiel Puig struck out swinging.
G_Gonzalez,7448,C Yelich,1147,2016-05-13,Christian Yelich grounded out to second (Grounder).
G_Gonzalez,7448,N Markakis,5930,2016-09-17,Nick Markakis grounded into a double play to third (Grounder). Adonis Garcia scored. Freddie Freeman out at third. Matt Kemp advanced to 2B.
G_Gonzalez,7448,R Flores,1116,2016-07-05,Ramon Flores grounded into a double play to shortstop (Grounder). Will Middlebrooks out at second.
G_Gonzalez,7448,D Wright,3787,2016-05-23,David Wright struck out swinging.
G_Gonzalez,7448,T Federowicz,8609,2016-05-07,Tim Federowicz struck out looking.
G_Gonzalez,7448,J Turner,5235,2016-07-20,Justin Turner grounded into a double play to shortstop (Grounder). Howie Kendrick out at second.
G_Gonzalez,7448,C Carter,9911,2016-07-05,Chris Carter struck out swinging.
G_Gonzalez,7448,C Carter,9911,2016-07-05,Chris Carter struck out swinging.
G_Gonzalez,7448,P Bourjos,2578,2016-04-17,Peter Bourjos fouled out to first (Fly).
G_Gonzalez,7448,F Lindor,1291,2016-07-26,Francisco Lindor flied out to second (Fliner (Fly)).
G_Gonzalez,7448,M Kemp,5631,2016-09-17,Matt Kemp struck out swinging.
G_Gonzalez,7448,B Belt,1026,2016-07-31,Brandon Belt fouled out to third (Fly).
G_Gonzalez,7448,D Descalso,8392,2016-08-26,Daniel Descalso struck out looking.
G_Gonzalez,7448,M Kemp,5631,2016-06-19,Matt Kemp reached on fielder's choice to third (Grounder). Wil Myers out at second.
G_Gonzalez,7448,J Chacin,2608,2016-04-12,Jhoulys Chacin flied out to second (Fly).
G_Gonzalez,7448,G Beckham,9015,2016-08-21,Gordon Beckham flied out to center (Fly).
G_Gonzalez,7448,D Ruf,9929,2016-09-11,Darin Ruf struck out swinging.
G_Gonzalez,7448,T Frazier,785&,2016-06-09,Todd Frazier flied out to center (Fliner (Liner)).
G_Gonzalez,7448,N Walker,7539,2016-05-23,Neil Walker grounded out to first (Grounder).
G_Gonzalez,7448,B Guyer,2636,2016-08-10,Brandon Guyer grounded out to pitcher (Grounder).
G_Gonzalez,7448,Y Grandal,1136,2016-07-20,Yasmani Grandal grounded out to second (Grounder).
G_Gonzalez,7448,J Bell,1314,2016-09-23,Josh Bell struck out swinging.
G_Gonzalez,7448,E Nunez,6848,2016-07-31,Eduardo Nunez flied out to left (Fly).
G_Gonzalez,7448,J Panik,1193,2016-07-31,Joe Panik flied out to right (Fliner (Liner)).
G_Gonzalez,7448,F Galvis,6609,2016-09-11,Freddy Galvis flied out to left (Fly).
G_Gonzalez,7448,H Pence,8252,2016-07-31,Hunter Pence flied out to third (Fly).
G_Gonzalez,7448,J De La Cruz,1282,2016-08-21,Joel De La Cruz struck out swinging.
G_Gonzalez,7448,A Pagan,2918,2016-07-31,Angel Pagan was caught stealing.
G_Gonzalez,7448,C Hernandez,1055,2016-09-11,Cesar Hernandez grounded out to shortstop (Grounder).
G_Gonzalez,7448,J Bruce,9892,2016-06-03,Jay Bruce flied out to shortstop (Fly).
G_Gonzalez,7448,L Cain,9077,2016-05-02,Lorenzo Cain struck out swinging.
G_Gonzalez,7448,R Grichuk,1024,2016-05-28,Randal Grichuk flied out to center (Fly).
G_Gonzalez,7448,S Miller,1019,2016-09-28,Shelby Miller struck out swinging.
G_Gonzalez,7448,J Francoeur,4792,2016-08-21,Jeff Francoeur struck out swinging.
G_Gonzalez,7448,E Aybar,4082,2016-04-12,Erick Aybar reached on fielder's choice to second (Grounder). Adonis Garcia out at second.
G_Gonzalez,7448,E Campbell,6938,2016-05-18,Eric Campbell grounded out to shortstop (Grounder).
G_Gonzalez,7448,A Altherr,1127,2016-08-31,Aaron Altherr grounded out to third (Grounder).
G_Gonzalez,7448,F Freeman,5361,2016-04-12,Freddie Freeman flied out to center (Fliner (Fly)).
G_Gonzalez,7448,A Rizzo,3473,2016-06-14,Anthony Rizzo struck out swinging.
G_Gonzalez,7448,J Taillon,1167,2016-09-23,Jameson Taillon struck out swinging.
G_Gonzalez,7448,T Joseph,1034,2016-08-31,Tommy Joseph struck out looking.
G_Gonzalez,7448,C Hernandez,1055,2016-08-31,Cesar Hernandez flied out to right (Fliner (Liner)).
G_Gonzalez,7448,M Reynolds,1378,2016-05-18,Matt Reynolds flied out to center (Fliner (Fly)).
G_Gonzalez,7448,F Galvis,6609,2016-04-17,Freddy Galvis flied out to left (Fliner (Liner)).
G_Gonzalez,7448,B Drury,1161,2016-09-28,Brandon Drury struck out swinging.
G_Gonzalez,7448,D Wright,3787,2016-05-18,David Wright struck out looking.
G_Gonzalez,7448,C Adames,6013,2016-08-26,Cristhian Adames struck out swinging.
G_Gonzalez,7448,O Infante,1609,2016-05-02,Omar Infante flied out to second (Fly).
