playername,playerid,vsname,vsid,date,Play
G_Green,1005,R Ray,1148,2016-07-09,Grant Green homered (Fly). Brandon Crawford scored.
G_Green,1005,S Miller,1019,2016-07-01,Grant Green singled to center (Grounder). Brandon Belt scored. Conor Gillaspie scored.
G_Green,1005,A Miller,6785,2016-07-22,Grant Green singled to center (Fliner (Fly)). Trevor Brown advanced to 3B.
G_Green,1005,R Ray,1148,2016-07-03,Grant Green singled to center (Liner).
G_Green,1005,D Pomeranz,1142,2016-07-20,Grant Green singled to right (Fliner (Liner)).
G_Green,1005,D Overton,1562,2016-06-30,Grant Green singled to center (Liner).
G_Green,1005,C Reed,1523,2016-07-26,Grant Green hit a sacrifice fly to right (Fliner (Liner)). Buster Posey scored.
G_Green,1005,C Reed,1523,2016-07-26,Grant Green grounded out to second (Grounder). Mac Williamson scored. Brandon Crawford advanced to 3B. Brandon Belt advanced to 2B.
G_Green,1005,R Delgado,5985,2016-07-01,Grant Green singled to right (Grounder).
G_Green,1005,A Triggs,1353,2016-06-30,Grant Green struck out swinging.
G_Green,1005,B Wood,1345,2016-07-26,Grant Green fouled out to first (Fly).
G_Green,1005,F Rodriguez,7558,2016-06-30,Grant Green hit into a fielder's choice gidp to third (Grounder). Brandon Crawford out at third. Jarrett Parker out at second.
G_Green,1005,R Ohlendorf,8268,2016-07-26,Grant Green flied out to shortstop (Fly).
G_Green,1005,T Anderson,1288,2016-07-04,Grant Green grounded out to shortstop (Grounder).
G_Green,1005,B Hand,9111,2016-07-15,Grant Green flied out to center (Fly).
G_Green,1005,J de la Rosa,2047,2016-07-06,Grant Green out on a dropped third strike.
G_Green,1005,P Corbin,9323,2016-07-08,Grant Green grounded out to third (Grounder).
G_Green,1005,J de la Rosa,2047,2016-07-06,Grant Green flied out to center (Fliner (Fly)).
G_Green,1005,D Pomeranz,1142,2016-07-20,Grant Green grounded out to first (Grounder). Brandon Crawford advanced to 3B.
G_Green,1005,R Ross Jr.,6819,2016-07-19,Grant Green grounded into a double play to third (Grounder). Jarrett Parker out at second.
G_Green,1005,P Corbin,9323,2016-07-02,Grant Green struck out swinging.
G_Green,1005,B Maurer,4878,2016-07-17,Grant Green flied out to right (Fliner (Liner)).
G_Green,1005,S Miller,1019,2016-07-01,Grant Green reached on fielder's choice to shortstop (Grounder). Conor Gillaspie out at home.
G_Green,1005,T Cingrani,1255,2016-07-25,Grant Green flied out to right (Fly).
G_Green,1005,S Miller,1019,2016-07-01,Grant Green struck out looking.
G_Green,1005,A Swarzak,7466,2016-07-23,Grant Green grounded out to shortstop (Grounder).
