playername,playerid,vsname,vsid,date,Play
G_Mahle,1687,C Rasmus,9893,2016-05-29,Colby Rasmus grounded into a double play to shortstop (Grounder). Jose Altuve out at second.
G_Mahle,1687,M Moreland,3086,2016-05-01,Mitch Moreland struck out swinging.
G_Mahle,1687,E Rosario,1215,2016-04-17,Eddie Rosario struck out swinging.
G_Mahle,1687,E Escobar,6153,2016-04-15,Eduardo Escobar struck out looking.
G_Mahle,1687,K Kiermaier,1103,2016-05-07,Kevin Kiermaier struck out swinging.
G_Mahle,1687,A Diaz,1593,2016-05-12,Aledmys Diaz reached on fielder's choice to shortstop (Grounder). Kolten Wong out at second.
G_Mahle,1687,A Hicks,5297,2016-06-07,Aaron Hicks grounded into a double play to third (Grounder). Didi Gregorius out at second.
G_Mahle,1687,C Casali,1251,2016-05-07,Curt Casali flied out to center (Fly).
G_Mahle,1687,T Saladino,1080,2016-04-20,Tyler Saladino grounded into a double play to shortstop (Grounder). Adam Eaton out at second.
G_Mahle,1687,C Utley,1679,2016-05-19,Chase Utley struck out swinging.
G_Mahle,1687,L Martin,1184,2016-04-23,Leonys Martin grounded out to pitcher (Grounder).
G_Mahle,1687,J Nelson,1054,2016-05-02,Jimmy Nelson struck out swinging.
G_Mahle,1687,J Hazelbaker,9399,2016-05-12,Jeremy Hazelbaker reached on fielder's choice to first (Grounder). Yadier Molina out at second.
G_Mahle,1687,M Adams,9393,2016-05-12,Matt Adams flied out to third (Fliner (Fly)).
G_Mahle,1687,F Gutierrez,3255,2016-05-13,Franklin Gutierrez struck out looking.
G_Mahle,1687,M Moreland,3086,2016-05-25,Mitch Moreland grounded out to second (Grounder).
G_Mahle,1687,A Gordon,5209,2016-04-26,Alex Gordon struck out swinging.
G_Mahle,1687,J Dyson,4866,2016-04-26,Jarrod Dyson flied out to second (Fly).
G_Mahle,1687,E Hosmer,3516,2016-04-26,Eric Hosmer grounded out to first (Grounder).
G_Mahle,1687,P Fielder,4613,2016-05-25,Prince Fielder struck out looking.
G_Mahle,1687,J Kang,1718,2016-06-03,Jung Ho Kang struck out looking.
G_Mahle,1687,A Jackson,9848,2016-04-18,Austin Jackson flied out to left (Fly).
G_Mahle,1687,B Gardner,9927,2016-06-08,Brett Gardner reached on fielder's choice to third (Grounder). Ronald Torreyes out at second.
G_Mahle,1687,E Andrus,8709,2016-05-25,Elvis Andrus flied out to right (Fly).
G_Mahle,1687,A Eaton,1120,2016-04-18,Adam Eaton grounded out to first (Grounder).
G_Mahle,1687,J Jaso,5887,2016-06-04,John Jaso grounded out to pitcher (Grounder).
G_Mahle,1687,J Rollins,971&,2016-04-18,Jimmy Rollins doubled to right (Grounder).
G_Mahle,1687,R Rua,1240,2016-05-25,Ryan Rua was intentionally walked.
G_Mahle,1687,S Marte,9241,2016-06-03,Starling Marte doubled to left (Grounder). Gregory Polanco advanced to 3B.
G_Mahle,1687,R Odor,1228,2016-05-25,Rougned Odor was hit by a pitch. Bobby Wilson advanced to 2B.
G_Mahle,1687,K Morales,8610,2016-04-26,Kendrys Morales walked.
G_Mahle,1687,D Gregorius,6012,2016-06-08,Didi Gregorius singled to left (Fliner (Liner)).
G_Mahle,1687,A Beltre,639&,2016-05-25,Adrian Beltre singled to left (Liner). Bobby Wilson scored. Rougned Odor scored. Ian Desmond advanced to 2B.
G_Mahle,1687,A Eaton,1120,2016-04-20,Adam Eaton singled to pitcher (Bunt Grounder).
G_Mahle,1687,C Beltran,589&,2016-06-08,Carlos Beltran homered (Fliner (Fly)). Brett Gardner scored.
G_Mahle,1687,D Gregorius,6012,2016-06-07,Didi Gregorius singled to left (Fliner (Liner)).
G_Mahle,1687,B Gardner,9927,2016-06-07,Brett Gardner walked.
G_Mahle,1687,K Wong,1253,2016-05-11,Kolten Wong was hit by a pitch.
G_Mahle,1687,C Parmelee,2554,2016-06-08,Chris Parmelee homered (Fliner (Fly)). Didi Gregorius scored.
G_Mahle,1687,A Lind,8027,2016-04-22,Adam Lind singled to center (Grounder).
G_Mahle,1687,J Villar,1007,2016-05-02,Jonathan Villar doubled to right (Grounder). Aaron Hill scored. Yadiel Rivera scored. Alex Presley advanced to 3B.
G_Mahle,1687,E Rosario,1215,2016-04-15,Eddie Rosario walked.
G_Mahle,1687,A Beltre,639&,2016-05-01,Adrian Beltre doubled to left (Grounder).
G_Mahle,1687,C Iannetta,8267,2016-05-13,Chris Iannetta homered (Fliner (Liner)).
