playername,playerid,vsname,vsid,date,Play
G_Petit,3812,M Givens,1043,2016-05-20,Gregorio Petit singled to right (Fliner (Fly)). Johnny Giavotella scored. Rafael Ortega advanced to 3B. Gregorio Petit advanced to 2B.
G_Petit,3812,G Cole,1312,2016-06-05,Gregorio Petit doubled to right (Grounder). C.J. Cron scored.
G_Petit,3812,H Iwakuma,1304,2016-09-14,Gregorio Petit singled to left (Grounder). Juan Graterol advanced to 3B.
G_Petit,3812,Z Britton,3240,2016-05-21,Gregorio Petit walked.
G_Petit,3812,R Nolasco,3830,2016-06-13,Gregorio Petit singled to left (Grounder). Todd Cunningham advanced to 3B.
G_Petit,3812,D Duffy,3542,2016-07-27,Gregorio Petit walked. Jett Bandy advanced to 2B.
G_Petit,3812,R Detwiler,2859,2016-09-28,Gregorio Petit singled to third (Grounder). Andrelton Simmons scored.
G_Petit,3812,E Santana,3200,2016-06-14,Gregorio Petit doubled to center (Fliner (Fly)).
G_Petit,3812,J Happ,7410,2016-08-25,Gregorio Petit walked.
G_Petit,3812,N Karns,1263,2016-05-13,Gregorio Petit singled to left (Grounder). Geovany Soto advanced to 3B. Johnny Giavotella advanced to 2B.
G_Petit,3812,C Tillman,5279,2016-07-10,Gregorio Petit singled to left (Grounder).
G_Petit,3812,K Gausman,1410,2016-05-21,Gregorio Petit singled to center (Liner).
G_Petit,3812,A Miranda,1752,2016-08-16,Gregorio Petit singled to right (Liner).
G_Petit,3812,K Gausman,1410,2016-05-21,Gregorio Petit singled to center (Grounder).
G_Petit,3812,M Perez,6902,2016-05-24,Gregorio Petit singled to center (Fliner (Liner)). Carlos Perez advanced to 2B.
G_Petit,3812,C Hatcher,3299,2016-05-19,Gregorio Petit doubled to center (Fliner (Liner)).
G_Petit,3812,H Iwakuma,1304,2016-05-14,Gregorio Petit singled to center (Fliner (Liner)). Johnny Giavotella advanced to 3B on error. Gregorio Petit Error by Leonys Martin.
G_Petit,3812,D Price,3184,2016-07-28,Gregorio Petit singled to center (Liner). Jett Bandy advanced to 2B.
G_Petit,3812,M Pineda,5372,2016-06-07,Gregorio Petit doubled to center (Fly).
G_Petit,3812,D Duffy,3542,2016-07-27,Gregorio Petit singled to left (Grounder).
G_Petit,3812,C Hamels,4972,2016-09-10,Gregorio Petit advanced on a stolen base to 2B.
G_Petit,3812,L McCullers,1412,2016-07-22,Gregorio Petit walked.
G_Petit,3812,D Holland,4141,2016-05-23,Gregorio Petit singled to right (Grounder). Carlos Perez advanced to 2B.
G_Petit,3812,M Tanaka,1576,2016-06-06,Gregorio Petit singled to right (Liner).
G_Petit,3812,T Bauer,1270,2016-06-11,Gregorio Petit singled to right (Fliner (Liner)).
G_Petit,3812,C Martin,1218,2016-08-17,Gregorio Petit walked.
G_Petit,3812,Z Britton,3240,2016-05-21,Gregorio Petit advanced on a wild pitch to 2B.
G_Petit,3812,D Holland,4141,2016-05-23,Gregorio Petit walked.
G_Petit,3812,T Sipp,8280,2016-06-20,Gregorio Petit homered (Fly). C.J. Cron scored. Daniel Nava scored. Shane Robinson scored.
G_Petit,3812,F Liriano,3201,2016-06-03,Gregorio Petit was intentionally walked.
G_Petit,3812,A Miranda,1752,2016-09-12,Gregorio Petit advanced on a passed ball to 3B. Passed ball by Mike Zunino.
G_Petit,3812,W Boscan,7655,2016-06-03,Gregorio Petit walked.
G_Petit,3812,Z McAllister,2895,2016-06-12,Gregorio Petit walked.
G_Petit,3812,M Tanaka,1576,2016-08-19,Gregorio Petit singled to left (Fliner (Fly)). Jett Bandy advanced to 3B.
G_Petit,3812,P Light,1342,2016-07-02,Gregorio Petit tripled to right (Fliner (Liner)).
G_Petit,3812,R LaMarre,1070,2016-07-02,Gregorio Petit flied out to right (Fly).
G_Petit,3812,D Bundy,1291,2016-05-22,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,D Overton,1562,2016-09-27,Gregorio Petit flied out to center (Fliner (Liner)).
G_Petit,3812,M Fiers,7754,2016-07-24,Gregorio Petit struck out swinging.
G_Petit,3812,W Boscan,7655,2016-06-03,Gregorio Petit flied out to right (Fly).
G_Petit,3812,T Kahnle,1138,2016-07-17,Gregorio Petit struck out looking.
G_Petit,3812,U Jimenez,3374,2016-05-22,Gregorio Petit struck out swinging.
G_Petit,3812,C Devenski,1276,2016-06-28,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,K Yates,9073,2016-06-08,Gregorio Petit struck out looking.
G_Petit,3812,R Tepera,1029,2016-09-17,Gregorio Petit flied out to second (Fly).
G_Petit,3812,D Floro,1339,2016-07-07,Gregorio Petit flied out to first (Fly).
G_Petit,3812,C Smith,4544,2016-09-28,Gregorio Petit grounded out to second (Grounder).
G_Petit,3812,R Scahill,9286,2016-06-03,Gregorio Petit struck out swinging.
G_Petit,3812,M Montgomery,4869,2016-05-15,Gregorio Petit struck out swinging.
G_Petit,3812,C Smith,4544,2016-09-28,Gregorio Petit grounded out to pitcher (Grounder).
G_Petit,3812,A Miranda,1752,2016-09-02,Gregorio Petit singled to left (Liner). Gregorio Petit out.
G_Petit,3812,R Porcello,2717,2016-07-29,Gregorio Petit grounded out to third (Grounder).
G_Petit,3812,D Salazar,5867,2016-06-12,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,S Feldman,6283,2016-06-28,Gregorio Petit lined out to shortstop (Liner).
G_Petit,3812,D Fister,9425,2016-06-20,Gregorio Petit grounded into a double play to shortstop (Grounder). Carlos Perez out at second.
G_Petit,3812,S Feldman,6283,2016-06-28,Gregorio Petit flied out to left (Fly).
G_Petit,3812,J Locke,2929,2016-06-04,Gregorio Petit flied out to second (Fly).
G_Petit,3812,S Manaea,1587,2016-09-26,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,A Miranda,1752,2016-08-16,Gregorio Petit flied out to second (Fly).
G_Petit,3812,C Kluber,2429,2016-06-10,Gregorio Petit struck out swinging.
G_Petit,3812,D Pomeranz,1142,2016-07-30,Gregorio Petit struck out swinging.
G_Petit,3812,H Iwakuma,1304,2016-05-14,Gregorio Petit sacrificed to third (Bunt Grounder). Carlos Perez advanced to 3B.
G_Petit,3812,M Perez,6902,2016-09-19,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,M Fulmer,1321,2016-06-01,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,C Kershaw,2036,2016-05-17,Gregorio Petit struck out swinging.
G_Petit,3812,F Hernandez,4772,2016-05-15,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,I Nova,1994,2016-06-09,Gregorio Petit struck out swinging.
G_Petit,3812,A Miranda,1752,2016-09-12,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,A Chapman,1023,2016-06-09,Gregorio Petit struck out swinging.
G_Petit,3812,J Hammel,4538,2016-08-10,Gregorio Petit out on a dropped third strike.
G_Petit,3812,S Doolittle,1581,2016-09-05,Gregorio Petit struck out looking.
G_Petit,3812,M Bush,1246,2016-05-23,Gregorio Petit lined out to shortstop (Liner).
G_Petit,3812,R Porcello,2717,2016-07-29,Gregorio Petit grounded out to second (Grounder).
G_Petit,3812,R Porcello,2717,2016-07-29,Gregorio Petit grounded out to third (Grounder).
G_Petit,3812,D Holland,4141,2016-05-23,Gregorio Petit flied out to center (Fliner (Fly)).
G_Petit,3812,R Madson,1852,2016-09-07,Gregorio Petit struck out swinging.
G_Petit,3812,C Kershaw,2036,2016-05-17,Gregorio Petit grounded out to third (Grounder).
G_Petit,3812,K Lohse,739&,2016-07-19,Gregorio Petit grounded out to shortstop (Grounder).
G_Petit,3812,J Happ,7410,2016-08-25,Gregorio Petit struck out looking.
G_Petit,3812,J Turner,1018,2016-07-17,Gregorio Petit flied out to right (Fliner (Fly)).
G_Petit,3812,J Happ,7410,2016-09-15,Gregorio Petit flied out to second (Fliner (Fly)).
G_Petit,3812,K Lohse,739&,2016-07-19,Gregorio Petit flied out to left (Fliner (Fly)).
G_Petit,3812,J Locke,2929,2016-06-04,Gregorio Petit struck out swinging.
G_Petit,3812,M Fulmer,1321,2016-06-01,Gregorio Petit struck out looking.
G_Petit,3812,S O'Sullivan,9137,2016-07-03,Gregorio Petit flied out to center (Fly).
G_Petit,3812,L McCullers,1412,2016-07-22,Gregorio Petit struck out swinging.
G_Petit,3812,J Verlander,8700,2016-05-30,Gregorio Petit out on a dropped third strike.
G_Petit,3812,C Martin,1218,2016-08-17,Gregorio Petit was caught stealing.
G_Petit,3812,C Tillman,5279,2016-07-10,Gregorio Petit lined out to first (Liner).
