playername,playerid,vsname,vsid,date,Play
G_Polanco,1290,J Arrieta,4153,2016-08-29,Gregory Polanco homered (Fliner (Fly)). Josh Harrison scored. Josh Bell scored.
G_Polanco,1290,J Henderson,6653,2016-06-08,Gregory Polanco doubled to right (Fliner (Fly)). Andrew McCutchen scored on error. Gregory Polanco advanced to 3B. Error by Neil Walker.
G_Polanco,1290,B Boyer,2237,2016-08-27,Gregory Polanco doubled to center (Fliner (Liner)). Sean Rodriguez scored. Josh Bell scored. Andrew McCutchen scored.
G_Polanco,1290,D Mengden,1698,2016-07-03,Gregory Polanco singled to center (Fliner (Liner)). Jordy Mercer scored. Erik Kratz scored. John Jaso advanced to 3B.
G_Polanco,1290,M Moore,1890,2016-08-15,Gregory Polanco homered (Fliner (Fly)). Francisco Cervelli scored.
G_Polanco,1290,R de la Rosa,3862,2016-05-25,Gregory Polanco doubled to right (Fliner (Liner)). John Jaso scored. Andrew McCutchen advanced to 3B.
G_Polanco,1290,T Wood,9884,2016-07-08,Gregory Polanco reached on error to first (Grounder). Josh Bell scored on error. John Jaso advanced to 3B on error. Error by Anthony Rizzo.
G_Polanco,1290,M Wacha,1407,2016-04-05,Gregory Polanco tripled to right (Fliner (Liner)). Francisco Cervelli scored.
G_Polanco,1290,T Adleman,1096,2016-05-01,Gregory Polanco homered (Fly).
G_Polanco,1290,A Nola,1614,2016-07-23,Gregory Polanco singled to right (Grounder). Jordy Mercer scored. Matt Joyce scored. John Jaso advanced to 2B.
G_Polanco,1290,N Syndergaard,1176,2016-06-08,Gregory Polanco doubled to right (Fliner (Liner)). John Jaso scored. Andrew McCutchen advanced to 3B.
G_Polanco,1290,J Hellickson,4371,2016-09-12,Gregory Polanco reached on fielder's choice and error to first (Grounder). Josh Bell scored on error. Andrew McCutchen advanced to 3B on error. Error by Ryan Howard.
G_Polanco,1290,M Bowman,1352,2016-09-06,Gregory Polanco singled to right (Grounder). Josh Harrison scored. Andrew McCutchen advanced to 3B.
G_Polanco,1290,B McCarthy,4662,2016-08-13,Gregory Polanco walked. Adam Frazier scored. Starling Marte advanced to 3B. Andrew McCutchen advanced to 2B.
G_Polanco,1290,H Santiago,4026,2016-06-05,Gregory Polanco walked. Matt Joyce scored. Chris Stewart advanced to 3B. Jordy Mercer advanced to 2B.
G_Polanco,1290,M Leake,1013,2016-09-07,Gregory Polanco singled to right (Grounder). Josh Harrison scored. David Freese advanced to 2B.
G_Polanco,1290,M Leake,1013,2016-04-06,Gregory Polanco walked. Andrew McCutchen scored. Starling Marte advanced to 3B. Francisco Cervelli advanced to 2B.
G_Polanco,1290,M Garza,3340,2016-07-31,Gregory Polanco homered (Fliner (Fly)).
G_Polanco,1290,R Iglesias,1713,2016-04-09,Gregory Polanco singled to left (Fliner (Liner)). Francisco Cervelli advanced to 3B.
G_Polanco,1290,C McHugh,7531,2016-08-24,Gregory Polanco singled to left (Grounder). John Jaso scored. Starling Marte advanced to 2B.
G_Polanco,1290,A Blair,1493,2016-05-17,Gregory Polanco doubled to right (Liner). John Jaso advanced to 3B.
G_Polanco,1290,T Adleman,1096,2016-09-09,Gregory Polanco doubled to right (Liner).
G_Polanco,1290,Z Davies,1318,2016-04-17,Gregory Polanco singled to left (Grounder). David Freese scored. Matt Joyce advanced to 3B. Francisco Cervelli advanced to 2B.
G_Polanco,1290,C Friedrich,7942,2016-08-11,Gregory Polanco singled to right (Liner). David Freese scored.
G_Polanco,1290,V Velasquez,1118,2016-07-24,Gregory Polanco walked. John Jaso advanced to 2B.
G_Polanco,1290,J Eickhoff,1266,2016-09-15,Gregory Polanco doubled to right (Liner).
G_Polanco,1290,A Wainwright,2233,2016-04-03,Gregory Polanco doubled to right (Fliner (Liner)).
