playername,playerid,vsname,vsid,date,Play
G_Richards,9784,B Zobrist,7435,2016-04-04,Ben Zobrist grounded into a double play to second (Grounder). Dexter Fowler out at second.
G_Richards,9784,N Mazara,1455,2016-05-01,Nomar Mazara grounded into a double play to first (Grounder). Rougned Odor out at second.
G_Richards,9784,B Zobrist,7435,2016-04-04,Ben Zobrist struck out swinging.
G_Richards,9784,M Moreland,3086,2016-05-01,Mitch Moreland struck out looking.
G_Richards,9784,K Suzuki,8259,2016-04-15,Kurt Suzuki grounded out to shortstop (Grounder).
G_Richards,9784,O Infante,1609,2016-04-25,Omar Infante struck out swinging.
G_Richards,9784,A Beltre,639&,2016-04-09,Adrian Beltre grounded into a double play to second (Grounder). Prince Fielder out at second.
G_Richards,9784,I Desmond,6885,2016-04-09,Ian Desmond flied out to center (Fly).
G_Richards,9784,J Dyson,4866,2016-04-25,Jarrod Dyson reached on fielder's choice to shortstop (Grounder). Salvador Perez out at second.
G_Richards,9784,B Park,1849,2016-04-15,Byung-ho Park grounded out to shortstop (Grounder).
G_Richards,9784,P Fielder,4613,2016-04-09,Prince Fielder grounded out to pitcher (Grounder).
G_Richards,9784,A Avila,7476,2016-04-20,Alex Avila struck out swinging.
G_Richards,9784,T Saladino,1080,2016-04-20,Tyler Saladino struck out looking.
G_Richards,9784,R Odor,1228,2016-04-09,Rougned Odor flied out to center (Fly).
G_Richards,9784,B Holaday,1128,2016-05-01,Bryan Holaday flied out to left (Fly).
G_Richards,9784,R Odor,1228,2016-05-01,Rougned Odor flied out to left (Fliner (Fly)).
G_Richards,9784,O Arcia,1030,2016-04-15,Oswaldo Arcia grounded out to first (Grounder). Trevor Plouffe advanced to 3B.
G_Richards,9784,M Sano,1216,2016-04-15,Miguel Sano grounded out to second (Grounder).
G_Richards,9784,L Cain,9077,2016-04-25,Lorenzo Cain struck out swinging.
G_Richards,9784,K Morales,8610,2016-04-25,Kendrys Morales struck out swinging.
G_Richards,9784,E Rosario,1215,2016-04-15,Eddie Rosario grounded out to first (Grounder).
G_Richards,9784,S Perez,7304,2016-04-25,Salvador Perez flied out to shortstop (Fly).
G_Richards,9784,O Arcia,1030,2016-04-15,Oswaldo Arcia flied out to center (Fly).
G_Richards,9784,J Abreu,1567,2016-04-20,Jose Abreu flied out to right (Fliner (Fly)).
G_Richards,9784,T Saladino,1080,2016-04-20,Tyler Saladino struck out looking.
G_Richards,9784,R Rua,1240,2016-04-09,Ryan Rua doubled to left (Fliner (Liner)). Elvis Andrus out at home.
G_Richards,9784,A Russell,1410,2016-04-04,Addison Russell struck out swinging.
G_Richards,9784,A Eaton,1120,2016-04-20,Adam Eaton lined out to shortstop (Fliner (Liner)).
G_Richards,9784,M Moreland,3086,2016-04-09,Mitch Moreland struck out swinging.
G_Richards,9784,A Escobar,6310,2016-04-25,Alcides Escobar grounded out to second (Grounder).
G_Richards,9784,A Jackson,9848,2016-04-20,Austin Jackson grounded out to shortstop (Grounder).
G_Richards,9784,M Cabrera,4022,2016-04-20,Melky Cabrera flied out to center (Fliner (Fly)).
G_Richards,9784,T Plouffe,7462,2016-04-15,Trevor Plouffe grounded out to second (Grounder).
G_Richards,9784,K Morales,8610,2016-04-25,Kendrys Morales grounded out to second (Grounder).
G_Richards,9784,L Cain,9077,2016-04-25,Lorenzo Cain reached on fielder's choice to second (Grounder). Mike Moustakas out at second.
G_Richards,9784,O Infante,1609,2016-04-25,Omar Infante flied out to center (Fliner (Fly)).
G_Richards,9784,K Suzuki,8259,2016-04-15,Kurt Suzuki struck out swinging.
G_Richards,9784,J Dyson,4866,2016-04-25,Jarrod Dyson flied out to left (Fliner (Liner)).
G_Richards,9784,I Desmond,6885,2016-04-09,Ian Desmond struck out swinging.
G_Richards,9784,M Moustakas,4892,2016-04-25,Mike Moustakas flied out to catcher (Fliner (Fly)).
G_Richards,9784,O Arcia,1030,2016-04-15,Oswaldo Arcia struck out looking.
G_Richards,9784,A Escobar,6310,2016-04-25,Alcides Escobar struck out swinging.
G_Richards,9784,R Odor,1228,2016-04-09,Rougned Odor flied out to right (Fliner (Fly)). Delino DeShields advanced to 3B.
G_Richards,9784,E Escobar,6153,2016-04-15,Eduardo Escobar struck out swinging.
G_Richards,9784,A Beltre,639&,2016-05-01,Adrian Beltre struck out swinging.
G_Richards,9784,J Heyward,4940,2016-04-04,Jason Heyward grounded out to first (Grounder).
G_Richards,9784,M Montero,3364,2016-04-04,Miguel Montero struck out swinging.
G_Richards,9784,K Morales,8610,2016-04-25,Kendrys Morales grounded out to second (Grounder).
G_Richards,9784,A Rizzo,3473,2016-04-04,Anthony Rizzo flied out to center (Fliner (Liner)).
G_Richards,9784,M Cabrera,4022,2016-04-20,Melky Cabrera sacrificed to pitcher (Bunt Grounder). Todd Frazier advanced to 3B.
G_Richards,9784,D DeShields,1137,2016-05-01,Delino DeShields advanced on a stolen base to 2B.
G_Richards,9784,A Eaton,1120,2016-04-20,Adam Eaton advanced on a wild pitch to 3B.
G_Richards,9784,J Abreu,1567,2016-04-20,Jose Abreu reached on dropped third strike (wp).
G_Richards,9784,D DeShields,1137,2016-04-09,Delino DeShields advanced on a wild pitch to 2B.
G_Richards,9784,E Andrus,8709,2016-04-09,Elvis Andrus singled to right (Grounder).
G_Richards,9784,E Nunez,6848,2016-04-15,Eduardo Nunez singled to center (Liner).
G_Richards,9784,A Eaton,1120,2016-04-20,Adam Eaton advanced on a stolen base to 2B.
G_Richards,9784,T Frazier,785&,2016-04-20,Todd Frazier singled to center (Fliner (Fly)).
G_Richards,9784,A Eaton,1120,2016-04-20,Adam Eaton walked.
G_Richards,9784,B Park,1849,2016-04-15,Byung-ho Park advanced on a wild pitch to 2B.
G_Richards,9784,M Moustakas,4892,2016-04-25,Mike Moustakas walked.
G_Richards,9784,D DeShields,1137,2016-04-09,Delino DeShields walked.
G_Richards,9784,J Sands,4016,2016-04-20,Jerry Sands singled to left (Grounder). Brett Lawrie advanced to 2B.
G_Richards,9784,R Odor,1228,2016-05-01,Rougned Odor singled to right (Grounder).
G_Richards,9784,A Rizzo,3473,2016-04-04,Anthony Rizzo walked.
G_Richards,9784,M Moreland,3086,2016-04-09,Mitch Moreland singled to center (Fliner (Liner)).
G_Richards,9784,I Desmond,6885,2016-05-01,Ian Desmond doubled to center (Fliner (Liner)).
G_Richards,9784,B Park,1849,2016-04-15,Byung-ho Park walked.
G_Richards,9784,M Montero,3364,2016-04-04,Miguel Montero singled to shortstop (Grounder). Kris Bryant scored. Jorge Soler advanced to 2B.
G_Richards,9784,D Fowler,4062,2016-04-04,Dexter Fowler singled to right (Liner). Addison Russell advanced to 2B.
G_Richards,9784,S Perez,7304,2016-04-25,Salvador Perez singled to left (Liner). Eric Hosmer scored. Alex Gordon advanced to 2B.
G_Richards,9784,P Fielder,4613,2016-04-09,Prince Fielder singled to center (Fliner (Liner)). Delino DeShields scored.
G_Richards,9784,D Fowler,4062,2016-04-04,Dexter Fowler doubled to right (Grounder).
G_Richards,9784,E Nunez,6848,2016-04-15,Eduardo Nunez was hit by a pitch.
G_Richards,9784,J Soler,1422,2016-04-04,Jorge Soler singled to left (Grounder). Anthony Rizzo scored. Kris Bryant advanced to 3B.
G_Richards,9784,A Jackson,9848,2016-04-20,Austin Jackson reached on a sacrifice with error to pitcher (Bunt Grounder). Alex Avila scored on error. Austin Jackson advanced to 2B. Error by Garrett Richards.
G_Richards,9784,M Moreland,3086,2016-05-01,Mitch Moreland doubled to right (Fliner (Liner)). Ian Desmond scored.
G_Richards,9784,P Fielder,4613,2016-05-01,Prince Fielder reached on fielder's choice and error to pitcher (Grounder). Adrian Beltre advanced to 3B on error. Error by Garrett Richards.
G_Richards,9784,T Plouffe,7462,2016-04-15,Trevor Plouffe doubled to center (Fliner (Liner)). Miguel Sano scored.
G_Richards,9784,M Sano,1216,2016-04-15,Miguel Sano doubled to left (Fliner (Liner)). Eduardo Nunez scored.
