playername,playerid,vsname,vsid,date,Play
G_Ynoa,1293,B Buxton,1416,2016-09-18,Byron Buxton struck out swinging.
G_Ynoa,1293,K Gibson,1012,2016-09-18,Kyle Gibson grounded out to shortstop (Grounder).
G_Ynoa,1293,A Altherr,1127,2016-10-02,Aaron Altherr flied out to catcher (Fly).
G_Ynoa,1293,R Howard,2154,2016-09-23,Ryan Howard flied out to left (Fly).
G_Ynoa,1293,R Howard,2154,2016-10-02,Ryan Howard grounded out to first (Grounder).
G_Ynoa,1293,B Buxton,1416,2016-09-18,Byron Buxton struck out swinging.
G_Ynoa,1293,C Rupp,1114,2016-10-02,Cameron Rupp flied out to right (Fliner (Liner)).
G_Ynoa,1293,B Dozier,9810,2016-09-18,Brian Dozier struck out looking.
G_Ynoa,1293,J Beresford,4626,2016-09-18,James Beresford struck out looking.
G_Ynoa,1293,A Duvall,1095,2016-09-06,Adam Duvall struck out swinging.
G_Ynoa,1293,C Hernandez,1055,2016-10-02,Cesar Hernandez grounded out to catcher (Bunt Grounder).
G_Ynoa,1293,B Dozier,9810,2016-09-18,Brian Dozier grounded out to third (Grounder).
G_Ynoa,1293,C Hernandez,1055,2016-10-02,Cesar Hernandez struck out swinging.
G_Ynoa,1293,J Paredes,5481,2016-10-02,Jimmy Paredes grounded out to pitcher (Bunt Grounder). Cesar Hernandez advanced to 2B.
G_Ynoa,1293,L Schafer,7937,2016-09-18,Logan Schafer out on a dropped third strike.
G_Ynoa,1293,J Paredes,5481,2016-10-02,Jimmy Paredes grounded out to second (Grounder).
G_Ynoa,1293,L Schafer,7937,2016-09-18,Logan Schafer fouled out to left (Fly).
G_Ynoa,1293,J Polanco,1315,2016-09-18,Jorge Polanco flied out to right (Fly).
G_Ynoa,1293,J Polanco,1315,2016-09-18,Jorge Polanco struck out looking.
G_Ynoa,1293,J Murphy,1034,2016-09-18,John Ryan Murphy hit a sacrifice fly to right (Fliner (Fly)). Kennys Vargas scored. Robbie Grossman advanced to 3B.
G_Ynoa,1293,A Rendon,1286,2016-09-12,Anthony Rendon flied out to center (Fly).
G_Ynoa,1293,D Murphy,4316,2016-09-12,Daniel Murphy flied out to left (Fly).
G_Ynoa,1293,M Latos,3815,2016-09-12,Mat Latos struck out swinging.
G_Ynoa,1293,T Jankowski,1376,2016-08-14,Travis Jankowski struck out swinging.
G_Ynoa,1293,T Turner,1625,2016-09-12,Trea Turner flied out to right (Fly).
G_Ynoa,1293,C Yelich,1147,2016-09-26,Christian Yelich struck out swinging.
G_Ynoa,1293,T Gosewisch,5277,2016-08-17,Tuffy Gosewisch grounded into a double play to third (Grounder). Chris Owings out at second.
G_Ynoa,1293,C Owings,1003,2016-08-17,Chris Owings was hit by a pitch.
G_Ynoa,1293,D Gordon,8203,2016-09-26,Dee Gordon singled to second (Grounder).
G_Ynoa,1293,B Harper,1157,2016-09-12,Bryce Harper walked.
G_Ynoa,1293,W Ramos,1433,2016-09-12,Wilson Ramos walked.
G_Ynoa,1293,R Weeks Jr.,1849,2016-08-17,Rickie Weeks Jr. walked. Paul Goldschmidt advanced to 2B.
G_Ynoa,1293,J Werth,1327,2016-09-12,Jayson Werth singled to right (Grounder).
G_Ynoa,1293,Y Solarte,5352,2016-08-14,Yangervis Solarte singled to right (Liner). Wil Myers scored.
G_Ynoa,1293,M Franco,1217,2016-09-23,Maikel Franco walked.
G_Ynoa,1293,A Altherr,1127,2016-10-02,Aaron Altherr walked.
G_Ynoa,1293,R Zimmerman,4220,2016-09-12,Ryan Zimmerman singled to center (Grounder). Bryce Harper scored. Wilson Ramos advanced to 2B.
G_Ynoa,1293,B Dozier,9810,2016-09-18,Brian Dozier singled to left (Liner).
G_Ynoa,1293,O Herrera,1147,2016-10-02,Odubel Herrera singled to third (Grounder). Cesar Hernandez advanced to 3B.
G_Ynoa,1293,W Ramos,1433,2016-09-12,Wilson Ramos singled to center (Fliner (Liner)). Jayson Werth scored. Bryce Harper advanced to 3B.
G_Ynoa,1293,C Hernandez,1055,2016-10-02,Cesar Hernandez singled to right (Grounder).
G_Ynoa,1293,B Phillips,791&,2016-09-07,Brandon Phillips singled to center (Fliner (Liner)). Adam Duvall advanced to 2B.
G_Ynoa,1293,C Asche,1199,2016-09-23,Cody Asche singled to center (Fliner (Liner)). Freddy Galvis advanced to 2B.
G_Ynoa,1293,S Schebler,1222,2016-09-07,Scott Schebler singled to center (Fliner (Liner)). Adam Duvall advanced to 3B. Brandon Phillips advanced to 2B.
G_Ynoa,1293,J Beresford,4626,2016-09-18,James Beresford singled to left (Fliner (Liner)). Kennys Vargas advanced to 3B. Robbie Grossman advanced to 2B.
G_Ynoa,1293,M Franco,1217,2016-10-02,Maikel Franco singled to left (Grounder). Cesar Hernandez scored. Odubel Herrera advanced to 2B.
