playername,playerid,vsname,vsid,date,Play
H_Alberto,1190,D Robertson,8241,2016-05-09,Hanser Alberto singled to left (Fliner (Liner)). Elvis Andrus scored.
H_Alberto,1190,P Moylan,4891,2016-07-31,Hanser Alberto doubled to left (Grounder). Mitch Moreland scored. Robinson Chirinos advanced to 3B.
H_Alberto,1190,D Jennings,8073,2016-05-09,Hanser Alberto reached on dropped third strike (wp).
H_Alberto,1190,T Walker,1183,2016-04-13,Hanser Alberto singled to third (Grounder).
H_Alberto,1190,D Keuchel,9434,2016-05-22,Hanser Alberto singled to left (Grounder). Elvis Andrus scored. Ryan Rua advanced to 2B.
H_Alberto,1190,C Shreve,1085,2016-04-26,Hanser Alberto struck out swinging.
H_Alberto,1190,C Devenski,1276,2016-05-22,Hanser Alberto flied out to right (Fly).
H_Alberto,1190,J Happ,7410,2016-05-05,Hanser Alberto flied out to left (Fliner (Fly)).
H_Alberto,1190,Z Neal,1129,2016-09-17,Hanser Alberto flied out to center (Fly).
H_Alberto,1190,L Hendriks,3548,2016-09-24,Hanser Alberto grounded out to second (Grounder). Robinson Chirinos advanced to 3B.
H_Alberto,1190,J Cotton,1365,2016-09-25,Hanser Alberto fouled out to first (Fly).
H_Alberto,1190,S Doolittle,1581,2016-09-25,Hanser Alberto flied out to right (Fly).
H_Alberto,1190,R Alcantara,1279,2016-09-24,Hanser Alberto grounded out to second (Grounder).
H_Alberto,1190,F Liriano,3201,2016-05-29,Hanser Alberto struck out swinging.
H_Alberto,1190,J Weaver,4235,2016-04-10,Hanser Alberto grounded out to shortstop (Grounder).
H_Alberto,1190,N Vincent,7555,2016-04-06,Hanser Alberto flied out to right (Fliner (Fly)).
H_Alberto,1190,W Miley,8779,2016-04-06,Hanser Alberto grounded out to shortstop (Grounder).
H_Alberto,1190,D Keuchel,9434,2016-05-22,Hanser Alberto grounded into a double play to second (Grounder). Bobby Wilson out at second.
H_Alberto,1190,J Hahn,1328,2016-05-17,Hanser Alberto grounded out to third (Grounder). Bobby Wilson advanced to 2B.
H_Alberto,1190,F Liriano,3201,2016-05-29,Hanser Alberto sacrificed to pitcher (Bunt Grounder). Bryan Holaday advanced to 3B.
H_Alberto,1190,J Hahn,1328,2016-05-17,Hanser Alberto flied out to shortstop (Fly).
H_Alberto,1190,J Odorizzi,6397,2016-10-01,Hanser Alberto struck out swinging.
H_Alberto,1190,V Nuno,9674,2016-04-13,Hanser Alberto flied out to left (Fliner (Liner)).
H_Alberto,1190,J Axford,9059,2016-05-16,Hanser Alberto struck out swinging.
H_Alberto,1190,W Miley,8779,2016-04-06,Hanser Alberto out on a dropped third strike.
H_Alberto,1190,D Keuchel,9434,2016-05-22,Hanser Alberto struck out swinging.
H_Alberto,1190,F Salas,4971,2016-04-10,Hanser Alberto fouled out to first (Fly).
H_Alberto,1190,A Colome,6661,2016-10-01,Hanser Alberto flied out to left (Fly).
H_Alberto,1190,S Cishek,6483,2016-04-13,Hanser Alberto struck out swinging.
H_Alberto,1190,J Weaver,4235,2016-04-10,Hanser Alberto flied out to shortstop (Fly).
