playername,playerid,vsname,vsid,date,Play
H_Dozier,1511,C Sale,1060,2016-09-16,Hunter Dozier reached on error to shortstop (Grounder). Salvador Perez scored on error. Cheslor Cuthbert scored on error. Error by Tyler Saladino.
H_Dozier,1511,M Gonzalez,7024,2016-09-17,Hunter Dozier singled to left (Fliner (Liner)). Alcides Escobar scored.
H_Dozier,1511,D Norris,1347,2016-09-24,Hunter Dozier walked.
H_Dozier,1511,D Overton,1562,2016-09-15,Hunter Dozier doubled to left (Fliner (Fly)). Kendrys Morales advanced to 3B.
H_Dozier,1511,D Mengden,1698,2016-09-15,Hunter Dozier struck out looking.
H_Dozier,1511,C Sale,1060,2016-09-16,Hunter Dozier struck out looking.
H_Dozier,1511,R Merritt,1368,2016-09-30,Hunter Dozier grounded out to pitcher (Grounder).
H_Dozier,1511,K Gibson,1012,2016-09-29,Hunter Dozier flied out to second (Fliner (Fly)).
H_Dozier,1511,C Sale,1060,2016-09-16,Hunter Dozier struck out swinging.
H_Dozier,1511,M Gonzalez,7024,2016-09-17,Hunter Dozier flied out to first (Fly).
H_Dozier,1511,M Tonkin,1031,2016-09-29,Hunter Dozier struck out looking.
