playername,playerid,vsname,vsid,date,Play
H_Iwakuma,1304,K Morales,8610,2016-07-08,Kendrys Morales grounded into a double play to second (Grounder). Whit Merrifield out at second.
H_Iwakuma,1304,T Kemp,1489,2016-09-26,Tony Kemp grounded into a double play to second (Grounder). Evan Gattis out at second.
H_Iwakuma,1304,A Pujols,1177,2016-04-22,Albert Pujols grounded into a double play to third (Grounder). Mike Trout out at second.
H_Iwakuma,1304,J Profar,1081,2016-06-10,Jurickson Profar grounded into a double play to second (Grounder). Robinson Chirinos out at second.
H_Iwakuma,1304,M Gonzalez,5497,2016-09-26,Marwin Gonzalez grounded into a double play to second (Grounder). George Springer out at second.
H_Iwakuma,1304,R Ortega,1032,2016-09-14,Rafael Ortega grounded into a double play to second (Grounder). C.J. Cron out at second.
H_Iwakuma,1304,R Healy,1544,2016-08-13,Ryon Healy grounded out to third (Grounder).
H_Iwakuma,1304,M Gonzalez,5497,2016-04-27,Marwin Gonzalez grounded into a double play to third (Grounder). Preston Tucker out at second.
H_Iwakuma,1304,C Rasmus,9893,2016-07-16,Colby Rasmus grounded out to second (Grounder).
H_Iwakuma,1304,Y Escobar,4191,2016-09-14,Yunel Escobar struck out swinging.
H_Iwakuma,1304,J Upton,5222,2016-06-22,Justin Upton grounded into a double play to third (Grounder). Nick Castellanos out at second.
H_Iwakuma,1304,R Healy,1544,2016-10-01,Ryon Healy struck out looking.
H_Iwakuma,1304,T White,1556,2016-09-26,Tyler White struck out looking.
H_Iwakuma,1304,J Altuve,5417,2016-09-26,Jose Altuve singled to left (Liner). Marwin Gonzalez out at home. Jose Altuve
H_Iwakuma,1304,J Reddick,3892,2016-05-03,Josh Reddick grounded into a double play to shortstop (Grounder). Jed Lowrie out at second.
H_Iwakuma,1304,J Profar,1081,2016-06-10,Jurickson Profar was caught stealing.
H_Iwakuma,1304,C Cuthbert,1047,2016-07-08,Cheslor Cuthbert flied out to left (Fly). Paulo Orlando advanced to 3B.
H_Iwakuma,1304,C Young,3882,2016-06-17,Chris Young grounded into a double play to third (Grounder). Hanley Ramirez out at second.
H_Iwakuma,1304,C Pennington,3395,2016-09-04,Cliff Pennington grounded into a double play to third (Grounder). Jett Bandy out at second.
H_Iwakuma,1304,C Cron,1254,2016-05-14,C.J. Cron struck out swinging.
H_Iwakuma,1304,D DeShields,1137,2016-04-05,Delino DeShields struck out swinging.
H_Iwakuma,1304,D DeShields,1137,2016-04-05,Delino DeShields struck out looking.
H_Iwakuma,1304,D Travis,1386,2016-09-20,Devon Travis struck out swinging.
H_Iwakuma,1304,M Moreland,3086,2016-06-05,Mitch Moreland reached on fielder's choice to second (Grounder). Rougned Odor out at second.
H_Iwakuma,1304,M Trout,1015,2016-05-14,Mike Trout fouled out to catcher (Fly).
H_Iwakuma,1304,J Donaldson,5038,2016-09-20,Josh Donaldson struck out looking.
H_Iwakuma,1304,M Muncy,1330,2016-08-13,Max Muncy flied out to third (Fly).
H_Iwakuma,1304,A Jones,6368,2016-07-03,Adam Jones flied out to catcher (Bunt Fly).
H_Iwakuma,1304,Y Alonso,2530,2016-08-13,Yonder Alonso grounded into a double play to first (Grounder). Stephen Vogt out at second.
H_Iwakuma,1304,B Nicholas,1119,2016-04-11,Brett Nicholas struck out swinging.
H_Iwakuma,1304,J Giavotella,6740,2016-04-22,Johnny Giavotella flied out to right (Fly).
H_Iwakuma,1304,N Mazara,1455,2016-04-11,Nomar Mazara grounded out to second (Grounder).
H_Iwakuma,1304,P Fielder,4613,2016-04-05,Prince Fielder struck out swinging.
H_Iwakuma,1304,M Saunders,9981,2016-07-23,Michael Saunders flied out to shortstop (Fly).
H_Iwakuma,1304,B Nicholas,1119,2016-04-11,Brett Nicholas fouled out to third (Fly).
