playername,playerid,vsname,vsid,date,Play
H_Neris,1180,M Prado,3312,2016-05-18,Martin Prado grounded into a double play to shortstop (Grounder). Ichiro Suzuki out at second.
H_Neris,1180,M Kemp,5631,2016-09-03,Matt Kemp fouled out to third (Fly).
H_Neris,1180,J Francoeur,4792,2016-09-06,Jeff Francoeur struck out swinging.
H_Neris,1180,N Markakis,5930,2016-09-03,Nick Markakis struck out looking.
H_Neris,1180,A Gonzalez,1908,2016-08-10,Adrian Gonzalez struck out swinging.
H_Neris,1180,P Florimon,8385,2016-09-13,Pedro Florimon struck out swinging.
H_Neris,1180,W Myers,1004,2016-04-12,Wil Myers struck out swinging.
H_Neris,1180,M Bourn,6387,2016-06-29,Michael Bourn struck out swinging.
H_Neris,1180,M Prado,3312,2016-09-06,Martin Prado struck out swinging.
H_Neris,1180,C Yelich,1147,2016-07-19,Christian Yelich struck out swinging.
H_Neris,1180,N Castellanos,1173,2016-05-25,Nick Castellanos struck out looking.
H_Neris,1180,S Drew,4251,2016-04-17,Stephen Drew struck out swinging.
H_Neris,1180,N Hundley,3376,2016-07-08,Nick Hundley grounded out to shortstop (Grounder).
H_Neris,1180,J Lobaton,4243,2016-04-26,Jose Lobaton struck out swinging.
H_Neris,1180,A Hill,6104,2016-06-02,Aaron Hill struck out looking.
H_Neris,1180,I Suzuki,1101,2016-09-18,Ichiro Suzuki flied out to left (Fly).
H_Neris,1180,R Grichuk,1024,2016-05-04,Randal Grichuk grounded out to shortstop (Grounder).
H_Neris,1180,A Hechavarria,1045,2016-07-25,Adeiny Hechavarria grounded out to shortstop (Grounder).
H_Neris,1180,T Jankowski,1376,2016-08-07,Travis Jankowski struck out looking.
H_Neris,1180,B Nimmo,1292,2016-09-24,Brandon Nimmo flied out to shortstop (Fly).
H_Neris,1180,T Rivera,1249,2016-09-22,T.J. Rivera struck out swinging.
H_Neris,1180,J McCann,1285,2016-05-25,James McCann struck out swinging.
H_Neris,1180,B Belt,1026,2016-08-03,Brandon Belt flied out to center (Fly).
H_Neris,1180,M Prado,3312,2016-07-19,Martin Prado flied out to right (Fliner (Fly)).
H_Neris,1180,J Werth,1327,2016-04-17,Jayson Werth reached on fielder's choice to third (Grounder). Daniel Murphy out at second.
H_Neris,1180,T Barnhart,1020,2016-05-13,Tucker Barnhart flied out to center (Fly).
H_Neris,1180,C Granderson,4747,2016-07-16,Curtis Granderson struck out swinging.
H_Neris,1180,C Carter,9911,2016-06-02,Chris Carter struck out swinging.
H_Neris,1180,B Snyder,9856,2016-07-06,Brandon Snyder flied out to center (Fly).
H_Neris,1180,B Harper,1157,2016-09-08,Bryce Harper struck out swinging.
H_Neris,1180,E Campbell,6938,2016-10-02,Eric Campbell flied out to left (Fliner (Liner)).
H_Neris,1180,N Walker,7539,2016-04-10,Neil Walker struck out looking.
H_Neris,1180,F Freeman,5361,2016-07-06,Freddie Freeman struck out swinging.
H_Neris,1180,G Blanco,3123,2016-08-02,Gregor Blanco flied out to left (Fly).
H_Neris,1180,T Saladino,1080,2016-08-24,Tyler Saladino flied out to center (Fliner (Fly)).
H_Neris,1180,M Prado,3312,2016-05-06,Martin Prado grounded out to third (Grounder).
H_Neris,1180,Y Molina,7007,2016-05-04,Yadier Molina grounded out to third (Grounder).
H_Neris,1180,D Kelly,2216,2016-07-25,Don Kelly struck out looking.
H_Neris,1180,J Panik,1193,2016-08-03,Joe Panik flied out to left (Fly).
H_Neris,1180,W Myers,1004,2016-08-07,Wil Myers struck out looking.
H_Neris,1180,E Inciarte,4922,2016-05-10,Ender Inciarte grounded out to second (Grounder).
H_Neris,1180,D Gordon,8203,2016-09-18,Dee Gordon struck out swinging.
H_Neris,1180,A Cabrera,4962,2016-09-22,Asdrubal Cabrera struck out swinging.
H_Neris,1180,K Plawecki,1380,2016-04-10,Kevin Plawecki struck out swinging.
H_Neris,1180,N Walker,7539,2016-07-16,Neil Walker struck out swinging.
H_Neris,1180,F Lindor,1291,2016-05-01,Francisco Lindor flied out to shortstop (Fly).
H_Neris,1180,T Pham,2967,2016-08-19,Tommy Pham struck out swinging.
H_Neris,1180,T Naquin,1335,2016-05-01,Tyler Naquin struck out swinging.
H_Neris,1180,B Moss,4467,2016-08-20,Brandon Moss struck out swinging.
H_Neris,1180,E Nunez,6848,2016-08-02,Eduardo Nunez grounded out to shortstop (Grounder).
H_Neris,1180,M Conforto,1637,2016-04-10,Michael Conforto grounded out to first (Grounder).
H_Neris,1180,C Gillaspie,9009,2016-08-03,Conor Gillaspie grounded out to second (Grounder).
H_Neris,1180,B Moss,4467,2016-05-03,Brandon Moss struck out swinging.
H_Neris,1180,A Hechavarria,1045,2016-05-08,Adeiny Hechavarria struck out swinging.
H_Neris,1180,D Wright,3787,2016-04-20,David Wright struck out swinging.
H_Neris,1180,Y Solarte,5352,2016-08-07,Yangervis Solarte struck out swinging.
H_Neris,1180,J Iglesias,1023,2016-05-25,Jose Iglesias grounded out to shortstop (Grounder).
H_Neris,1180,D Murphy,4316,2016-08-31,Daniel Murphy struck out swinging.
H_Neris,1180,F Freeman,5361,2016-07-28,Freddie Freeman flied out to center (Fliner (Liner)).
H_Neris,1180,D Dietrich,1054,2016-05-18,Derek Dietrich flied out to left (Fly).
H_Neris,1180,F Freeman,5361,2016-05-12,Freddie Freeman lined out to first (Liner).
H_Neris,1180,A Cabrera,4962,2016-04-20,Asdrubal Cabrera struck out swinging.
H_Neris,1180,K Johnson,2234,2016-10-01,Kelly Johnson struck out looking.
H_Neris,1180,B Colon,375&,2016-04-20,Bartolo Colon struck out swinging.
H_Neris,1180,B Harper,1157,2016-08-31,Bryce Harper grounded out to pitcher (Grounder).
H_Neris,1180,D Kelly,2216,2016-07-18,Don Kelly struck out swinging.
H_Neris,1180,S Piscotty,1336,2016-08-20,Stephen Piscotty struck out swinging.
H_Neris,1180,K Nieuwenhuis,6400,2016-06-03,Kirk Nieuwenhuis grounded out to second (Grounder).
H_Neris,1180,K Nieuwenhuis,6400,2016-06-04,Kirk Nieuwenhuis lined out to first (Liner).
H_Neris,1180,M Taylor,1148,2016-08-31,Michael Taylor struck out swinging.
H_Neris,1180,C Yelich,1147,2016-05-17,Christian Yelich struck out looking.
H_Neris,1180,G Parra,8553,2016-08-14,Gerardo Parra grounded out to pitcher (Grounder).
H_Neris,1180,A Garcia,1377,2016-07-29,Adonis Garcia grounded out to third (Grounder).
H_Neris,1180,L Duda,2502,2016-04-20,Lucas Duda struck out swinging.
H_Neris,1180,D Santana,1034,2016-04-22,Domingo Santana struck out swinging.
H_Neris,1180,A Presley,5305,2016-06-04,Alex Presley grounded out to second (Grounder).
H_Neris,1180,N Markakis,5930,2016-07-28,Nick Markakis struck out swinging.
H_Neris,1180,J Harrison,8202,2016-07-24,Josh Harrison flied out to left (Fliner (Fly)).
H_Neris,1180,C Granderson,4747,2016-04-10,Curtis Granderson flied out to right (Fliner (Fly)).
H_Neris,1180,E Nunez,6848,2016-06-22,Eduardo Nunez grounded out to shortstop (Grounder).
H_Neris,1180,F Freeman,5361,2016-07-29,Freddie Freeman flied out to left (Fly).
H_Neris,1180,M Carpenter,8090,2016-08-19,Matt Carpenter flied out to right (Fliner (Fly)).
H_Neris,1180,K Morales,8610,2016-07-03,Kendrys Morales fouled out to third (Fly).
H_Neris,1180,J Bruce,9892,2016-08-28,Jay Bruce struck out swinging.
H_Neris,1180,J Segura,5933,2016-06-20,Jean Segura picked off.
H_Neris,1180,T Anderson,1517,2016-09-20,Tim Anderson struck out swinging.
H_Neris,1180,C Gillaspie,9009,2016-06-24,Conor Gillaspie flied out to center (Fly).
H_Neris,1180,A Rendon,1286,2016-08-30,Anthony Rendon lined out to third (Liner).
H_Neris,1180,M Rojas,7802,2016-05-06,Miguel Rojas fouled out to first (Fliner (Fly)).
H_Neris,1180,S Gennett,1033,2016-04-22,Scooter Gennett struck out swinging.
H_Neris,1180,R Weeks Jr.,1849,2016-06-28,Rickie Weeks Jr. struck out swinging.
H_Neris,1180,M Taylor,1148,2016-04-27,Michael Taylor flied out to right (Fly).
H_Neris,1180,T d'Arnaud,7739,2016-10-01,Travis d'Arnaud sacrificed to pitcher (Bunt Grounder). Eric Campbell advanced to 2B.
