playername,playerid,vsname,vsid,date,Play
H_Olivera,1752,J Garcia,8137,2016-04-08,Hector Olivera singled to shortstop (Fliner (Fly)). Adonis Garcia scored. Nick Markakis advanced to 3B.
H_Olivera,1752,S Strasburg,1013,2016-04-06,Hector Olivera walked. Nick Markakis advanced to 2B.
H_Olivera,1752,A Wainwright,2233,2016-04-10,Hector Olivera hit a sacrifice fly to left (Fliner (Fly)). Nick Markakis scored.
H_Olivera,1752,T Rosenthal,1074,2016-04-10,Hector Olivera singled to right (Fliner (Liner)).
H_Olivera,1752,M Scherzer,3137,2016-04-11,Hector Olivera out on a dropped third strike.
H_Olivera,1752,J Garcia,8137,2016-04-08,Hector Olivera struck out looking.
H_Olivera,1752,J Garcia,8137,2016-04-08,Hector Olivera struck out looking.
H_Olivera,1752,B Treinen,1257,2016-04-11,Hector Olivera grounded out to pitcher (Grounder).
H_Olivera,1752,S Kelley,7773,2016-04-06,Hector Olivera flied out to center (Fly).
H_Olivera,1752,A Wainwright,2233,2016-04-10,Hector Olivera grounded into a double play to second (Grounder). Adonis Garcia out at second.
H_Olivera,1752,M Scherzer,3137,2016-04-04,Hector Olivera grounded out to third (Grounder). Nick Markakis out at second.
