playername,playerid,vsname,vsid,date,Play
H_Owens,1314,C Beltran,589&,2016-04-29,Carlos Beltran grounded into a double play to third (Grounder). Jacoby Ellsbury advanced to 3B. Brett Gardner out at second.
H_Owens,1314,C Maybin,5223,2016-08-21,Cameron Maybin struck out swinging.
H_Owens,1314,M Cabrera,4022,2016-05-05,Melky Cabrera fouled out to first (Fly).
H_Owens,1314,J Abreu,1567,2016-05-05,Jose Abreu grounded into a double play to third (Grounder). Adam Eaton scored. Jimmy Rollins out at second.
H_Owens,1314,C Rasmus,9893,2016-04-24,Colby Rasmus flied out to right (Fly).
H_Owens,1314,I Kinsler,6195,2016-08-21,Ian Kinsler flied out to center (Fly).
H_Owens,1314,T White,1556,2016-04-24,Tyler White hit a sacrifice fly to center (Fly). George Springer scored.
H_Owens,1314,C Beltran,589&,2016-04-29,Carlos Beltran flied out to shortstop (Fly).
H_Owens,1314,T Austin,1185,2016-09-29,Tyler Austin struck out swinging.
H_Owens,1314,A Garcia,5760,2016-05-05,Avisail Garcia flied out to third (Fly).
H_Owens,1314,M Teixeira,1281,2016-04-29,Mark Teixeira flied out to left (Fliner (Fly)).
H_Owens,1314,C Maybin,5223,2016-08-21,Cameron Maybin struck out swinging.
H_Owens,1314,B Gardner,9927,2016-09-29,Brett Gardner flied out to center (Fliner (Liner)).
H_Owens,1314,B Gardner,9927,2016-04-29,Brett Gardner struck out swinging.
H_Owens,1314,J Castro,8722,2016-04-24,Jason Castro struck out swinging.
H_Owens,1314,G Sanchez,1144,2016-09-29,Gary Sanchez struck out swinging.
H_Owens,1314,S Castro,4579,2016-09-29,Starlin Castro flied out to right (Fliner (Liner)).
H_Owens,1314,B McCann,4810,2016-04-29,Brian McCann grounded out to second (Grounder).
H_Owens,1314,J McCann,1285,2016-08-21,James McCann struck out swinging.
H_Owens,1314,J Ellsbury,4727,2016-04-29,Jacoby Ellsbury was caught stealing.
H_Owens,1314,D Gregorius,6012,2016-04-29,Didi Gregorius flied out to shortstop (Fly).
H_Owens,1314,I Kinsler,6195,2016-08-21,Ian Kinsler was caught stealing.
H_Owens,1314,B McCann,4810,2016-04-29,Brian McCann struck out looking.
H_Owens,1314,C Headley,4720,2016-09-29,Chase Headley grounded out to shortstop (Grounder).
H_Owens,1314,M Teixeira,1281,2016-04-29,Mark Teixeira struck out swinging.
H_Owens,1314,E Gattis,1100,2016-04-24,Evan Gattis flied out to center (Fly).
H_Owens,1314,A Rodriguez,1274,2016-04-29,Alex Rodriguez grounded out to shortstop (Grounder).
H_Owens,1314,B McCann,4810,2016-04-29,Brian McCann flied out to left (Fly).
H_Owens,1314,J Saltalamacchia,5557,2016-08-21,Jarrod Saltalamacchia flied out to second (Fly).
H_Owens,1314,C McGehee,6086,2016-08-21,Casey McGehee flied out to second (Fly).
H_Owens,1314,C McGehee,6086,2016-08-21,Casey McGehee flied out to center (Fly).
H_Owens,1314,J Martinez,6184,2016-08-21,J.D. Martinez doubled to left (Fliner (Fly)). Miguel Cabrera advanced to 3B.
H_Owens,1314,J Ellsbury,4727,2016-09-29,Jacoby Ellsbury advanced on a stolen base to 2B.
H_Owens,1314,T Frazier,785&,2016-05-05,Todd Frazier walked.
H_Owens,1314,C Headley,4720,2016-09-29,Chase Headley advanced on a stolen base to 2B.
H_Owens,1314,J Castro,8722,2016-04-24,Jason Castro walked.
H_Owens,1314,M Cabrera,1744,2016-08-21,Miguel Cabrera was intentionally walked.
H_Owens,1314,T Austin,1185,2016-09-29,Tyler Austin advanced on a wild pitch to 2B.
H_Owens,1314,A Eaton,1120,2016-05-05,Adam Eaton advanced on a wild pitch to 2B.
H_Owens,1314,J Ellsbury,4727,2016-04-29,Jacoby Ellsbury walked.
H_Owens,1314,J Upton,5222,2016-08-21,Justin Upton homered (Fly). Miguel Cabrera scored. J.D. Martinez scored.
H_Owens,1314,J Altuve,5417,2016-04-24,Jose Altuve advanced on a stolen base to 3B.
H_Owens,1314,J Altuve,5417,2016-04-24,Jose Altuve singled to pitcher (Grounder).
H_Owens,1314,I Kinsler,6195,2016-08-21,Ian Kinsler walked.
H_Owens,1314,S Castro,4579,2016-04-29,Starlin Castro singled to left (Fliner (Liner)).
H_Owens,1314,A Eaton,1120,2016-05-05,Adam Eaton singled to right (Grounder).
H_Owens,1314,A Eaton,1120,2016-05-05,Adam Eaton walked.
H_Owens,1314,B Lawrie,5247,2016-05-05,Brett Lawrie walked.
H_Owens,1314,G Springer,1285,2016-04-24,George Springer doubled to left (Grounder).
H_Owens,1314,J Altuve,5417,2016-04-24,Jose Altuve doubled to left (Liner).
H_Owens,1314,S Castro,4579,2016-04-29,Starlin Castro tripled to center (Fliner (Liner)).
H_Owens,1314,C Rasmus,9893,2016-04-24,Colby Rasmus walked. George Springer advanced to 3B. Carlos Correa advanced to 2B.
H_Owens,1314,E Gattis,1100,2016-04-24,Evan Gattis singled to center (Fliner (Liner)). Carlos Correa scored. Colby Rasmus advanced to 2B.
H_Owens,1314,A Rodriguez,1274,2016-04-29,Alex Rodriguez homered (Fly).
H_Owens,1314,E Aybar,4082,2016-08-21,Erick Aybar doubled to left (Grounder). Jarrod Saltalamacchia advanced to 3B.
H_Owens,1314,J Upton,5222,2016-08-21,Justin Upton homered (Fly). Miguel Cabrera scored. J.D. Martinez scored.
H_Owens,1314,J Martinez,6184,2016-08-21,J.D. Martinez doubled to right (Grounder). Jarrod Saltalamacchia scored. Erick Aybar scored. Miguel Cabrera advanced to 3B.
