playername,playerid,vsname,vsid,date,Play
H_Perez,5751,C Estevez,1454,2016-08-23,Hernan Perez tripled to right (Liner). Jonathan Villar scored. Ryan Braun scored.
H_Perez,5751,C Villanueva,4138,2016-08-01,Hernan Perez homered (Fly). Scooter Gennett scored.
H_Perez,5751,J Taillon,1167,2016-08-27,Hernan Perez homered (Fliner (Fly)). Scooter Gennett scored. Ryan Braun scored.
H_Perez,5751,T Cingrani,1255,2016-07-15,Hernan Perez singled to right (Grounder). Jake Elmore scored. Will Middlebrooks advanced to 2B.
H_Perez,5751,J Lamb,8493,2016-07-16,Hernan Perez homered (Fliner (Fly)). Jonathan Villar scored.
H_Perez,5751,C Bedrosian,1336,2016-05-04,Colin Walsh advanced on a wild pitch to 2B. Hernan Perez scored. Ramon Flores advanced to 3B.
H_Perez,5751,B Finnegan,1620,2016-05-29,Hernan Perez doubled to center (Fliner (Fly)). Jonathan Villar scored.
H_Perez,5751,H Santiago,4026,2016-05-04,Hernan Perez homered (Fly).
H_Perez,5751,J Lamb,8493,2016-05-27,Hernan Perez singled to left (Liner). Jonathan Villar scored. Hernan Perez advanced to 2B.
H_Perez,5751,S Delabar,1182,2016-05-08,Hernan Perez homered (Fly).
H_Perez,5751,J Garcia,8137,2016-09-08,Hernan Perez doubled to center (Fliner (Fly)). Keon Broxton scored.
H_Perez,5751,C Hamels,4972,2016-09-28,Hernan Perez doubled to left (Grounder). Ryan Braun advanced to 3B.
H_Perez,5751,J Cosart,1030,2016-08-01,Hernan Perez walked. Jimmy Nelson advanced to 3B. Scooter Gennett advanced to 2B.
H_Perez,5751,T Cahill,6249,2016-05-19,Hernan Perez singled to center (Grounder). Scooter Gennett scored.
H_Perez,5751,J Lyles,7593,2016-10-01,Hernan Perez singled to center (Grounder). Ryan Braun scored. Chris Carter advanced to 2B.
H_Perez,5751,J Blanton,4849,2016-06-28,Hernan Perez walked.
H_Perez,5751,M Mayers,1545,2016-09-08,Hernan Perez singled to right (Fliner (Liner)). Ryan Braun advanced to 3B.
H_Perez,5751,J Hammel,4538,2016-05-19,Hernan Perez walked. Kirk Nieuwenhuis advanced to 3B on error. Hernan Perez Error by Miguel Montero.
H_Perez,5751,K Siegrist,8180,2016-08-29,Hernan Perez walked. Jonathan Villar scored. Scooter Gennett advanced to 3B. Ryan Braun advanced to 2B.
H_Perez,5751,G Marquez,1503,2016-10-02,Hernan Perez doubled to right (Fliner (Liner)).
H_Perez,5751,K Quackenbush,1236,2016-05-15,Hernan Perez doubled to center (Fliner (Liner)).
H_Perez,5751,J Locke,2929,2016-07-20,Hernan Perez singled to left (Liner). Jonathan Villar advanced to 2B.
H_Perez,5751,J Taillon,1167,2016-08-27,Hernan Perez homered (Fliner (Fly)).
H_Perez,5751,F Liriano,3201,2016-07-21,Hernan Perez doubled to center (Liner). Ryan Braun scored.
H_Perez,5751,W LeBlanc,5221,2016-09-20,Hernan Perez singled to right (Fliner (Liner)).
H_Perez,5751,J Taillon,1167,2016-07-30,Hernan Perez singled to left (Grounder). Scooter Gennett advanced to 2B.
H_Perez,5751,F Hernandez,4772,2016-08-20,Hernan Perez singled to right (Fliner (Liner)). Ryan Braun scored.
H_Perez,5751,J Garcia,8137,2016-07-01,Hernan Perez reached on error to pitcher (Grounder). Chris Carter advanced to 2B on error. Error by Jaime Garcia.
H_Perez,5751,C Cotham,1007,2016-05-28,Hernan Perez singled to left (Liner). Aaron Hill scored. Alex Presley advanced to 3B.
H_Perez,5751,A Conley,1445,2016-05-10,Hernan Perez walked.
H_Perez,5751,H Cervenka,1051,2016-05-26,Hernan Perez tripled to right (Fliner (Liner)). Martin Maldonado scored. Jonathan Villar scored.
H_Perez,5751,N Syndergaard,1176,2016-05-22,Hernan Perez singled to right (Fliner (Liner)).
H_Perez,5751,J Garcia,8137,2016-07-01,Hernan Perez singled to third (Grounder).
H_Perez,5751,K Hendricks,1204,2016-09-18,Hernan Perez singled to left (Fliner (Liner)).
H_Perez,5751,C Bettis,1058,2016-09-30,Hernan Perez doubled to right (Liner).
H_Perez,5751,F Rivero,1207,2016-09-02,Hernan Perez walked.
H_Perez,5751,R Ray,1148,2016-07-28,Hernan Perez singled to shortstop (Grounder).
H_Perez,5751,C Martinez,1168,2016-05-30,Hernan Perez singled to center (Grounder).
H_Perez,5751,J Diaz,3397,2016-09-25,Hernan Perez singled to right (Grounder).
H_Perez,5751,J Hammel,4538,2016-07-22,Hernan Perez singled to right (Fliner (Liner)).
H_Perez,5751,J Locke,2929,2016-09-03,Hernan Perez tripled to right (Fly).
H_Perez,5751,F Liriano,3201,2016-07-31,Hernan Perez singled to pitcher (Bunt Grounder).
H_Perez,5751,J Nicasio,7731,2016-09-02,Hernan Perez reached on error to right (Fliner (Fly)). Hernan Perez advanced to 2B. Error by Gregory Polanco.
H_Perez,5751,C Richard,3551,2016-07-23,Hernan Perez doubled to center (Fliner (Fly)).
H_Perez,5751,T Anderson,1288,2016-08-24,Hernan Perez reached on dropped third strike (wp).
H_Perez,5751,T Watson,3132,2016-09-21,Hernan Perez singled to second (Grounder).
H_Perez,5751,R Whalen,1416,2016-08-08,Hernan Perez singled to right (Liner).
H_Perez,5751,D Storen,6983,2016-08-19,Hernan Perez advanced on a stolen base to 2B.
H_Perez,5751,N Syndergaard,1176,2016-05-22,Hernan Perez advanced on a wild pitch to 2B.
H_Perez,5751,A Wainwright,2233,2016-07-02,Hernan Perez singled to center (Grounder).
H_Perez,5751,J Taillon,1167,2016-07-19,Hernan Perez singled to left (Liner).
H_Perez,5751,J De La Cruz,1282,2016-08-10,Hernan Perez walked.
H_Perez,5751,R Vogelsong,1011,2016-09-22,Hernan Perez singled to center (Liner).
H_Perez,5751,F Liriano,3201,2016-07-21,Hernan Perez singled to left (Liner).
H_Perez,5751,A DeSclafani,1305,2016-09-23,Hernan Perez reached on error to second (Grounder). Error by Brandon Phillips.
H_Perez,5751,A Chapman,1023,2016-08-18,Hernan Perez singled to left (Liner).
H_Perez,5751,C Martinez,1168,2016-09-09,Hernan Perez singled to left (Grounder).
H_Perez,5751,C Bettis,1058,2016-09-30,Orlando Arcia advanced on double steal to 2B.
H_Perez,5751,B Shipley,1515,2016-08-05,Hernan Perez advanced on a wild pitch to 2B.
