playername,playerid,vsname,vsid,date,Play
H_Street,8258,S Rodriguez,6589,2016-06-05,Sean Rodriguez grounded into a double play to shortstop (Grounder). Starling Marte out at second.
H_Street,8258,L Chisenhall,7571,2016-06-11,Lonnie Chisenhall hit a sacrifice fly to left (Fly). Mike Napoli scored.
H_Street,8258,C Crisp,1572,2016-04-12,Coco Crisp fouled out to shortstop (Fly).
H_Street,8258,E Nunez,6848,2016-06-14,Eduardo Nunez grounded out to second (Grounder).
H_Street,8258,A Beltre,639&,2016-07-19,Adrian Beltre flied out to left (Fliner (Fly)).
H_Street,8258,J Lowrie,4418,2016-04-12,Jed Lowrie flied out to center (Fly).
H_Street,8258,A Lind,8027,2016-04-22,Adam Lind singled to left (Grounder). Adam Lind out.
H_Street,8258,M Semien,1253,2016-06-26,Marcus Semien struck out looking.
H_Street,8258,J Rollins,971&,2016-04-21,Jimmy Rollins flied out to shortstop (Fly).
H_Street,8258,B Holt,9345,2016-07-31,Brock Holt struck out swinging.
H_Street,8258,M Moreland,3086,2016-04-07,Mitch Moreland grounded out to third (Grounder).
H_Street,8258,J Iglesias,1023,2016-05-31,Jose Iglesias flied out to second (Fliner (Fly)).
H_Street,8258,I Desmond,6885,2016-04-10,Ian Desmond struck out swinging.
H_Street,8258,L Martin,1184,2016-04-23,Leonys Martin struck out swinging.
H_Street,8258,J Mauer,1857,2016-06-14,Joe Mauer flied out to left (Fliner (Liner)).
H_Street,8258,R Odor,1228,2016-07-20,Rougned Odor flied out to left (Fliner (Fly)).
H_Street,8258,L Martin,1184,2016-04-22,Leonys Martin fouled out to left (Fly).
H_Street,8258,J Mercer,6547,2016-06-05,Jordy Mercer grounded out to shortstop (Grounder).
H_Street,8258,E Andrus,8709,2016-04-10,Elvis Andrus struck out swinging.
H_Street,8258,J Kipnis,9776,2016-06-11,Jason Kipnis flied out to shortstop (Fly).
H_Street,8258,C Crisp,1572,2016-04-11,Coco Crisp flied out to left (Fliner (Fly)).
H_Street,8258,R Odor,1228,2016-04-10,Rougned Odor grounded out to second (Grounder).
H_Street,8258,R Refsnyder,1377,2016-06-09,Rob Refsnyder flied out to first (Fly).
H_Street,8258,N Mazara,1455,2016-07-20,Nomar Mazara flied out to left (Fly).
H_Street,8258,A Hicks,5297,2016-06-09,Aaron Hicks struck out swinging.
H_Street,8258,S Marte,9241,2016-06-05,Starling Marte was intentionally walked.
H_Street,8258,S Vogt,5000,2016-06-24,Stephen Vogt flied out to right (Fly).
H_Street,8258,D Valencia,6364,2016-06-24,Danny Valencia struck out swinging.
H_Street,8258,M Gonzalez,5497,2016-06-29,Marwin Gonzalez grounded out to pitcher (Liner).
H_Street,8258,J Bradley Jr.,1298,2016-07-03,Jackie Bradley Jr. struck out swinging.
H_Street,8258,T Beckham,7949,2016-07-05,Tim Beckham grounded into a double play to shortstop (Grounder). Brad Miller out at second.
H_Street,8258,A Russell,1410,2016-04-05,Addison Russell flied out to third (Fly).
H_Street,8258,D Ross,1551,2016-04-05,David Ross grounded out to third (Grounder).
H_Street,8258,L Valbuena,4969,2016-06-29,Luis Valbuena was intentionally walked.
H_Street,8258,H Ramirez,8001,2016-07-03,Hanley Ramirez doubled to left (Fliner (Liner)).
H_Street,8258,A Lind,8027,2016-04-23,Adam Lind advanced on a passed ball to 2B. Passed ball by Carlos Perez.
H_Street,8258,J Marisnick,1133,2016-06-29,Jake Marisnick walked. Luis Valbuena scored. Carlos Gomez advanced to 3B. Evan Gattis advanced to 2B.
H_Street,8258,J Altuve,5417,2016-06-29,Jose Altuve singled to left (Fliner (Liner)).
H_Street,8258,E Gattis,1100,2016-06-29,Evan Gattis singled to right (Grounder). Carlos Correa scored. Luis Valbuena advanced to 3B. Carlos Gomez advanced to 2B.
H_Street,8258,C Headley,4720,2016-06-09,Chase Headley doubled to right (Fliner (Liner)).
H_Street,8258,C Gomez,4881,2016-06-29,Carlos Gomez singled to left (Grounder). Jose Altuve scored. Carlos Correa advanced to 3B. Luis Valbuena advanced to 2B.
H_Street,8258,J Ramirez,1351,2016-06-11,Jose Ramirez singled to left (Fliner (Fly)).
H_Street,8258,R Rua,1240,2016-07-20,Ryan Rua singled to third (Grounder). Adrian Beltre advanced to 3B.
H_Street,8258,K Davis,9112,2016-06-26,Khris Davis singled to third (Grounder).
H_Street,8258,J Bradley Jr.,1298,2016-07-31,Jackie Bradley Jr. walked.
H_Street,8258,M Napoli,3057,2016-06-11,Mike Napoli singled to center (Fliner (Liner)). Jose Ramirez advanced to 2B.
H_Street,8258,M Cabrera,4022,2016-04-21,Melky Cabrera walked.
H_Street,8258,R Odor,1228,2016-07-19,Rougned Odor singled to center (Grounder).
H_Street,8258,A Hill,6104,2016-07-31,Aaron Hill singled to center (Fliner (Liner)). Jackie Bradley Jr. advanced to 2B.
H_Street,8258,J Hardy,3797,2016-07-10,J.J. Hardy homered (Fliner (Fly)).
H_Street,8258,G Polanco,1290,2016-06-05,Gregory Polanco walked.
H_Street,8258,G Springer,1285,2016-06-21,George Springer advanced on a stolen base to 2B.
H_Street,8258,J Altuve,5417,2016-06-21,Jose Altuve singled to third (Grounder). George Springer advanced to 3B. Marwin Gonzalez advanced to 2B.
H_Street,8258,J Kang,1718,2016-06-05,Jung Ho Kang doubled to left (Liner). Gregory Polanco advanced to 3B.
H_Street,8258,O Arcia,1030,2016-04-17,Oswaldo Arcia singled (Fliner (Fly)). Byron Buxton scored.
