playername,playerid,vsname,vsid,date,Play
H_Strickland,7836,A Russell,1410,2016-09-03,Addison Russell flied out to right (Fliner (Liner)).
H_Strickland,7836,M Hernandez,1315,2016-06-08,Marco Hernandez reached on fielder's choice to shortstop (Grounder). Rusney Castillo out at second.
H_Strickland,7836,C Culberson,3298,2016-04-09,Charlie Culberson flied out to right (Fliner (Fly)).
H_Strickland,7836,D Gordon,8203,2016-08-08,Dee Gordon was caught stealing.
H_Strickland,7836,B Gardner,9927,2016-07-23,Brett Gardner struck out swinging.
H_Strickland,7836,M Mahtook,1313,2016-06-18,Mikie Mahtook flied out to right (Fly).
H_Strickland,7836,T Thompson,9952,2016-04-09,Trayce Thompson struck out swinging.
H_Strickland,7836,J Segura,5933,2016-09-11,Jean Segura grounded out to pitcher (Grounder). Socrates Brito advanced to 3B.
H_Strickland,7836,T Shaw,1198,2016-06-07,Travis Shaw grounded out to first (Grounder).
H_Strickland,7836,J Turner,5235,2016-06-11,Justin Turner flied out to right (Fliner (Liner)). Chase Utley advanced to 3B.
H_Strickland,7836,T Story,1256,2016-05-28,Trevor Story struck out looking.
H_Strickland,7836,R Dickey,1245,2016-05-11,R.A. Dickey struck out swinging.
H_Strickland,7836,J Ellsbury,4727,2016-07-23,Jacoby Ellsbury grounded out to second (Grounder).
H_Strickland,7836,T Joseph,1034,2016-08-04,Tommy Joseph flied out to first (Fly).
H_Strickland,7836,A Altherr,1127,2016-08-02,Aaron Altherr struck out swinging.
H_Strickland,7836,J Rutledge,1116,2016-06-07,Josh Rutledge struck out swinging.
H_Strickland,7836,B Drury,1161,2016-09-09,Brandon Drury struck out swinging.
H_Strickland,7836,R Goins,9807,2016-05-11,Ryan Goins struck out swinging.
H_Strickland,7836,C Hernandez,1055,2016-08-02,Cesar Hernandez struck out swinging.
H_Strickland,7836,C Yelich,1147,2016-08-08,Christian Yelich grounded out to shortstop (Grounder).
H_Strickland,7836,T Story,1256,2016-05-07,Trevor Story flied out to right (Fliner (Fly)).
H_Strickland,7836,T Tulowitzki,3531,2016-05-11,Troy Tulowitzki struck out swinging.
H_Strickland,7836,Y Tomas,1717,2016-08-31,Yasmany Tomas struck out swinging.
H_Strickland,7836,C Owings,1003,2016-05-14,Chris Owings struck out looking.
H_Strickland,7836,M Rojas,7802,2016-08-10,Miguel Rojas grounded out to second (Grounder).
H_Strickland,7836,M Haniger,1427,2016-09-09,Mitch Haniger flied out to right (Fliner (Fly)).
H_Strickland,7836,C Beltran,589&,2016-07-23,Carlos Beltran grounded out to shortstop (Grounder).
H_Strickland,7836,B Drury,1161,2016-09-11,Brandon Drury struck out swinging.
H_Strickland,7836,A Ramirez,5133,2016-07-16,Alexei Ramirez grounded out to second (Grounder).
H_Strickland,7836,C Crisp,1572,2016-06-28,Coco Crisp flied out to center (Fly).
H_Strickland,7836,J Turner,5235,2016-04-16,Justin Turner flied out to left (Fly).
H_Strickland,7836,B Drury,1161,2016-08-31,Brandon Drury grounded out to shortstop (Grounder).
H_Strickland,7836,C Gonzalez,7287,2016-05-07,Carlos Gonzalez flied out to third (Fliner (Fly)).
H_Strickland,7836,C Hernandez,1055,2016-08-04,Cesar Hernandez struck out swinging.
H_Strickland,7836,E Kratz,4403,2016-06-23,Erik Kratz flied out to right (Fliner (Fly)).
H_Strickland,7836,W Castillo,3256,2016-04-18,Welington Castillo hit a sacrifice fly to right (Fly). Paul Goldschmidt scored. David Peralta advanced to 3B.
H_Strickland,7836,J Realmuto,1173,2016-08-10,J.T. Realmuto flied out to center (Fly).
H_Strickland,7836,M Ozuna,1032,2016-08-08,Marcell Ozuna flied out to right (Fly).
H_Strickland,7836,A De Aza,3371,2016-08-19,Alejandro De Aza grounded out to first (Grounder).
H_Strickland,7836,G Parra,8553,2016-09-28,Gerardo Parra flied out to right (Fly).
H_Strickland,7836,H Renfroe,1546,2016-09-24,Hunter Renfroe struck out looking.
H_Strickland,7836,M Kemp,5631,2016-05-25,Matt Kemp flied out to right (Fly).
H_Strickland,7836,T Thompson,9952,2016-06-12,Trayce Thompson flied out to left (Fliner (Liner)).
H_Strickland,7836,A Rendon,1286,2016-08-06,Anthony Rendon flied out to right (Fly).
H_Strickland,7836,H Kendrick,4229,2016-06-12,Howie Kendrick grounded out to second (Grounder).
H_Strickland,7836,C Owings,1003,2016-08-31,Chris Owings grounded out to pitcher (Grounder).
H_Strickland,7836,J Mercer,6547,2016-08-16,Jordy Mercer grounded out to first (Grounder).
H_Strickland,7836,S Marte,9241,2016-06-23,Starling Marte flied out to right (Fly).
H_Strickland,7836,A Rosales,9682,2016-09-24,Adam Rosales struck out swinging.
H_Strickland,7836,M Upton Jr.,5015,2016-05-25,Melvin Upton Jr. flied out to center (Fly).
H_Strickland,7836,D Descalso,8392,2016-09-07,Daniel Descalso lined out to shortstop (Liner).
H_Strickland,7836,J Segura,5933,2016-04-21,Jean Segura grounded out to second (Grounder).
H_Strickland,7836,B Revere,4712,2016-07-31,Ben Revere grounded out to pitcher (Grounder).
H_Strickland,7836,A Duvall,1095,2016-07-27,Adam Duvall struck out swinging.
H_Strickland,7836,M Kemp,5631,2016-07-17,Matt Kemp struck out looking.
H_Strickland,7836,D Espinosa,9219,2016-07-30,Danny Espinosa grounded out to first (Grounder).
H_Strickland,7836,B Phillips,791&,2016-07-27,Brandon Phillips struck out swinging.
H_Strickland,7836,J Jaso,5887,2016-06-23,John Jaso grounded out to second (Grounder).
H_Strickland,7836,W Ramos,1433,2016-07-29,Wilson Ramos grounded out to pitcher (Grounder).
H_Strickland,7836,E Longoria,9368,2016-06-19,Evan Longoria flied out to second (Fly).
H_Strickland,7836,A Rendon,1286,2016-07-30,Anthony Rendon flied out to shortstop (Fly).
H_Strickland,7836,D Ross,1551,2016-05-21,David Ross grounded out to pitcher (Grounder).
H_Strickland,7836,M Semien,1253,2016-06-30,Marcus Semien grounded out to third (Grounder).
H_Strickland,7836,Y Cespedes,1311,2016-04-30,Yoenis Cespedes grounded out to third (Grounder).
H_Strickland,7836,M Ozuna,1032,2016-04-23,Marcell Ozuna struck out swinging.
H_Strickland,7836,R Martin,4616,2016-05-09,Russell Martin struck out swinging.
H_Strickland,7836,Y Tomas,1717,2016-07-02,Yasmany Tomas grounded out to shortstop (Grounder). Chris Herrmann advanced to 2B.
H_Strickland,7836,S Marte,9241,2016-08-17,Starling Marte flied out to left (Fliner (Liner)).
H_Strickland,7836,R Weeks Jr.,1849,2016-07-08,Rickie Weeks Jr. flied out to center (Fly).
H_Strickland,7836,L Morrison,9205,2016-06-19,Logan Morrison grounded out to first (Grounder).
H_Strickland,7836,Y Tomas,1717,2016-08-30,Yasmany Tomas grounded out to shortstop (Grounder).
H_Strickland,7836,P Goldschmidt,9218,2016-04-19,Paul Goldschmidt grounded out to shortstop (Grounder).
H_Strickland,7836,N Walker,7539,2016-08-21,Neil Walker grounded out to second (Grounder).
H_Strickland,7836,C Granderson,4747,2016-08-21,Curtis Granderson flied out to right (Fliner (Liner)).
H_Strickland,7836,C Yelich,1147,2016-04-23,Christian Yelich grounded out to third (Grounder).
H_Strickland,7836,C Owings,1003,2016-08-30,Chris Owings flied out to center (Fliner (Fly)).
H_Strickland,7836,C Bethancourt,1002,2016-07-17,Christian Bethancourt flied out to shortstop (Fly).
H_Strickland,7836,N Arenado,9777,2016-07-05,Nolan Arenado flied out to first (Fly).
H_Strickland,7836,Y Tomas,1717,2016-04-19,Yasmany Tomas struck out swinging.
H_Strickland,7836,M Reynolds,7619,2016-05-29,Mark Reynolds struck out swinging.
H_Strickland,7836,Z Cozart,2616,2016-05-04,Zack Cozart flied out to center (Fly).
