playername,playerid,vsname,vsid,date,Play
I_Kinsler,6195,C Breslow,4363,2016-04-05,Ian Kinsler singled to left (Liner). Anthony Gose scored.
I_Kinsler,6195,A Sanchez,1149,2016-06-07,Ian Kinsler doubled to left (Fliner (Liner)). Jose Iglesias scored.
I_Kinsler,6195,J Paxton,1182,2016-06-21,Ian Kinsler singled to right (Liner). Jose Iglesias scored. Ian Kinsler advanced to 2B.
I_Kinsler,6195,J Blevins,7841,2016-08-07,Ian Kinsler singled to shortstop (Grounder). Justin Upton scored. James McCann advanced to 3B. Andrew Romine advanced to 2B.
I_Kinsler,6195,C Bedrosian,1336,2016-05-31,Ian Kinsler homered (Fliner (Fly)). Justin Upton scored. James McCann scored. Jose Iglesias scored.
I_Kinsler,6195,M Andriese,1202,2016-07-03,Ian Kinsler doubled to left (Liner).
I_Kinsler,6195,A Ranaudo,1142,2016-05-07,Ian Kinsler homered (Fly). Anthony Gose scored.
I_Kinsler,6195,J Shields,7059,2016-07-21,Ian Kinsler homered (Fly).
I_Kinsler,6195,D Duffy,3542,2016-07-16,Ian Kinsler homered (Fly). Jose Iglesias scored.
I_Kinsler,6195,T Duffey,1375,2016-09-14,Ian Kinsler tripled to right (Fliner (Fly)). Andrew Romine scored.
I_Kinsler,6195,A Blair,1493,2016-10-01,Ian Kinsler doubled to left (Fliner (Liner)). Jarrod Saltalamacchia scored.
I_Kinsler,6195,J Tomlin,9388,2016-05-03,Ian Kinsler homered (Fly). Anthony Gose scored.
I_Kinsler,6195,M Fiers,7754,2016-04-17,Ian Kinsler homered (Fly). Jose Iglesias scored.
I_Kinsler,6195,I Kennedy,6986,2016-04-20,Ian Kinsler doubled to center (Fliner (Fly)). Jarrod Saltalamacchia scored.
I_Kinsler,6195,A Swarzak,7466,2016-06-12,Ian Kinsler homered (Fly). Mike Aviles scored.
I_Kinsler,6195,J Quintana,1142,2016-08-04,Ian Kinsler homered (Fly).
I_Kinsler,6195,C Rodon,1613,2016-06-03,Ian Kinsler singled to center (Fliner (Liner)). Jose Iglesias scored.
I_Kinsler,6195,J Berrios,1416,2016-05-16,Ian Kinsler homered (Fliner (Fly)).
I_Kinsler,6195,B Oberholtzer,3855,2016-08-27,Ian Kinsler homered (Fly).
I_Kinsler,6195,T Duffey,1375,2016-09-14,Ian Kinsler singled to center (Grounder). James McCann scored. Jose Iglesias advanced to 3B.
I_Kinsler,6195,J Shields,7059,2016-06-13,Ian Kinsler homered (Fliner (Fly)).
I_Kinsler,6195,J Turner,1018,2016-08-30,Ian Kinsler singled to left (Liner). Jarrod Saltalamacchia scored. JaCoby Jones scored.
I_Kinsler,6195,Y Ventura,1185,2016-07-17,Ian Kinsler singled to left (Liner). Jarrod Saltalamacchia advanced to 3B. Jose Iglesias advanced to 2B.
I_Kinsler,6195,T May,6398,2016-05-17,Ian Kinsler homered (Fly). Jose Iglesias scored.
I_Kinsler,6195,S Manaea,1587,2016-05-27,Ian Kinsler tripled to center (Fliner (Fly)).
I_Kinsler,6195,P Moylan,4891,2016-09-04,Ian Kinsler singled to center (Fliner (Liner)). Andrew Romine scored.
I_Kinsler,6195,J Shields,7059,2016-08-29,Ian Kinsler singled to center (Liner). Erick Aybar advanced to 3B.
I_Kinsler,6195,D Robertson,8241,2016-07-23,Ian Kinsler doubled to left (Fly).
I_Kinsler,6195,Y Ventura,1185,2016-09-24,Ian Kinsler advanced on error to 3B. Error by Yordano Ventura.
I_Kinsler,6195,J Biagini,1319,2016-06-07,Ian Kinsler singled to left (Grounder). Justin Upton scored. Jarrod Saltalamacchia advanced to 3B. Jose Iglesias advanced to 2B.
I_Kinsler,6195,A Conley,1445,2016-06-28,Ian Kinsler doubled to left (Fliner (Fly)).
I_Kinsler,6195,W LeBlanc,5221,2016-08-09,Ian Kinsler doubled to left (Fliner (Liner)).
I_Kinsler,6195,J Turner,1018,2016-07-22,"Ian Kinsler advanced on a stolen base to 2B, advanced to 3B on error. Error by Jose Abreu."
I_Kinsler,6195,T Wilhelmsen,9975,2016-05-07,Ian Kinsler walked.
I_Kinsler,6195,R Nolasco,3830,2016-05-18,Ian Kinsler singled to shortstop (Grounder). Ian Kinsler advanced to 2B on error. Error by Eduardo Nunez.
I_Kinsler,6195,K Gausman,1410,2016-05-15,Ian Kinsler doubled to left (Grounder).
I_Kinsler,6195,D Hutchison,1073,2016-07-07,Ian Kinsler was hit by a pitch. Jose Iglesias advanced to 2B.
I_Kinsler,6195,J Shields,7059,2016-08-29,Ian Kinsler walked. Cameron Maybin advanced to 2B.
I_Kinsler,6195,D Otero,7385,2016-09-26,Ian Kinsler singled to center (Grounder).
I_Kinsler,6195,Y Ventura,1185,2016-09-03,Ian Kinsler singled to center (Liner).
I_Kinsler,6195,D Salazar,5867,2016-06-24,Ian Kinsler singled to right (Grounder). Steven Moya scored. James McCann advanced to 3B. Andrew Romine advanced to 2B.
I_Kinsler,6195,R Nolasco,3830,2016-05-18,Ian Kinsler singled to center (Grounder). Cameron Maybin scored.
I_Kinsler,6195,F Hernandez,4772,2016-08-10,Ian Kinsler walked.
I_Kinsler,6195,S Manaea,1587,2016-05-27,Ian Kinsler doubled to left (Grounder).
I_Kinsler,6195,J Soria,6941,2016-04-19,Ian Kinsler singled to center (Grounder). Jose Iglesias advanced to 2B.
I_Kinsler,6195,D Duffy,3542,2016-08-16,Ian Kinsler walked.
I_Kinsler,6195,G Cole,1312,2016-04-14,Ian Kinsler singled to center (Fliner (Fly)).
I_Kinsler,6195,Y Ventura,1185,2016-07-17,Ian Kinsler singled to center (Fliner (Liner)). Jose Iglesias advanced to 2B.
I_Kinsler,6195,T Koehler,6570,2016-06-29,Ian Kinsler doubled to left (Liner).
I_Kinsler,6195,D Jennings,8073,2016-07-23,Ian Kinsler walked. Jose Iglesias advanced to 2B.
I_Kinsler,6195,T Bauer,1270,2016-04-24,Ian Kinsler singled to center (Grounder).
I_Kinsler,6195,C Wang,2074,2016-04-20,Ian Kinsler singled to center (Grounder). Jarrod Saltalamacchia scored.
I_Kinsler,6195,J Chacin,2608,2016-05-30,Ian Kinsler singled to center (Fliner (Fly)). Andrew Romine advanced to 3B.
I_Kinsler,6195,C Tillman,5279,2016-05-13,Ian Kinsler singled to left (Fliner (Liner)).
I_Kinsler,6195,J Quintana,1142,2016-06-05,Ian Kinsler singled to center (Fliner (Liner)).
I_Kinsler,6195,M Pineda,5372,2016-06-12,Ian Kinsler walked.
I_Kinsler,6195,T Duffey,1375,2016-04-30,Ian Kinsler reached on error to third (Grounder). Ian Kinsler advanced to 2B. Error by Eduardo Nunez.
I_Kinsler,6195,H Iwakuma,1304,2016-08-08,Ian Kinsler walked.
I_Kinsler,6195,D Keuchel,9434,2016-04-15,Ian Kinsler singled to left (Liner).
I_Kinsler,6195,Y Darvish,1307,2016-08-12,Ian Kinsler was hit by a pitch.
I_Kinsler,6195,M Tanaka,1576,2016-06-11,Ian Kinsler was hit by a pitch.
I_Kinsler,6195,J Tomlin,9388,2016-05-03,Ian Kinsler singled to third (Grounder).
I_Kinsler,6195,P Hughes,7450,2016-04-29,Ian Kinsler walked.
I_Kinsler,6195,E Volquez,3990,2016-06-18,Ian Kinsler singled to left (Grounder).
