playername,playerid,vsname,vsid,date,Play
J_Altuve,5417,L Hendriks,3548,2016-08-31,Jose Altuve tripled to center (Fliner (Fly)). Alex Bregman scored.
J_Altuve,5417,T Wilhelmsen,9975,2016-06-08,Jose Altuve doubled to left (Grounder). Marwin Gonzalez scored. George Springer scored. Jose Altuve out.
J_Altuve,5417,M Shoemaker,4776,2016-06-22,Jose Altuve homered (Fliner (Fly)).
J_Altuve,5417,C Lewis,1259,2016-06-06,Jose Altuve homered (Fly). Jason Castro scored. George Springer scored.
J_Altuve,5417,W Miley,8779,2016-08-19,Jose Altuve doubled to right (Liner). George Springer scored. Alex Bregman scored.
J_Altuve,5417,J Berrios,1416,2016-08-11,Jose Altuve doubled to center (Fly). George Springer scored. Jose Altuve scored on error. Error by Juan Centeno.
J_Altuve,5417,L Hochevar,6943,2016-04-13,Jose Altuve doubled to center (Grounder). Jake Marisnick scored.
J_Altuve,5417,J Weaver,4235,2016-06-29,Jose Altuve tripled to right (Fliner (Fly)). George Springer scored.
J_Altuve,5417,F Hernandez,4772,2016-09-27,Jose Altuve doubled to left (Fliner (Fly)). George Springer scored. Jose Altuve advanced to 3B.
J_Altuve,5417,A Griffin,1113,2016-09-13,Jose Altuve homered (Fliner (Fly)).
J_Altuve,5417,Y Ventura,1185,2016-04-13,Jose Altuve homered (Fliner (Fly)).
J_Altuve,5417,M Montgomery,4869,2016-07-17,Jose Altuve homered (Fly). Marwin Gonzalez scored.
J_Altuve,5417,C Sale,1060,2016-07-02,Jose Altuve singled to left (Fliner (Liner)). Jake Marisnick scored. Jose Altuve advanced to 2B.
J_Altuve,5417,J Jeffress,9490,2016-08-07,Jose Altuve singled to center (Liner). Alex Bregman scored.
J_Altuve,5417,M Tonkin,1031,2016-08-09,Jose Altuve singled to center (Liner). Tony Kemp scored.
J_Altuve,5417,H Santiago,4026,2016-08-09,Jose Altuve singled to center (Grounder). George Springer advanced to 3B. Alex Bregman advanced to 2B.
J_Altuve,5417,J Weaver,4235,2016-06-29,Jose Altuve doubled to center (Fliner (Fly)). Marwin Gonzalez advanced to 3B.
J_Altuve,5417,C Sale,1060,2016-07-02,Jose Altuve homered (Fliner (Fly)).
