playername,playerid,vsname,vsid,date,Play
J_Alvarez,5358,R Rua,1240,2016-09-19,Ryan Rua lined out to third (Liner).
J_Alvarez,5358,R Odor,1228,2016-04-07,Rougned Odor fouled out to catcher (Fly).
J_Alvarez,5358,J Mauer,1857,2016-04-17,Joe Mauer singled to left (Grounder). Eduardo Nunez out at home. Brian Dozier advanced to 2B. Joe Mauer
J_Alvarez,5358,M Moreland,3086,2016-09-10,Mitch Moreland reached on fielder's choice to first (Grounder). Adrian Beltre out at second.
J_Alvarez,5358,N Mazara,1455,2016-05-01,Nomar Mazara flied out to left (Fly).
J_Alvarez,5358,B Butler,7399,2016-04-11,Billy Butler grounded into a double play to third (Grounder). Coco Crisp out at second.
J_Alvarez,5358,A Jones,6368,2016-05-20,Adam Jones struck out swinging.
J_Alvarez,5358,M Moustakas,4892,2016-04-27,Mike Moustakas grounded out to third (Grounder).
J_Alvarez,5358,M Kepler,1214,2016-06-14,Max Kepler reached on fielder's choice to first (Grounder). Brian Dozier out at second.
J_Alvarez,5358,B Miller,1277,2016-05-08,Brad Miller struck out swinging.
J_Alvarez,5358,J Votto,4314,2016-08-30,Joey Votto struck out swinging.
J_Alvarez,5358,Y Grandal,1136,2016-05-19,Yasmani Grandal grounded out to second (Grounder).
J_Alvarez,5358,A Gordon,5209,2016-04-27,Alex Gordon grounded out to second (Grounder).
J_Alvarez,5358,J Hazelbaker,9399,2016-05-12,Jeremy Hazelbaker struck out looking.
J_Alvarez,5358,R Cano,3269,2016-08-05,Robinson Cano flied out to shortstop (Fly).
J_Alvarez,5358,S Smith,7331,2016-09-04,Seth Smith grounded out to second (Grounder).
J_Alvarez,5358,C Utley,1679,2016-05-16,Chase Utley struck out swinging.
J_Alvarez,5358,S O'Malley,9629,2016-08-05,Shawn O'Malley flied out to right (Fly).
J_Alvarez,5358,Y Puig,1422,2016-05-19,Yasiel Puig struck out swinging.
J_Alvarez,5358,N Aoki,1307,2016-08-15,Nori Aoki reached on fielder's choice to third (Grounder). Leonys Martin out at second.
J_Alvarez,5358,F Gutierrez,3255,2016-08-15,Franklin Gutierrez struck out swinging.
J_Alvarez,5358,J Smolinski,5408,2016-09-07,Jake Smolinski grounded out to third (Grounder).
J_Alvarez,5358,O Infante,1609,2016-04-27,Omar Infante flied out to right (Fliner (Fly)).
J_Alvarez,5358,N Cruz,2434,2016-08-05,Nelson Cruz struck out swinging.
J_Alvarez,5358,C Dickerson,1076,2016-05-06,Corey Dickerson struck out swinging.
J_Alvarez,5358,A Lind,8027,2016-05-13,Adam Lind struck out swinging.
J_Alvarez,5358,S Smith,7331,2016-04-24,Seth Smith grounded into a double play to second (Grounder). Ketel Marte scored. Nori Aoki out at second.
J_Alvarez,5358,C Crawford,1201,2016-05-16,Carl Crawford grounded out to second (Grounder).
J_Alvarez,5358,A Eaton,1120,2016-04-19,Adam Eaton grounded out to shortstop (Grounder).
J_Alvarez,5358,G Polanco,1290,2016-06-05,Gregory Polanco struck out looking.
J_Alvarez,5358,R Cano,3269,2016-08-15,Robinson Cano grounded out to third (Grounder).
J_Alvarez,5358,J Reddick,3892,2016-04-13,Josh Reddick flied out to left (Fliner (Fly)).
J_Alvarez,5358,F Lindor,1291,2016-06-10,Francisco Lindor grounded into a double play to shortstop (Grounder). Jason Kipnis out at second.
J_Alvarez,5358,J Reddick,3892,2016-04-11,Josh Reddick flied out to right (Fly).
J_Alvarez,5358,J Smoak,9054,2016-09-17,Justin Smoak grounded out to second (Grounder).
J_Alvarez,5358,M Gonzalez,5497,2016-05-28,Marwin Gonzalez struck out swinging.
J_Alvarez,5358,R Odor,1228,2016-07-20,Rougned Odor flied out to center (Fliner (Fly)).
J_Alvarez,5358,A Lind,8027,2016-04-24,Adam Lind flied out to left (Fliner (Fly)).
J_Alvarez,5358,S Vogt,5000,2016-04-13,Stephen Vogt grounded out to second (Grounder).
J_Alvarez,5358,A Lind,8027,2016-08-05,Adam Lind grounded out to first (Grounder).
J_Alvarez,5358,V Martinez,393&,2016-06-01,Victor Martinez struck out swinging.
J_Alvarez,5358,K Seager,9785,2016-04-24,Kyle Seager flied out to right (Fliner (Liner)).
J_Alvarez,5358,T Kemp,1489,2016-05-28,Tony Kemp reached on fielder's choice to second (Grounder). Jake Marisnick out at second.
J_Alvarez,5358,F Lindor,1291,2016-08-11,Francisco Lindor grounded out to second (Grounder).
J_Alvarez,5358,L Forsythe,7185,2016-05-08,Logan Forsythe was caught stealing.
J_Alvarez,5358,L Chisenhall,7571,2016-08-11,Lonnie Chisenhall flied out to left (Fliner (Fly)).
J_Alvarez,5358,K Seager,9785,2016-09-13,Kyle Seager lined out to shortstop (Liner).
J_Alvarez,5358,M Trumbo,6876,2016-05-20,Mark Trumbo grounded out to pitcher (Grounder).
J_Alvarez,5358,D DeShields,1137,2016-04-30,Delino DeShields struck out swinging.
