playername,playerid,vsname,vsid,date,Play
J_Baez,1297,B Treinen,1257,2016-05-08,Javier Baez homered (Fliner (Fly)).
J_Baez,1297,J Locke,2929,2016-08-29,Javier Baez tripled to right (Fliner (Liner)).
J_Baez,1297,N Feliz,18&p,2016-08-29,Javier Baez doubled to center (Fliner (Liner)).
J_Baez,1297,J Hoover,9037,2016-06-28,Javier Baez homered (Fly). Kris Bryant scored. Anthony Rizzo scored. Jason Hammel scored.
J_Baez,1297,H Neris,1180,2016-06-07,Javier Baez singled to left (Grounder). Matt Szczur advanced to 3B. Addison Russell advanced to 2B.
J_Baez,1297,F Rodney,494&,2016-05-11,Javier Baez singled to center (Grounder).
J_Baez,1297,P Corbin,9323,2016-06-05,Javier Baez homered (Fly).
J_Baez,1297,J Nicasio,7731,2016-07-09,Javier Baez singled to shortstop (Grounder). Willson Contreras scored. Jason Heyward advanced to 2B.
J_Baez,1297,W Miley,8779,2016-07-30,Javier Baez reached on fielder's choice to shortstop (Grounder). Dexter Fowler scored. Kris Bryant advanced to 3B.
J_Baez,1297,J Taillon,1167,2016-06-19,Javier Baez homered (Fly).
J_Baez,1297,A Blair,1493,2016-04-29,Javier Baez doubled to left (Liner).
J_Baez,1297,M Albers,4300,2016-07-25,Javier Baez doubled to right (Fliner (Fly)).
J_Baez,1297,M Gonzalez,7024,2016-07-25,Javier Baez homered (Fliner (Fly)). Miguel Montero scored.
J_Baez,1297,R Scahill,9286,2016-08-16,Javier Baez homered (Fly). Willson Contreras scored.
J_Baez,1297,S Matz,1336,2016-06-30,Javier Baez homered (Fly).
J_Baez,1297,J Marinez,5830,2016-09-17,Javier Baez doubled to left (Liner).
J_Baez,1297,C Martinez,1168,2016-09-14,Javier Baez doubled to left (Liner).
J_Baez,1297,M Fiers,7754,2016-09-11,Javier Baez advanced on a wild pitch to score.
J_Baez,1297,C Bergman,1092,2016-04-16,Javier Baez singled to third (Grounder). Jorge Soler advanced to 2B.
J_Baez,1297,J Marinez,5830,2016-08-16,Javier Baez singled to right (Fliner (Fly)). Jorge Soler advanced to 3B. Ben Zobrist advanced to 2B.
J_Baez,1297,M Bumgarner,5524,2016-09-03,Javier Baez singled to left (Liner).
J_Baez,1297,J Niese,4424,2016-07-10,Javier Baez walked.
J_Baez,1297,M Gonzalez,7024,2016-07-25,Javier Baez singled to right (Fliner (Liner)). Javier Baez advanced to 2B on error. Error by Adam Eaton.
J_Baez,1297,L Weaver,1691,2016-08-13,Javier Baez singled to center (Fliner (Liner)). Willson Contreras advanced to 3B.
J_Baez,1297,J Gant,1368,2016-06-12,Javier Baez singled to pitcher (Bunt Grounder). Chris Coghlan advanced to 2B.
J_Baez,1297,J Niese,4424,2016-06-18,Javier Baez doubled to left (Grounder).
J_Baez,1297,C Rea,1231,2016-05-11,Javier Baez reached on error to third (Grounder). Jorge Soler advanced to 3B. Javier Baez advanced to 2B. Error by Brett Wallace.
J_Baez,1297,M Fiers,7754,2016-09-11,Javier Baez singled to center (Grounder). Ben Zobrist scored. Addison Russell advanced to 2B.
J_Baez,1297,W Peralta,1429,2016-10-02,Javier Baez singled to right (Grounder).
J_Baez,1297,J Nicasio,7731,2016-05-04,Javier Baez singled to left (Fliner (Liner)).
J_Baez,1297,T Anderson,1288,2016-08-19,Javier Baez walked.
J_Baez,1297,A Wood,1378,2016-05-30,Javier Baez singled to first (Bunt Grounder). Addison Russell advanced to 2B.
J_Baez,1297,S Matz,1336,2016-07-18,Javier Baez singled to center (Grounder).
J_Baez,1297,T Koehler,6570,2016-06-24,Javier Baez singled to center (Grounder). Chris Coghlan scored.
J_Baez,1297,M Leake,1013,2016-09-12,Javier Baez singled to center (Grounder).
J_Baez,1297,A Morgan,1258,2016-05-27,Javier Baez singled to left (Liner). Addison Russell advanced to 2B.
J_Baez,1297,J Niese,4424,2016-06-18,Javier Baez advanced on a wild pitch to 3B.
J_Baez,1297,D Overton,1562,2016-08-05,Javier Baez doubled to left (Fliner (Liner)). Jorge Soler scored. Jason Heyward scored.
J_Baez,1297,T Anderson,1288,2016-08-19,Javier Baez advanced on a stolen base to 3B.
J_Baez,1297,M Bolsinger,1113,2016-06-01,Javier Baez was hit by a pitch.
J_Baez,1297,E Jackson,1841,2016-08-22,Javier Baez singled to center (Grounder).
