playername,playerid,vsname,vsid,date,Play
J_Bandy,1250,S Manaea,1587,2016-08-02,Jett Bandy homered (Fliner (Fly)). Andrelton Simmons scored.
J_Bandy,1250,C Lewis,1259,2016-05-25,Jett Bandy doubled to center (Fliner (Fly)). Johnny Giavotella scored. Rafael Ortega advanced to 3B.
J_Bandy,1250,D Keuchel,9434,2016-06-29,Jett Bandy homered (Fliner (Fly)).
J_Bandy,1250,H Iwakuma,1304,2016-08-18,Jett Bandy homered (Fliner (Fly)).
J_Bandy,1250,J Axford,9059,2016-08-04,Jett Bandy singled to left (Grounder). Jefry Marte advanced to 2B.
J_Bandy,1250,F Hernandez,4772,2016-08-05,Jett Bandy homered (Fly).
J_Bandy,1250,J Kelly,9761,2016-07-30,Jett Bandy doubled to left (Fliner (Fly)). Andrelton Simmons scored.
J_Bandy,1250,T Rogers,1344,2016-06-15,Jett Bandy singled to right (Fly). Albert Pujols scored. C.J. Cron scored. Jefry Marte advanced to 3B.
J_Bandy,1250,K Kela,1469,2016-07-18,Jett Bandy was hit by a pitch.
J_Bandy,1250,T Bauer,1270,2016-06-11,Jett Bandy singled to left (Grounder). Johnny Giavotella advanced to 3B.
J_Bandy,1250,D Fister,9425,2016-05-29,Jett Bandy walked.
J_Bandy,1250,D Duffy,3542,2016-07-27,Jett Bandy walked.
J_Bandy,1250,D Smyly,1176,2016-07-06,Jett Bandy singled to second (Fliner (Fly)).
J_Bandy,1250,C McHugh,7531,2016-06-27,Jett Bandy walked.
J_Bandy,1250,L McCullers,1412,2016-07-22,Jett Bandy singled to right (Liner).
J_Bandy,1250,J Gustave,1466,2016-09-24,Jett Bandy hit a ground rule double (Fliner (Fly)).
J_Bandy,1250,J Axford,9059,2016-06-24,Jett Bandy singled to right (Fliner (Liner)).
J_Bandy,1250,K Lohse,739&,2016-07-19,Jett Bandy hit a sacrifice fly to center (Fliner (Fly)). Andrelton Simmons scored.
J_Bandy,1250,M Wright,1258,2016-07-08,Jett Bandy singled to center (Fliner (Liner)). C.J. Cron scored. Daniel Nava advanced to 3B. Johnny Giavotella advanced to 2B.
J_Bandy,1250,H Iwakuma,1304,2016-09-04,Jett Bandy singled to right (Grounder).
J_Bandy,1250,H Iwakuma,1304,2016-09-04,Jett Bandy singled to left (Fliner (Fly)).
J_Bandy,1250,J Biagini,1319,2016-08-25,Jett Bandy singled to left (Grounder).
J_Bandy,1250,L McCullers,1412,2016-07-22,Jett Bandy advanced on a passed ball to 2B. Passed ball by Jason Castro.
J_Bandy,1250,H Iwakuma,1304,2016-09-04,Jett Bandy singled to left (Liner).
J_Bandy,1250,T Duffey,1375,2016-06-15,Jett Bandy reached on fielder's choice to shortstop (Grounder). C.J. Cron scored. Jefry Marte advanced to 3B. Johnny Giavotella out at second.
J_Bandy,1250,R Alcantara,1279,2016-09-05,Jett Bandy was hit by a pitch. Jefry Marte advanced to 3B. Andrelton Simmons advanced to 2B.
J_Bandy,1250,C Kluber,2429,2016-08-11,Jett Bandy singled to left (Liner). Jefry Marte advanced to 3B.
J_Bandy,1250,M Estrada,1118,2016-08-24,Jett Bandy doubled to left (Grounder).
J_Bandy,1250,L McCullers,1412,2016-06-22,Jett Bandy singled to left (Fliner (Liner)).
J_Bandy,1250,M Fiers,7754,2016-07-24,Jett Bandy singled to center (Liner).
J_Bandy,1250,S Feldman,6283,2016-08-24,Jett Bandy singled to right (Fliner (Fly)). Nick Buss advanced to 3B.
J_Bandy,1250,M Estrada,1118,2016-08-24,Jett Bandy singled to right (Grounder).
J_Bandy,1250,D Straily,9460,2016-08-29,Jett Bandy walked.
J_Bandy,1250,M Tanaka,1576,2016-08-19,Jett Bandy singled to right (Grounder).
J_Bandy,1250,T Sturdevant,6780,2016-07-06,Jett Bandy walked.
