playername,playerid,vsname,vsid,date,Play
J_Bell,1314,J Arrieta,4153,2016-07-08,Josh Bell singled to right (Fliner (Liner)). Adam Frazier advanced to 3B.
J_Bell,1314,B Boyer,2237,2016-08-27,Josh Bell doubled to left (Grounder). Sean Rodriguez advanced to 3B.
J_Bell,1314,A Warren,9029,2016-07-09,Josh Bell homered (Fly). Starling Marte scored. Matt Joyce scored. Eric Fryer scored.
J_Bell,1314,J Ross,1297,2016-09-24,Josh Bell homered (Fly).
J_Bell,1314,J Arrieta,4153,2016-08-29,Josh Bell homered (Fliner (Fly)).
J_Bell,1314,M Garza,3340,2016-09-20,Josh Bell singled to center (Grounder). Steven Brault scored. Adam Frazier scored.
J_Bell,1314,J Arrieta,4153,2016-09-28,Josh Bell singled to left (Fliner (Liner)). Adam Frazier advanced to 2B.
J_Bell,1314,B Finnegan,1620,2016-09-17,Josh Bell singled to right (Liner). Sean Rodriguez advanced to 2B.
J_Bell,1314,J Nelson,1054,2016-09-03,Josh Bell walked. Josh Harrison advanced to 2B.
J_Bell,1314,C Knebel,1501,2016-09-22,Josh Bell singled to center (Grounder).
J_Bell,1314,S Burnett,1886,2016-09-25,Josh Bell walked.
J_Bell,1314,J Smith,1094,2016-09-10,Josh Bell walked. Jason Rogers advanced to 3B. Josh Harrison advanced to 2B.
J_Bell,1314,J Musgrove,1297,2016-08-23,Josh Bell singled to left (Grounder). Gregory Polanco scored. David Freese advanced to 3B. Josh Bell out.
J_Bell,1314,A De Los Santos,1296,2016-09-17,Josh Bell hit a ground rule double (Fliner (Liner)). Alen Hanson scored. Pedro Florimon advanced to 3B.
J_Bell,1314,W Peralta,7738,2016-08-25,Josh Bell walked.
J_Bell,1314,C Devenski,1276,2016-08-24,Josh Bell walked.
J_Bell,1314,J Arrieta,4153,2016-08-29,Josh Bell walked.
J_Bell,1314,M Garza,3340,2016-08-26,Josh Bell walked.
J_Bell,1314,R Stephenson,1359,2016-09-10,Josh Bell singled to left (Liner).
J_Bell,1314,D Straily,9460,2016-09-08,Josh Bell singled to left (Liner). Josh Harrison advanced to 2B.
J_Bell,1314,M Garza,3340,2016-08-26,Josh Bell singled to shortstop (Liner). Josh Harrison advanced to 2B.
J_Bell,1314,J Hellickson,4371,2016-09-12,Josh Bell advanced on a wild pitch to 2B.
J_Bell,1314,A DeSclafani,1305,2016-09-17,Josh Bell singled to center (Fliner (Liner)).
J_Bell,1314,J Diaz,3397,2016-09-11,Josh Bell reached on fielder's choice and error to third (Grounder). Pedro Florimon advanced to 2B on error. Error by Eugenio Suarez.
