playername,playerid,vsname,vsid,date,Play
J_Benoit,1437,P Orlando,8628,2016-08-05,Paulo Orlando was caught stealing.
J_Benoit,1437,C Casali,1251,2016-06-15,Curt Casali struck out swinging.
J_Benoit,1437,J Hardy,3797,2016-07-29,J.J. Hardy grounded into a double play to second (Grounder). Pedro Alvarez out at second.
J_Benoit,1437,N Castellanos,1173,2016-06-20,Nick Castellanos flied out to center (Fliner (Fly)).
J_Benoit,1437,A Escobar,6310,2016-08-05,Alcides Escobar struck out swinging.
J_Benoit,1437,F Lindor,1291,2016-04-20,Francisco Lindor grounded out to second (Grounder).
J_Benoit,1437,J Kipnis,9776,2016-04-20,Jason Kipnis flied out to right (Fliner (Liner)).
J_Benoit,1437,J Upton,5222,2016-06-20,Justin Upton fouled out to catcher (Fly).
J_Benoit,1437,J Ramirez,1351,2016-04-20,Jose Ramirez reached on fielder's choice to pitcher (Bunt Grounder). Tyler Naquin out at second.
J_Benoit,1437,J Ellsbury,4727,2016-09-25,Jacoby Ellsbury flied out to left (Fliner (Fly)).
J_Benoit,1437,B McCann,4810,2016-09-23,Brian McCann grounded into a double play to first (Grounder). Aaron Hicks out at second.
J_Benoit,1437,D Gregorius,6012,2016-09-25,Didi Gregorius struck out swinging.
J_Benoit,1437,C Davis,9272,2016-05-19,Chris Davis flied out to center (Fly).
J_Benoit,1437,L Chisenhall,7571,2016-04-21,Lonnie Chisenhall struck out swinging.
J_Benoit,1437,D Gregorius,6012,2016-04-16,Didi Gregorius grounded out to first (Grounder).
J_Benoit,1437,C Rasmus,9893,2016-08-01,Colby Rasmus flied out to left (Fly).
J_Benoit,1437,D Valencia,6364,2016-04-08,Danny Valencia struck out looking.
J_Benoit,1437,K Kiermaier,1103,2016-09-04,Kevin Kiermaier struck out swinging.
J_Benoit,1437,A Bregman,1767,2016-08-14,Alex Bregman fouled out to catcher (Fly).
J_Benoit,1437,J Ramirez,1351,2016-04-21,Jose Ramirez grounded out to third (Grounder). Marlon Byrd advanced to 2B.
J_Benoit,1437,A Almonte,5486,2016-08-20,Abraham Almonte grounded out to first (Grounder).
J_Benoit,1437,E Gattis,1100,2016-08-04,Evan Gattis flied out to shortstop (Fly).
J_Benoit,1437,E Longoria,9368,2016-09-04,Evan Longoria struck out swinging.
J_Benoit,1437,J Bruce,9892,2016-05-22,Jay Bruce flied out to left (Fliner (Liner)).
J_Benoit,1437,J Iglesias,1023,2016-06-20,Jose Iglesias grounded out to catcher (Grounder).
J_Benoit,1437,T Shaw,1198,2016-09-10,Travis Shaw struck out swinging.
J_Benoit,1437,L Chisenhall,7571,2016-06-09,Lonnie Chisenhall flied out to left (Fliner (Liner)).
J_Benoit,1437,J Altuve,5417,2016-08-01,Jose Altuve grounded out to second (Grounder).
J_Benoit,1437,A Jones,6368,2016-05-19,Adam Jones grounded out to shortstop (Grounder). Ryan Flaherty scored. Joey Rickard advanced to 3B. Manny Machado advanced to 2B.
J_Benoit,1437,I Desmond,6885,2016-06-11,Ian Desmond struck out looking.
J_Benoit,1437,A Almonte,5486,2016-08-19,Abraham Almonte grounded out to second (Grounder).
J_Benoit,1437,A Jones,6368,2016-07-31,Adam Jones struck out swinging.
J_Benoit,1437,I Kinsler,6195,2016-06-20,Ian Kinsler flied out to right (Fly).
J_Benoit,1437,M Kemp,5631,2016-05-30,Matt Kemp grounded out to third (Grounder).
J_Benoit,1437,H Kim,1871,2016-07-29,Hyun Soo Kim flied out to left (Fly).
J_Benoit,1437,T Plouffe,7462,2016-08-26,Trevor Plouffe grounded into a double play to third (Grounder). Robbie Grossman out at second.
J_Benoit,1437,W Merrifield,1128,2016-07-08,Whit Merrifield flied out to right (Fliner (Fly)).
J_Benoit,1437,T Naquin,1335,2016-04-21,Tyler Naquin lined out to shortstop (Liner).
J_Benoit,1437,A Romine,1159,2016-06-23,Andrew Romine struck out swinging.
J_Benoit,1437,P Orlando,8628,2016-07-10,Paulo Orlando flied out to right (Fly).
J_Benoit,1437,J Bandy,1250,2016-09-15,Jett Bandy flied out to center (Fly).
J_Benoit,1437,C Santana,2396,2016-08-20,Carlos Santana grounded out to second (Grounder).
J_Benoit,1437,M Kemp,5631,2016-06-02,Matt Kemp struck out swinging.
J_Benoit,1437,C Rasmus,9893,2016-08-04,Colby Rasmus flied out to center (Fly).
J_Benoit,1437,K Marte,1361,2016-09-21,Ketel Marte struck out swinging.
J_Benoit,1437,P Alvarez,2495,2016-06-30,Pedro Alvarez struck out swinging.
J_Benoit,1437,N Aoki,1307,2016-09-21,Nori Aoki grounded out to shortstop (Grounder).
J_Benoit,1437,L Martin,1184,2016-09-21,Leonys Martin flied out to left (Fliner (Fly)).
J_Benoit,1437,R Odor,1228,2016-04-06,Rougned Odor grounded out to first (Grounder).
J_Benoit,1437,C Santana,2396,2016-06-09,Carlos Santana grounded out to second (Grounder). Chris Gimenez advanced to 3B.
J_Benoit,1437,J Hardy,3797,2016-06-30,J.J. Hardy flied out to left (Fliner (Liner)).
J_Benoit,1437,M Betts,1361,2016-09-11,Mookie Betts flied out to shortstop (Fliner (Fly)).
J_Benoit,1437,M Machado,1149,2016-08-29,Manny Machado struck out swinging.
J_Benoit,1437,M Machado,1149,2016-08-31,Manny Machado flied out to left (Fly).
J_Benoit,1437,C Rasmus,9893,2016-07-06,Colby Rasmus struck out swinging.
J_Benoit,1437,R Torreyes,1140,2016-09-23,Ronald Torreyes fouled out to third (Fly).
