playername,playerid,vsname,vsid,date,Play
J_Berrios,1416,A Escobar,6310,2016-09-27,Alcides Escobar grounded into a double play to shortstop (Grounder). Paulo Orlando out at second.
J_Berrios,1416,M Martinez,7358,2016-09-11,Michael Martinez flied out to pitcher (Bunt Fly).
J_Berrios,1416,L Cain,9077,2016-08-19,Lorenzo Cain grounded into a double play to shortstop (Grounder). Cheslor Cuthbert out at second.
J_Berrios,1416,T Rivera,1249,2016-09-16,T.J. Rivera flied out to center (Fly).
J_Berrios,1416,T Frazier,785&,2016-10-02,Todd Frazier lined out to third (Liner).
J_Berrios,1416,S Souza Jr.,5667,2016-08-06,Steven Souza Jr. picked off.
J_Berrios,1416,E Hosmer,3516,2016-09-05,Eric Hosmer grounded into a double play to second (Grounder). Jarrod Dyson out at second.
J_Berrios,1416,Y Sanchez,1160,2016-10-02,Carlos Sanchez flied out to center (Fly).
J_Berrios,1416,J Upton,5222,2016-05-16,Justin Upton struck out swinging.
J_Berrios,1416,J Dyson,4866,2016-09-05,Jarrod Dyson reached on fielder's choice to second (Grounder). Whit Merrifield out at second.
J_Berrios,1416,V Martinez,393&,2016-08-25,Victor Martinez flied out to left (Fly).
J_Berrios,1416,J Martinez,6184,2016-08-25,J.D. Martinez struck out swinging.
J_Berrios,1416,J Kipnis,9776,2016-04-27,Jason Kipnis struck out swinging.
J_Berrios,1416,J Altuve,5417,2016-05-02,Jose Altuve grounded out to pitcher (Grounder).
J_Berrios,1416,P Alvarez,2495,2016-05-10,Pedro Alvarez grounded out to first (Grounder). Matt Wieters advanced to 3B.
J_Berrios,1416,T d'Arnaud,7739,2016-09-16,Travis d'Arnaud fouled out to third (Fly).
J_Berrios,1416,J Morneau,1737,2016-10-02,Justin Morneau grounded out to second (Grounder).
J_Berrios,1416,F Lindor,1291,2016-04-27,Francisco Lindor grounded out to third (Grounder).
J_Berrios,1416,A Bregman,1767,2016-08-11,Alex Bregman struck out looking.
J_Berrios,1416,J Ramirez,1351,2016-09-11,Jose Ramirez reached on fielder's choice to first (Grounder). Carlos Santana out at second.
J_Berrios,1416,A Cabrera,4962,2016-09-16,Asdrubal Cabrera struck out swinging.
J_Berrios,1416,Y Gomes,9627,2016-04-27,Yan Gomes flied out to second (Fly).
J_Berrios,1416,J Reyes,1736,2016-09-16,Jose Reyes flied out to third (Fliner (Fly)).
J_Berrios,1416,W Merrifield,1128,2016-09-05,Whit Merrifield flied out to center (Fly).
J_Berrios,1416,C Cuthbert,1047,2016-09-05,Cheslor Cuthbert struck out swinging.
J_Berrios,1416,Y Gomes,9627,2016-04-27,Yan Gomes grounded out to second (Grounder).
J_Berrios,1416,S Perez,7304,2016-09-05,Salvador Perez struck out swinging.
J_Berrios,1416,P Tucker,1363,2016-05-02,Preston Tucker struck out swinging.
J_Berrios,1416,F Lindor,1291,2016-09-11,Francisco Lindor reached on fielder's choice to pitcher (Grounder). Jose Ramirez out at second.
J_Berrios,1416,J Ramirez,1351,2016-04-27,Jose Ramirez reached on fielder's choice to pitcher (Grounder). Mike Napoli out at second.
J_Berrios,1416,Y Sanchez,1160,2016-10-02,Carlos Sanchez flied out to first (Fly).
J_Berrios,1416,K Morales,8610,2016-09-05,Kendrys Morales struck out swinging.
J_Berrios,1416,K Morales,8610,2016-08-19,Kendrys Morales out on a dropped third strike.
J_Berrios,1416,A Eaton,1120,2016-10-02,Adam Eaton flied out to right (Fliner (Liner)).
J_Berrios,1416,E Gattis,1100,2016-05-02,Evan Gattis struck out swinging.
J_Berrios,1416,E Hosmer,3516,2016-08-19,Eric Hosmer flied out to left (Fly).
J_Berrios,1416,C Davis,9272,2016-05-10,Chris Davis struck out swinging.
J_Berrios,1416,J Dyson,4866,2016-09-27,Jarrod Dyson grounded out to pitcher (Grounder).
J_Berrios,1416,I Kinsler,6195,2016-08-25,Ian Kinsler flied out to center (Fliner (Liner)).
J_Berrios,1416,J Marisnick,1133,2016-08-11,Jake Marisnick flied out to center (Fliner (Liner)).
J_Berrios,1416,J Rickard,1327,2016-05-10,Joey Rickard struck out looking.
J_Berrios,1416,T Collins,1272,2016-08-25,Tyler Collins flied out to center (Fliner (Fly)).
J_Berrios,1416,L Cain,9077,2016-08-19,Lorenzo Cain flied out to right (Fly).
J_Berrios,1416,J Ramirez,1351,2016-04-27,Jose Ramirez singled to left (Liner). Jose Ramirez out.
J_Berrios,1416,J Martinez,6184,2016-08-25,J.D. Martinez flied out to center (Fly).
J_Berrios,1416,L Forsythe,7185,2016-08-06,Logan Forsythe flied out to center (Fly).
J_Berrios,1416,M Byrd,950&,2016-04-27,Marlon Byrd flied out to center (Fliner (Fly)).
J_Berrios,1416,M Gonzalez,5497,2016-05-02,Marwin Gonzalez flied out to center (Fliner (Fly)).
J_Berrios,1416,N Franklin,1016,2016-08-06,Nick Franklin grounded out to first (Grounder).
J_Berrios,1416,T Anderson,1517,2016-10-02,Tim Anderson flied out to center (Fliner (Fly)).
J_Berrios,1416,S Perez,7304,2016-09-27,Salvador Perez flied out to second (Fly).
J_Berrios,1416,E Hosmer,3516,2016-09-05,Eric Hosmer singled to right (Fliner (Liner)). Paulo Orlando out at home. Eric Hosmer advanced to 2B.
J_Berrios,1416,P Tucker,1363,2016-08-11,Preston Tucker flied out to right (Fliner (Fly)).
J_Berrios,1416,R Perez,2900,2016-08-01,Roberto Perez flied out to right (Fly).
J_Berrios,1416,E Hosmer,3516,2016-08-19,Eric Hosmer grounded out to second (Grounder).
J_Berrios,1416,C Cuthbert,1047,2016-08-19,Cheslor Cuthbert grounded out to third (Grounder).
J_Berrios,1416,T d'Arnaud,7739,2016-09-16,Travis d'Arnaud grounded out to shortstop (Grounder).
J_Berrios,1416,J Kipnis,9776,2016-08-01,Jason Kipnis flied out to shortstop (Fly).
J_Berrios,1416,J Shuck,6677,2016-10-02,J.B. Shuck flied out to left (Fliner (Fly)).
J_Berrios,1416,N Franklin,1016,2016-08-06,Nick Franklin flied out to center (Fliner (Fly)).
J_Berrios,1416,T Naquin,1335,2016-08-01,Tyler Naquin struck out swinging.
J_Berrios,1416,M Gonzalez,5497,2016-05-02,Marwin Gonzalez grounded out to second (Grounder).
J_Berrios,1416,T Beckham,7949,2016-08-06,Tim Beckham flied out to left (Fly).
J_Berrios,1416,C Cuthbert,1047,2016-09-27,Cheslor Cuthbert flied out to shortstop (Fly).
J_Berrios,1416,C Correa,1416,2016-08-11,Carlos Correa flied out to shortstop (Fly).
J_Berrios,1416,L Valbuena,4969,2016-05-02,Luis Valbuena struck out swinging.
J_Berrios,1416,A Gordon,5209,2016-09-27,Alex Gordon flied out to center (Fly).
J_Berrios,1416,J Altuve,5417,2016-05-02,Jose Altuve struck out looking.
J_Berrios,1416,M Cabrera,4022,2016-10-02,Melky Cabrera flied out to center (Fly).
J_Berrios,1416,E Hosmer,3516,2016-09-27,Eric Hosmer grounded out to second (Grounder).
J_Berrios,1416,C Dickerson,1076,2016-08-06,Corey Dickerson struck out swinging.
J_Berrios,1416,F Lindor,1291,2016-08-01,Francisco Lindor flied out to left (Fliner (Liner)).
J_Berrios,1416,L Chisenhall,7571,2016-08-01,Lonnie Chisenhall struck out swinging.
J_Berrios,1416,M Gonzalez,5497,2016-08-11,Marwin Gonzalez grounded out to pitcher (Bunt Grounder).
J_Berrios,1416,L Chisenhall,7571,2016-08-01,Lonnie Chisenhall flied out to second (Fliner (Fly)).
J_Berrios,1416,B Miller,1277,2016-08-06,Brad Miller flied out to shortstop (Fly).
J_Berrios,1416,J Bruce,9892,2016-09-16,Jay Bruce struck out swinging.
J_Berrios,1416,L Forsythe,7185,2016-08-06,Logan Forsythe grounded out to third (Grounder).
J_Berrios,1416,C Correa,1416,2016-08-11,Carlos Correa grounded out to catcher (Grounder).
J_Berrios,1416,A Romine,1159,2016-08-25,Andrew Romine flied out to left (Fly).
J_Berrios,1416,M Cabrera,1744,2016-08-25,Miguel Cabrera flied out to left (Fliner (Liner)).
J_Berrios,1416,J Kipnis,9776,2016-08-01,Jason Kipnis struck out swinging.
J_Berrios,1416,I Kinsler,6195,2016-08-25,Ian Kinsler grounded out to shortstop (Grounder).
J_Berrios,1416,F Lindor,1291,2016-08-01,Francisco Lindor grounded out to second (Grounder).
