playername,playerid,vsname,vsid,date,Play
J_Blevins,7841,R Flores,1116,2016-06-10,Ramon Flores was tagged out.
J_Blevins,7841,G Blanco,3123,2016-04-30,Gregor Blanco grounded out to first (Grounder).
J_Blevins,7841,D Murphy,4316,2016-09-13,Daniel Murphy struck out swinging.
J_Blevins,7841,E Escobar,6153,2016-09-18,Eduardo Escobar flied out to second (Fly).
J_Blevins,7841,R Schimpf,9953,2016-08-13,Ryan Schimpf flied out to second (Fly).
J_Blevins,7841,B Posey,9166,2016-08-18,Buster Posey grounded into a double play to third (Grounder). Angel Pagan out at second.
J_Blevins,7841,J Murphy,1034,2016-09-18,John Ryan Murphy struck out swinging.
J_Blevins,7841,B Moss,4467,2016-08-23,Brandon Moss struck out swinging.
J_Blevins,7841,J Ellsbury,4727,2016-08-01,Jacoby Ellsbury struck out looking.
J_Blevins,7841,I Suzuki,1101,2016-06-04,Ichiro Suzuki flied out to center (Fliner (Liner)).
J_Blevins,7841,D Dahl,1374,2016-07-31,David Dahl struck out looking.
J_Blevins,7841,O Herrera,1147,2016-07-15,Odubel Herrera struck out swinging.
J_Blevins,7841,F Galvis,6609,2016-04-20,Freddy Galvis struck out looking.
J_Blevins,7841,B Belt,1026,2016-08-18,Brandon Belt struck out swinging.
J_Blevins,7841,B Eibner,1136,2016-06-21,Brett Eibner flied out to right (Fliner (Fly)).
J_Blevins,7841,C d'Arnaud,6652,2016-06-18,Chase d'Arnaud flied out to right (Fliner (Fly)).
J_Blevins,7841,O Herrera,1147,2016-07-16,Odubel Herrera struck out swinging.
J_Blevins,7841,J Villar,1007,2016-06-10,Jonathan Villar struck out swinging.
J_Blevins,7841,J Peterson,1232,2016-09-10,Jace Peterson struck out swinging.
J_Blevins,7841,I Suzuki,1101,2016-04-13,Ichiro Suzuki flied out to left (Fliner (Fly)).
J_Blevins,7841,C Colon,1114,2016-06-21,Christian Colon struck out swinging.
J_Blevins,7841,A Garcia,1377,2016-04-24,Adonis Garcia flied out to center (Fliner (Fly)).
J_Blevins,7841,D Gordon,8203,2016-08-29,Dee Gordon struck out swinging.
J_Blevins,7841,B Gardner,9927,2016-08-04,Brett Gardner reached on fielder's choice to shortstop (Grounder). Aaron Hicks out at second.
J_Blevins,7841,B Revere,4712,2016-07-08,Ben Revere struck out looking.
J_Blevins,7841,C Gonzalez,7287,2016-05-13,Carlos Gonzalez struck out swinging.
J_Blevins,7841,D Murphy,4316,2016-07-10,Daniel Murphy flied out to second (Fliner (Fly)).
J_Blevins,7841,W Merrifield,1128,2016-06-21,Whit Merrifield flied out to center (Fly).
J_Blevins,7841,G Parra,8553,2016-05-15,Gerardo Parra struck out swinging.
J_Blevins,7841,B Crawford,5343,2016-08-18,Brandon Crawford struck out swinging.
J_Blevins,7841,A Pierzynski,746&,2016-04-24,A.J. Pierzynski flied out to shortstop (Fliner (Fly)).
J_Blevins,7841,B Harper,1157,2016-07-10,Bryce Harper flied out to left (Fly).
J_Blevins,7841,E Hosmer,3516,2016-04-03,Eric Hosmer grounded out to catcher (Grounder).
J_Blevins,7841,N Markakis,5930,2016-09-20,Nick Markakis struck out swinging.
J_Blevins,7841,T Pham,2967,2016-08-25,Tommy Pham struck out swinging.
J_Blevins,7841,C Utley,1679,2016-05-27,Chase Utley struck out looking.
J_Blevins,7841,K Morales,8610,2016-04-03,Kendrys Morales flied out to center (Fly).
J_Blevins,7841,J Segura,5933,2016-08-10,Jean Segura flied out to left (Fliner (Liner)).
J_Blevins,7841,R Grichuk,1024,2016-08-25,Randal Grichuk grounded out to catcher (Grounder).
J_Blevins,7841,A Gordon,5209,2016-04-03,Alex Gordon grounded out to second (Grounder).
J_Blevins,7841,M Joyce,3353,2016-06-07,Matt Joyce struck out swinging.
J_Blevins,7841,M Bourn,6387,2016-08-10,Michael Bourn lined out to shortstop (Liner).
J_Blevins,7841,D Murphy,4316,2016-06-28,Daniel Murphy grounded out to third (Grounder).
J_Blevins,7841,D Murphy,4316,2016-05-18,Daniel Murphy out on a dropped third strike.
J_Blevins,7841,W Ramos,1433,2016-06-28,Wilson Ramos flied out to center (Fliner (Liner)).
J_Blevins,7841,J Peterson,1232,2016-06-17,Jace Peterson struck out looking.
J_Blevins,7841,M Smith,1360,2016-06-17,Mallex Smith grounded out to second (Grounder).
J_Blevins,7841,W Ramos,1433,2016-05-18,Wilson Ramos flied out to center (Fliner (Fly)).
J_Blevins,7841,J Kipnis,9776,2016-04-17,Jason Kipnis struck out swinging.
J_Blevins,7841,B Revere,4712,2016-05-18,Ben Revere grounded out to second (Grounder).
J_Blevins,7841,N Markakis,5930,2016-06-17,Nick Markakis flied out to center (Fliner (Fly)). Ender Inciarte advanced to 3B.
J_Blevins,7841,K Tomlinson,1300,2016-05-01,Kelby Tomlinson flied out to right (Fliner (Fly)).
J_Blevins,7841,D Span,8347,2016-04-29,Denard Span flied out to center (Fly).
J_Blevins,7841,J Panik,1193,2016-04-29,Joe Panik flied out to center (Fliner (Liner)).
J_Blevins,7841,B Drury,1161,2016-08-11,Brandon Drury reached on fielder's choice to shortstop (Grounder). Chris Owings out at second.
J_Blevins,7841,I Suzuki,1101,2016-04-11,Ichiro Suzuki grounded out to shortstop (Grounder).
J_Blevins,7841,O Herrera,1147,2016-09-25,Odubel Herrera grounded out to second (Grounder).
J_Blevins,7841,A Hechavarria,1045,2016-04-11,Adeiny Hechavarria struck out looking.
J_Blevins,7841,T Joseph,1034,2016-09-25,Tommy Joseph flied out to left (Fliner (Fly)).
J_Blevins,7841,A Pagan,2918,2016-04-29,Angel Pagan homered (Fliner (Fly)).
J_Blevins,7841,T Gosewisch,5277,2016-08-11,Tuffy Gosewisch flied out to right (Fliner (Fly)).
J_Blevins,7841,M Franco,1217,2016-09-25,Maikel Franco grounded out to shortstop (Grounder).
J_Blevins,7841,C Yelich,1147,2016-07-23,Christian Yelich singled to left (Liner).
J_Blevins,7841,E Inciarte,4922,2016-06-17,Ender Inciarte singled to center (Grounder).
J_Blevins,7841,B Harper,1157,2016-05-18,Bryce Harper walked. Jayson Werth advanced to 2B.
J_Blevins,7841,F Freeman,5361,2016-06-17,Freddie Freeman singled to shortstop (Grounder). Ender Inciarte advanced to 2B.
J_Blevins,7841,J Werth,1327,2016-05-23,Jayson Werth singled to left (Grounder).
J_Blevins,7841,A Eaton,1120,2016-05-31,Adam Eaton walked.
J_Blevins,7841,F Freeman,5361,2016-09-20,Freddie Freeman advanced on a stolen base to 3B.
J_Blevins,7841,D LeMahieu,9874,2016-07-31,DJ LeMahieu was intentionally walked.
J_Blevins,7841,F Freeman,5361,2016-09-20,Freddie Freeman doubled to center (Fly).
J_Blevins,7841,J Peraza,1359,2016-09-05,Jose Peraza singled to center (Fliner (Liner)).
