playername,playerid,vsname,vsid,date,Play
J_Buchanan,1096,T Renda,1344,2016-09-30,Tony Renda grounded into a double play to third (Grounder). Ivan De Jesus out at second.
J_Buchanan,1096,T Barnhart,1020,2016-09-30,Tucker Barnhart reached on fielder's choice to third (Grounder). Ivan De Jesus out at second.
J_Buchanan,1096,J Votto,4314,2016-09-30,Joey Votto grounded out to first (Grounder).
J_Buchanan,1096,T Renda,1344,2016-09-30,Tony Renda reached on fielder's choice to third (Grounder). Tucker Barnhart out at second.
J_Buchanan,1096,A Duvall,1095,2016-09-30,Adam Duvall struck out looking.
J_Buchanan,1096,A Duvall,1095,2016-09-30,Adam Duvall struck out swinging.
J_Buchanan,1096,E Suarez,1255,2016-09-30,Eugenio Suarez struck out swinging.
J_Buchanan,1096,C Carter,9911,2016-09-05,Chris Carter lined out to shortstop (Liner).
J_Buchanan,1096,K Broxton,9253,2016-09-05,Keon Broxton flied out to left (Fliner (Liner)).
J_Buchanan,1096,H Iribarren,4177,2016-09-30,Hernan Iribarren singled to left (Grounder).
J_Buchanan,1096,I De Jesus,9886,2016-09-30,Ivan De Jesus singled to center (Grounder).
