playername,playerid,vsname,vsid,date,Play
J_Castro,8722,J Weaver,4235,2016-05-28,Jason Castro homered (Fly). Evan Gattis scored.
J_Castro,8722,F Salas,4971,2016-06-27,Jason Castro doubled to center (Fliner (Liner)).
J_Castro,8722,M Andriese,1202,2016-06-10,Jason Castro homered (Fliner (Fly)). Tyler White scored.
J_Castro,8722,D Mengden,1698,2016-07-08,Jason Castro singled to left (Fliner (Fly)). Jake Marisnick advanced to 3B.
J_Castro,8722,C Archer,6345,2016-08-28,Jason Castro singled to center (Grounder). Carlos Correa scored. A.J. Reed advanced to 3B.
J_Castro,8722,C Kluber,2429,2016-05-09,Jason Castro doubled to left (Grounder). Luis Valbuena advanced to 3B.
J_Castro,8722,A Meyer,1283,2016-05-03,Jason Castro homered (Fly).
J_Castro,8722,C Rodon,1613,2016-05-17,Jason Castro singled to left (Fliner (Liner)). Evan Gattis scored. Marwin Gonzalez advanced to 3B. Jason Castro
J_Castro,8722,C Fien,3926,2016-05-04,Jason Castro homered (Fliner (Fly)). Luis Valbuena scored.
J_Castro,8722,C Tillman,5279,2016-05-24,Jason Castro walked. Evan Gattis advanced to 2B.
J_Castro,8722,C Lewis,1259,2016-06-06,Jason Castro walked. Luis Valbuena advanced to 3B. Marwin Gonzalez advanced to 2B.
J_Castro,8722,N Karns,1263,2016-05-07,Jason Castro walked. Tyler White advanced to 2B.
J_Castro,8722,J Biagini,1319,2016-08-01,Jason Castro singled to right (Grounder).
J_Castro,8722,J Garcia,8137,2016-08-16,Jason Castro homered (Fly).
J_Castro,8722,M Latos,3815,2016-05-18,Jason Castro homered (Fliner (Fly)).
J_Castro,8722,D Mengden,1698,2016-09-21,Jason Castro walked. Marwin Gonzalez advanced to 2B.
J_Castro,8722,J Paxton,1182,2016-07-15,Jason Castro singled to left (Liner). Jake Marisnick advanced to 2B.
J_Castro,8722,M Stroman,1343,2016-08-14,Jason Castro homered (Fliner (Fly)).
J_Castro,8722,H Iwakuma,1304,2016-04-27,Jason Castro doubled to left (Fliner (Liner)).
J_Castro,8722,A Meyer,1283,2016-09-23,Jason Castro singled to left (Fliner (Liner)).
J_Castro,8722,S Wright,8185,2016-05-13,Jason Castro doubled to center (Fliner (Fly)).
J_Castro,8722,W Peralta,7738,2016-04-09,Jason Castro singled to third (Bunt Grounder). Luis Valbuena advanced to 2B.
J_Castro,8722,E Volquez,3990,2016-06-24,Jason Castro singled to right (Liner). Carlos Gomez scored. Luis Valbuena advanced to 3B. Evan Gattis advanced to 2B.
J_Castro,8722,C Buchholz,3543,2016-05-14,Jason Castro walked. Luis Valbuena advanced to 2B.
J_Castro,8722,J Garcia,8137,2016-08-16,Jason Castro walked.
J_Castro,8722,H Iwakuma,1304,2016-04-27,Jason Castro walked.
J_Castro,8722,C Lewis,1259,2016-06-06,Jason Castro singled to second (Liner).
J_Castro,8722,Y Darvish,1307,2016-06-08,Jason Castro walked.
J_Castro,8722,M Andriese,1202,2016-06-10,Jason Castro walked. Luis Valbuena advanced to 2B.
J_Castro,8722,F Rodriguez,7558,2016-06-04,Jason Castro walked.
J_Castro,8722,Y Ventura,1185,2016-04-13,Jason Castro walked.
J_Castro,8722,C Young,3196,2016-04-11,Jason Castro tripled to center (Fly). Luis Valbuena scored.
J_Castro,8722,M Latos,3815,2016-05-18,Jason Castro singled to third (Fliner (Fly)).
J_Castro,8722,M Latos,3815,2016-05-18,Jason Castro walked.
J_Castro,8722,C Carrasco,6632,2016-09-07,Jason Castro doubled to left (Fliner (Fly)).
J_Castro,8722,W Peralta,7738,2016-04-09,Jason Castro walked.
J_Castro,8722,R Nolasco,3830,2016-09-22,Jason Castro singled to right (Fliner (Liner)).
J_Castro,8722,J Hahn,1328,2016-04-30,Jason Castro singled to left (Liner).
J_Castro,8722,Y Darvish,1307,2016-06-08,Jason Castro advanced on a stolen base to 2B.
J_Castro,8722,L Hendriks,3548,2016-05-01,Jason Castro walked.
J_Castro,8722,D Holland,4141,2016-04-19,Jason Castro walked.
J_Castro,8722,H Hembree,1163,2016-05-15,Jason Castro walked.
J_Castro,8722,N Karns,1263,2016-04-26,Jason Castro walked.
J_Castro,8722,M Guaipe,1166,2016-05-06,Jason Castro singled to right (Grounder).
J_Castro,8722,P Hughes,7450,2016-05-04,Jason Castro walked.
J_Castro,8722,A Claudio,1289,2016-09-02,Jason Castro walked. Yulieski Gurriel advanced to 2B.
J_Castro,8722,T Layne,7501,2016-05-14,Jason Castro walked.
J_Castro,8722,J Axford,9059,2016-08-30,Jason Castro singled to left (Liner).
J_Castro,8722,M Shoemaker,4776,2016-07-22,Jason Castro walked.
J_Castro,8722,F Liriano,3201,2016-08-12,Jason Castro was hit by a pitch.
J_Castro,8722,K Jepsen,6475,2016-05-02,Jason Castro advanced on defensive indifference to 2B.
J_Castro,8722,P Schuster,1002,2016-07-20,Jason Castro tripled to right (Fliner (Fly)). Jake Marisnick scored.
J_Castro,8722,T Milone,7608,2016-05-03,Jason Castro advanced on a wild pitch to 3B.
J_Castro,8722,C Buchholz,3543,2016-04-23,Jason Castro grounded out to second (Grounder). Marwin Gonzalez scored. Luis Valbuena advanced to 3B.
J_Castro,8722,A Achter,1138,2016-06-20,Jason Castro homered (Fliner (Fly)).
J_Castro,8722,S Bracho,1505,2016-05-30,Jason Castro walked.
J_Castro,8722,T Zych,1287,2016-04-26,Jason Castro walked.
J_Castro,8722,M Lowe,7416,2016-07-29,Jason Castro walked. Jake Marisnick advanced to 2B.
J_Castro,8722,D Gee,7396,2016-06-24,Jason Castro walked.
J_Castro,8722,R Flaherty,7888,2016-08-20,Jason Castro homered (Fliner (Fly)).
J_Castro,8722,J Graham,1204,2016-05-04,Jason Castro flied out to left (Fly).
J_Castro,8722,M Tonkin,1031,2016-05-04,Jason Castro advanced on a passed ball to 3B. Passed ball by John Murphy.
J_Castro,8722,D Molleken,6200,2016-07-29,Jason Castro struck out swinging.
J_Castro,8722,I Nova,1994,2016-04-06,Jason Castro grounded out to pitcher (Grounder).
J_Castro,8722,B Flynn,1202,2016-06-24,Jason Castro struck out swinging.
J_Castro,8722,B Flynn,1202,2016-06-24,Jason Castro grounded out to shortstop (Grounder).
J_Castro,8722,R Elias,1267,2016-04-23,Jason Castro grounded out to first (Grounder). Luis Valbuena advanced to 3B.
J_Castro,8722,V Nuno,9674,2016-09-16,Jason Castro flied out to right (Fliner (Liner)).
J_Castro,8722,J Ramirez,8302,2016-06-28,Jason Castro struck out swinging.
J_Castro,8722,N Karns,1263,2016-07-15,Jason Castro struck out swinging.
J_Castro,8722,S Johnson,4053,2016-05-08,Jason Castro struck out swinging.
J_Castro,8722,C Wang,2074,2016-04-11,Jason Castro flied out to right (Fliner (Liner)).
J_Castro,8722,M Shoemaker,4776,2016-05-27,Jason Castro grounded out to first (Grounder).
J_Castro,8722,V Nuno,9674,2016-04-27,Jason Castro grounded out to second (Grounder).
J_Castro,8722,D Altavilla,1650,2016-09-16,Jason Castro struck out swinging.
J_Castro,8722,A Miranda,1752,2016-09-18,Jason Castro flied out to third (Fly).
J_Castro,8722,J Valdez,1447,2016-09-30,Jason Castro fouled out to left (Fly).
J_Castro,8722,B Rondon,5766,2016-07-31,Jason Castro grounded out to pitcher (Bunt Grounder). Tyler White advanced to 2B.
J_Castro,8722,F Hernandez,4772,2016-09-16,Jason Castro sacrificed to third (Bunt Grounder). Colby Rasmus advanced to 3B. Marwin Gonzalez advanced to 2B.
J_Castro,8722,M Rzepczynski,6612,2016-07-08,Jason Castro struck out swinging.
J_Castro,8722,K Crockett,1503,2016-05-09,Jason Castro struck out swinging.
J_Castro,8722,D Guerra,8410,2016-06-28,Jason Castro flied out to left (Fly).
J_Castro,8722,M Montgomery,4869,2016-04-27,Jason Castro struck out swinging.
J_Castro,8722,C Torres,7624,2016-04-08,Jason Castro grounded out to first (Grounder).
J_Castro,8722,K Graveman,1551,2016-06-04,Jason Castro grounded out to first (Grounder). Luis Valbuena advanced to 3B. Marwin Gonzalez advanced to 2B.
J_Castro,8722,C Young,3196,2016-04-11,Jason Castro struck out swinging.
J_Castro,8722,M Pineda,5372,2016-04-06,Jason Castro struck out swinging.
J_Castro,8722,J Paxton,1182,2016-07-15,Jason Castro grounded out to first (Grounder). Jake Marisnick advanced to 3B.
J_Castro,8722,J Alvarez,5358,2016-05-28,Jason Castro struck out looking.
J_Castro,8722,C Martinez,1168,2016-08-17,Jason Castro grounded out to first (Grounder).
J_Castro,8722,M Morin,1344,2016-06-20,Jason Castro struck out swinging.
J_Castro,8722,S O'Sullivan,9137,2016-05-15,Jason Castro lined out to second (Liner).
J_Castro,8722,K Graveman,1551,2016-07-09,Jason Castro flied out to left (Fly).
J_Castro,8722,J Barbato,1144,2016-04-05,Jason Castro struck out swinging.
J_Castro,8722,K Gausman,1410,2016-08-18,Jason Castro struck out swinging.
J_Castro,8722,M Pelfrey,5203,2016-07-31,Jason Castro struck out looking.
J_Castro,8722,C Capuano,1701,2016-04-09,Jason Castro flied out to left (Fly).
J_Castro,8722,C Rodon,1613,2016-05-17,Jason Castro struck out looking.
J_Castro,8722,B Schultz,5028,2016-08-01,Jason Castro grounded out to second (Grounder).
J_Castro,8722,M Montgomery,4869,2016-05-06,Jason Castro flied out to left (Fliner (Liner)).
J_Castro,8722,J Garcia,8137,2016-08-16,Jason Castro grounded out to catcher (Grounder).
J_Castro,8722,F Abad,4994,2016-05-02,Jason Castro struck out swinging.
J_Castro,8722,J Hahn,1328,2016-04-30,Jason Castro flied out to left (Fly).
J_Castro,8722,J Weaver,4235,2016-05-28,Jason Castro flied out to right (Fliner (Liner)).
J_Castro,8722,M Tanaka,1576,2016-04-05,Jason Castro flied out to left (Fly).
J_Castro,8722,C Tillman,5279,2016-05-24,Jason Castro struck out swinging.
J_Castro,8722,J Verlander,8700,2016-07-30,Jason Castro grounded out to third (Grounder).
J_Castro,8722,P Schuster,1002,2016-07-20,Jason Castro flied out to left (Fly).
J_Castro,8722,B Boyer,2237,2016-04-09,Jason Castro grounded out to shortstop (Grounder).
J_Castro,8722,I Kennedy,6986,2016-04-14,Jason Castro struck out swinging.
J_Castro,8722,C Sabathia,404&,2016-07-26,Jason Castro grounded out to second (Grounder).
J_Castro,8722,B Cecil,2660,2016-08-12,Jason Castro struck out looking.
J_Castro,8722,C Lewis,1259,2016-05-20,Jason Castro struck out looking.
J_Castro,8722,W Miley,8779,2016-07-04,Jason Castro struck out looking.
J_Castro,8722,D Holland,4141,2016-09-03,Jason Castro struck out swinging.
J_Castro,8722,J Cotton,1365,2016-09-19,Jason Castro flied out to left (Fly).
J_Castro,8722,M Pineda,5372,2016-07-25,Jason Castro struck out swinging.
J_Castro,8722,J Chacin,2608,2016-09-24,Jason Castro grounded out to third (Grounder).
J_Castro,8722,I Nova,1994,2016-08-23,Jason Castro grounded out to first (Grounder). Marwin Gonzalez advanced to 3B.
J_Castro,8722,N Jones,4696,2016-07-03,Jason Castro struck out swinging.
J_Castro,8722,K Graveman,1551,2016-07-18,Jason Castro struck out swinging.
J_Castro,8722,T Lincecum,5705,2016-06-28,Jason Castro struck out swinging.
J_Castro,8722,K Kela,1469,2016-04-19,Jason Castro struck out swinging.
J_Castro,8722,M Shoemaker,4776,2016-05-27,Jason Castro struck out swinging.
J_Castro,8722,D Mengden,1698,2016-09-21,Jason Castro struck out looking.
J_Castro,8722,M Stroman,1343,2016-08-01,Jason Castro struck out swinging.
J_Castro,8722,N Karns,1263,2016-05-07,Jason Castro struck out looking.
J_Castro,8722,R Nolasco,3830,2016-09-22,Jason Castro grounded out to second (Grounder).
J_Castro,8722,D Coulombe,1329,2016-09-21,Jason Castro struck out swinging.
J_Castro,8722,B Farmer,1481,2016-04-15,Jason Castro struck out looking.
J_Castro,8722,J Valdez,1447,2016-09-24,Jason Castro struck out swinging.
J_Castro,8722,A Griffin,1113,2016-09-13,Jason Castro grounded out to second (Grounder).
J_Castro,8722,M Stroman,1343,2016-08-14,Jason Castro struck out swinging.
J_Castro,8722,K Graveman,1551,2016-08-30,Jason Castro flied out to left (Fly).
J_Castro,8722,L Harrell,7541,2016-08-06,Jason Castro grounded out to first (Grounder).
J_Castro,8722,C Reed,1523,2016-06-18,Jason Castro struck out looking.
J_Castro,8722,M Moore,1890,2016-06-12,Jason Castro flied out to center (Fliner (Fly)).
J_Castro,8722,W Miley,8779,2016-07-04,Jason Castro grounded out to first (Grounder).
J_Castro,8722,C Ege,1592,2016-09-23,Jason Castro grounded into a double play to second (Grounder). Jake Marisnick out at second.
J_Castro,8722,M Gonzalez,7024,2016-07-01,Jason Castro lined out to first (Liner).
J_Castro,8722,J Nelson,1054,2016-04-10,Jason Castro struck out swinging.
J_Castro,8722,C Martinez,1168,2016-08-17,Jason Castro struck out looking.
J_Castro,8722,J Lamb,8493,2016-06-17,Jason Castro grounded out to first (Grounder).
J_Castro,8722,K Kela,1469,2016-08-06,Jason Castro grounded out to third (Grounder).
J_Castro,8722,A Griffin,1113,2016-04-21,Jason Castro flied out to left (Fliner (Fly)).
J_Castro,8722,C Rodon,1613,2016-05-17,Jason Castro struck out swinging.
J_Castro,8722,M Shoemaker,4776,2016-07-22,Jason Castro struck out swinging.
J_Castro,8722,M Perez,6902,2016-09-12,Jason Castro grounded out to shortstop (Grounder).
J_Castro,8722,Z Duke,3840,2016-08-16,Jason Castro struck out swinging.
J_Castro,8722,J Cotton,1365,2016-09-19,Jason Castro struck out swinging.
J_Castro,8722,H Iwakuma,1304,2016-09-26,Jason Castro struck out swinging.
J_Castro,8722,R Hill,4806,2016-07-07,Jason Castro grounded out to first (Grounder).
J_Castro,8722,J Diekman,5003,2016-05-20,Jason Castro struck out swinging.
J_Castro,8722,H Iwakuma,1304,2016-05-08,Jason Castro struck out swinging.
J_Castro,8722,C Anderson,6895,2016-04-08,Jason Castro struck out swinging.
J_Castro,8722,S O'Sullivan,9137,2016-05-15,Jason Castro grounded out to first (Grounder). Carlos Gomez advanced to 3B.
J_Castro,8722,H Iwakuma,1304,2016-05-08,Jason Castro grounded out to second (Grounder).
J_Castro,8722,D Wright,1517,2016-09-30,Jason Castro grounded out to first (Grounder).
J_Castro,8722,Y Ventura,1185,2016-04-13,Jason Castro struck out looking.
J_Castro,8722,Y Darvish,1307,2016-06-08,Jason Castro grounded out to third (Grounder).
J_Castro,8722,J Lamb,8493,2016-06-17,Jason Castro struck out swinging.
J_Castro,8722,J Weaver,4235,2016-05-28,Jason Castro grounded out to first (Grounder).
J_Castro,8722,C Archer,6345,2016-06-11,Jason Castro struck out looking.
J_Castro,8722,A Meyer,1283,2016-09-23,Jason Castro grounded out to third (Grounder).
J_Castro,8722,J Nelson,1054,2016-04-10,Jason Castro struck out swinging.
J_Castro,8722,F Liriano,3201,2016-08-12,Jason Castro grounded out to third (Grounder).
J_Castro,8722,D Jennings,8073,2016-05-18,Jason Castro grounded into a double play to third (Grounder). Luis Valbuena out at second.
J_Castro,8722,L Harrell,7541,2016-08-06,Jason Castro struck out swinging.
J_Castro,8722,C Tillman,5279,2016-05-24,Jason Castro grounded out to first (Grounder).
J_Castro,8722,Y Darvish,1307,2016-08-07,Jason Castro grounded out to first (Grounder).
J_Castro,8722,C Hamels,4972,2016-04-20,Jason Castro grounded out to first (Grounder). Marwin Gonzalez advanced to 3B.
J_Castro,8722,C Shreve,1085,2016-04-05,Jason Castro struck out swinging.
J_Castro,8722,S Cishek,6483,2016-05-07,Jason Castro struck out looking.
J_Castro,8722,M Moore,1890,2016-06-12,Jason Castro struck out swinging.
J_Castro,8722,S Cishek,6483,2016-09-26,Jason Castro struck out looking.
J_Castro,8722,M Pineda,5372,2016-04-06,Jason Castro struck out swinging.
J_Castro,8722,C Archer,6345,2016-06-11,Jason Castro struck out looking.
J_Castro,8722,M Stroman,1343,2016-08-01,Jason Castro struck out swinging.
J_Castro,8722,M Pineda,5372,2016-07-25,Jason Castro flied out to center (Fly).
J_Castro,8722,C Archer,6345,2016-08-28,Jason Castro struck out swinging.
J_Castro,8722,M Stroman,1343,2016-08-14,Jason Castro flied out to left (Fly).
J_Castro,8722,W Miley,8779,2016-07-04,Jason Castro non-force gdp to first (Grounder). Evan Gattis out at second.
J_Castro,8722,J Axford,9059,2016-06-04,Jason Castro struck out swinging.
J_Castro,8722,D Storen,6983,2016-09-26,Jason Castro grounded out to second (Grounder).
J_Castro,8722,D Mengden,1698,2016-07-08,Jason Castro struck out looking.
J_Castro,8722,R Dull,1397,2016-07-07,Jason Castro struck out swinging.
J_Castro,8722,J Lackey,1507,2016-09-10,Jason Castro flied out to shortstop (Fly).
J_Castro,8722,Z Putnam,9080,2016-05-17,Jason Castro struck out swinging.
J_Castro,8722,D Betances,6216,2016-07-26,Jason Castro struck out looking.
J_Castro,8722,C Hamels,4972,2016-04-20,Jason Castro struck out swinging.
J_Castro,8722,F Salas,4971,2016-06-21,Jason Castro grounded into a double play to second (Grounder). Tony Kemp out at second.
