playername,playerid,vsname,vsid,date,Play
J_Chacin,2608,B Gardner,9927,2016-08-21,Brett Gardner grounded into a double play to second (Grounder). Aaron Hicks out at second.
J_Chacin,2608,M Teixeira,1281,2016-08-21,Mark Teixeira flied out to center (Fly).
J_Chacin,2608,M Muncy,1330,2016-08-04,Max Muncy struck out swinging.
J_Chacin,2608,C Headley,4720,2016-06-09,Chase Headley struck out looking.
J_Chacin,2608,J Martinez,6184,2016-05-30,J.D. Martinez struck out swinging.
J_Chacin,2608,E Gattis,1100,2016-09-24,Evan Gattis struck out looking.
J_Chacin,2608,D Pedroia,8370,2016-07-01,Dustin Pedroia grounded into a double play to shortstop (Grounder). Mookie Betts out at second.
J_Chacin,2608,C Stewart,3878,2016-06-04,Chris Stewart flied out to left (Fly).
J_Chacin,2608,C Parmelee,2554,2016-06-09,Chris Parmelee struck out swinging.
J_Chacin,2608,T Shaw,1198,2016-07-01,Travis Shaw picked off.
J_Chacin,2608,P Fielder,4613,2016-05-24,Prince Fielder struck out looking.
J_Chacin,2608,J Iglesias,1023,2016-08-27,Jose Iglesias struck out swinging.
J_Chacin,2608,J Martinez,6184,2016-08-27,J.D. Martinez struck out looking.
J_Chacin,2608,J Marisnick,1133,2016-09-24,Jake Marisnick grounded into a double play to pitcher (Grounder). Tyler White out at second.
J_Chacin,2608,T Plouffe,7462,2016-06-14,Trevor Plouffe flied out to center (Fliner (Fly)).
J_Chacin,2608,C Beltran,589&,2016-09-19,Carlos Beltran grounded into a double play to first (Grounder). Ian Desmond out at second.
J_Chacin,2608,B Burns,1270,2016-06-25,Billy Burns grounded into a double play to second (Grounder). Marcus Semien out at second.
J_Chacin,2608,N Aoki,1307,2016-09-14,Nori Aoki flied out to right (Fly).
J_Chacin,2608,C Beltran,589&,2016-09-19,Carlos Beltran flied out to center (Fliner (Liner)).
J_Chacin,2608,J Upton,5222,2016-05-30,Justin Upton grounded out to second (Grounder). Miguel Cabrera advanced to 3B. Nick Castellanos advanced to 2B.
J_Chacin,2608,J McCann,1285,2016-05-30,James McCann grounded out to shortstop (Grounder).
J_Chacin,2608,J Upton,5222,2016-08-27,Justin Upton struck out swinging.
J_Chacin,2608,D Espinosa,9219,2016-04-12,Danny Espinosa struck out swinging.
