playername,playerid,vsname,vsid,date,Play
J_De,1546,P Goldschmidt,9218,2016-09-18,Paul Goldschmidt struck out swinging.
J_De,1546,R Schimpf,9953,2016-09-04,Ryan Schimpf struck out swinging.
J_De,1546,A Dickerson,1264,2016-09-04,Alex Dickerson struck out swinging.
J_De,1546,C Headley,4720,2016-09-12,Chase Headley reached on fielder's choice to third (Grounder). Brian McCann out at second.
J_De,1546,T Austin,1185,2016-09-12,Tyler Austin struck out swinging.
J_De,1546,S Castro,4579,2016-09-12,Starlin Castro grounded out to second (Grounder).
J_De,1546,C Friedrich,7942,2016-09-04,Christian Friedrich sacrificed to pitcher (Bunt Grounder). Alexi Amarista advanced to 2B.
J_De,1546,Y Solarte,5352,2016-09-28,Yangervis Solarte grounded out to first (Grounder).
J_De,1546,M Margot,1471,2016-09-28,Manuel Margot flied out to left (Fliner (Liner)).
J_De,1546,W Myers,1004,2016-09-04,Wil Myers picked off.
J_De,1546,T Jankowski,1376,2016-09-04,Travis Jankowski grounded out to shortstop (Grounder).
J_De,1546,W Myers,1004,2016-09-28,Wil Myers flied out to left (Fliner (Liner)).
J_De,1546,W Myers,1004,2016-09-04,Wil Myers grounded out to shortstop (Grounder). Travis Jankowski advanced to 2B.
J_De,1546,A Amarista,9063,2016-09-28,Alexi Amarista flied out to shortstop (Fly).
J_De,1546,G Sanchez,1144,2016-09-12,Gary Sanchez struck out swinging.
J_De,1546,H Sanchez,1028,2016-09-04,Hector Sanchez struck out swinging.
J_De,1546,C Owings,1003,2016-09-18,Chris Owings grounded out to second (Grounder). Jean Segura advanced to 3B.
J_De,1546,W Myers,1004,2016-09-04,Wil Myers struck out swinging.
J_De,1546,B Gardner,9927,2016-09-12,Brett Gardner flied out to shortstop (Fly).
J_De,1546,C Owings,1003,2016-09-18,Chris Owings flied out to first (Fly).
J_De,1546,A Amarista,9063,2016-09-04,Alexi Amarista struck out swinging.
J_De,1546,P Goldschmidt,9218,2016-09-18,Paul Goldschmidt grounded out to second (Grounder).
J_De,1546,J Lamb,1332,2016-09-18,Jake Lamb struck out swinging.
J_De,1546,S Brito,1294,2016-09-18,Socrates Brito flied out to left (Fly).
J_De,1546,J Segura,5933,2016-09-18,Jean Segura was intentionally walked.
J_De,1546,J Ellsbury,4727,2016-09-12,Jacoby Ellsbury singled to right (Fliner (Liner)).
J_De,1546,G Sanchez,1144,2016-09-12,Gary Sanchez was hit by a pitch. Brett Gardner advanced to 2B.
J_De,1546,B Gardner,9927,2016-09-12,Brett Gardner walked.
J_De,1546,A Dickerson,1264,2016-09-04,Alex Dickerson was hit by a pitch. Yangervis Solarte advanced to 2B.
J_De,1546,C Owings,1003,2016-09-18,Chris Owings doubled to left (Fliner (Liner)). Tuffy Gosewisch scored. Jean Segura advanced to 3B.
J_De,1546,T Jankowski,1376,2016-09-04,Travis Jankowski singled to third (Bunt Fly).
J_De,1546,B Drury,1161,2016-09-18,Brandon Drury walked.
J_De,1546,M Margot,1471,2016-09-28,Manuel Margot reached on error to shortstop (Grounder). Error by Corey Seager.
J_De,1546,A Judge,1564,2016-09-12,Aaron Judge homered (Fly).
J_De,1546,A Amarista,9063,2016-09-04,Alexi Amarista singled to center (Fliner (Liner)).
J_De,1546,Y Solarte,5352,2016-09-28,Yangervis Solarte singled to center (Grounder). Manuel Margot advanced to 3B.
J_De,1546,S Castro,4579,2016-09-12,Starlin Castro homered (Fly).
J_De,1546,M Haniger,1427,2016-09-18,Mitch Haniger singled to first (Fly). Brandon Drury advanced to 3B.
J_De,1546,R Schimpf,9953,2016-09-28,Ryan Schimpf doubled to left (Fly). Hunter Renfroe scored.
J_De,1546,T Jankowski,1376,2016-09-04,Travis Jankowski reached on error to pitcher (Bunt Grounder). Alexi Amarista scored on error. Error by Jose De Leon.
J_De,1546,Y Solarte,5352,2016-09-04,Yangervis Solarte homered (Fly). Travis Jankowski scored.
