playername,playerid,vsname,vsid,date,Play
J_Eickhoff,1266,C Granderson,4747,2016-07-16,Curtis Granderson grounded into a double play to second (Grounder). Asdrubal Cabrera out at second.
J_Eickhoff,1266,M Montero,3364,2016-06-07,Miguel Montero non-force gdp to second (Grounder). Ben Zobrist scored. Tommy La Stella out at second.
J_Eickhoff,1266,S Piscotty,1336,2016-05-05,Stephen Piscotty grounded out to pitcher (Grounder). Matt Carpenter out at third.
J_Eickhoff,1266,C Yelich,1147,2016-05-16,Christian Yelich grounded into a double play to shortstop (Grounder). Derek Dietrich out at second.
J_Eickhoff,1266,N Arenado,9777,2016-08-13,Nolan Arenado grounded into a double play to third (Grounder). Carlos Gonzalez out at second.
J_Eickhoff,1266,T Anderson,1517,2016-08-24,Tim Anderson grounded into a double play to shortstop (Grounder). Adam Eaton out at second.
J_Eickhoff,1266,K Nieuwenhuis,6400,2016-06-02,Kirk Nieuwenhuis flied out to left (Fly).
J_Eickhoff,1266,M Bourn,6387,2016-06-18,Michael Bourn grounded into a double play to pitcher (Grounder). Jean Segura out at second.
J_Eickhoff,1266,W Castillo,3256,2016-06-28,Welington Castillo struck out swinging.
J_Eickhoff,1266,M Brantley,4106,2016-04-30,Michael Brantley flied out to center (Fly).
J_Eickhoff,1266,D Gordon,8203,2016-09-05,Dee Gordon flied out to center (Fliner (Liner)).
J_Eickhoff,1266,G Beckham,9015,2016-05-11,Gordon Beckham struck out swinging.
J_Eickhoff,1266,R Delgado,5985,2016-06-28,Randall Delgado grounded out to third (Grounder).
J_Eickhoff,1266,N Markakis,5930,2016-05-22,Nick Markakis grounded into a double play to first (Grounder). Freddie Freeman out at second.
J_Eickhoff,1266,C Gonzalez,7287,2016-08-13,Carlos Gonzalez flied out to third (Fly).
J_Eickhoff,1266,P Goldschmidt,9218,2016-06-18,Paul Goldschmidt fouled out to first (Fly).
J_Eickhoff,1266,G Stanton,4949,2016-05-16,Giancarlo Stanton struck out swinging.
J_Eickhoff,1266,T Anderson,1517,2016-08-24,Tim Anderson struck out swinging.
J_Eickhoff,1266,Y Tomas,1717,2016-06-28,Yasmany Tomas flied out to right (Fly).
