playername,playerid,vsname,vsid,date,Play
J_Elmore,7290,P Corbin,9323,2016-07-26,Jake Elmore singled to center (Grounder). Jonathan Lucroy scored. Chris Carter scored. Scooter Gennett advanced to 2B.
J_Elmore,7290,T Watson,3132,2016-07-19,Jake Elmore walked.
J_Elmore,7290,C Reed,1523,2016-08-14,Jake Elmore was hit by a pitch. Ryan Braun scored. Chris Carter advanced to 3B. Manny Pina advanced to 2B.
J_Elmore,7290,F Rivero,1207,2016-09-21,Jake Elmore singled to right (Grounder).
J_Elmore,7290,J Smith,1094,2016-09-25,Jake Elmore singled to center (Grounder).
J_Elmore,7290,F Rivero,1207,2016-09-03,Jake Elmore walked. Chris Carter advanced to 2B.
J_Elmore,7290,F Liriano,3201,2016-07-31,Jake Elmore was hit by a pitch.
J_Elmore,7290,P Corbin,9323,2016-07-26,Jake Elmore singled to left (Grounder).
J_Elmore,7290,M Lorenzen,1484,2016-09-12,Jake Elmore singled to first (Fliner (Fly)).
J_Elmore,7290,S Brault,1529,2016-07-29,Jake Elmore singled to left (Fliner (Liner)).
J_Elmore,7290,J Nicasio,7731,2016-09-04,Jake Elmore walked. Domingo Santana advanced to 2B.
J_Elmore,7290,A Bradley,1291,2016-07-27,Jake Elmore walked.
J_Elmore,7290,J Urias,1476,2016-06-28,Jake Elmore walked.
J_Elmore,7290,A Miranda,1752,2016-08-21,Jake Elmore singled to center (Grounder).
J_Elmore,7290,G Marquez,1503,2016-10-02,Jake Elmore grounded out to shortstop (Grounder). Orlando Arcia scored.
J_Elmore,7290,J Garcia,8137,2016-07-01,Jake Elmore singled to center (Liner).
J_Elmore,7290,A Caminero,8992,2016-07-20,Jake Elmore advanced on a stolen base to 2B.
J_Elmore,7290,J Lester,4930,2016-08-17,Jake Elmore walked.
J_Elmore,7290,A Loewen,2134,2016-08-06,Jake Elmore walked. Orlando Arcia advanced to 3B. Ryan Braun advanced to 2B.
J_Elmore,7290,K Marte,5200,2016-09-04,Jake Elmore walked.
J_Elmore,7290,A Loewen,2134,2016-08-06,Keon Broxton advanced on a wild pitch to 2B.
J_Elmore,7290,C Hatcher,3299,2016-06-29,Jake Elmore struck out swinging.
J_Elmore,7290,K Sampson,1003,2016-08-14,Jake Elmore flied out to center (Fly).
J_Elmore,7290,J Locke,2929,2016-09-03,Jake Elmore grounded out to shortstop (Grounder). Chris Carter advanced to 2B.
J_Elmore,7290,A Bradley,1291,2016-07-27,Jake Elmore grounded out to shortstop (Grounder).
J_Elmore,7290,S Hathaway,1529,2016-08-07,Jake Elmore flied out to right (Fly).
J_Elmore,7290,F Liriano,3201,2016-07-21,Jake Elmore struck out swinging.
J_Elmore,7290,J Lester,4930,2016-08-17,Jake Elmore grounded out to shortstop (Grounder).
J_Elmore,7290,B Maurer,4878,2016-08-01,Jake Elmore grounded out to first (Grounder).
J_Elmore,7290,T Roark,8753,2016-07-06,Jake Elmore flied out to center (Fliner (Fly)).
J_Elmore,7290,F Liriano,3201,2016-07-21,Jake Elmore grounded out to third (Grounder).
J_Elmore,7290,W LeBlanc,5221,2016-08-19,Jake Elmore flied out to center (Fly).
J_Elmore,7290,J Smith,3281,2016-09-18,Jake Elmore grounded out to pitcher (Grounder).
J_Elmore,7290,F Liriano,3201,2016-07-21,Jake Elmore grounded out to third (Grounder).
J_Elmore,7290,R Ray,1148,2016-07-28,Jake Elmore struck out swinging.
J_Elmore,7290,R Ray,1148,2016-07-28,Jake Elmore grounded out to third (Grounder).
J_Elmore,7290,J Taillon,1167,2016-09-02,Jake Elmore grounded out to shortstop (Grounder). Martin Maldonado advanced to 2B.
J_Elmore,7290,A Bastardo,8844,2016-09-20,Jake Elmore struck out swinging.
J_Elmore,7290,J Urias,1476,2016-06-28,Jake Elmore grounded out to shortstop (Grounder).
J_Elmore,7290,J Gray,1491,2016-08-23,Jake Elmore grounded out to first (Grounder).
J_Elmore,7290,K Siegrist,8180,2016-08-30,Jake Elmore grounded out to third (Grounder).
J_Elmore,7290,S Brault,1529,2016-09-20,Jake Elmore grounded out to second (Grounder).
J_Elmore,7290,C Martinez,1168,2016-07-09,Jake Elmore was caught stealing.
J_Elmore,7290,G Marquez,1503,2016-10-02,Jake Elmore grounded out to pitcher (Grounder).
J_Elmore,7290,T Lyons,1133,2016-07-03,Jake Elmore struck out looking.
J_Elmore,7290,T Wood,9884,2016-07-22,Jake Elmore grounded out to shortstop (Grounder).
J_Elmore,7290,S Dyson,1171,2016-09-27,Jake Elmore grounded out to second (Grounder).
J_Elmore,7290,W LeBlanc,5221,2016-09-20,Jake Elmore reached on fielder's choice to third (Grounder). Hernan Perez out at second.
J_Elmore,7290,H Rondon,2391,2016-07-24,Jake Elmore struck out looking.
J_Elmore,7290,J Lester,4930,2016-07-24,Jake Elmore flied out to center (Fliner (Fly)).
J_Elmore,7290,A Chapman,1023,2016-09-16,Jake Elmore struck out swinging.
J_Elmore,7290,C Kuhl,1497,2016-08-25,Jake Elmore grounded into a double play to shortstop (Grounder). Orlando Arcia out at second.
J_Elmore,7290,J Blanton,4849,2016-06-28,Jake Elmore struck out swinging.
J_Elmore,7290,M Carasiti,1327,2016-10-02,Jake Elmore was caught stealing.
