playername,playerid,vsname,vsid,date,Play
J_Fernandez,1153,D Espinosa,9219,2016-09-20,Danny Espinosa struck out swinging.
J_Fernandez,1153,G Polanco,1290,2016-05-31,Gregory Polanco grounded into a double play to second (Grounder). Andrew McCutchen out at second.
J_Fernandez,1153,E Suarez,1255,2016-07-08,Eugenio Suarez grounded into a double play to first (Grounder). Brandon Phillips out at second.
J_Fernandez,1153,Z Cozart,2616,2016-07-08,Zack Cozart struck out swinging.
J_Fernandez,1153,P Goldschmidt,9218,2016-05-04,Paul Goldschmidt struck out looking.
J_Fernandez,1153,J Loney,4556,2016-07-23,James Loney flied out to left (Fly).
J_Fernandez,1153,A Cabrera,4962,2016-07-23,Asdrubal Cabrera struck out swinging.
J_Fernandez,1153,M Wacha,1407,2016-07-28,Michael Wacha struck out swinging.
J_Fernandez,1153,A Gordon,5209,2016-08-24,Alex Gordon struck out swinging.
J_Fernandez,1153,W Peralta,7738,2016-05-09,Wily Peralta grounded into a double play to catcher (Bunt Grounder). Martin Maldonado out at second.
J_Fernandez,1153,D Peralta,2136,2016-05-04,David Peralta struck out swinging.
J_Fernandez,1153,A Rendon,1286,2016-05-15,Anthony Rendon struck out looking.
J_Fernandez,1153,B Harper,1157,2016-05-15,Bryce Harper flied out to left (Fliner (Liner)).
J_Fernandez,1153,Y Cespedes,1311,2016-08-29,Yoenis Cespedes flied out to catcher (Fly).
J_Fernandez,1153,W Flores,5827,2016-08-29,Wilmer Flores flied out to right (Fly).
J_Fernandez,1153,Y Grandal,1136,2016-04-28,Yasmani Grandal struck out swinging.
J_Fernandez,1153,A Toles,1341,2016-09-09,Andrew Toles struck out swinging.
J_Fernandez,1153,D Straily,9460,2016-07-08,Dan Straily sacrificed to first (Bunt Grounder). Tucker Barnhart advanced to 2B.
J_Fernandez,1153,C Robinson,6908,2016-09-20,Clint Robinson struck out swinging.
J_Fernandez,1153,E Nunez,6848,2016-08-08,Eduardo Nunez flied out to center (Fliner (Liner)).
J_Fernandez,1153,A Pierzynski,746&,2016-06-21,A.J. Pierzynski reached on fielder's choice to second (Grounder). Nick Markakis out at second.
J_Fernandez,1153,A Gonzalez,1908,2016-04-28,Adrian Gonzalez struck out looking.
J_Fernandez,1153,A Gonzalez,1908,2016-04-28,Adrian Gonzalez struck out swinging.
