playername,playerid,vsname,vsid,date,Play
J_Fields,5070,Y Tomas,1717,2016-09-16,Yasmany Tomas struck out swinging.
J_Fields,5070,B Drury,1161,2016-09-16,Brandon Drury struck out swinging.
J_Fields,5070,M Haniger,1427,2016-09-16,Mitch Haniger flied out to right (Fly).
J_Fields,5070,C Iannetta,8267,2016-05-07,Chris Iannetta struck out looking.
J_Fields,5070,A Pagan,2918,2016-09-20,Angel Pagan grounded out to second (Grounder).
J_Fields,5070,C Adames,6013,2016-09-23,Cristhian Adames flied out to second (Fly).
J_Fields,5070,D Price,3184,2016-08-07,David Price struck out swinging.
J_Fields,5070,J Mercer,6547,2016-08-13,Jordy Mercer struck out swinging.
J_Fields,5070,F Galvis,6609,2016-08-18,Freddy Galvis flied out to left (Fly).
J_Fields,5070,E Escobar,6153,2016-05-02,Eduardo Escobar fouled out to catcher (Fly).
J_Fields,5070,C Gonzalez,7287,2016-09-23,Carlos Gonzalez flied out to center (Fliner (Fly)).
J_Fields,5070,A Altherr,1127,2016-08-10,Aaron Altherr struck out swinging.
J_Fields,5070,C Carter,9911,2016-04-10,Chris Carter struck out swinging.
J_Fields,5070,D Norris,6867,2016-09-29,Derek Norris flied out to right (Fly).
J_Fields,5070,M Franco,1217,2016-08-10,Maikel Franco grounded out to first (Grounder).
J_Fields,5070,C Owings,1003,2016-09-06,Chris Owings flied out to right (Fliner (Fly)).
J_Fields,5070,B Posey,9166,2016-09-20,Buster Posey flied out to right (Fly). Gorkys Hernandez advanced to 2B.
J_Fields,5070,C Asche,1199,2016-08-08,Cody Asche struck out swinging.
J_Fields,5070,R Davis,3708,2016-05-10,Rajai Davis struck out swinging.
J_Fields,5070,M Maldonado,6887,2016-04-10,Martin Maldonado struck out swinging.
J_Fields,5070,K Suzuki,8259,2016-05-02,Kurt Suzuki struck out swinging.
J_Fields,5070,N Aoki,1307,2016-04-25,Nori Aoki grounded out to third (Grounder).
J_Fields,5070,B Posey,9166,2016-10-02,Buster Posey reached on fielder's choice to shortstop (Grounder). Brandon Belt out at second.
J_Fields,5070,C Hernandez,1055,2016-08-08,Cesar Hernandez grounded out to pitcher (Grounder).
J_Fields,5070,S Smith,7331,2016-04-25,Seth Smith struck out swinging.
J_Fields,5070,L Sardinas,1315,2016-09-02,Luis Sardinas grounded out to shortstop (Grounder).
J_Fields,5070,B Crawford,5343,2016-10-02,Brandon Crawford struck out swinging.
J_Fields,5070,R Cano,3269,2016-04-25,Robinson Cano struck out looking.
J_Fields,5070,T Featherston,1259,2016-08-17,Taylor Featherston grounded out to first (Grounder).
J_Fields,5070,D Santana,1032,2016-05-02,Danny Santana flied out to third (Fly).
J_Fields,5070,R Odor,1228,2016-04-21,Rougned Odor struck out swinging.
J_Fields,5070,C Vazquez,9774,2016-04-23,Christian Vazquez grounded out to shortstop (Grounder).
J_Fields,5070,B Finnegan,1620,2016-08-20,Brandon Finnegan struck out swinging.
J_Fields,5070,Y Solarte,5352,2016-09-02,Yangervis Solarte struck out swinging.
J_Fields,5070,A Judge,1564,2016-09-12,Aaron Judge struck out swinging.
J_Fields,5070,M Moustakas,4892,2016-04-11,Mike Moustakas grounded into a double play to second (Grounder). Alcides Escobar out at second.
J_Fields,5070,A Altherr,1127,2016-08-17,Aaron Altherr struck out swinging.
J_Fields,5070,C Santana,2396,2016-05-10,Carlos Santana flied out to right (Fly).
J_Fields,5070,M Betts,1361,2016-04-23,Mookie Betts flied out to center (Fly).
J_Fields,5070,D Descalso,8392,2016-08-03,Daniel Descalso flied out to center (Fly). David Dahl advanced to 3B.
J_Fields,5070,J Votto,4314,2016-08-22,Joey Votto grounded out to first (Grounder). Billy Hamilton scored. Jose Peraza advanced to 3B.
J_Fields,5070,R Torreyes,1140,2016-09-12,Ronald Torreyes flied out to right (Fly).
J_Fields,5070,C Young,3882,2016-05-12,Chris Young struck out swinging.
J_Fields,5070,D Ortiz,745&,2016-05-12,David Ortiz grounded out to first (Grounder).
