playername,playerid,vsname,vsid,date,Play
J_Garcia,8137,P Bourjos,2578,2016-05-05,Peter Bourjos lined out to first (Liner). Tyler Goeddel out at second.
J_Garcia,8137,T Jankowski,1376,2016-07-20,Travis Jankowski reached on fielder's choice to pitcher (Bunt Grounder). Adam Rosales out at home. Alexei Ramirez advanced to 2B.
J_Garcia,8137,T Barnhart,1020,2016-09-03,Tucker Barnhart grounded into a double play to second (Grounder). Jose Peraza out at second.
J_Garcia,8137,A Russell,1410,2016-04-19,Addison Russell struck out swinging.
J_Garcia,8137,A Duvall,1095,2016-09-03,Adam Duvall reached on fielder's choice to shortstop (Grounder). Zack Cozart out at home.
J_Garcia,8137,P Clemens,8037,2016-07-20,Paul Clemens struck out swinging.
J_Garcia,8137,A Garcia,1377,2016-04-08,Adonis Garcia grounded into a double play to third (Grounder). Erick Aybar out at second.
J_Garcia,8137,A Duvall,1095,2016-06-08,Adam Duvall lined out to shortstop (Liner).
J_Garcia,8137,B Drury,1161,2016-04-25,Brandon Drury grounded into a double play to shortstop (Grounder). Jean Segura out at second.
J_Garcia,8137,J Altuve,5417,2016-08-16,Jose Altuve flied out to shortstop (Fly).
J_Garcia,8137,M Trout,1015,2016-05-11,Mike Trout grounded into a double play to shortstop (Grounder). Kole Calhoun out at second.
J_Garcia,8137,B Phillips,791&,2016-06-08,Brandon Phillips reached on fielder's choice to shortstop (Grounder). Alfredo Simon out at home. Zack Cozart advanced to 3B. Joey Votto advanced to 2B.
J_Garcia,8137,G Beckham,9015,2016-08-05,Gordon Beckham grounded into a double play to third (Grounder). Ender Inciarte out at second.
J_Garcia,8137,C Owings,1003,2016-04-25,Chris Owings struck out swinging.
J_Garcia,8137,S Robinson,4249,2016-05-11,Shane Robinson out on a dropped third strike.
J_Garcia,8137,R Cano,3269,2016-06-26,Robinson Cano struck out swinging.
J_Garcia,8137,A Garcia,1377,2016-08-05,Adonis Garcia reached on fielder's choice to second (Grounder). Gordon Beckham out at second.
J_Garcia,8137,W Myers,1004,2016-07-20,Wil Myers grounded out to third (Grounder).
J_Garcia,8137,P Goldschmidt,9218,2016-05-22,Paul Goldschmidt grounded into a double play to third (Grounder). Jean Segura scored. Michael Bourn out at second.
J_Garcia,8137,J Soler,1422,2016-04-19,Jorge Soler struck out swinging.
J_Garcia,8137,E Suarez,1255,2016-09-03,Eugenio Suarez struck out swinging.
J_Garcia,8137,F Freeman,5361,2016-04-08,Freddie Freeman struck out swinging.
J_Garcia,8137,B Hamilton,1019,2016-08-10,Billy Hamilton grounded out to third (Grounder).
J_Garcia,8137,J Loney,4556,2016-07-26,James Loney grounded into a double play to second (Grounder). Wilmer Flores scored. Neil Walker out at second.
J_Garcia,8137,E Suarez,1255,2016-08-10,Eugenio Suarez flied out to right (Fly).
J_Garcia,8137,B Colon,375&,2016-07-26,Bartolo Colon struck out swinging.
J_Garcia,8137,F Freeman,5361,2016-04-08,Freddie Freeman flied out to left (Fly).
J_Garcia,8137,M Maldonado,6887,2016-06-01,Martin Maldonado struck out looking.
J_Garcia,8137,A Russell,1410,2016-06-20,Addison Russell flied out to right (Fly).
J_Garcia,8137,J Altuve,5417,2016-06-14,Jose Altuve grounded into a double play to shortstop (Grounder). Danny Worth out at second.
J_Garcia,8137,B Drury,1161,2016-04-25,Brandon Drury grounded out to third (Grounder).
J_Garcia,8137,M Szczur,1125,2016-06-20,Matt Szczur struck out looking.
J_Garcia,8137,M Ozuna,1032,2016-07-15,Marcell Ozuna flied out to left (Fliner (Fly)).
J_Garcia,8137,R Flores,1116,2016-06-01,Ramon Flores struck out swinging.
J_Garcia,8137,W Castillo,3256,2016-04-25,Welington Castillo grounded out to shortstop (Grounder).
J_Garcia,8137,M Gonzalez,5497,2016-06-14,Marwin Gonzalez was caught stealing.
J_Garcia,8137,C d'Arnaud,6652,2016-08-05,Chase d'Arnaud grounded out to first (Grounder). Anthony Recker advanced to 3B.
J_Garcia,8137,M Kemp,5631,2016-08-05,Matt Kemp struck out swinging.
J_Garcia,8137,J Guerra,5702,2016-09-08,Junior Guerra out on a dropped third strike.
J_Garcia,8137,K Seager,9785,2016-06-26,Kyle Seager flied out to center (Fliner (Liner)). Robinson Cano advanced to 3B.
J_Garcia,8137,T Renda,1344,2016-08-10,Tony Renda flied out to right (Fliner (Liner)).
J_Garcia,8137,B Hamilton,1019,2016-09-03,Billy Hamilton flied out to center (Fliner (Fly)).
J_Garcia,8137,B Drury,1161,2016-04-25,Brandon Drury struck out swinging.
J_Garcia,8137,W Contreras,1160,2016-06-20,Willson Contreras grounded out to second (Grounder).
J_Garcia,8137,E Suarez,1255,2016-09-26,Eugenio Suarez flied out to right (Fly).
J_Garcia,8137,A Duvall,1095,2016-06-08,Adam Duvall flied out to right (Fly).
J_Garcia,8137,J Kang,1718,2016-07-06,Jung Ho Kang struck out swinging.
J_Garcia,8137,P Goldschmidt,9218,2016-04-25,Paul Goldschmidt grounded out to third (Grounder).
J_Garcia,8137,P Goldschmidt,9218,2016-04-25,Paul Goldschmidt grounded out to third (Grounder).
J_Garcia,8137,D Valencia,6364,2016-08-28,Danny Valencia was caught stealing.
J_Garcia,8137,T Story,1256,2016-05-17,Trevor Story struck out swinging.
J_Garcia,8137,A Russell,1410,2016-06-20,Addison Russell flied out to right (Fly).
J_Garcia,8137,J Lagares,5384,2016-07-26,Juan Lagares grounded out to second (Grounder). Alejandro De Aza advanced to 3B.
J_Garcia,8137,D Worth,198&,2016-06-14,Danny Worth grounded out to third (Grounder).
J_Garcia,8137,J Eickhoff,1266,2016-05-05,Jerad Eickhoff grounded out to third (Grounder).
J_Garcia,8137,J Heyward,4940,2016-06-20,Jason Heyward struck out swinging.
J_Garcia,8137,Z Greinke,1943,2016-04-25,Zack Greinke struck out looking.
J_Garcia,8137,T d'Arnaud,7739,2016-07-26,Travis d'Arnaud flied out to second (Fly).
J_Garcia,8137,A Hill,6104,2016-06-01,Aaron Hill flied out to right (Fliner (Fly)).
J_Garcia,8137,M Montero,3364,2016-04-19,Miguel Montero struck out swinging.
J_Garcia,8137,D Dietrich,1054,2016-07-15,Derek Dietrich flied out to right (Fliner (Liner)).
J_Garcia,8137,J Marisnick,1133,2016-08-16,Jake Marisnick reached on fielder's choice to pitcher (Grounder). Jason Castro out at second.
J_Garcia,8137,B Zobrist,7435,2016-06-20,Ben Zobrist struck out swinging.
J_Garcia,8137,I De Jesus,9886,2016-09-03,Ivan De Jesus grounded out to third (Grounder).
J_Garcia,8137,K Bryant,1542,2016-06-20,Kris Bryant flied out to right (Fly).
J_Garcia,8137,Y Escobar,4191,2016-05-11,Yunel Escobar grounded out to second (Grounder).
J_Garcia,8137,B Hamilton,1019,2016-08-10,Billy Hamilton reached on fielder's choice to third (Grounder). Anthony DeSclafani out at second.
J_Garcia,8137,D Fister,9425,2016-06-14,Doug Fister grounded out to third (Bunt Grounder).
J_Garcia,8137,B Phillips,791&,2016-06-08,Brandon Phillips grounded out to third (Grounder).
J_Garcia,8137,D Valencia,6364,2016-08-28,Danny Valencia reached on fielder's choice to shortstop (Grounder). Marcus Semien out at second.
J_Garcia,8137,E Suarez,1255,2016-06-08,Eugenio Suarez flied out to right (Fly).
J_Garcia,8137,B Eibner,1136,2016-08-28,Brett Eibner struck out swinging.
J_Garcia,8137,Y Solarte,5352,2016-07-20,Yangervis Solarte grounded out to third (Grounder).
J_Garcia,8137,T Barnhart,1020,2016-09-03,Tucker Barnhart struck out swinging.
J_Garcia,8137,A Garcia,1377,2016-08-05,Adonis Garcia grounded out to pitcher (Grounder).
J_Garcia,8137,J Giavotella,6740,2016-05-11,Johnny Giavotella grounded out to second (Grounder).
J_Garcia,8137,D Straily,9460,2016-09-03,Dan Straily struck out looking.
J_Garcia,8137,M Gonzalez,5497,2016-08-16,Marwin Gonzalez flied out to left (Fliner (Fly)).
J_Garcia,8137,K Broxton,9253,2016-07-01,Keon Broxton flied out to right (Fly).
J_Garcia,8137,F Galvis,6609,2016-05-05,Freddy Galvis flied out to left (Fliner (Liner)).
J_Garcia,8137,J Smolinski,5408,2016-08-28,Jake Smolinski grounded into a double play to third (Grounder). Chad Pinder out at second.
J_Garcia,8137,D Lee,1872,2016-06-26,Dae-Ho Lee was forced out.
J_Garcia,8137,S Schebler,1222,2016-09-26,Scott Schebler grounded out to second (Grounder).
J_Garcia,8137,A Simon,2155,2016-06-08,Alfredo Simon grounded out to shortstop (Grounder).
J_Garcia,8137,D Espinosa,9219,2016-05-27,Danny Espinosa flied out to center (Fly).
J_Garcia,8137,A Bregman,1767,2016-08-16,Alex Bregman flied out to right (Fly). Jake Marisnick advanced to 3B.
J_Garcia,8137,A Blanco,1907,2016-05-05,Andres Blanco struck out swinging.
J_Garcia,8137,E Suarez,1255,2016-06-08,Eugenio Suarez struck out swinging.
J_Garcia,8137,E Suarez,1255,2016-09-03,Eugenio Suarez struck out swinging.
J_Garcia,8137,J Lucroy,7870,2016-07-01,Jonathan Lucroy grounded out to second (Grounder).
J_Garcia,8137,N Markakis,5930,2016-04-08,Nick Markakis flied out to left (Fly).
J_Garcia,8137,J Votto,4314,2016-08-10,Joey Votto flied out to left (Fliner (Fly)).
J_Garcia,8137,D Fowler,4062,2016-04-19,Dexter Fowler struck out swinging.
J_Garcia,8137,A Recker,4063,2016-08-05,Anthony Recker grounded out to second (Grounder).
J_Garcia,8137,R Raburn,2218,2016-05-17,Ryan Raburn reached on fielder's choice to shortstop (Grounder). Mark Reynolds out at second.
J_Garcia,8137,N Markakis,5930,2016-08-05,Nick Markakis grounded out to second (Grounder).
J_Garcia,8137,Y Cespedes,1311,2016-08-23,Yoenis Cespedes struck out swinging.
J_Garcia,8137,G Beckham,9015,2016-08-05,Gordon Beckham grounded out to second (Grounder).
J_Garcia,8137,Y Tomas,1717,2016-05-22,Yasmany Tomas grounded out to third (Grounder).
J_Garcia,8137,A Duvall,1095,2016-09-03,Adam Duvall struck out looking.
J_Garcia,8137,C Bettis,1058,2016-05-17,Chad Bettis struck out swinging.
J_Garcia,8137,W Chen,1307,2016-07-15,Wei-Yin Chen struck out looking.
J_Garcia,8137,J Segura,5933,2016-05-22,Jean Segura flied out to left (Fliner (Liner)).
J_Garcia,8137,J Werth,1327,2016-05-27,Jayson Werth grounded out to third (Grounder).
J_Garcia,8137,C Rupp,1114,2016-05-05,Cameron Rupp grounded out to third (Grounder).
J_Garcia,8137,H Perez,5751,2016-09-08,Hernan Perez struck out swinging.
J_Garcia,8137,J Heyward,4940,2016-06-20,Jason Heyward grounded out to first (Grounder).
J_Garcia,8137,B Hamilton,1019,2016-09-03,Billy Hamilton grounded out to shortstop (Grounder).
J_Garcia,8137,M Garza,3340,2016-07-01,Matt Garza grounded out to shortstop (Grounder).
J_Garcia,8137,A Frazier,1522,2016-07-06,Adam Frazier grounded out to second (Grounder). Erik Kratz advanced to 3B.
J_Garcia,8137,K Bryant,1542,2016-04-19,Kris Bryant struck out swinging.
J_Garcia,8137,J Lucroy,7870,2016-04-14,Jonathan Lucroy struck out looking.
J_Garcia,8137,C Correa,1416,2016-06-14,Carlos Correa struck out looking.
J_Garcia,8137,D Norris,6867,2016-07-20,Derek Norris flied out to third (Fly).
J_Garcia,8137,J Ruggiano,7620,2016-08-23,Justin Ruggiano struck out looking.
J_Garcia,8137,N Markakis,5930,2016-04-08,Nick Markakis fouled out to left (Fly).
J_Garcia,8137,C Carter,9911,2016-09-08,Chris Carter flied out to second (Fly).
J_Garcia,8137,J Realmuto,1173,2016-07-15,J.T. Realmuto grounded out to pitcher (Grounder).
J_Garcia,8137,C Gonzalez,7287,2016-05-17,Carlos Gonzalez grounded out to second (Grounder).
J_Garcia,8137,C Gonzalez,7287,2016-05-17,Carlos Gonzalez flied out to center (Fly).
J_Garcia,8137,A Duvall,1095,2016-08-10,Adam Duvall reached on fielder's choice to third (Grounder). Joey Votto out at second.
J_Garcia,8137,D Santana,1034,2016-04-14,Domingo Santana grounded out to shortstop (Grounder).
J_Garcia,8137,O Herrera,1147,2016-05-05,Odubel Herrera struck out swinging.
J_Garcia,8137,G Springer,1285,2016-06-14,George Springer flied out to right (Fly).
J_Garcia,8137,T Jankowski,1376,2016-07-20,Travis Jankowski flied out to right (Fliner (Liner)).
J_Garcia,8137,J Smolinski,5408,2016-08-28,Jake Smolinski struck out looking.
J_Garcia,8137,J Locke,2929,2016-07-06,Jeff Locke lined out to shortstop (Liner).
J_Garcia,8137,Z Cozart,2616,2016-06-08,Zack Cozart grounded out to pitcher (Grounder).
J_Garcia,8137,F Freeman,5361,2016-04-08,Freddie Freeman struck out swinging.
J_Garcia,8137,E Kratz,4403,2016-07-06,Erik Kratz flied out to left (Fly).
J_Garcia,8137,M Wisler,1280,2016-04-08,Matt Wisler grounded out to second (Grounder).
J_Garcia,8137,T Flowers,9134,2016-04-08,Tyler Flowers flied out to right (Fliner (Fly)).
J_Garcia,8137,C Pinder,1519,2016-08-28,Chad Pinder struck out swinging.
J_Garcia,8137,C Rupp,1114,2016-05-05,Cameron Rupp struck out swinging.
J_Garcia,8137,S Robinson,4249,2016-05-11,Shane Robinson grounded out to second (Grounder).
J_Garcia,8137,A Blanco,1907,2016-05-05,Andres Blanco grounded out to shortstop (Grounder).
J_Garcia,8137,K Bryant,1542,2016-09-13,Kris Bryant grounded out to shortstop (Grounder).
J_Garcia,8137,R Flores,1116,2016-06-01,Ramon Flores grounded out to first (Grounder). Ryan Braun advanced to 3B. Chris Carter advanced to 2B.
J_Garcia,8137,J Peraza,1359,2016-09-03,Jose Peraza grounded out to third (Grounder).
J_Garcia,8137,M Scherzer,3137,2016-05-27,Max Scherzer struck out looking.
J_Garcia,8137,C Correa,1416,2016-06-14,Carlos Correa grounded out to second (Grounder).
J_Garcia,8137,D LeMahieu,9874,2016-05-17,DJ LeMahieu sacrificed to first (Bunt Grounder). Ryan Raburn advanced to 2B.
J_Garcia,8137,A Hill,6104,2016-07-01,Aaron Hill grounded into a double play to pitcher (Liner). Jonathan Villar out at second.
J_Garcia,8137,A Triggs,1353,2016-08-28,Andrew Triggs struck out swinging.
J_Garcia,8137,J Eickhoff,1266,2016-05-05,Jerad Eickhoff struck out swinging.
J_Garcia,8137,A Rendon,1286,2016-05-27,Anthony Rendon struck out looking.
J_Garcia,8137,A Duvall,1095,2016-08-10,Adam Duvall out on a dropped third strike.
J_Garcia,8137,J Giavotella,6740,2016-05-11,Johnny Giavotella grounded out to shortstop (Grounder).
J_Garcia,8137,J Realmuto,1173,2016-07-15,J.T. Realmuto fouled out to right (Fly).
J_Garcia,8137,A Pujols,1177,2016-05-11,Albert Pujols struck out swinging.
J_Garcia,8137,G Beckham,9015,2016-04-08,Gordon Beckham reached on fielder's choice to shortstop (Grounder). Tyler Flowers out at second.
J_Garcia,8137,F Freeman,5361,2016-08-05,Freddie Freeman struck out swinging.
J_Garcia,8137,A Rizzo,3473,2016-04-19,Anthony Rizzo fouled out to first (Fly).
J_Garcia,8137,T Renda,1344,2016-08-10,Tony Renda grounded out to shortstop (Grounder).
J_Garcia,8137,Z Cozart,2616,2016-09-03,Zack Cozart struck out swinging.
J_Garcia,8137,Z Davies,1318,2016-06-01,Zachary Davies flied out to second (Fly).
J_Garcia,8137,A Hill,6104,2016-04-14,Aaron Hill struck out swinging.
J_Garcia,8137,D Dietrich,1054,2016-07-15,Derek Dietrich struck out swinging.
J_Garcia,8137,A Garcia,1377,2016-08-05,Adonis Garcia grounded out to first (Grounder).
J_Garcia,8137,Z Davies,1318,2016-06-01,Zachary Davies grounded out to third (Grounder).
J_Garcia,8137,C Correa,1416,2016-08-16,Carlos Correa reached on fielder's choice to second (Grounder). Jose Altuve out at second.
J_Garcia,8137,S Gennett,1033,2016-04-14,Scooter Gennett struck out swinging.
J_Garcia,8137,Z Cozart,2616,2016-08-10,Zack Cozart flied out to left (Fly).
J_Garcia,8137,G Beckham,9015,2016-04-08,Gordon Beckham flied out to left (Fly).
J_Garcia,8137,D Stubbs,9328,2016-04-08,Drew Stubbs struck out looking.
J_Garcia,8137,K Calhoun,1120,2016-05-11,Kole Calhoun flied out to left (Fly).
J_Garcia,8137,A Cabrera,4962,2016-07-26,Asdrubal Cabrera struck out swinging.
J_Garcia,8137,K Seager,9785,2016-06-26,Kyle Seager grounded out to second (Grounder).
J_Garcia,8137,A Triggs,1353,2016-08-28,Andrew Triggs struck out looking.
J_Garcia,8137,S O'Malley,9629,2016-06-26,Shawn O'Malley struck out looking.
J_Garcia,8137,R Braun,3410,2016-07-01,Ryan Braun reached on fielder's choice to shortstop (Grounder). Aaron Hill out at second.
J_Garcia,8137,A McCutchen,9847,2016-07-06,Andrew McCutchen struck out swinging.
J_Garcia,8137,Y Cespedes,1311,2016-07-26,Yoenis Cespedes struck out swinging.
J_Garcia,8137,C Blackmon,7859,2016-05-17,Charlie Blackmon grounded out to first (Grounder).
J_Garcia,8137,D Ruf,9929,2016-05-05,Darin Ruf grounded out to shortstop (Grounder).
J_Garcia,8137,T Renda,1344,2016-08-10,Tony Renda grounded out to third (Grounder).
J_Garcia,8137,B Ryan,6073,2016-05-11,Brendan Ryan struck out swinging.
J_Garcia,8137,W Ramos,1433,2016-05-27,Wilson Ramos grounded out to third (Grounder).
J_Garcia,8137,J Votto,4314,2016-08-10,Joey Votto grounded out to third (Grounder).
J_Garcia,8137,J Lobaton,4243,2016-04-30,Jose Lobaton struck out swinging.
J_Garcia,8137,D Santana,1034,2016-09-08,Domingo Santana struck out swinging.
J_Garcia,8137,J Bruce,9892,2016-08-23,Jay Bruce struck out swinging.
J_Garcia,8137,W Castillo,3256,2016-05-22,Welington Castillo grounded out to second (Grounder). Michael Bourn advanced to 3B. Paul Goldschmidt advanced to 2B.
J_Garcia,8137,G Soto,3707,2016-05-11,Geovany Soto grounded out to shortstop (Grounder).
J_Garcia,8137,K Bryant,1542,2016-04-19,Kris Bryant grounded out to pitcher (Grounder).
J_Garcia,8137,J De La Cruz,1282,2016-08-05,Joel De La Cruz struck out swinging.
J_Garcia,8137,R Braun,3410,2016-07-01,Ryan Braun grounded out to shortstop (Grounder).
J_Garcia,8137,M Semien,1253,2016-08-28,Marcus Semien grounded out to shortstop (Grounder).
J_Garcia,8137,A Hill,6104,2016-04-14,Aaron Hill flied out to center (Fliner (Fly)).
J_Garcia,8137,C Cron,1254,2016-05-11,C.J. Cron flied out to left (Fliner (Fly)).
J_Garcia,8137,J Lucroy,7870,2016-07-01,Jonathan Lucroy grounded into a double play to shortstop (Grounder). Ryan Braun out at second.
J_Garcia,8137,T Holt,1139,2016-08-10,Tyler Holt grounded out to shortstop (Grounder).
J_Garcia,8137,C Rasmus,9893,2016-06-14,Colby Rasmus out on a dropped third strike.
J_Garcia,8137,J Francoeur,4792,2016-08-05,Jeff Francoeur struck out looking.
J_Garcia,8137,M Wisler,1280,2016-04-08,Matt Wisler struck out swinging.
J_Garcia,8137,D Espinosa,9219,2016-04-30,Danny Espinosa reached on fielder's choice to third (Grounder). Jayson Werth out at second.
J_Garcia,8137,R Zimmerman,4220,2016-04-30,Ryan Zimmerman grounded out to shortstop (Grounder).
J_Garcia,8137,D Freese,9549,2016-07-06,David Freese grounded out to shortstop (Grounder).
J_Garcia,8137,C Walsh,1096,2016-04-14,Colin Walsh grounded out to third (Grounder).
J_Garcia,8137,R Braun,3410,2016-04-14,Ryan Braun struck out looking.
J_Garcia,8137,M Trout,1015,2016-05-11,Mike Trout lined out to shortstop (Liner).
J_Garcia,8137,J Smolinski,5408,2016-08-28,Jake Smolinski grounded out to first (Grounder).
J_Garcia,8137,T d'Arnaud,7739,2016-07-26,Travis d'Arnaud grounded out to pitcher (Grounder).
J_Garcia,8137,J Lobaton,4243,2016-04-30,Jose Lobaton grounded out to shortstop (Grounder).
J_Garcia,8137,J Bruce,9892,2016-08-23,Jay Bruce struck out swinging.
J_Garcia,8137,J Kang,1718,2016-07-06,Jung Ho Kang struck out swinging.
J_Garcia,8137,A Rendon,1286,2016-04-30,Anthony Rendon flied out to left (Fly).
J_Garcia,8137,R Gsellman,1369,2016-08-23,Robert Gsellman struck out looking.
J_Garcia,8137,R Braun,3410,2016-04-14,Ryan Braun grounded out to third (Grounder).
J_Garcia,8137,D Murphy,4316,2016-04-30,Daniel Murphy struck out swinging.
J_Garcia,8137,H Perez,5751,2016-06-01,Hernan Perez grounded out to pitcher (Grounder).
J_Garcia,8137,T Murphy,1349,2016-09-21,Tom Murphy struck out swinging.
J_Garcia,8137,A Hill,6104,2016-06-01,Aaron Hill grounded out to second (Grounder).
J_Garcia,8137,C Gonzalez,7287,2016-09-21,Carlos Gonzalez grounded out to second (Grounder).
J_Garcia,8137,R Braun,3410,2016-04-14,Ryan Braun grounded out to second (Grounder).
J_Garcia,8137,S Vogt,5000,2016-08-28,Stephen Vogt fouled out to catcher (Fly).
J_Garcia,8137,J Werth,1327,2016-05-27,Jayson Werth grounded out to shortstop (Grounder).
J_Garcia,8137,F Gutierrez,3255,2016-06-26,Franklin Gutierrez grounded out to third (Grounder).
J_Garcia,8137,D Peralta,2136,2016-04-25,David Peralta grounded out to first (Grounder). Yasmany Tomas advanced to 3B. Welington Castillo advanced to 2B.
J_Garcia,8137,G Soto,3707,2016-05-11,Geovany Soto grounded out to shortstop (Grounder).
J_Garcia,8137,D Fister,9425,2016-06-14,Doug Fister sacrificed to pitcher (Bunt Grounder). Carlos Gomez advanced to 3B. Marwin Gonzalez advanced to 2B.
J_Garcia,8137,J Patterson,1511,2016-09-21,Jordan Patterson grounded out to pitcher (Grounder).
J_Garcia,8137,K Broxton,9253,2016-04-14,Keon Broxton struck out looking.
J_Garcia,8137,N Arenado,9777,2016-09-21,Nolan Arenado grounded out to third (Grounder).
J_Garcia,8137,Y Rivera,1186,2016-04-14,Yadiel Rivera grounded into a double play to third (Grounder). Martin Maldonado out at second.
J_Garcia,8137,B Eibner,1136,2016-08-28,Brett Eibner grounded out to second (Grounder).
J_Garcia,8137,C Rea,1231,2016-07-30,Colin Rea sacrificed to catcher (Bunt Grounder). Adeiny Hechavarria advanced to 2B.
J_Garcia,8137,J Panik,1193,2016-09-16,Joe Panik reached on fielder's choice to second (Fly). Angel Pagan out at second.
J_Garcia,8137,G Springer,1285,2016-06-14,George Springer grounded out to shortstop (Grounder). Carlos Gomez scored.
J_Garcia,8137,M Taylor,1148,2016-04-30,Michael Taylor struck out swinging.
J_Garcia,8137,B Eibner,1136,2016-08-28,Brett Eibner struck out looking.
J_Garcia,8137,D Descalso,8392,2016-09-21,Daniel Descalso grounded out to first (Grounder).
J_Garcia,8137,J Mathis,3448,2016-07-30,Jeff Mathis grounded out to third (Grounder).
J_Garcia,8137,Y Rivera,1186,2016-04-14,Yadiel Rivera grounded out to pitcher (Grounder).
J_Garcia,8137,D Descalso,8392,2016-09-21,Daniel Descalso struck out looking.
J_Garcia,8137,S Gennett,1033,2016-07-01,Scooter Gennett grounded out to third (Grounder).
J_Garcia,8137,C Rusin,9895,2016-09-21,Chris Rusin struck out swinging.
J_Garcia,8137,E Nunez,6848,2016-09-16,Eduardo Nunez struck out swinging.
J_Garcia,8137,M Williamson,1415,2016-09-16,Mac Williamson struck out swinging.
J_Garcia,8137,C Johnson,1191,2016-07-15,Chris Johnson grounded out to pitcher (Grounder). Giancarlo Stanton scored.
J_Garcia,8137,C Owings,1003,2016-04-25,Chris Owings grounded out to second (Grounder). Yasmany Tomas scored. Welington Castillo advanced to 3B.
J_Garcia,8137,C Carter,9911,2016-07-01,Chris Carter struck out swinging.
J_Garcia,8137,R Flores,1116,2016-04-14,Ramon Flores struck out swinging.
J_Garcia,8137,S Gennett,1033,2016-04-14,Scooter Gennett struck out looking.
J_Garcia,8137,H Perez,5751,2016-09-08,Hernan Perez advanced on a stolen base to 3B.
J_Garcia,8137,M Maldonado,6887,2016-04-14,Martin Maldonado walked.
J_Garcia,8137,D LeMahieu,9874,2016-09-21,DJ LeMahieu singled to left (Grounder).
J_Garcia,8137,A Rendon,1286,2016-04-30,Anthony Rendon walked.
J_Garcia,8137,J Elmore,7290,2016-07-01,Jake Elmore singled to center (Liner).
J_Garcia,8137,A Pagan,2918,2016-09-16,Angel Pagan walked.
J_Garcia,8137,S Vogt,5000,2016-08-28,Stephen Vogt was hit by a pitch.
J_Garcia,8137,J Werth,1327,2016-05-27,Jayson Werth reached on error to shortstop (Grounder). Error by Aledmys Diaz.
J_Garcia,8137,C Owings,1003,2016-05-22,Chris Owings singled to right (Grounder). Brandon Drury advanced to 3B. Chris Owings out.
J_Garcia,8137,E Aybar,4082,2016-04-08,Erick Aybar hit a sacrifice fly to right (Fliner (Fly)). Matt Wisler scored. Drew Stubbs advanced to 3B.
J_Garcia,8137,A Hechavarria,1045,2016-07-15,Adeiny Hechavarria was intentionally walked.
J_Garcia,8137,J Werth,1327,2016-04-30,Jayson Werth singled to right (Fliner (Fly)).
J_Garcia,8137,A Pujols,1177,2016-05-11,Albert Pujols reached on error to third (Grounder). Error by Matt Carpenter.
J_Garcia,8137,C Yelich,1147,2016-07-15,Christian Yelich advanced on a wild pitch to 2B.
J_Garcia,8137,R Braun,3410,2016-09-08,Ryan Braun grounded out to shortstop (Grounder). Junior Guerra scored. Keon Broxton advanced to 3B.
J_Garcia,8137,N Cruz,2434,2016-06-26,Nelson Cruz reached on fielder's choice to pitcher (Grounder). Ketel Marte scored. Franklin Gutierrez out at second.
J_Garcia,8137,K Broxton,9253,2016-04-14,Keon Broxton reached on dropped third strike (wp).
J_Garcia,8137,F Gutierrez,3255,2016-06-26,Franklin Gutierrez walked.
J_Garcia,8137,C Owings,1003,2016-05-22,Chris Owings singled to left (Grounder). Brandon Drury advanced to 2B.
J_Garcia,8137,K Davis,9112,2016-08-28,Khris Davis walked.
J_Garcia,8137,C Yelich,1147,2016-07-15,Christian Yelich singled to shortstop (Grounder).
J_Garcia,8137,D Valencia,6364,2016-08-28,Danny Valencia singled to third (Grounder).
J_Garcia,8137,A Hechavarria,1045,2016-07-30,Adeiny Hechavarria singled to left (Fliner (Liner)).
J_Garcia,8137,P Goldschmidt,9218,2016-04-25,Paul Goldschmidt walked.
J_Garcia,8137,J Ross,1297,2016-04-30,Joe Ross reached on error to shortstop (Grounder). Danny Espinosa advanced to 2B on error. Error by Ruben Tejada.
J_Garcia,8137,T Flowers,9134,2016-04-08,Tyler Flowers walked.
J_Garcia,8137,L Martin,1184,2016-06-26,Leonys Martin walked. Dae-Ho Lee advanced to 2B.
J_Garcia,8137,B Harper,1157,2016-05-27,Bryce Harper advanced on a wild pitch to 2B.
J_Garcia,8137,W Myers,1004,2016-07-20,Wil Myers singled to right (Fliner (Liner)).
J_Garcia,8137,B Drury,1161,2016-05-22,Brandon Drury singled to left (Grounder).
J_Garcia,8137,K Broxton,9253,2016-06-01,Keon Broxton walked. Aaron Hill advanced to 2B.
J_Garcia,8137,J Votto,4314,2016-09-03,Adam Duvall advanced on a wild pitch to 2B.
J_Garcia,8137,T Barnhart,1020,2016-06-08,Tucker Barnhart singled to left (Grounder).
J_Garcia,8137,G Stanton,4949,2016-07-15,Giancarlo Stanton singled to second (Grounder). Christian Yelich advanced to 3B.
J_Garcia,8137,A Rendon,1286,2016-05-27,Anthony Rendon advanced on a stolen base to 2B.
J_Garcia,8137,J Peraza,1359,2016-09-03,Jose Peraza advanced on a stolen base to 2B.
J_Garcia,8137,J Segura,5933,2016-04-25,Jean Segura advanced on a passed ball to 2B. Passed ball by Yadier Molina.
J_Garcia,8137,T Story,1256,2016-05-17,Trevor Story singled to center (Fliner (Fly)).
