playername,playerid,vsname,vsid,date,Play
J_Grilli,521&,S Drew,4251,2016-04-04,Stephen Drew struck out looking.
J_Grilli,521&,M Napoli,3057,2016-08-20,Mike Napoli grounded into a double play to second (Grounder). Francisco Lindor out at second.
J_Grilli,521&,M Franco,1217,2016-05-12,Maikel Franco struck out swinging.
J_Grilli,521&,P Alvarez,2495,2016-06-12,Pedro Alvarez hit a sacrifice fly to right (Fly). Manny Machado scored. Chris Davis advanced to 3B.
J_Grilli,521&,D Gordon,8203,2016-04-17,Dee Gordon flied out to left (Fliner (Fly)).
J_Grilli,521&,A Rizzo,3473,2016-05-01,Anthony Rizzo flied out to left (Fly).
J_Grilli,521&,G Sanchez,1144,2016-09-06,Gary Sanchez struck out swinging.
J_Grilli,521&,G Stanton,4949,2016-04-16,Giancarlo Stanton struck out swinging.
J_Grilli,521&,C Rasmus,9893,2016-08-02,Colby Rasmus grounded out to shortstop (Grounder).
J_Grilli,521&,J Schoop,1126,2016-07-31,Jonathan Schoop struck out swinging.
J_Grilli,521&,Y Tomas,1717,2016-06-22,Yasmany Tomas grounded into a double play to second (Grounder). Peter O'Brien out at second.
J_Grilli,521&,C Headley,4720,2016-09-26,Chase Headley grounded out to first (Grounder).
J_Grilli,521&,A Simmons,1084,2016-09-16,Andrelton Simmons grounded out to shortstop (Grounder).
J_Grilli,521&,M Napoli,3057,2016-08-19,Mike Napoli flied out to left (Fly).
J_Grilli,521&,A Jones,6368,2016-07-31,Adam Jones reached on fielder's choice to shortstop (Grounder). Matt Wieters out at second.
J_Grilli,521&,J Mathis,3448,2016-04-17,Jeff Mathis grounded out to third (Grounder). J.T. Realmuto advanced to 2B.
J_Grilli,521&,J Kipnis,9776,2016-08-20,Jason Kipnis struck out swinging.
J_Grilli,521&,X Bogaerts,1216,2016-10-01,Xander Bogaerts flied out to left (Fly).
J_Grilli,521&,N Buss,6835,2016-09-16,Nick Buss struck out looking.
J_Grilli,521&,M Ozuna,1032,2016-04-16,Marcell Ozuna struck out swinging.
J_Grilli,521&,N Ahmed,1214,2016-05-08,Nick Ahmed struck out looking.
J_Grilli,521&,C Davis,9272,2016-07-29,Chris Davis out on a dropped third strike.
J_Grilli,521&,N Aoki,1307,2016-09-19,Nori Aoki flied out to right (Fliner (Fly)). Leonys Martin advanced to 3B.
J_Grilli,521&,D Pedroia,8370,2016-06-03,Dustin Pedroia grounded out to second (Grounder).
J_Grilli,521&,P Alvarez,2495,2016-06-09,Pedro Alvarez struck out swinging.
J_Grilli,521&,L Chisenhall,7571,2016-07-02,Lonnie Chisenhall struck out swinging.
J_Grilli,521&,L Forsythe,7185,2016-09-12,Logan Forsythe flied out to right (Fliner (Fly)).
J_Grilli,521&,W Myers,1004,2016-07-25,Wil Myers grounded into a double play to second (Grounder). Travis Jankowski out at second.
J_Grilli,521&,C Correa,1416,2016-08-13,Carlos Correa struck out swinging.
J_Grilli,521&,D Dietrich,1054,2016-04-16,Derek Dietrich struck out swinging.
J_Grilli,521&,A Reed,1624,2016-08-02,A.J. Reed grounded out to shortstop (Grounder).
J_Grilli,521&,J Segura,5933,2016-05-08,Jean Segura struck out looking.
J_Grilli,521&,N Ahmed,1214,2016-05-07,Nick Ahmed fouled out to right (Fliner (Fly)).
J_Grilli,521&,T White,1556,2016-08-04,Tyler White struck out swinging.
J_Grilli,521&,M Trumbo,6876,2016-07-29,Mark Trumbo flied out to right (Fliner (Liner)).
J_Grilli,521&,C Ruiz,2579,2016-05-21,Carlos Ruiz flied out to right (Fliner (Fly)).
J_Grilli,521&,G Springer,1285,2016-08-13,George Springer struck out swinging.
J_Grilli,521&,C Davis,9272,2016-08-30,Chris Davis struck out swinging.
J_Grilli,521&,F Lindor,1291,2016-07-02,Francisco Lindor grounded out to pitcher (Grounder).
J_Grilli,521&,B McCann,4810,2016-09-24,Brian McCann struck out looking.
J_Grilli,521&,E Escobar,6153,2016-08-27,Eduardo Escobar struck out swinging.
J_Grilli,521&,J Shuck,6677,2016-06-25,J.B. Shuck lined out to second (Fliner (Liner)).
J_Grilli,521&,K Broxton,9253,2016-05-25,Keon Broxton struck out swinging.
J_Grilli,521&,C Owings,1003,2016-05-07,Chris Owings reached on fielder's choice to third (Grounder). Brandon Drury out at second.
J_Grilli,521&,M Wieters,4298,2016-07-29,Matt Wieters struck out swinging.
J_Grilli,521&,J Ramirez,1351,2016-07-01,Jose Ramirez struck out swinging.
J_Grilli,521&,E Longoria,9368,2016-09-12,Evan Longoria grounded out to third (Grounder).
J_Grilli,521&,D Santana,1032,2016-08-27,Danny Santana struck out swinging.
J_Grilli,521&,A Bregman,1767,2016-08-13,Alex Bregman struck out swinging.
J_Grilli,521&,Y Alonso,2530,2016-07-17,Yonder Alonso flied out to left (Fly).
J_Grilli,521&,N Arenado,9777,2016-06-28,Nolan Arenado struck out swinging.
