playername,playerid,vsname,vsid,date,Play
J_Gurka,8007,J Segura,5933,2016-04-05,Jean Segura struck out looking.
J_Gurka,8007,J Panik,1193,2016-04-12,Joe Panik grounded out to first (Grounder).
J_Gurka,8007,M Duffy,1383,2016-04-12,Matt Duffy lined out to second (Liner).
J_Gurka,8007,B Belt,1026,2016-04-12,Brandon Belt struck out swinging.
J_Gurka,8007,W Myers,1004,2016-04-09,Wil Myers lined out to third (Liner).
J_Gurka,8007,J Bruce,9892,2016-04-19,Jay Bruce flied out to center (Fly).
J_Gurka,8007,D Peralta,2136,2016-04-05,David Peralta lined out to pitcher (Liner).
J_Gurka,8007,J Samardzija,3254,2016-04-12,Jeff Samardzija struck out swinging.
J_Gurka,8007,D Span,8347,2016-04-12,Denard Span flied out to left (Fly).
J_Gurka,8007,J Lamb,1332,2016-04-05,Jake Lamb reached on fielder's choice to shortstop (Grounder). Welington Castillo out at second.
J_Gurka,8007,H Pence,8252,2016-04-12,Hunter Pence grounded out to pitcher (Grounder).
J_Gurka,8007,J Jay,5227,2016-04-08,Jon Jay grounded out to shortstop (Grounder).
J_Gurka,8007,J Soler,1422,2016-04-16,Jorge Soler grounded out to second (Grounder).
J_Gurka,8007,D Norris,6867,2016-04-08,Derek Norris struck out swinging.
J_Gurka,8007,M Kemp,5631,2016-04-08,Matt Kemp singled to center (Liner).
J_Gurka,8007,W Myers,1004,2016-04-08,Wil Myers singled to second (Grounder). Travis Jankowski advanced to 2B.
J_Gurka,8007,J Baez,1297,2016-04-16,Javier Baez advanced on error to 3B. Error by Jason Gurka.
J_Gurka,8007,J Baez,1297,2016-04-16,Javier Baez doubled to center (Liner).
J_Gurka,8007,J Jay,5227,2016-04-09,Jon Jay singled to shortstop (Grounder).
J_Gurka,8007,A Pagan,2918,2016-04-12,Angel Pagan singled to center (Fliner (Fly)).
J_Gurka,8007,A Rosales,9682,2016-04-09,Adam Rosales singled to right (Grounder).
J_Gurka,8007,M Upton Jr.,5015,2016-04-09,Melvin Upton Jr. singled to right (Liner). Jabari Blash advanced to 3B. Jon Jay advanced to 2B.
J_Gurka,8007,T Brown,1389,2016-04-12,Trevor Brown homered (Fliner (Fly)). Angel Pagan scored.
J_Gurka,8007,P Goldschmidt,9218,2016-04-05,Paul Goldschmidt tripled to center (Fliner (Liner)). Rickie Weeks Jr. scored. Nick Ahmed scored. Chris Owings scored.
