playername,playerid,vsname,vsid,date,Play
J_Gustave,1466,J Sucre,5942,2016-09-27,Jesus Sucre grounded into a double play to shortstop (Grounder). Leonys Martin out at second.
J_Gustave,1466,A Simmons,1084,2016-09-24,Andrelton Simmons flied out to right (Fly).
J_Gustave,1466,S Smith,7331,2016-09-27,Seth Smith reached on fielder's choice to second (Grounder). Nori Aoki out at second.
J_Gustave,1466,C Santana,2396,2016-09-07,Carlos Santana struck out swinging.
J_Gustave,1466,D Ceciliani,9954,2016-08-13,Darrell Ceciliani flied out to center (Fly).
J_Gustave,1466,J Ramirez,1351,2016-09-07,Jose Ramirez grounded out to first (Grounder).
J_Gustave,1466,C Crisp,1572,2016-09-05,Coco Crisp lined out to first (Liner).
J_Gustave,1466,Y Escobar,4191,2016-09-24,Yunel Escobar grounded out to third (Grounder).
J_Gustave,1466,M Trout,1015,2016-09-22,Mike Trout struck out swinging.
J_Gustave,1466,D Ross,1551,2016-09-11,David Ross fouled out to first (Fly). Addison Russell advanced to 3B. Javier Baez advanced to 2B.
J_Gustave,1466,A Pujols,1177,2016-09-22,Albert Pujols struck out swinging.
J_Gustave,1466,D Travis,1386,2016-08-13,Devon Travis flied out to right (Fly).
J_Gustave,1466,E Encarnacion,2151,2016-08-13,Edwin Encarnacion struck out looking.
J_Gustave,1466,N Mazara,1455,2016-09-02,Nomar Mazara struck out looking.
J_Gustave,1466,J Soler,1422,2016-09-11,Jorge Soler struck out swinging.
J_Gustave,1466,J Bandy,1250,2016-09-30,Jett Bandy flied out to left (Fliner (Liner)).
J_Gustave,1466,I Desmond,6885,2016-09-02,Ian Desmond struck out swinging.
J_Gustave,1466,S O'Malley,9629,2016-09-18,Shawn O'Malley struck out looking.
J_Gustave,1466,C Cron,1254,2016-10-02,C.J. Cron flied out to left (Fliner (Liner)).
J_Gustave,1466,J Baez,1297,2016-09-11,Javier Baez struck out swinging.
J_Gustave,1466,K Vargas,1210,2016-08-11,Kennys Vargas grounded out to second (Grounder).
J_Gustave,1466,C Pennington,3395,2016-10-02,Cliff Pennington struck out swinging.
J_Gustave,1466,J Centeno,7168,2016-08-11,Juan Centeno advanced on a wild pitch to 2B.
J_Gustave,1466,R Ortega,1032,2016-10-02,Rafael Ortega walked.
J_Gustave,1466,B Dozier,9810,2016-08-11,Brian Dozier doubled to center (Fliner (Fly)). Juan Centeno scored.
J_Gustave,1466,N Aoki,1307,2016-09-18,Nori Aoki singled to shortstop (Grounder).
J_Gustave,1466,A Rizzo,3473,2016-09-11,Anthony Rizzo advanced on a wild pitch to 2B.
J_Gustave,1466,A Rizzo,3473,2016-09-11,Anthony Rizzo singled to right (Liner).
J_Gustave,1466,E Andrus,8709,2016-09-02,Elvis Andrus walked.
J_Gustave,1466,F Lindor,1291,2016-09-07,Francisco Lindor singled to left (Fliner (Liner)).
J_Gustave,1466,N Aoki,1307,2016-09-27,Nori Aoki walked.
J_Gustave,1466,J Bandy,1250,2016-09-24,Jett Bandy hit a ground rule double (Fliner (Fly)).
J_Gustave,1466,R Ortega,1032,2016-09-24,Rafael Ortega doubled to right (Liner). Jett Bandy scored.
